Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,735523,1,37,4963,blue,true,left,44,37,left,blue,865,0
2,738909.8999999994,1,12,4951,blue,true,right,66,12,right,blue,758,0
3,742189.3999999994,1,9,4942,blue,true,right,98,9,right,blue,730,0
4,745447.7000000002,1,20,4922,blue,false,right,20,91,left,orange,748,0
5,748725.7999999998,1,8,4914,blue,true,right,28,8,right,blue,747,0
6,751988.7000000002,0,0,4914,blue,true,left,30,33,right,orange,976,0
7,755489.8999999994,1,24,4890,blue,true,left,27,24,left,blue,841,0
8,758848,0,0,4890,blue,false,left,58,43,left,blue,806,0
9,762174,1,47,4843,blue,true,right,72,47,right,blue,731,0
10,765417.8999999994,1,44,4799,blue,false,right,44,44,left,orange,1553,0
11,769495.5,1,26,4773,blue,true,left,69,26,left,blue,2949,0
12,774963.3999999994,0,0,4773,blue,true,left,6,41,right,orange,668,0
13,778160.5,1,34,4739,blue,true,right,88,34,right,blue,1079,0
14,781756.7000000002,0,0,4739,blue,false,right,73,18,right,blue,768,0
15,785052.7999999998,1,25,4714,blue,true,left,60,25,left,blue,821,0
16,788394,0,0,4714,blue,true,right,68,6,left,orange,1434,0
17,792344.2999999998,0,0,4714,blue,false,left,48,39,left,blue,1702,0
18,796565.0999999996,0,0,4714,blue,true,right,35,76,left,orange,1028,0
19,800116.3999999994,0,0,4714,blue,true,left,23,85,right,orange,687,0
20,803332.2999999998,1,22,4692,blue,true,left,54,22,left,blue,789,0
21,806641.2999999998,0,0,4692,blue,false,right,66,58,right,blue,1066,0
22,810225.5999999996,1,41,4651,blue,true,right,98,41,right,blue,712,0
23,813454.5,0,0,4651,blue,true,right,58,80,left,orange,1015,0
24,816988.7000000002,0,0,4651,blue,true,left,32,85,right,orange,826,0
25,820329.7000000002,1,83,4568,blue,false,left,83,15,right,orange,1138,0
26,823991,1,16,4552,blue,true,right,18,16,right,blue,960,0
27,827475.2000000002,0,0,4552,blue,true,left,56,99,right,orange,1152,0
28,831153.5,0,0,4552,blue,true,right,23,75,left,orange,830,0
29,834513.5999999996,0,0,4552,blue,true,right,68,18,left,orange,1242,0
30,838273,1,16,4536,blue,true,right,30,16,right,blue,890,0
31,841681.0999999996,1,37,4499,blue,true,right,86,37,right,blue,1114,0
32,845312.3999999994,0,0,4499,blue,true,left,47,44,right,orange,1189,0
33,849023.7000000002,0,0,4499,blue,true,right,3,91,left,orange,1008,0
34,852557.0999999996,1,60,4439,blue,false,right,60,14,left,orange,1057,0
35,856136.3999999994,0,0,4439,blue,true,left,54,84,right,orange,950,0
36,859606.3999999994,1,23,4416,blue,true,left,34,23,left,blue,1080,0
37,863203.7000000002,1,28,4388,blue,true,left,96,28,left,blue,794,0
38,866513.7000000002,1,83,4305,blue,false,right,83,94,left,orange,886,0
39,869920.7999999998,1,86,4219,blue,true,left,63,86,left,blue,795,0
40,873232.7999999998,1,53,4166,blue,true,right,99,53,right,blue,672,0
41,876429.5999999996,1,91,4075,blue,true,left,29,91,left,blue,891,0
42,879847.7999999998,0,0,4075,blue,true,left,88,64,right,orange,871,0
43,899756.8999999994,0,0,4075,blue,true,right,84,70,left,orange,246,3
44,902530.5,1,61,4014,blue,false,left,61,88,right,orange,1451,0
45,906497.0999999996,0,0,4014,blue,true,left,61,43,right,orange,518,0
46,909537.5,1,54,3960,blue,true,right,87,54,right,blue,1086,0
47,913150.0999999996,1,5,3955,blue,false,left,5,90,right,orange,814,0
48,920489.7000000002,1,44,3911,blue,true,left,71,44,left,blue,1219,0
49,924236.0999999996,0,0,3911,blue,true,right,42,52,left,orange,1047,0
50,927801.3999999994,0,0,3911,blue,true,left,39,93,right,orange,887,0
