Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40067,1,107145.03499981947,0,0,5000,blue,true,right,44,37,left,orange,1116,0
C40067,2,110918.81499998271,0,0,5000,blue,true,left,66,12,right,orange,491,0
C40067,3,114009.04499995522,0,0,5000,blue,true,left,98,9,right,orange,410,0
C40067,4,116980.12500000186,0,0,5000,blue,false,left,20,91,left,blue,515,0
C40067,5,120087.63999980874,0,0,5000,blue,true,right,28,8,left,orange,436,0
C40067,6,123102.5349998381,0,0,5000,blue,true,right,30,33,left,orange,440,0
C40067,7,126097.63500001281,0,0,5000,blue,true,right,27,24,left,orange,538,0
C40067,8,129194.72999987192,1,58,4942,blue,false,left,58,43,right,orange,328,0
C40067,9,132132.1749999188,1,47,4895,blue,true,right,72,47,right,blue,458,0
C40067,10,135184.13999979384,1,44,4851,blue,false,left,44,44,right,orange,1081,0
C40067,11,138847.32499998063,0,0,4851,blue,true,right,69,26,left,orange,433,0
C40067,12,141868.10999992304,1,41,4810,blue,true,left,6,41,left,blue,288,0
C40067,13,144726.49499983527,1,34,4776,blue,true,right,88,34,right,blue,614,0
C40067,14,147964.2149999272,1,73,4703,blue,false,left,73,18,right,orange,290,0
C40067,15,150847.91000001132,0,0,4703,blue,true,right,60,25,left,orange,362,0
C40067,16,153833.67999992333,0,0,4703,blue,true,right,68,6,left,orange,627,0
C40067,17,157039.0699999407,1,48,4655,blue,false,left,48,39,right,orange,457,0
C40067,18,160154.89999996498,1,76,4579,blue,true,right,35,76,right,blue,161,0
C40067,19,162894.80499993078,1,85,4494,blue,true,left,23,85,left,blue,544,0
C40067,20,166085.07999987341,1,22,4472,blue,true,right,54,22,right,blue,328,0
C40067,21,168993.78499994054,1,66,4406,blue,false,left,66,58,right,orange,123,0
C40067,22,171687.56999983452,0,0,4406,blue,true,left,98,41,right,orange,246,0
C40067,23,174490.98999984562,0,0,4406,blue,true,left,58,80,right,orange,189,0
C40067,24,177264.90999991074,0,0,4406,blue,true,right,32,85,left,orange,284,0
C40067,25,180106.24499991536,1,83,4323,blue,false,right,83,15,left,orange,149,0
C40067,26,182829.42499988712,0,0,4323,blue,true,right,18,16,left,orange,101,0
C40067,27,185504.27999999374,0,0,4323,blue,true,left,56,99,right,orange,220,0
C40067,28,188284.38999992795,0,0,4323,blue,true,left,23,75,right,orange,305,0
C40067,29,191144.84500000253,0,0,4323,blue,true,left,68,18,right,orange,267,0
C40067,30,193988.28499997035,0,0,4323,blue,true,left,30,16,right,orange,48,0
C40067,31,196621.31999991834,1,37,4286,blue,true,left,86,37,left,blue,554,0
C40067,32,199751.82999996468,1,44,4242,blue,true,left,47,44,left,blue,251,0
C40067,33,202579.41999984905,0,0,4242,blue,true,right,3,91,left,orange,550,0
C40067,34,205704.73999995738,1,60,4182,blue,false,right,60,14,left,orange,447,0
C40067,35,208751.46499997936,0,0,4182,blue,true,right,54,84,left,orange,239,0
C40067,36,211541.45999997854,1,23,4159,blue,true,right,34,23,right,blue,229,0
C40067,37,214343.68499997072,1,28,4131,blue,true,left,96,28,left,blue,532,0
C40067,38,217504.54999995418,0,0,4131,blue,false,left,83,94,left,blue,593,0
C40067,39,220687.61999998242,0,0,4131,blue,true,left,63,86,right,orange,850,0
C40067,40,224156.3549998682,1,53,4078,blue,true,left,99,53,left,blue,483,0
C40067,41,227242.61999991722,1,91,3987,blue,true,left,29,91,left,blue,423,0
