Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40071,1,274553.285,0,0,5000,blue,true,right,44,37,left,orange,2341,0
C40071,2,279461.01499999996,1,12,4988,blue,true,left,66,12,left,blue,1847,0
C40071,3,283882.19000000006,0,0,4988,blue,true,left,98,9,right,orange,2295,0
C40071,4,288742.37500000006,0,0,4988,blue,false,right,20,91,right,blue,1376,0
C40071,5,292684.21,0,0,4988,blue,true,left,28,8,right,orange,1407,0
C40071,6,296647.905,1,33,4955,blue,true,right,30,33,right,blue,1201,0
C40071,7,300417.6,0,0,4955,blue,true,right,27,24,left,orange,805,0
C40071,8,303776.515,1,58,4897,blue,false,right,58,43,left,orange,851,0
C40071,9,307194.50000000006,0,0,4897,blue,true,left,72,47,right,orange,787,0
C40071,10,310539.91500000004,1,44,4853,blue,false,left,44,44,right,orange,825,0
C40071,11,313935.18500000006,0,0,4853,blue,true,left,69,26,right,orange,3113,0
C40071,12,319588.28500000003,0,0,4853,blue,true,left,6,41,right,orange,1067,0
C40071,13,323220.88500000007,0,0,4853,blue,true,left,88,34,right,orange,836,0
C40071,14,326611.225,0,0,4853,blue,false,left,73,18,left,blue,1805,0
C40071,15,330977.67999999993,0,0,4853,blue,true,right,60,25,left,orange,1320,0
C40071,16,334852.69500000007,1,6,4847,blue,true,right,68,6,right,blue,2336,0
C40071,17,339749.72500000003,1,48,4799,blue,false,right,48,39,left,orange,573,0
C40071,18,342898.14,1,76,4723,blue,true,right,35,76,right,blue,698,0
C40071,19,346169.435,0,0,4723,blue,true,right,23,85,left,orange,913,0
C40071,20,349645.17,1,22,4701,blue,true,left,54,22,left,blue,752,0
C40071,21,352961.35500000004,1,66,4635,blue,false,left,66,58,right,orange,598,0
C40071,22,356093.32500000007,1,41,4594,blue,true,right,98,41,right,blue,916,0
C40071,23,359549.49,0,0,4594,blue,true,right,58,80,left,orange,548,0
C40071,24,362663.995,0,0,4594,blue,true,right,32,85,left,orange,689,0
C40071,25,365892.16,0,0,4594,blue,false,left,83,15,left,blue,1226,0
C40071,26,369646.65,1,16,4578,blue,true,left,18,16,left,blue,1731,0
C40071,27,373937.32,1,99,4479,blue,true,right,56,99,right,blue,1697,0
C40071,28,378172.88500000007,0,0,4479,blue,true,right,23,75,left,orange,1045,0
C40071,29,381780.05500000005,1,18,4461,blue,true,left,68,18,left,blue,1096,0
C40071,30,385434.86500000005,1,16,4445,blue,true,right,30,16,right,blue,1255,0
C40071,31,389261.93,0,0,4445,blue,true,right,86,37,left,orange,672,0
C40071,32,392517.155,0,0,4445,blue,true,right,47,44,left,orange,968,0
C40071,33,396044.54,0,0,4445,blue,true,right,3,91,left,orange,614,0
C40071,34,399221.92000000004,1,60,4385,blue,false,right,60,14,left,orange,691,0
C40071,35,402495.17500000005,1,84,4301,blue,true,right,54,84,right,blue,1040,0
C40071,36,406107.965,1,23,4278,blue,true,left,34,23,left,blue,591,0
C40071,37,409256.82500000007,1,28,4250,blue,true,left,96,28,left,blue,505,0
C40071,38,412322.84500000003,1,83,4167,blue,false,left,83,94,right,orange,453,0
C40071,39,415357.2750000001,1,86,4081,blue,true,left,63,86,left,blue,725,0
C40071,40,418659.315,1,53,4028,blue,true,right,99,53,right,blue,1509,0
C40071,41,422739.5250000001,0,0,4028,blue,true,right,29,91,left,orange,2016,0
C40071,42,427315.665,0,0,4028,blue,true,right,88,64,left,orange,3039,0
C40071,43,432905.34,0,0,4028,blue,true,left,84,70,right,orange,3394,0
C40071,44,438852.13499999995,1,61,3967,blue,false,left,61,88,right,orange,1516,0
C40071,45,442938.19000000006,1,43,3924,blue,true,left,61,43,left,blue,820,0
C40071,46,446333.8,0,0,3924,blue,true,left,87,54,right,orange,2146,0
C40071,47,451048.44,1,5,3919,blue,false,right,5,90,left,orange,1984,0
C40071,48,459634.415,0,0,3919,blue,true,left,71,44,right,orange,2938,0
C40071,49,465128.31000000006,0,0,3919,blue,true,right,42,52,left,orange,631,0
C40071,50,468310.31000000006,0,0,3919,blue,true,left,39,93,right,orange,920,0
