Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40122,1,123445.48000000941,1,10,4990,blue,true,right,23,10,right,blue,2808,0
C40122,2,128786.34500000044,0,0,4990,blue,true,left,45,97,right,orange,687,0
C40122,3,131996.11500000174,0,0,4990,blue,true,left,54,62,right,orange,886,0
C40122,4,135405.84000000672,1,99,4891,blue,false,left,99,16,right,orange,1433,0
C40122,5,139367.49000000418,0,0,4891,blue,true,right,72,40,left,orange,1042,0
C40122,6,142934.01500000618,1,88,4803,blue,true,right,98,88,right,blue,944,0
C40122,7,146409.0850000066,0,0,4803,blue,true,right,6,54,left,orange,580,0
C40122,8,149512.3600000079,0,0,4803,blue,true,left,64,55,right,orange,1720,0
C40122,9,153756.5050000121,0,0,4803,blue,false,right,96,45,right,blue,1588,0
C40122,10,157874.23500001023,0,0,4803,blue,true,right,28,19,left,orange,653,0
C40122,11,161050.43500001193,1,26,4777,blue,true,left,95,26,left,blue,1214,0
C40122,12,164793.6050000135,0,0,4777,blue,true,right,90,29,left,orange,619,0
C40122,13,167937.69500000053,0,0,4777,blue,true,right,20,53,left,orange,508,0
C40122,14,170967.0299999998,1,56,4721,blue,true,right,74,56,right,blue,978,0
C40122,15,174474.21500000928,0,0,4721,blue,true,left,18,42,right,orange,752,0
C40122,16,177752.8650000022,0,0,4721,blue,true,right,11,91,left,orange,578,0
C40122,17,180857.79500000353,1,32,4689,blue,false,left,32,31,right,orange,614,0
C40122,18,184001.28500000574,1,65,4624,blue,true,right,36,65,right,blue,675,0
C40122,19,187208.34500000637,1,40,4584,blue,false,left,40,30,right,orange,776,0
C40122,20,190511.29000000947,1,26,4558,blue,true,right,29,26,right,blue,683,0
C40122,21,193725.09000000719,0,0,4558,blue,false,right,32,36,right,blue,605,0
C40122,22,196854.83500000555,1,81,4477,blue,true,left,72,81,left,blue,511,0
C40122,23,199894.23499999975,1,95,4382,blue,false,right,95,54,left,orange,803,0
C40122,24,203226.93000000436,1,40,4342,blue,false,right,40,59,left,orange,525,0
C40122,25,206279.3900000106,0,0,4342,blue,false,left,29,24,left,blue,620,0
C40122,26,209423.23000000033,0,0,4342,blue,false,left,60,51,left,blue,585,0
C40122,27,212527.01000000525,0,0,4342,blue,false,left,83,65,left,blue,482,0
C40122,28,215527.7300000016,0,0,4342,blue,true,right,78,98,left,orange,780,0
C40122,29,218829.33000000776,0,0,4342,blue,false,right,56,51,right,blue,617,0
C40122,30,221967.38500001084,0,0,4342,blue,false,left,5,20,left,blue,932,0
C40122,31,225424.4200000103,0,0,4342,blue,false,right,67,2,right,blue,694,0
C40122,32,228640.8700000029,0,0,4342,blue,false,left,85,84,left,blue,551,0
C40122,33,231718.04000000702,1,49,4293,blue,true,left,7,49,left,blue,716,0
C40122,34,234957.45500001067,0,0,4293,blue,false,right,37,47,right,blue,734,0
C40122,35,238216.73500000907,1,27,4266,blue,false,right,27,91,left,orange,752,0
C40122,36,241489.85000001267,0,0,4266,blue,false,right,44,42,right,blue,1298,0
C40122,37,245313.18500000634,1,55,4211,blue,true,left,31,55,left,blue,531,0
C40122,38,248377.88500000897,0,0,4211,blue,false,right,97,70,right,blue,598,0
C40122,39,251506.8350000074,0,0,4211,blue,false,left,14,9,left,blue,593,0
C40122,40,254627.24000000162,1,51,4160,blue,true,right,23,51,right,blue,790,0
C40122,41,257946.54000000446,1,79,4081,blue,true,right,89,79,right,blue,1014,0
C40122,42,261480.2950000012,1,86,3995,blue,true,right,83,86,right,blue,871,0
C40122,43,264876.0500000062,0,0,3995,blue,true,right,40,62,left,orange,480,0
C40122,44,267880.4250000103,0,0,3995,blue,true,left,36,23,right,orange,527,0
C40122,45,270927.8250000061,0,0,3995,blue,true,left,65,61,right,orange,768,0
C40122,46,274217.2950000095,0,0,3995,blue,true,left,74,67,right,orange,664,0
C40122,47,277401.42500000366,0,0,3995,blue,true,right,73,41,left,orange,672,0
C40122,48,284597.26000000956,0,0,3995,blue,false,left,96,54,left,blue,1822,0
C40122,49,288939.00000001304,1,88,3907,blue,true,left,86,88,left,blue,1790,0
C40122,50,293254.94000001345,0,0,3907,blue,true,left,43,66,right,orange,667,0
C40122,51,296445.1250000129,0,0,3907,blue,true,left,72,79,right,orange,498,0
C40122,52,299465.96000000136,0,0,3907,blue,false,left,71,13,left,blue,1227,0
C40122,53,303215.5000000057,0,0,3907,blue,true,left,78,53,right,orange,575,0
C40122,54,306316.35500000266,0,0,3907,blue,true,left,57,90,right,orange,548,0
C40122,55,309388.14500000444,1,3,3904,blue,false,right,3,12,left,orange,661,0
C40122,56,312573.4599999996,1,64,3840,blue,true,right,2,64,right,blue,1047,0
C40122,57,316145.1750000124,1,9,3831,blue,true,right,99,9,right,blue,676,0
C40122,58,319346.38500001165,0,0,3831,blue,true,right,21,42,left,orange,555,0
C40122,59,322425.97000001115,0,0,3831,blue,true,left,83,72,right,orange,434,0
C40122,60,325388.855000012,1,11,3820,blue,true,left,37,11,left,blue,648,0
C40122,61,328566.2900000025,1,67,3753,blue,false,left,67,81,right,orange,687,0
C40122,62,331782.25000000384,0,0,3753,blue,true,left,12,14,right,orange,580,0
C40122,63,334886.3500000007,1,78,3675,blue,false,right,78,90,left,orange,702,0
C40122,64,338112.53000001307,0,0,3675,blue,false,right,46,53,right,blue,725,0
C40122,65,341359.05000001367,0,0,3675,blue,false,left,30,42,left,blue,888,0
C40122,66,344769.1049999994,0,0,3675,blue,false,left,36,65,left,blue,535,0
C40122,67,347828.9850000001,0,0,3675,blue,false,right,49,49,right,blue,638,0
C40122,68,350988.3950000076,0,0,3675,blue,false,left,44,10,left,blue,521,0
C40122,69,354033.7350000045,0,0,3675,blue,false,left,70,64,left,blue,493,0
C40122,70,357053.270000004,0,0,3675,blue,false,left,68,95,left,blue,455,0
C40122,71,360030.5750000116,1,38,3637,blue,false,left,38,46,right,orange,1381,0
C40122,72,363940.09500001266,0,0,3637,blue,false,right,18,24,right,blue,953,0
C40122,73,367416.54500000004,0,0,3637,blue,false,right,82,78,right,blue,702,0
C40122,74,370643.4850000078,0,0,3637,blue,false,left,59,54,left,blue,823,0
C40122,75,373983.9600000123,0,0,3637,blue,false,right,36,33,right,blue,733,0
C40122,76,377244.28500000795,1,56,3581,blue,true,left,49,56,left,blue,683,0
C40122,77,380457.155000011,1,26,3555,blue,false,right,26,83,left,orange,612,0
C40122,78,383595.4200000124,0,0,3555,blue,false,right,38,81,right,blue,721,0
C40122,79,386839.81000000495,0,0,3555,blue,false,left,12,3,left,blue,555,0
C40122,80,389918.3600000106,0,0,3555,blue,false,right,62,38,right,blue,538,0
C40122,81,392979.29000000295,0,0,3555,blue,false,left,43,50,left,blue,648,0
C40122,82,396151.2450000009,0,0,3555,blue,false,left,50,47,left,blue,604,0
C40122,83,399278.9550000016,1,35,3520,blue,true,right,41,35,right,blue,675,0
C40122,84,402477.435000008,0,0,3520,blue,false,left,9,62,left,blue,723,0
C40122,85,405719.68000000925,0,0,3520,blue,false,left,60,58,left,blue,720,0
C40122,86,408960.68500001275,0,0,3520,blue,false,left,88,31,left,blue,642,0
C40122,87,412122.47500001104,0,0,3520,blue,false,right,56,44,right,blue,644,0
C40122,88,415289.92000001017,1,15,3505,blue,true,right,31,15,right,blue,709,0
C40122,89,418528.1200000027,0,0,3505,blue,false,left,90,31,left,blue,727,0
C40122,90,421780.660000004,0,0,3505,blue,false,left,80,76,left,blue,1268,0
C40122,91,425574.8100000055,0,0,3505,blue,false,right,78,4,right,blue,636,0
C40122,92,428735.1600000111,0,0,3505,blue,false,left,60,28,left,blue,812,0
C40122,93,432069.5900000137,0,0,3505,blue,true,right,56,99,left,orange,1167,0
C40122,94,439759.40500000434,1,31,3474,blue,false,right,31,45,left,orange,1331,0
C40122,95,443620.3000000096,0,0,3474,blue,false,right,55,16,right,blue,1436,0
C40122,96,447577.33500000904,1,89,3385,blue,true,right,12,89,right,blue,2419,0
C40122,97,452520.2500000014,1,49,3336,blue,false,left,49,4,right,orange,1082,0
C40122,98,456132.4300000124,0,0,3336,blue,false,left,69,12,left,blue,664,0
C40122,99,459313.9250000095,1,26,3310,blue,true,left,49,26,left,blue,730,0
C40122,100,462568.92000000516,1,75,3235,blue,false,right,75,76,left,orange,1723,0
C40122,101,466819.6850000095,1,22,3213,blue,false,left,22,90,right,orange,3700,0
C40122,102,473045.3500000003,1,23,3190,blue,true,left,26,23,left,blue,572,0
C40122,103,476150.1850000059,1,11,3179,blue,false,right,11,68,left,orange,432,0
C40122,104,479114.93500000506,1,82,3097,blue,true,left,71,82,left,blue,549,0
C40122,105,482192.46000000567,1,86,3011,blue,false,left,86,95,right,orange,854,0
C40122,106,485568.67000000784,0,0,3011,blue,false,right,79,88,right,blue,951,0
C40122,107,489039.08500001126,0,0,3011,blue,false,left,75,40,left,blue,457,0
C40122,108,492017.10000001185,0,0,3011,blue,false,left,11,94,left,blue,553,0
C40122,109,495093.4000000125,1,44,2967,blue,true,left,53,44,left,blue,459,0
C40122,110,498083.4750000067,0,0,2967,blue,false,right,85,17,right,blue,439,0
C40122,111,501043.76500000944,1,32,2935,blue,true,left,85,32,left,blue,408,0
C40122,112,503979.5850000082,1,38,2897,blue,false,right,38,68,left,orange,494,0
C40122,113,507002.92000001355,0,0,2897,blue,false,left,28,93,left,blue,532,0
C40122,114,510060.4300000123,0,0,2897,blue,false,left,13,95,left,blue,679,0
C40122,115,513257.5300000026,0,0,2897,blue,false,left,69,60,left,blue,802,0
C40122,116,516582.64500000223,1,95,2802,blue,true,left,56,95,left,blue,496,0
C40122,117,519600.2700000099,1,2,2800,blue,false,right,2,41,left,orange,1222,0
C40122,118,523350.52500000165,0,0,2800,blue,false,right,42,5,right,blue,996,0
C40122,119,526863.8800000044,0,0,2800,blue,false,left,44,30,left,blue,610,0
C40122,120,529998.860000007,0,0,2800,blue,false,left,79,4,left,blue,589,0
C40122,121,533111.4700000035,0,0,2800,blue,false,left,83,87,left,blue,593,0
C40122,122,536229.0800000046,0,0,2800,blue,false,left,59,44,left,blue,609,0
C40122,123,539360.8400000085,1,10,2790,blue,true,right,15,10,right,blue,934,0
C40122,124,542820.5300000118,0,0,2790,blue,false,right,60,15,right,blue,829,0
C40122,125,546169.5750000072,0,0,2790,blue,false,right,73,25,right,blue,467,0
C40122,126,549165.6900000089,0,0,2790,blue,false,right,43,23,right,blue,489,0
C40122,127,552180.7000000117,0,0,2790,blue,false,right,22,87,right,blue,435,0
C40122,128,555140.3150000115,1,77,2713,blue,true,right,27,77,right,blue,453,0
C40122,129,558115.3200000117,0,0,2713,blue,false,left,99,35,left,blue,539,0
C40122,130,561173.4200000064,1,39,2674,blue,true,left,49,39,left,blue,466,0
C40122,131,564163.6900000012,0,0,2674,blue,false,right,83,60,right,blue,1066,0
C40122,132,567753.005000006,1,54,2620,blue,true,left,61,54,left,blue,474,0
C40122,133,570752.8650000022,0,0,2620,blue,false,right,82,34,right,blue,821,0
C40122,134,574099.9100000045,0,0,2620,blue,false,left,96,86,left,blue,473,0
C40122,135,577094.6650000114,0,0,2620,blue,false,left,65,27,left,blue,600,0
C40122,136,580220.365000001,1,63,2557,blue,false,left,63,93,right,orange,988,0
C40122,137,583733.0450000009,0,0,2557,blue,false,right,65,40,right,blue,647,0
C40122,138,586907.9800000036,1,7,2550,blue,false,left,7,69,right,orange,2444,0
C40122,139,591879.6000000002,1,28,2522,blue,true,left,94,28,left,blue,551,0
C40122,140,594958.885,1,90,2432,blue,false,left,90,4,right,orange,622,0
