Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40396,1,151070.29999995232,1,37,4963,blue,true,left,44,37,left,blue,1494,0
C40396,2,155134.29999995232,1,12,4951,blue,true,left,66,12,left,blue,926,0
C40396,3,158584.19999980927,0,0,4951,blue,true,left,98,9,right,orange,825,0
C40396,4,161953.5,1,20,4931,blue,false,right,20,91,left,orange,495,0
C40396,5,165002.29999995232,0,0,4931,blue,true,left,28,8,right,orange,407,0
C40396,6,167955.09999990463,0,0,4931,blue,true,left,30,33,right,orange,595,0
C40396,7,171087.69999980927,0,0,4931,blue,true,left,27,24,right,orange,622,0
C40396,8,174251.5,1,58,4873,blue,false,right,58,43,left,orange,676,0
C40396,9,177473.5,0,0,4873,blue,true,right,72,47,left,orange,604,0
C40396,10,180613.19999980927,1,44,4829,blue,false,left,44,44,right,orange,383,0
C40396,11,183553.09999990463,0,0,4829,blue,true,right,69,26,left,orange,587,0
C40396,12,186669.19999980927,0,0,4829,blue,true,right,6,41,left,orange,1249,0
C40396,13,190457.29999995232,0,0,4829,blue,true,left,88,34,right,orange,556,0
C40396,14,193536.79999995232,1,73,4756,blue,false,right,73,18,left,orange,1088,0
C40396,15,197170.89999985695,0,0,4756,blue,true,right,60,25,left,orange,923,0
C40396,16,200641.09999990463,0,0,4756,blue,true,right,68,6,left,orange,573,0
C40396,17,203739.89999985695,1,48,4708,blue,false,left,48,39,right,orange,351,0
C40396,18,206623,0,0,4708,blue,true,left,35,76,right,orange,539,0
C40396,19,209705.39999985695,0,0,4708,blue,true,right,23,85,left,orange,733,0
C40396,20,212983.29999995232,0,0,4708,blue,true,left,54,22,right,orange,436,0
C40396,21,215956.5,1,66,4642,blue,false,left,66,58,right,orange,515,0
C40396,22,219003.89999985695,1,41,4601,blue,true,right,98,41,right,blue,645,0
C40396,23,222179.29999995232,1,80,4521,blue,true,left,58,80,left,blue,811,0
C40396,24,225539.29999995232,0,0,4521,blue,true,left,32,85,right,orange,483,0
C40396,25,228555.19999980927,1,83,4438,blue,false,left,83,15,right,orange,1169,0
C40396,26,232271.5,0,0,4438,blue,true,left,18,16,right,orange,656,0
C40396,27,235461.29999995232,0,0,4438,blue,true,left,56,99,right,orange,1056,0
C40396,28,239055.89999985695,0,0,4438,blue,true,right,23,75,left,orange,809,0
C40396,29,242419.59999990463,0,0,4438,blue,true,left,68,18,right,orange,819,0
C40396,30,245772.5,0,0,4438,blue,true,right,30,16,left,orange,817,0
C40396,31,249123.69999980927,0,0,4438,blue,true,left,86,37,right,orange,354,0
C40396,32,252024.19999980927,0,0,4438,blue,true,left,47,44,right,orange,417,0
C40396,33,254974.89999985695,0,0,4438,blue,true,right,3,91,left,orange,464,0
C40396,34,257966.19999980927,1,60,4378,blue,false,right,60,14,left,orange,523,0
C40396,35,261023.79999995232,0,0,4378,blue,true,left,54,84,right,orange,352,0
C40396,36,263917.7999999523,0,0,4378,blue,true,right,34,23,left,orange,501,0
C40396,37,266957.69999980927,0,0,4378,blue,true,right,96,28,left,orange,533,0
C40396,38,270028.09999990463,1,83,4295,blue,false,right,83,94,left,orange,576,0
C40396,39,273155.2999999523,0,0,4295,blue,true,right,63,86,left,orange,548,0
C40396,40,276241.5,0,0,4295,blue,true,left,99,53,right,orange,587,0
C40396,41,279376.69999980927,0,0,4295,blue,true,left,29,91,right,orange,873,0
C40396,42,282780.89999985695,0,0,4295,blue,true,left,88,64,right,orange,529,0
C40396,43,285843.89999985695,0,0,4295,blue,true,left,84,70,right,orange,659,0
C40396,44,289041.39999985695,1,61,4234,blue,false,left,61,88,right,orange,855,0
C40396,45,292439,0,0,4234,blue,true,left,61,43,right,orange,568,0
C40396,46,295551.09999990463,0,0,4234,blue,true,left,87,54,right,orange,440,0
C40396,47,298526.09999990463,1,5,4229,blue,false,left,5,90,right,orange,739,0
C40396,48,305825.09999990463,0,0,4229,blue,true,left,71,44,right,orange,1576,0
C40396,49,309943.7999999523,0,0,4229,blue,true,left,42,52,right,orange,751,0
C40396,50,313228.89999985695,0,0,4229,blue,true,right,39,93,left,orange,632,0
C40396,51,316384.2999999523,0,0,4229,blue,true,left,39,24,right,orange,979,0
C40396,52,319895.39999985695,1,20,4209,blue,false,right,20,10,left,orange,646,0
C40396,53,323088.89999985695,1,85,4124,blue,false,left,85,43,right,orange,610,0
C40396,54,326236.89999985695,0,0,4124,blue,false,right,77,7,right,blue,1616,0
C40396,55,330396.39999985695,1,90,4034,blue,true,right,95,90,right,blue,1018,0
C40396,56,333961.39999985695,1,7,4027,blue,true,left,56,7,left,blue,1034,0
C40396,57,337548.89999985695,0,0,4027,blue,true,right,50,69,left,orange,1006,0
C40396,58,341098.59999990463,0,0,4027,blue,true,left,4,83,right,orange,523,0
C40396,59,344163.19999980927,1,40,3987,blue,false,left,40,8,right,orange,1435,0
C40396,60,348133.69999980927,0,0,3987,blue,true,right,47,86,left,orange,822,0
C40396,61,351498.89999985695,0,0,3987,blue,true,right,15,49,left,orange,579,0
C40396,62,354619,0,0,3987,blue,true,right,17,39,left,orange,430,0
C40396,63,357587.39999985695,1,76,3911,blue,false,left,76,97,right,orange,382,0
C40396,64,360533.5,0,0,3911,blue,true,left,73,14,right,orange,608,0
C40396,65,363680.59999990463,0,0,3911,blue,true,left,67,29,right,orange,315,0
C40396,66,366529.39999985695,0,0,3911,blue,true,right,48,39,left,orange,404,0
C40396,67,369464.19999980927,0,0,3911,blue,true,left,30,99,right,orange,320,0
C40396,68,372332.89999985695,1,13,3898,blue,false,left,13,20,right,orange,338,0
C40396,69,375214.2999999523,0,0,3898,blue,true,left,66,59,right,orange,417,0
C40396,70,378175.59999990463,0,0,3898,blue,true,left,20,60,right,orange,345,0
C40396,71,381048.2999999523,0,0,3898,blue,true,left,41,25,right,orange,573,0
C40396,72,384165.39999985695,1,76,3822,blue,false,left,76,70,right,orange,986,0
C40396,73,387699.7999999523,1,73,3749,blue,false,left,73,18,right,orange,742,0
C40396,74,390983.2999999523,1,41,3708,blue,false,right,41,80,left,orange,1260,0
C40396,75,394781.59999990463,1,76,3632,blue,true,left,25,76,left,blue,691,0
C40396,76,398018.7999999523,0,0,3632,blue,false,left,34,52,left,blue,555,0
C40396,77,401116.69999980927,0,0,3632,blue,false,right,30,60,right,blue,839,0
C40396,78,404482.19999980927,0,0,3632,blue,false,right,91,36,right,blue,355,0
C40396,79,407382.39999985695,0,0,3632,blue,false,left,70,59,left,blue,406,0
C40396,80,410319.39999985695,1,47,3585,blue,true,right,64,47,right,blue,361,0
C40396,81,413218.7999999523,0,0,3585,blue,false,right,28,44,right,blue,348,0
C40396,82,416099.5,0,0,3585,blue,false,right,2,80,right,blue,397,0
C40396,83,419035.19999980927,0,0,3585,blue,false,left,20,39,left,blue,439,0
C40396,84,422004.59999990463,0,0,3585,blue,false,left,32,61,left,blue,845,0
C40396,85,425384.19999980927,0,0,3585,blue,false,right,90,61,right,blue,400,0
C40396,86,428318,1,70,3515,blue,true,left,62,70,left,blue,393,0
C40396,87,431238.09999990463,0,0,3515,blue,false,right,17,33,right,blue,333,0
C40396,88,434101.2999999523,0,0,3515,blue,false,right,74,17,right,blue,373,0
C40396,89,437004.69999980927,0,0,3515,blue,false,right,2,85,right,blue,343,0
C40396,90,439886.09999990463,0,0,3515,blue,false,right,39,76,right,blue,431,0
C40396,91,442846.59999990463,0,0,3515,blue,false,left,70,20,left,blue,727,0
C40396,92,446101.69999980927,1,69,3446,blue,true,right,24,69,right,blue,344,0
C40396,93,448986,1,52,3394,blue,true,left,59,52,left,blue,553,0
C40396,94,456085.69999980927,0,0,3394,blue,false,left,15,43,left,blue,958,0
C40396,95,459585.89999985695,1,34,3360,blue,true,right,50,34,right,blue,1141,0
C40396,96,463260,0,0,3360,blue,false,right,43,48,right,blue,348,0
C40396,97,466136.19999980927,1,35,3325,blue,true,right,14,35,right,blue,390,0
C40396,98,469075.89999985695,0,0,3325,blue,true,right,12,42,left,orange,981,0
C40396,99,472589.59999990463,0,0,3325,blue,true,right,40,44,left,orange,850,0
C40396,100,475971.39999985695,0,0,3325,blue,true,left,88,50,right,orange,1329,0
C40396,101,479838.59999990463,0,0,3325,blue,true,right,51,19,left,orange,696,0
C40396,102,483074.19999980927,0,0,3325,blue,true,left,44,59,right,orange,434,0
C40396,103,486038.89999985695,0,0,3325,blue,true,left,23,9,right,orange,809,0
C40396,104,489389.89999985695,0,0,3325,blue,true,right,23,76,left,orange,478,0
C40396,105,492395.7999999523,0,0,3325,blue,true,left,94,47,right,orange,306,0
C40396,106,495240.59999990463,1,67,3258,blue,false,left,67,56,right,orange,512,0
C40396,107,498304.69999980927,0,0,3258,blue,true,right,50,16,left,orange,385,0
C40396,108,501221.5,0,0,3258,blue,true,left,83,7,right,orange,286,0
C40396,109,504043.5,0,0,3258,blue,true,left,86,41,right,orange,347,0
C40396,110,506921.89999985695,0,0,3258,blue,true,right,61,37,left,orange,449,0
C40396,111,509905.09999990463,1,82,3176,blue,false,left,82,57,right,orange,285,0
C40396,112,512739.7999999523,1,68,3108,blue,false,left,68,28,right,orange,907,0
C40396,113,516189.5,1,65,3043,blue,false,left,65,76,right,orange,614,0
C40396,114,519340.59999990463,0,0,3043,blue,false,right,25,19,right,blue,783,0
C40396,115,522656.09999990463,0,0,3043,blue,false,left,67,68,left,blue,395,0
C40396,116,525590.2999999523,0,0,3043,blue,false,left,82,68,left,blue,375,0
C40396,117,528508,0,0,3043,blue,false,left,88,19,left,blue,370,0
C40396,118,531406.0999999046,1,11,3032,blue,true,left,55,11,left,blue,363,0
