Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40556,1,190073.35000002058,1,10,4990,blue,true,left,23,10,left,blue,3378,0
C40556,2,196003.7649999722,0,0,4990,blue,true,right,45,97,left,orange,1396,0
C40556,3,199933.65500000073,0,0,4990,blue,true,left,54,62,right,orange,934,0
C40556,4,203429.95000001974,0,0,4990,blue,false,right,99,16,right,blue,1241,0
C40556,5,207205.1849999698,0,0,4990,blue,true,left,72,40,right,orange,1317,0
C40556,6,211081.26999996603,1,88,4902,blue,true,right,98,88,right,blue,1523,0
C40556,7,215158.98999996716,0,0,4902,blue,true,left,6,54,right,orange,688,0
C40556,8,218413.10000000522,0,0,4902,blue,true,left,64,55,right,orange,1465,0
C40556,9,222416.46500001661,0,0,4902,blue,false,left,96,45,left,blue,2342,0
C40556,10,227301.22999998275,1,19,4883,blue,true,right,28,19,right,blue,1946,0
C40556,11,231813.9000000083,0,0,4883,blue,true,left,95,26,right,orange,823,0
C40556,12,235187.75500002084,1,29,4854,blue,true,left,90,29,left,blue,1550,0
C40556,13,239307.43499996606,1,53,4801,blue,true,right,20,53,right,blue,550,0
C40556,14,242405.67000000738,0,0,4801,blue,true,left,74,56,right,orange,907,0
C40556,15,245868.6699999962,0,0,4801,blue,true,right,18,42,left,orange,648,0
C40556,16,249045.92499998398,0,0,4801,blue,true,right,11,91,left,orange,1389,0
C40556,17,252965.61999997357,1,32,4769,blue,false,left,32,31,right,orange,972,0
C40556,18,256510.56500000414,0,0,4769,blue,true,right,36,65,left,orange,2451,0
C40556,19,261501.4450000017,1,40,4729,blue,false,left,40,30,right,orange,788,0
C40556,20,264838.1400000071,0,0,4729,blue,true,left,29,26,right,orange,1933,0
C40556,21,269308.2249999861,1,32,4697,blue,false,right,32,36,left,orange,644,0
C40556,22,272514.25000000745,0,0,4697,blue,true,right,72,81,left,orange,577,0
C40556,23,275630.26499998523,0,0,4697,blue,false,left,95,54,left,blue,1428,0
C40556,24,279590.0200000033,1,40,4657,blue,false,left,40,59,right,orange,1110,0
C40556,25,283236.16500000935,1,29,4628,blue,false,left,29,24,right,orange,564,0
C40556,26,286363.955000008,1,60,4568,blue,false,right,60,51,left,orange,1279,0
C40556,27,290195.7149999798,0,0,4568,blue,false,left,83,65,left,blue,1597,0
C40556,28,294342.5050000078,0,0,4568,blue,true,right,78,98,left,orange,1333,0
C40556,29,298207.4249999714,1,56,4512,blue,false,left,56,51,right,orange,1014,0
C40556,30,301760.2649999899,1,5,4507,blue,false,left,5,20,right,orange,972,0
C40556,31,305281.55000001425,1,67,4440,blue,false,right,67,2,left,orange,1291,0
C40556,32,309122.96499998774,1,85,4355,blue,false,right,85,84,left,orange,733,0
C40556,33,312405.87499999674,0,0,4355,blue,true,right,7,49,left,orange,634,0
C40556,34,315615.28500000713,1,37,4318,blue,false,right,37,47,left,orange,694,0
C40556,35,318867.36999999266,1,27,4291,blue,false,left,27,91,right,orange,619,0
C40556,36,322022.9699999909,1,44,4247,blue,false,left,44,42,right,orange,1236,0
C40556,37,325808.5200000205,1,55,4192,blue,true,right,31,55,right,blue,895,0
C40556,38,329273.9050000091,0,0,4192,blue,false,left,97,70,left,blue,1901,0
C40556,39,333710.1450000191,1,14,4178,blue,false,left,14,9,right,orange,1015,0
C40556,40,337290.8999999636,1,51,4127,blue,true,right,23,51,right,blue,788,0
C40556,41,340636.34500000626,1,79,4048,blue,true,right,89,79,right,blue,1597,0
C40556,42,344789.4349999842,0,0,4048,blue,true,left,83,86,right,orange,859,0
C40556,43,348200.58499998413,0,0,4048,blue,true,right,40,62,left,orange,888,0
C40556,44,351629.94000001345,1,23,4025,blue,true,left,36,23,left,blue,2092,0
C40556,45,356277.90499996627,0,0,4025,blue,true,left,65,61,right,orange,708,0
C40556,46,359526.3149999664,0,0,4025,blue,true,left,74,67,right,orange,663,0
C40556,47,362737.0349999983,1,41,3984,blue,true,right,73,41,right,blue,2198,0
C40556,48,377099.6049999958,1,96,3888,blue,false,left,96,54,right,orange,978,1
C40556,49,380629.0750000044,0,0,3888,blue,true,left,86,88,right,orange,682,0
C40556,50,383855.8450000128,0,0,3888,blue,true,left,43,66,right,orange,900,0
C40556,51,387295.6300000078,1,79,3809,blue,true,left,72,79,left,blue,1265,0
C40556,52,391113.88499999885,0,0,3809,blue,false,right,71,13,right,blue,1467,0
C40556,53,395128.1500000041,0,0,3809,blue,true,left,78,53,right,orange,1166,0
C40556,54,398834.7949999734,0,0,3809,blue,true,left,57,90,right,orange,1145,0
C40556,55,402525.9949999745,0,0,3809,blue,false,left,3,12,left,blue,1742,0
C40556,56,406805.43999996735,1,64,3745,blue,true,left,2,64,left,blue,623,0
C40556,57,409969.1599999787,1,9,3736,blue,true,right,99,9,right,blue,1687,0
C40556,58,414197.4250000203,0,0,3736,blue,true,left,21,42,right,orange,960,0
C40556,59,417689.2699999735,1,72,3664,blue,true,left,83,72,left,blue,2396,0
C40556,60,422625.9399999981,0,0,3664,blue,true,right,37,11,left,orange,1715,0
C40556,61,426871.2250000099,0,0,3664,blue,false,right,67,81,right,blue,2021,0
C40556,62,431444.5100000012,0,0,3664,blue,true,left,12,14,right,orange,911,0
C40556,63,434898.4949999722,1,78,3586,blue,false,right,78,90,left,orange,1449,0
C40556,64,438884.2149999691,1,46,3540,blue,false,left,46,53,right,orange,921,0
C40556,65,442358.4350000019,1,30,3510,blue,false,left,30,42,right,orange,1045,0
C40556,66,445946.49499998195,1,36,3474,blue,false,left,36,65,right,orange,569,0
C40556,67,449074.0649999934,1,49,3425,blue,false,left,49,49,right,orange,613,0
C40556,68,452241.15999997593,0,0,3425,blue,false,left,44,10,left,blue,1448,0
C40556,69,456232.26499999873,1,70,3355,blue,false,right,70,64,left,orange,1664,0
C40556,70,460454.58999997936,1,68,3287,blue,false,left,68,95,right,orange,630,0
C40556,71,463649.0749999648,1,38,3249,blue,false,left,38,46,right,orange,758,0
C40556,72,466950.88999997824,0,0,3249,blue,false,left,18,24,left,blue,1136,0
C40556,73,470638.67999997456,0,0,3249,blue,false,right,82,78,right,blue,958,0
C40556,74,474146.25499997055,0,0,3249,blue,false,right,59,54,right,blue,803,0
C40556,75,477480.35500000697,0,0,3249,blue,false,right,36,33,right,blue,876,0
C40556,76,480895.4950000043,1,56,3193,blue,true,right,49,56,right,blue,2857,0
C40556,77,486312.52500001574,1,26,3167,blue,false,left,26,83,right,orange,697,0
C40556,78,489572.3049999797,1,38,3129,blue,false,right,38,81,left,orange,493,0
C40556,79,492608.665000007,1,12,3117,blue,false,right,12,3,left,orange,1593,0
C40556,80,496759.08499996876,0,0,3117,blue,false,left,62,38,left,blue,1287,0
C40556,81,500593.200000003,0,0,3117,blue,false,right,43,50,right,blue,1527,0
C40556,82,504669.3249999662,1,50,3067,blue,false,left,50,47,right,orange,1685,0
C40556,83,508902.83500001533,1,35,3032,blue,true,left,41,35,left,blue,1409,0
C40556,84,512867.7299999981,1,9,3023,blue,false,left,9,62,right,orange,1322,0
C40556,85,516739.5350000006,0,0,3023,blue,false,right,60,58,right,blue,1012,0
C40556,86,520310.46499998774,0,0,3023,blue,false,right,88,31,right,blue,1370,0
C40556,87,524228.1949999742,0,0,3023,blue,false,right,56,44,right,blue,1288,0
C40556,88,528063.0999999703,0,0,3023,blue,true,right,31,15,left,orange,532,0
C40556,89,531155.9549999656,1,90,2933,blue,false,left,90,31,right,orange,618,0
C40556,90,534340.670000005,0,0,2933,blue,false,left,80,76,left,blue,927,0
C40556,91,537816.6900000069,0,0,2933,blue,false,right,78,4,right,blue,1302,0
C40556,92,541650.3449999727,1,60,2873,blue,false,left,60,28,right,orange,533,0
C40556,93,544747.4299999885,1,99,2774,blue,true,right,56,99,right,blue,2441,0
C40556,94,553740.5150000122,1,31,2743,blue,false,left,31,45,right,orange,1396,0
C40556,95,557693.5550000053,0,0,2743,blue,false,right,55,16,right,blue,1387,0
C40556,96,561631.2049999833,0,0,2743,blue,true,right,12,89,left,orange,565,0
C40556,97,564730.1549999975,1,49,2694,blue,false,left,49,4,right,orange,810,0
C40556,98,568081.7800000077,1,69,2625,blue,false,left,69,12,right,orange,780,0
C40556,99,571421.6949999682,0,0,2625,blue,true,left,49,26,right,orange,1465,0
C40556,100,575427.56500002,1,75,2550,blue,false,left,75,76,right,orange,1445,0
C40556,101,579436.7799999891,1,22,2528,blue,false,left,22,90,right,orange,1293,0
C40556,102,583282.0850000135,1,23,2505,blue,true,right,26,23,right,blue,1608,0
C40556,103,587454.7899999889,1,11,2494,blue,false,left,11,68,right,orange,1006,0
C40556,104,591019.1500000074,1,82,2412,blue,true,right,71,82,right,blue,652,0
C40556,105,594222.9400000069,0,0,2412,blue,false,left,86,95,left,blue,727,0
C40556,106,597507.6700000209,0,0,2412,blue,false,left,79,88,left,blue,630,0
C40556,107,600686.0950000118,0,0,2412,blue,false,left,75,40,left,blue,1415,0
C40556,108,604635.0649999804,1,11,2401,blue,false,left,11,94,right,orange,1209,0
C40556,109,608403.4649999812,0,0,2401,blue,true,left,53,44,right,orange,1057,0
C40556,110,611993.1699999725,1,85,2316,blue,false,left,85,17,right,orange,526,0
C40556,111,615071.0799999651,0,0,2316,blue,true,right,85,32,left,orange,1972,0
C40556,112,619585.1949999924,1,38,2278,blue,false,right,38,68,left,orange,794,0
C40556,113,622948.2599999756,0,0,2278,blue,false,left,28,93,left,blue,1418,0
C40556,114,626921.8799999799,1,13,2265,blue,false,right,13,95,left,orange,2032,0
C40556,115,631501.820000005,1,69,2196,blue,false,left,69,60,right,orange,1779,0
C40556,116,635827.5499999872,1,95,2101,blue,true,right,56,95,right,blue,1504,0
C40556,117,639881.4300000085,0,0,2101,blue,false,right,2,41,right,blue,1216,0
C40556,118,643632.9149999656,0,0,2101,blue,false,right,42,5,right,blue,814,0
C40556,119,646981.8099999684,0,0,2101,blue,false,left,44,30,left,blue,979,0
C40556,120,650504.6599999769,0,0,2101,blue,false,left,79,4,left,blue,1256,0
C40556,121,654303.0349999899,1,83,2018,blue,false,left,83,87,right,orange,1547,0
C40556,122,658403.6600000109,1,59,1959,blue,false,left,59,44,right,orange,796,0
C40556,123,661742.1449999674,1,10,1949,blue,true,right,15,10,right,blue,961,0
C40556,124,665243.3200000087,1,60,1889,blue,false,left,60,15,right,orange,628,0
C40556,125,668423.5699999845,1,73,1816,blue,false,left,73,25,right,orange,1021,0
C40556,126,671986.4850000013,1,43,1773,blue,false,right,43,23,left,orange,1053,0
C40556,127,675601.0050000041,1,22,1751,blue,false,left,22,87,right,orange,1082,0
C40556,128,679250.709999993,1,77,1674,blue,true,right,27,77,right,blue,1008,0
C40556,129,682810.8500000089,1,99,1575,blue,false,left,99,35,right,orange,851,0
C40556,130,686233.264999988,1,39,1536,blue,true,right,49,39,right,blue,947,0
C40556,131,689750.9599999757,1,83,1453,blue,false,right,83,60,left,orange,590,0
C40556,132,692884.5149999834,1,54,1399,blue,true,right,61,54,right,blue,1011,0
C40556,133,696453.1449999777,1,82,1317,blue,false,right,82,34,left,orange,663,0
C40556,134,699662.0249999687,0,0,1317,blue,false,left,96,86,left,blue,798,0
C40556,135,702999.0300000063,0,0,1317,blue,false,left,65,27,left,blue,693,0
C40556,136,706243.3849999798,1,63,1254,blue,false,right,63,93,left,orange,1144,0
C40556,137,709944.7449999861,0,0,1254,blue,false,right,65,40,right,blue,632,0
C40556,138,713125.8099999977,0,0,1254,blue,false,right,7,69,right,blue,831,0
C40556,139,716507.7750000055,1,28,1226,blue,true,left,94,28,left,blue,1048,0
C40556,140,720118.5650000116,0,0,1226,blue,false,left,90,4,left,blue,935,0
