Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40619,1,160061.70000004768,1,10,4990,blue,true,left,23,10,left,blue,1180,0
C40619,2,163766,0,0,4990,blue,true,right,45,97,left,orange,1384,0
C40619,3,167667.89999997616,0,0,4990,blue,true,right,54,62,left,orange,968,0
C40619,4,171158.20000004768,1,99,4891,blue,false,right,99,16,left,orange,1439,0
C40619,5,175127.20000004768,1,40,4851,blue,true,right,72,40,right,blue,1040,0
C40619,6,178691.70000004768,1,88,4763,blue,true,right,98,88,right,blue,1135,0
C40619,7,182364.80000007153,0,0,4763,blue,true,right,6,54,left,orange,858,0
C40619,8,185752.39999997616,0,0,4763,blue,true,right,64,55,left,orange,648,0
C40619,9,188919.20000004768,1,96,4667,blue,false,left,96,45,right,orange,707,0
C40619,10,192162,1,19,4648,blue,true,left,28,19,left,blue,760,0
C40619,11,195448.10000002384,1,26,4622,blue,true,left,95,26,left,blue,1032,0
C40619,12,199033.39999997616,1,29,4593,blue,true,left,90,29,left,blue,874,0
C40619,13,202435.20000004768,0,0,4593,blue,true,left,20,53,right,orange,1078,0
C40619,14,206043.30000007153,0,0,4593,blue,true,right,74,56,left,orange,665,0
C40619,15,209236.10000002384,0,0,4593,blue,true,right,18,42,left,orange,721,0
C40619,16,212485.89999997616,0,0,4593,blue,true,right,11,91,left,orange,695,0
C40619,17,215706.10000002384,1,32,4561,blue,false,left,32,31,right,orange,708,0
C40619,18,218933.60000002384,1,65,4496,blue,true,right,36,65,right,blue,1385,0
C40619,19,222859.89999997616,1,40,4456,blue,false,right,40,30,left,orange,907,0
C40619,20,226281,0,0,4456,blue,true,left,29,26,right,orange,900,0
C40619,21,229705.89999997616,1,32,4424,blue,false,left,32,36,right,orange,704,0
C40619,22,232927.60000002384,0,0,4424,blue,true,right,72,81,left,orange,1333,0
C40619,23,236784.20000004768,1,95,4329,blue,false,left,95,54,right,orange,1124,0
C40619,24,240436.30000007153,1,40,4289,blue,false,left,40,59,right,orange,796,0
C40619,25,243751.30000007153,0,0,4289,blue,false,right,29,24,right,blue,1031,0
C40619,26,247297.70000004768,0,0,4289,blue,false,left,60,51,left,blue,782,0
C40619,27,250595.30000007153,0,0,4289,blue,false,right,83,65,right,blue,865,0
C40619,28,253973.60000002384,0,0,4289,blue,true,right,78,98,left,orange,1141,0
C40619,29,257643.39999997616,1,56,4233,blue,false,left,56,51,right,orange,953,0
C40619,30,261119.20000004768,1,5,4228,blue,false,left,5,20,right,orange,1214,0
C40619,31,264847.8000000715,0,0,4228,blue,false,right,67,2,right,blue,1134,0
C40619,32,268504.89999997616,0,0,4228,blue,false,left,85,84,left,blue,849,0
C40619,33,271868.10000002384,0,0,4228,blue,true,left,7,49,right,orange,1142,0
C40619,34,275540,1,37,4191,blue,false,left,37,47,right,orange,880,0
C40619,35,278939.2000000477,1,27,4164,blue,false,left,27,91,right,orange,1070,0
C40619,36,282536.2000000477,0,0,4164,blue,false,left,44,42,left,blue,1272,0
C40619,37,286344.3000000715,1,55,4109,blue,true,right,31,55,right,blue,1154,0
C40619,38,290034.39999997616,0,0,4109,blue,false,left,97,70,left,blue,1630,0
C40619,39,294191,0,0,4109,blue,false,left,14,9,left,blue,775,0
C40619,40,297516.10000002384,1,51,4058,blue,true,left,23,51,left,blue,1033,0
C40619,41,301069.2000000477,0,0,4058,blue,true,right,89,79,left,orange,1472,0
C40619,42,305081.60000002384,0,0,4058,blue,true,left,83,86,right,orange,955,0
C40619,43,308559.39999997616,0,0,4058,blue,true,right,40,62,left,orange,792,0
C40619,44,311878.2000000477,0,0,4058,blue,true,right,36,23,left,orange,909,0
C40619,45,315317.89999997616,0,0,4058,blue,true,left,65,61,right,orange,898,0
C40619,46,318739.3000000715,0,0,4058,blue,true,left,74,67,right,orange,930,0
C40619,47,322201.7000000477,1,41,4017,blue,true,left,73,41,left,blue,1212,0
C40619,48,329984.10000002384,0,0,4017,blue,false,right,96,54,right,blue,2227,0
C40619,49,334755.10000002384,1,88,3929,blue,true,left,86,88,left,blue,881,0
C40619,50,338184.5,1,66,3863,blue,true,left,43,66,left,blue,2657,0
C40619,51,343359.2000000477,0,0,3863,blue,true,left,72,79,right,orange,745,0
C40619,52,346637.2000000477,0,0,3863,blue,false,left,71,13,left,blue,1307,0
C40619,53,350478.3000000715,1,53,3810,blue,true,left,78,53,left,blue,905,0
C40619,54,353924.89999997616,0,0,3810,blue,true,right,57,90,left,orange,901,0
C40619,55,357352.10000002384,1,3,3807,blue,false,left,3,12,right,orange,663,0
C40619,56,360551.5,0,0,3807,blue,true,left,2,64,right,orange,696,0
C40619,57,363770.39999997616,1,9,3798,blue,true,right,99,9,right,blue,1415,0
C40619,58,367714.60000002384,0,0,3798,blue,true,left,21,42,right,orange,980,0
C40619,59,371218.8000000715,0,0,3798,blue,true,right,83,72,left,orange,773,0
C40619,60,374519.5,0,0,3798,blue,true,right,37,11,left,orange,1371,0
C40619,61,378427.10000002384,1,67,3731,blue,false,left,67,81,right,orange,900,0
C40619,62,381857.2000000477,0,0,3731,blue,true,right,12,14,left,orange,975,0
C40619,63,385352.8000000715,1,78,3653,blue,false,left,78,90,right,orange,742,0
C40619,64,388617.3000000715,1,46,3607,blue,false,right,46,53,left,orange,881,0
C40619,65,392030.60000002384,0,0,3607,blue,false,right,30,42,right,blue,959,0
C40619,66,395516.60000002384,0,0,3607,blue,false,right,36,65,right,blue,1068,0
C40619,67,399125.89999997616,0,0,3607,blue,false,right,49,49,right,blue,819,0
C40619,68,402474.7000000477,0,0,3607,blue,false,left,44,10,left,blue,945,0
C40619,69,405946.5,0,0,3607,blue,false,right,70,64,right,blue,702,0
C40619,70,409164.7000000477,0,0,3607,blue,false,left,68,95,left,blue,824,0
C40619,71,412508.10000002384,1,38,3569,blue,false,left,38,46,right,orange,971,0
C40619,72,416035.89999997616,1,18,3551,blue,false,right,18,24,left,orange,1109,0
C40619,73,419681,0,0,3551,blue,false,left,82,78,left,blue,1136,0
C40619,74,423345.3000000715,0,0,3551,blue,false,right,59,54,right,blue,819,0
C40619,75,426680.60000002384,0,0,3551,blue,false,left,36,33,left,blue,881,0
C40619,76,430087.2000000477,1,56,3495,blue,true,right,49,56,right,blue,838,0
C40619,77,433457.5,1,26,3469,blue,false,right,26,83,left,orange,1114,0
C40619,78,437099.8000000715,0,0,3469,blue,false,right,38,81,right,blue,743,0
C40619,79,440368.89999997616,0,0,3469,blue,false,left,12,3,left,blue,887,0
C40619,80,443796.3000000715,0,0,3469,blue,false,left,62,38,left,blue,731,0
C40619,81,447070.60000002384,0,0,3469,blue,false,right,43,50,right,blue,898,0
C40619,82,450493.10000002384,0,0,3469,blue,false,left,50,47,left,blue,693,0
C40619,83,453697.39999997616,1,35,3434,blue,true,right,41,35,right,blue,685,0
C40619,84,456922.3000000715,1,9,3425,blue,false,right,9,62,left,orange,1039,0
C40619,85,460492.5,0,0,3425,blue,false,right,60,58,right,blue,712,0
C40619,86,463738.2000000477,0,0,3425,blue,false,left,88,31,left,blue,754,0
C40619,87,467022.7000000477,0,0,3425,blue,false,left,56,44,left,blue,680,0
C40619,88,470237.2000000477,1,15,3410,blue,true,left,31,15,left,blue,718,0
C40619,89,473490.39999997616,0,0,3410,blue,false,right,90,31,right,blue,704,0
C40619,90,476715.89999997616,0,0,3410,blue,false,right,80,76,right,blue,672,0
C40619,91,479915,0,0,3410,blue,false,left,78,4,left,blue,648,0
C40619,92,483075.8000000715,0,0,3410,blue,false,left,60,28,left,blue,716,0
C40619,93,486312.89999997616,1,99,3311,blue,true,left,56,99,left,blue,828,0
C40619,94,493669.60000002384,0,0,3311,blue,false,right,31,45,right,blue,1097,0
C40619,95,497275.7000000477,0,0,3311,blue,false,left,55,16,left,blue,582,0
C40619,96,500381.10000002384,1,89,3222,blue,true,right,12,89,right,blue,807,0
C40619,97,503703.8000000715,0,0,3222,blue,false,left,49,4,left,blue,684,0
C40619,98,506911.10000002384,0,0,3222,blue,false,right,69,12,right,blue,665,0
C40619,99,510100.89999997616,1,26,3196,blue,true,right,49,26,right,blue,755,0
C40619,100,513380.7000000477,0,0,3196,blue,false,left,75,76,left,blue,735,0
C40619,101,516631.7000000477,0,0,3196,blue,false,left,22,90,left,blue,936,0
C40619,102,520103.2000000477,1,23,3173,blue,true,right,26,23,right,blue,699,0
C40619,103,523328.39999997616,0,0,3173,blue,false,right,11,68,right,blue,1148,0
C40619,104,527011.5,1,82,3091,blue,true,right,71,82,right,blue,815,0
C40619,105,530356.8000000715,0,0,3091,blue,false,left,86,95,left,blue,855,0
C40619,106,533750.7000000477,0,0,3091,blue,false,right,79,88,right,blue,736,0
C40619,107,537009.8000000715,0,0,3091,blue,false,right,75,40,right,blue,646,0
C40619,108,540185.6000000238,1,11,3080,blue,false,left,11,94,right,orange,1444,0
C40619,109,544180.3999999762,1,44,3036,blue,true,right,53,44,right,blue,968,0
C40619,110,547691.8000000715,0,0,3036,blue,false,right,85,17,right,blue,871,0
C40619,111,551083.6000000238,1,32,3004,blue,true,right,85,32,right,blue,611,0
C40619,112,554247.3000000715,0,0,3004,blue,false,left,38,68,left,blue,715,0
C40619,113,557501.8999999762,0,0,3004,blue,false,left,28,93,left,blue,783,0
C40619,114,560824.7000000477,1,13,2991,blue,false,left,13,95,right,orange,1330,0
C40619,115,564680,0,0,2991,blue,false,left,69,60,left,blue,693,0
C40619,116,567908.3999999762,1,95,2896,blue,true,left,56,95,left,blue,874,0
C40619,117,571317.6000000238,1,2,2894,blue,false,right,2,41,left,orange,1055,0
C40619,118,574903.5,0,0,2894,blue,false,left,42,5,left,blue,871,0
C40619,119,578321,0,0,2894,blue,false,left,44,30,left,blue,691,0
C40619,120,581536.6000000238,0,0,2894,blue,false,left,79,4,left,blue,558,0
C40619,121,584607.8999999762,0,0,2894,blue,false,left,83,87,left,blue,811,0
C40619,122,587941.8999999762,0,0,2894,blue,false,left,59,44,left,blue,632,0
