Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40724,1,106034.69999998808,1,10,4990,blue,true,left,23,10,left,blue,887,0
C40724,2,109463.80000001192,0,0,4990,blue,true,right,45,97,left,orange,1020,0
C40724,3,113012.90000003576,0,0,4990,blue,true,right,54,62,left,orange,694,0
C40724,4,116236.80000001192,0,0,4990,blue,false,right,99,16,right,blue,916,0
C40724,5,119684,1,40,4950,blue,true,left,72,40,left,blue,1010,0
C40724,6,123227,1,88,4862,blue,true,right,98,88,right,blue,2230,0
C40724,7,127993.40000003576,0,0,4862,blue,true,left,6,54,right,orange,1242,0
C40724,8,131766.69999998808,0,0,4862,blue,true,left,64,55,right,orange,1060,0
C40724,9,135362.69999998808,0,0,4862,blue,false,left,96,45,left,blue,1612,0
C40724,10,139508.60000002384,1,19,4843,blue,true,right,28,19,right,blue,1137,0
C40724,11,143182.40000003576,1,26,4817,blue,true,left,95,26,left,blue,1274,0
C40724,12,146993.5,0,0,4817,blue,true,left,90,29,right,orange,1508,0
C40724,13,151029.40000003576,0,0,4817,blue,true,right,20,53,left,orange,471,0
C40724,14,154032.60000002384,0,0,4817,blue,true,right,74,56,left,orange,776,0
C40724,15,157343.90000003576,0,0,4817,blue,true,left,18,42,right,orange,850,0
C40724,16,160721.30000001192,0,0,4817,blue,true,right,11,91,left,orange,668,0
C40724,17,163919.30000001192,1,32,4785,blue,false,left,32,31,right,orange,705,0
C40724,18,167163.90000003576,0,0,4785,blue,true,left,36,65,right,orange,1052,0
C40724,19,170748.5,1,40,4745,blue,false,right,40,30,left,orange,1348,0
C40724,20,174633.10000002384,1,26,4719,blue,true,left,29,26,left,blue,1524,0
C40724,21,178688.40000003576,1,32,4687,blue,false,left,32,36,right,orange,531,0
C40724,22,181756.60000002384,0,0,4687,blue,true,right,72,81,left,orange,1113,0
C40724,23,185397.10000002384,1,95,4592,blue,false,right,95,54,left,orange,1070,0
C40724,24,189008.30000001192,0,0,4592,blue,false,right,40,59,right,blue,690,0
C40724,25,192227.40000003576,0,0,4592,blue,false,left,29,24,left,blue,558,0
C40724,26,195320,0,0,4592,blue,false,right,60,51,right,blue,718,0
C40724,27,198562.90000003576,0,0,4592,blue,false,right,83,65,right,blue,927,0
C40724,28,202022,1,98,4494,blue,true,right,78,98,right,blue,1490,0
C40724,29,206047.10000002384,1,56,4438,blue,false,right,56,51,left,orange,649,0
C40724,30,209241.90000003576,1,5,4433,blue,false,right,5,20,left,orange,51,0
C40724,31,211829.19999998808,0,0,4433,blue,false,right,67,2,right,blue,379,0
C40724,32,214736.5,0,0,4433,blue,false,right,85,84,right,blue,288,0
C40724,33,217554.10000002384,1,49,4384,blue,true,right,7,49,right,blue,851,0
C40724,34,220943.60000002384,1,37,4347,blue,false,left,37,47,right,orange,662,0
C40724,35,224143.40000003576,0,0,4347,blue,false,left,27,91,left,blue,512,0
C40724,36,227181.69999998808,0,0,4347,blue,false,right,44,42,right,blue,547,0
C40724,37,230251.10000002384,1,55,4292,blue,true,right,31,55,right,blue,819,0
C40724,38,233613.19999998808,0,0,4292,blue,false,right,97,70,right,blue,970,0
C40724,39,242638.5,1,14,4278,blue,false,right,14,9,left,orange,2152,1
C40724,40,247327.10000002384,1,51,4227,blue,true,left,23,51,left,blue,589,0
C40724,41,250447.19999998808,0,0,4227,blue,true,left,89,79,right,orange,388,0
C40724,42,253364.40000003576,0,0,4227,blue,true,right,83,86,left,orange,832,0
C40724,43,256730.5,0,0,4227,blue,true,right,40,62,left,orange,539,0
C40724,44,259800.90000003576,0,0,4227,blue,true,left,36,23,right,orange,518,0
C40724,45,262850.3000000119,0,0,4227,blue,true,left,65,61,right,orange,638,0
C40724,46,266020.6999999881,0,0,4227,blue,true,left,74,67,right,orange,807,0
C40724,47,269361.8000000119,0,0,4227,blue,true,right,73,41,left,orange,459,0
C40724,48,276355.8000000119,0,0,4227,blue,false,right,96,54,right,blue,854,0
