Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40768,1,221594,1,37,4963,blue,true,right,44,37,right,blue,1357,0
C40768,2,225488,0,0,4963,blue,true,left,66,12,right,orange,598,0
C40768,3,228602,1,9,4954,blue,true,right,98,9,right,blue,1419,0
C40768,4,232543,1,20,4934,blue,false,left,20,91,right,orange,569,0
C40768,5,235633,0,0,4934,blue,true,left,28,8,right,orange,411,0
C40768,6,238561,0,0,4934,blue,true,right,30,33,left,orange,374,0
C40768,7,241454,0,0,4934,blue,true,left,27,24,right,orange,475,0
C40768,8,244448,1,58,4876,blue,false,right,58,43,left,orange,446,0
C40768,9,247418,0,0,4876,blue,true,right,72,47,left,orange,1652,0
C40768,10,251587.00000000003,1,44,4832,blue,false,right,44,44,left,orange,643,0
C40768,11,254751,0,0,4832,blue,true,left,69,26,right,orange,522,0
C40768,12,257788,0,0,4832,blue,true,left,6,41,right,orange,455,0
C40768,13,260757.99999999997,0,0,4832,blue,true,left,88,34,right,orange,1164,0
C40768,14,264437,1,73,4759,blue,false,left,73,18,right,orange,1120,0
C40768,15,268082,0,0,4759,blue,true,right,60,25,left,orange,3998,0
C40768,16,274596,0,0,4759,blue,true,right,68,6,left,orange,555,0
C40768,17,277665,1,48,4711,blue,false,right,48,39,left,orange,549,0
C40768,18,280736,0,0,4711,blue,true,right,35,76,left,orange,843,0
C40768,19,284095,0,0,4711,blue,true,right,23,85,left,orange,901,0
C40768,20,287512,0,0,4711,blue,true,left,54,22,right,orange,501,0
C40768,21,290528,1,66,4645,blue,false,right,66,58,left,orange,1427,0
C40768,22,294475,0,0,4645,blue,true,left,98,41,right,orange,698,0
C40768,23,297690,0,0,4645,blue,true,right,58,80,left,orange,602,0
C40768,24,300806,0,0,4645,blue,true,right,32,85,left,orange,727,0
C40768,25,304051,0,0,4645,blue,false,left,83,15,left,blue,2296,0
C40768,26,308869,0,0,4645,blue,true,left,18,16,right,orange,497,0
C40768,27,311884,0,0,4645,blue,true,right,56,99,left,orange,473,0
C40768,28,314874,0,0,4645,blue,true,left,23,75,right,orange,510,0
C40768,29,317903,0,0,4645,blue,true,left,68,18,right,orange,1349,0
C40768,30,321768,0,0,4645,blue,true,right,30,16,left,orange,565,0
C40768,31,324850,0,0,4645,blue,true,left,86,37,right,orange,1440,0
C40768,32,328806,0,0,4645,blue,true,right,47,44,left,orange,518,0
C40768,33,331838,0,0,4645,blue,true,left,3,91,right,orange,471,0
C40768,34,334825,1,60,4585,blue,false,left,60,14,right,orange,454,0
C40768,35,337801,0,0,4585,blue,true,right,54,84,left,orange,454,0
C40768,36,340777,0,0,4585,blue,true,left,34,23,right,orange,434,0
C40768,37,343729,0,0,4585,blue,true,left,96,28,right,orange,1963,0
C40768,38,348209,1,83,4502,blue,false,left,83,94,right,orange,557,0
C40768,39,351287.00000000006,0,0,4502,blue,true,left,63,86,right,orange,687,0
C40768,40,354491,0,0,4502,blue,true,left,99,53,right,orange,955,0
C40768,41,357963,0,0,4502,blue,true,left,29,91,right,orange,568,0
C40768,42,361048,0,0,4502,blue,true,right,88,64,left,orange,907,0
C40768,43,364471,0,0,4502,blue,true,left,84,70,right,orange,1096,0
C40768,44,368085,1,61,4441,blue,false,right,61,88,left,orange,715,0
C40768,45,371325,0,0,4441,blue,true,left,61,43,right,orange,780,0
C40768,46,374619,0,0,4441,blue,true,right,87,54,left,orange,1083,0
C40768,47,378217,1,5,4436,blue,false,left,5,90,right,orange,612,0
C40768,48,385354,0,0,4436,blue,true,right,71,44,left,orange,1227,0
C40768,49,389099,0,0,4436,blue,true,left,42,52,right,orange,448,0
C40768,50,392065,0,0,4436,blue,true,right,39,93,left,orange,466,0
C40768,51,395052,0,0,4436,blue,true,right,39,24,left,orange,457,0
C40768,52,398025.00000000006,1,20,4416,blue,false,left,20,10,right,orange,473,0
C40768,53,401020,1,85,4331,blue,false,left,85,43,right,orange,465,0
C40768,54,404008,1,77,4254,blue,false,right,77,7,left,orange,424,0
C40768,55,406953.00000000006,1,90,4164,blue,true,right,95,90,right,blue,451,0
