Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40837,1,182791.9750000001,1,10,4990,blue,true,right,23,10,right,blue,2074,0
C40837,2,187398.22499999992,0,0,4990,blue,true,right,45,97,left,orange,661,0
C40837,3,190587.00000000044,0,0,4990,blue,true,left,54,62,right,orange,712,0
C40837,4,193831.18000000014,0,0,4990,blue,false,right,99,16,right,blue,1582,0
C40837,5,197936.3450000001,1,40,4950,blue,true,left,72,40,left,blue,1013,0
C40837,6,201479.04000000015,0,0,4950,blue,true,right,98,88,left,orange,1362,0
C40837,7,205368.02499999976,0,0,4950,blue,true,left,6,54,right,orange,539,0
C40837,8,208429.22499999986,0,0,4950,blue,true,left,64,55,right,orange,1227,0
C40837,9,212178.58499999967,0,0,4950,blue,false,left,96,45,left,blue,1905,0
C40837,10,216614.77000000014,1,19,4931,blue,true,right,28,19,right,blue,1630,0
C40837,11,220777.6899999999,1,26,4905,blue,true,left,95,26,left,blue,1650,0
C40837,12,224963.1099999997,1,29,4876,blue,true,right,90,29,right,blue,936,0
C40837,13,228426.83000000034,0,0,4876,blue,true,right,20,53,left,orange,884,0
C40837,14,231835.37499999965,0,0,4876,blue,true,left,74,56,right,orange,575,0
C40837,15,234935.22500000018,0,0,4876,blue,true,left,18,42,right,orange,666,0
C40837,16,238124.59500000023,0,0,4876,blue,true,left,11,91,right,orange,483,0
C40837,17,241132.01000000027,1,32,4844,blue,false,left,32,31,right,orange,626,0
C40837,18,244287.83999999997,0,0,4844,blue,true,left,36,65,right,orange,797,0
C40837,19,247609.10500000045,1,40,4804,blue,false,left,40,30,right,orange,1763,0
C40837,20,251900.2049999999,1,26,4778,blue,true,left,29,26,left,blue,1267,0
C40837,21,255694.81499999983,1,32,4746,blue,false,right,32,36,left,orange,1092,0
C40837,22,259317.07000000007,1,81,4665,blue,true,right,72,81,right,blue,965,0
C40837,23,262810.1999999999,0,0,4665,blue,false,right,95,54,right,blue,963,0
C40837,24,266296.7550000003,0,0,4665,blue,false,right,40,59,right,blue,1383,0
C40837,25,270202.75000000035,0,0,4665,blue,false,left,29,24,left,blue,1085,0
C40837,26,273811.2250000004,0,0,4665,blue,false,right,60,51,right,blue,1033,0
C40837,27,277369.55000000034,0,0,4665,blue,false,right,83,65,right,blue,1814,0
C40837,28,281714.4449999996,1,98,4567,blue,true,left,78,98,left,blue,1993,0
C40837,29,286235.95999999996,0,0,4567,blue,false,right,56,51,right,blue,3154,0
C40837,30,291918.0749999996,0,0,4567,blue,false,right,5,20,right,blue,1258,0
C40837,31,295699.5450000004,0,0,4567,blue,false,left,67,2,left,blue,570,0
C40837,32,298801.44999999995,0,0,4567,blue,false,right,85,84,right,blue,1208,0
C40837,33,302536.5149999998,0,0,4567,blue,true,right,7,49,left,orange,1011,0
C40837,34,306070.50499999966,0,0,4567,blue,false,right,37,47,right,blue,1034,0
C40837,35,309629.08499999956,1,27,4540,blue,false,right,27,91,left,orange,1415,0
C40837,36,313578.3250000004,0,0,4540,blue,false,left,44,42,left,blue,925,0
C40837,37,317029.1100000004,1,55,4485,blue,true,right,31,55,right,blue,1072,0
C40837,38,320629.47999999963,0,0,4485,blue,false,right,97,70,right,blue,1199,0
C40837,39,324354.5999999997,0,0,4485,blue,false,right,14,9,right,blue,574,0
C40837,40,327449.2250000003,1,51,4434,blue,true,left,23,51,left,blue,1515,0
C40837,41,331495.32499999984,1,79,4355,blue,true,right,89,79,right,blue,1461,0
C40837,42,335484.41999999975,0,0,4355,blue,true,left,83,86,right,orange,1221,0
C40837,43,339230.235,0,0,4355,blue,true,right,40,62,left,orange,551,0
C40837,44,342307.1200000004,0,0,4355,blue,true,right,36,23,left,orange,781,0
C40837,45,345611.23000000045,0,0,4355,blue,true,left,65,61,right,orange,856,0
C40837,46,348992.225,0,0,4355,blue,true,right,74,67,left,orange,972,0
C40837,47,352487.8399999998,1,41,4314,blue,true,left,73,41,left,blue,1077,0
C40837,48,365622.25500000024,1,96,4218,blue,false,left,96,54,right,orange,3672,1
C40837,49,371824.9249999999,1,88,4130,blue,true,right,86,88,right,blue,2226,0
C40837,50,376580.4900000003,0,0,4130,blue,true,left,43,66,right,orange,1124,0
C40837,51,380227.965,0,0,4130,blue,true,right,72,79,left,orange,753,0
C40837,52,383507.53999999963,1,71,4059,blue,false,right,71,13,left,orange,1017,0
