Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C40925,1,184114.79999995232,0,0,5000,blue,true,left,23,10,right,orange,1520,0
C40925,2,188184.69999998808,0,0,5000,blue,true,left,45,97,right,orange,763,0
C40925,3,191496.39999997616,1,62,4938,blue,true,right,54,62,right,blue,1678,0
C40925,4,195747.29999995232,1,99,4839,blue,false,left,99,16,right,orange,934,0
C40925,5,199245.89999997616,0,0,4839,blue,true,left,72,40,right,orange,2505,0
C40925,6,204295.29999995232,0,0,4839,blue,true,right,98,88,left,orange,1166,0
C40925,7,208014.69999998808,1,54,4785,blue,true,left,6,54,left,blue,930,0
C40925,8,211514.39999997616,1,55,4730,blue,true,left,64,55,left,blue,1430,0
C40925,9,215495,1,96,4634,blue,false,left,96,45,right,orange,2965,0
C40925,10,226565.19999998808,1,19,4615,blue,true,left,28,19,left,blue,1446,1
C40925,11,230565.79999995232,0,0,4615,blue,true,right,95,26,left,orange,671,0
C40925,12,233788.89999997616,0,0,4615,blue,true,left,90,29,right,orange,675,0
C40925,13,237000,1,53,4562,blue,true,right,20,53,right,blue,1028,0
C40925,14,240581.09999996424,0,0,4562,blue,true,right,74,56,left,orange,800,0
C40925,15,243932,1,42,4520,blue,true,right,18,42,right,blue,987,0
C40925,16,247486.39999997616,0,0,4520,blue,true,right,11,91,left,orange,992,0
C40925,17,251032.79999995232,1,32,4488,blue,false,left,32,31,right,orange,723,0
C40925,18,254313.09999996424,0,0,4488,blue,true,right,36,65,left,orange,1126,0
C40925,19,257984.09999996424,1,40,4448,blue,false,right,40,30,left,orange,800,0
C40925,20,261333.39999997616,1,26,4422,blue,true,left,29,26,left,blue,926,0
C40925,21,264818.39999997616,0,0,4422,blue,false,right,32,36,right,blue,1125,0
C40925,22,268489.59999996424,1,81,4341,blue,true,right,72,81,right,blue,1341,0
C40925,23,272389.2999999523,1,95,4246,blue,false,left,95,54,right,orange,881,0
C40925,24,275833.09999996424,0,0,4246,blue,false,right,40,59,right,blue,1077,0
C40925,25,279467.1999999881,1,29,4217,blue,false,left,29,24,right,orange,586,0
C40925,26,282601.2999999523,0,0,4217,blue,false,right,60,51,right,blue,4,0
