Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C41025,1,99737.29999998212,0,0,5000,blue,true,right,44,37,left,orange,2426,0
C41025,2,104690.69999998808,1,12,4988,blue,true,left,66,12,left,blue,303,0
C41025,3,107521.09999999404,0,0,4988,blue,true,left,98,9,right,orange,364,0
C41025,4,110414.39999997616,1,20,4968,blue,false,right,20,91,left,orange,324,0
C41025,5,113274.5,0,0,4968,blue,true,right,28,8,left,orange,699,0
C41025,6,116490,0,0,4968,blue,true,left,30,33,right,orange,244,0
C41025,7,119265,1,24,4944,blue,true,left,27,24,left,blue,268,0
C41025,8,122065.5,0,0,4944,blue,false,right,58,43,right,blue,207,0
C41025,9,124793.19999998808,0,0,4944,blue,true,right,72,47,left,orange,374,0
C41025,10,127696.5,0,0,4944,blue,false,right,44,44,right,blue,227,0
C41025,11,130440.09999999404,0,0,4944,blue,true,right,69,26,left,orange,239,0
C41025,12,133205.59999999404,1,41,4903,blue,true,right,6,41,right,blue,253,0
C41025,13,136005.79999998212,1,34,4869,blue,true,left,88,34,left,blue,614,0
C41025,14,139146.69999998808,0,0,4869,blue,false,left,73,18,left,blue,431,0
C41025,15,142098.89999997616,1,25,4844,blue,true,right,60,25,right,blue,383,0
C41025,16,145022.69999998808,0,0,4844,blue,true,left,68,6,right,orange,612,0
C41025,17,148161.59999999404,1,48,4796,blue,false,left,48,39,right,orange,299,0
C41025,18,150989.69999998808,0,0,4796,blue,true,right,35,76,left,orange,538,0
C41025,19,154055.69999998808,0,0,4796,blue,true,left,23,85,right,orange,647,0
C41025,20,157222.79999998212,1,22,4774,blue,true,right,54,22,right,blue,345,0
C41025,21,160104.5,1,66,4708,blue,false,right,66,58,left,orange,298,0
C41025,22,162936.29999998212,1,41,4667,blue,true,right,98,41,right,blue,247,0
C41025,23,165726.59999999404,1,80,4587,blue,true,left,58,80,left,blue,79,0
C41025,24,168339.59999999404,1,85,4502,blue,true,right,32,85,right,blue,222,0
C41025,25,171084.09999999404,1,83,4419,blue,false,left,83,15,right,orange,8,0
C41025,26,173616.5,0,0,4419,blue,true,left,18,16,right,orange,203,0
C41025,27,176346.19999998808,0,0,4419,blue,true,right,56,99,left,orange,595,0
C41025,28,179473.5,1,75,4344,blue,true,left,23,75,left,blue,210,0
C41025,29,182203.79999998212,0,0,4344,blue,true,left,68,18,right,orange,328,0
C41025,30,185052.39999997616,1,16,4328,blue,true,right,30,16,right,blue,673,0
C41025,31,188245.39999997616,1,37,4291,blue,true,right,86,37,right,blue,902,0
C41025,32,191688.09999999404,0,0,4291,blue,true,right,47,44,left,orange,263,0
C41025,33,194469.29999998212,0,0,4291,blue,true,left,3,91,right,orange,231,0
C41025,34,197235.19999998808,1,60,4231,blue,false,right,60,14,left,orange,255,0
C41025,35,200030.89999997616,1,84,4147,blue,true,right,54,84,right,blue,255,0
C41025,36,202806.29999998212,1,23,4124,blue,true,left,34,23,left,blue,151,0
C41025,37,205484.29999998212,1,28,4096,blue,true,left,96,28,left,blue,199,0
C41025,38,208218.89999997616,0,0,4096,blue,false,right,83,94,right,blue,246,0
C41025,39,210997.59999999404,0,0,4096,blue,true,left,63,86,right,orange,288,0
C41025,40,213812.59999999404,0,0,4096,blue,true,left,99,53,right,orange,473,0
C41025,41,216827.89999997616,0,0,4096,blue,true,right,29,91,left,orange,607,0
C41025,42,219965.19999998808,0,0,4096,blue,true,right,88,64,left,orange,421,0
C41025,43,222906.5,0,0,4096,blue,true,right,84,70,left,orange,420,0
C41025,44,225848.29999998212,0,0,4096,blue,false,left,61,88,left,blue,889,0
