Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C41822,1,101717,1,37,4963,blue,true,left,44,37,left,blue,1470,0
C41822,2,105715,1,12,4951,blue,true,left,66,12,left,blue,1185,0
C41822,3,109420,1,9,4942,blue,true,right,98,9,right,blue,1921,0
C41822,4,113860,1,20,4922,blue,false,left,20,91,right,orange,1121,0
C41822,5,117503,1,8,4914,blue,true,left,28,8,left,blue,1887,0
C41822,6,121909,0,0,4914,blue,true,right,30,33,left,orange,585,0
C41822,7,125007,0,0,4914,blue,true,left,27,24,right,orange,470,0
C41822,8,127992,1,58,4856,blue,false,right,58,43,left,orange,596,0
C41822,9,131108,1,47,4809,blue,true,left,72,47,left,blue,2064,0
C41822,10,135692,1,44,4765,blue,false,right,44,44,left,orange,590,0
C41822,11,138804,1,26,4739,blue,true,left,69,26,left,blue,1282,0
C41822,12,142605,0,0,4739,blue,true,left,6,41,right,orange,783,0
C41822,13,145902.00000000003,0,0,4739,blue,true,right,88,34,left,orange,774,0
C41822,14,149191,1,73,4666,blue,false,left,73,18,right,orange,2025,0
C41822,15,153738,0,0,4666,blue,true,left,60,25,right,orange,2728,0
C41822,16,158980,1,6,4660,blue,true,right,68,6,right,blue,1795,0
C41822,17,163294,1,48,4612,blue,false,left,48,39,right,orange,811,0
C41822,18,166626,0,0,4612,blue,true,right,35,76,left,orange,801,0
C41822,19,169942,0,0,4612,blue,true,right,23,85,left,orange,784,0
C41822,20,173241,0,0,4612,blue,true,left,54,22,right,orange,697,0
C41822,21,176452,1,66,4546,blue,false,left,66,58,right,orange,844,0
C41822,22,179818,0,0,4546,blue,true,left,98,41,right,orange,512,0
C41822,23,182848,0,0,4546,blue,true,left,58,80,right,orange,714,0
C41822,24,186078,0,0,4546,blue,true,right,32,85,left,orange,548,0
C41822,25,189140.00000000003,0,0,4546,blue,false,left,83,15,left,blue,1912,0
C41822,26,193571,1,16,4530,blue,true,right,18,16,right,blue,1230,0
C41822,27,197320,0,0,4530,blue,true,left,56,99,right,orange,536,0
C41822,28,200375,0,0,4530,blue,true,right,23,75,left,orange,510,0
C41822,29,203404,0,0,4530,blue,true,left,68,18,right,orange,540,0
C41822,30,206458,0,0,4530,blue,true,right,30,16,left,orange,504,0
C41822,31,209477,0,0,4530,blue,true,right,86,37,left,orange,546,0
C41822,32,212538,0,0,4530,blue,true,right,47,44,left,orange,524,0
C41822,33,215579,0,0,4530,blue,true,right,3,91,left,orange,561,0
C41822,34,218656,1,60,4470,blue,false,right,60,14,left,orange,507,0
C41822,35,221682.00000000003,0,0,4470,blue,true,right,54,84,left,orange,454,0
C41822,36,224654,0,0,4470,blue,true,right,34,23,left,orange,473,0
C41822,37,227646.00000000003,0,0,4470,blue,true,right,96,28,left,orange,534,0
C41822,38,230695,1,83,4387,blue,false,left,83,94,right,orange,1100,0
C41822,39,234319.00000000003,0,0,4387,blue,true,right,63,86,left,orange,641,0
C41822,40,237476,0,0,4387,blue,true,left,99,53,right,orange,535,0
C41822,41,240526,0,0,4387,blue,true,right,29,91,left,orange,533,0
C41822,42,243578,0,0,4387,blue,true,right,88,64,left,orange,623,0
C41822,43,246716,0,0,4387,blue,true,right,84,70,left,orange,482,0
C41822,44,249717,1,61,4326,blue,false,right,61,88,left,orange,519,0
C41822,45,252758,0,0,4326,blue,true,left,61,43,right,orange,669,0
C41822,46,255944.00000000003,0,0,4326,blue,true,left,87,54,right,orange,526,0
C41822,47,258985,1,5,4321,blue,false,left,5,90,right,orange,665,0
C41822,48,266176,1,44,4277,blue,true,right,71,44,right,blue,1721,0
C41822,49,270420,1,52,4225,blue,true,left,42,52,left,blue,894,0
