Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C41836,1,113149.39999985695,1,10,4990,blue,true,right,23,10,right,blue,1157,0
C41836,2,116846.59999990463,0,0,4990,blue,true,right,45,97,left,orange,871,0
C41836,3,120257.5,0,0,4990,blue,true,left,54,62,right,orange,1068,0
C41836,4,123863.39999985695,0,0,4990,blue,false,right,99,16,right,blue,1145,0
C41836,5,127539.39999985695,1,40,4950,blue,true,left,72,40,left,blue,915,0
C41836,6,130989.20000004768,0,0,4950,blue,true,left,98,88,right,orange,3348,0
C41836,7,136872.70000004768,0,0,4950,blue,true,left,6,54,right,orange,728,0
C41836,8,140142.09999990463,0,0,4950,blue,true,left,64,55,right,orange,1423,0
C41836,9,144100.59999990463,1,96,4854,blue,false,right,96,45,left,orange,1057,0
C41836,10,147701.29999995232,1,19,4835,blue,true,left,28,19,left,blue,1157,0
C41836,11,151401.5,1,26,4809,blue,true,right,95,26,right,blue,711,0
C41836,12,154649.59999990463,1,29,4780,blue,true,left,90,29,left,blue,1257,0
C41836,13,158444.39999985695,0,0,4780,blue,true,left,20,53,right,orange,1073,0
C41836,14,162057.70000004768,0,0,4780,blue,true,left,74,56,right,orange,957,0
C41836,15,165538.39999985695,0,0,4780,blue,true,left,18,42,right,orange,694,0
C41836,16,168767.29999995232,0,0,4780,blue,true,right,11,91,left,orange,593,0
C41836,17,171915.5,1,32,4748,blue,false,right,32,31,left,orange,1031,0
C41836,18,175479.79999995232,0,0,4748,blue,true,left,36,65,right,orange,1024,0
C41836,19,179037.09999990463,1,40,4708,blue,false,left,40,30,right,orange,946,0
C41836,20,182514.20000004768,0,0,4708,blue,true,right,29,26,left,orange,1248,0
C41836,21,197337.09999990463,1,32,4676,blue,false,left,32,36,right,orange,908,2
C41836,22,200788.5,1,81,4595,blue,true,right,72,81,right,blue,887,0
C41836,23,204209.39999985695,0,0,4595,blue,false,left,95,54,left,blue,812,0
C41836,24,207549.5,0,0,4595,blue,false,left,40,59,left,blue,422,0
C41836,25,210504.5,0,0,4595,blue,false,right,29,24,right,blue,1069,0
C41836,26,214107.70000004768,0,0,4595,blue,false,right,60,51,right,blue,1135,0
C41836,27,217771,0,0,4595,blue,false,right,83,65,right,blue,765,0
C41836,28,221073.09999990463,1,98,4497,blue,true,left,78,98,left,blue,612,0
C41836,29,224235.39999985695,1,56,4441,blue,false,right,56,51,left,orange,1170,0
C41836,30,227946.70000004768,1,5,4436,blue,false,right,5,20,left,orange,1218,0
C41836,31,231687,0,0,4436,blue,false,left,67,2,left,blue,650,0
C41836,32,234868.89999985695,0,0,4436,blue,false,right,85,84,right,blue,890,0
C41836,33,238301.39999985695,0,0,4436,blue,true,right,7,49,left,orange,1205,0
C41836,34,242035.5,1,37,4399,blue,false,right,37,47,left,orange,1383,0
C41836,35,245954.59999990463,1,27,4372,blue,false,right,27,91,left,orange,1101,0
C41836,36,249596.59999990463,1,44,4328,blue,false,left,44,42,right,orange,928,0
C41836,37,253067.59999990463,0,0,4328,blue,true,right,31,55,left,orange,571,0
C41836,38,256156.70000004768,1,97,4231,blue,false,left,97,70,right,orange,1166,0
C41836,39,259855.70000004768,0,0,4231,blue,false,left,14,9,left,blue,474,0
C41836,40,262867.5,0,0,4231,blue,true,left,23,51,right,orange,1146,0
C41836,41,266546.2999999523,0,0,4231,blue,true,left,89,79,right,orange,466,0
C41836,42,269546,0,0,4231,blue,true,left,83,86,right,orange,1209,0
C41836,43,273298.89999985695,0,0,4231,blue,true,left,40,62,right,orange,1010,0
C41836,44,276841,0,0,4231,blue,true,right,36,23,left,orange,575,0
C41836,45,279949.09999990463,1,61,4170,blue,true,right,65,61,right,blue,1123,0
C41836,46,283621.2999999523,0,0,4170,blue,true,left,74,67,right,orange,648,0
C41836,47,286801.5,0,0,4170,blue,true,right,73,41,left,orange,985,0
C41836,48,294338.7999999523,1,96,4074,blue,false,left,96,54,right,orange,1038,0
C41836,49,297908.7000000477,1,88,3986,blue,true,right,86,88,right,blue,697,0
C41836,50,301131.89999985695,0,0,3986,blue,true,left,43,66,right,orange,872,0
C41836,51,304526.7000000477,0,0,3986,blue,true,left,72,79,right,orange,754,0
C41836,52,307804,1,71,3915,blue,false,left,71,13,right,orange,836,0
C41836,53,311171.2999999523,1,53,3862,blue,true,left,78,53,left,blue,881,0
C41836,54,314586.89999985695,0,0,3862,blue,true,right,57,90,left,orange,1047,0
