Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C41916,1,197035.77499999665,1,10,4990,blue,true,left,23,10,left,blue,2593,0
C41916,2,202147.31999998912,1,97,4893,blue,true,left,45,97,left,blue,1823,0
C41916,3,206490.40499998955,1,62,4831,blue,true,right,54,62,right,blue,493,0
C41916,4,209500.27999997837,1,99,4732,blue,false,left,99,16,right,orange,1140,0
C41916,5,213159.3250000151,0,0,4732,blue,true,right,72,40,left,orange,923,0
C41916,6,216601.00999998394,0,0,4732,blue,true,right,98,88,left,orange,672,0
C41916,7,219787.9799999646,0,0,4732,blue,true,left,6,54,right,orange,542,0
C41916,8,222844.40499998163,0,0,4732,blue,true,left,64,55,right,orange,590,0
C41916,9,225947.87999999244,1,96,4636,blue,false,right,96,45,left,orange,403,0
C41916,10,228868.72500000754,0,0,4636,blue,true,left,28,19,right,orange,451,0
C41916,11,231833.16999999806,0,0,4636,blue,true,right,95,26,left,orange,442,0
C41916,12,234788.98999997182,0,0,4636,blue,true,right,90,29,left,orange,407,0
C41916,13,237711.08499995898,0,0,4636,blue,true,right,20,53,left,orange,385,0
C41916,14,240610.92000000644,0,0,4636,blue,true,right,74,56,left,orange,700,0
C41916,15,243823.470000003,0,0,4636,blue,true,left,18,42,right,orange,516,0
C41916,16,246856.75500001526,0,0,4636,blue,true,right,11,91,left,orange,446,0
C41916,17,249822.58499995805,1,32,4604,blue,false,right,32,31,left,orange,394,0
C41916,18,252734.01499999454,0,0,4604,blue,true,left,36,65,right,orange,402,0
C41916,19,255652.7950000018,1,40,4564,blue,false,right,40,30,left,orange,487,0
C41916,20,258657.08999999333,0,0,4564,blue,true,right,29,26,left,orange,488,0
C41916,21,261659.89499998977,1,32,4532,blue,false,left,32,36,right,orange,509,0
C41916,22,264686.90999998944,0,0,4532,blue,true,left,72,81,right,orange,431,0
C41916,23,267633.4049999714,1,95,4437,blue,false,right,95,54,left,orange,484,0
C41916,24,270633.30499996664,1,40,4397,blue,false,right,40,59,left,orange,515,0
C41916,25,273665.6399999629,1,29,4368,blue,false,left,29,24,right,orange,429,0
C41916,26,276611.5700000082,1,60,4308,blue,false,right,60,51,left,orange,386,0
C41916,27,279513.7499999837,1,83,4225,blue,false,right,83,65,left,orange,421,0
C41916,28,282452.5249999715,0,0,4225,blue,true,left,78,98,right,orange,416,0
C41916,29,285380.76999998884,1,56,4169,blue,false,left,56,51,right,orange,411,0
C41916,30,288309.42000000505,1,5,4164,blue,false,left,5,20,right,orange,512,0
C41916,31,291340.91500000795,1,67,4097,blue,false,right,67,2,left,orange,493,0
C41916,32,294350.5749999895,1,85,4012,blue,false,left,85,84,right,orange,420,0
C41916,33,297287.33999998076,0,0,4012,blue,true,left,7,49,right,orange,406,0
C41916,34,300207.2399999597,1,37,3975,blue,false,right,37,47,left,orange,554,0
C41916,35,303280.6799999671,1,27,3948,blue,false,left,27,91,right,orange,448,0
C41916,36,306246.31999997655,0,0,3948,blue,false,left,44,42,left,blue,668,0
C41916,37,309426.64499999955,1,55,3893,blue,true,right,31,55,right,blue,509,0
C41916,38,312453.86999996845,1,97,3796,blue,false,right,97,70,left,orange,462,0
C41916,39,315433.7700000033,1,14,3782,blue,false,left,14,9,right,orange,430,0
C41916,40,318381.27499999246,0,0,3782,blue,true,right,23,51,left,orange,397,0
