Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C41936,1,107748,1,37,4963,blue,true,left,44,37,left,blue,811,0
C41936,2,111127.99500000001,1,12,4951,blue,true,left,66,12,left,blue,671,0
C41936,3,114351.995,0,0,4951,blue,true,left,98,9,right,orange,609,0
C41936,4,117505.00000000001,1,20,4931,blue,false,left,20,91,right,orange,537,0
C41936,5,120595.00000000001,0,0,4931,blue,true,right,28,8,left,orange,679,0
C41936,6,123832.00000000001,1,33,4898,blue,true,right,30,33,right,blue,896,0
C41936,7,127305.99500000001,0,0,4898,blue,true,right,27,24,left,orange,993,0
C41936,8,130839.99500000001,1,58,4840,blue,false,right,58,43,left,orange,592,0
C41936,9,134020,0,0,4840,blue,true,left,72,47,right,orange,709,0
C41936,10,137270,1,44,4796,blue,false,left,44,44,right,orange,666,0
C41936,11,140483.99500000002,1,26,4770,blue,true,left,69,26,left,blue,672,0
C41936,12,143703.99500000002,1,41,4729,blue,true,left,6,41,left,blue,1023,0
C41936,13,147271.00000000003,0,0,4729,blue,true,left,88,34,right,orange,807,0
C41936,14,150627.995,1,73,4656,blue,false,right,73,18,left,orange,660,0
C41936,15,153847,0,0,4656,blue,true,right,60,25,left,orange,1525,0
C41936,16,157908.995,0,0,4656,blue,true,left,68,6,right,orange,519,0
C41936,17,160968.995,1,48,4608,blue,false,right,48,39,left,orange,870,0
C41936,18,164400.99500000002,1,76,4532,blue,true,right,35,76,right,blue,806,0
C41936,19,167779.00000000003,1,85,4447,blue,true,left,23,85,left,blue,693,0
C41936,20,171029.99500000002,0,0,4447,blue,true,left,54,22,right,orange,720,0
C41936,21,174309.00000000003,0,0,4447,blue,false,left,66,58,left,blue,876,0
C41936,22,177713.00000000003,1,41,4406,blue,true,left,98,41,left,blue,515,0
C41936,23,180794.99500000002,1,80,4326,blue,true,right,58,80,right,blue,631,0
C41936,24,183987.00000000003,1,85,4241,blue,true,left,32,85,left,blue,445,0
C41936,25,186982.00000000003,1,83,4158,blue,false,right,83,15,left,orange,529,0
C41936,26,190069.00000000003,1,16,4142,blue,true,right,18,16,right,blue,449,0
C41936,27,193065.00000000003,1,99,4043,blue,true,right,56,99,right,blue,984,0
C41936,28,196593.995,0,0,4043,blue,true,left,23,75,right,orange,1140,0
C41936,29,200275,0,0,4043,blue,true,left,68,18,right,orange,676,0
C41936,30,203510.995,0,0,4043,blue,true,left,30,16,right,orange,1015,0
C41936,31,207062,0,0,4043,blue,true,right,86,37,left,orange,675,0
C41936,32,210286.00000000003,0,0,4043,blue,true,right,47,44,left,orange,1292,0
C41936,33,214127,0,0,4043,blue,true,right,3,91,left,orange,1677,0
C41936,34,218346.00000000003,1,60,3983,blue,false,left,60,14,right,orange,819,0
C41936,35,221710.99500000002,1,84,3899,blue,true,left,54,84,left,blue,645,0
