Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C42198,1,208795.5,1,37,4963,blue,true,left,44,37,left,blue,1270,0
C42198,2,212636.39999999944,0,0,4963,blue,true,right,66,12,left,orange,1664,0
C42198,3,216852.19999999925,0,0,4963,blue,true,right,98,9,left,orange,481,0
C42198,4,219896.2999999998,0,0,4963,blue,false,right,20,91,right,blue,515,0
C42198,5,222968.39999999944,1,8,4955,blue,true,right,28,8,right,blue,447,0
C42198,6,226001.09999999963,1,33,4922,blue,true,left,30,33,left,blue,681,0
C42198,7,229248.2999999998,1,24,4898,blue,true,right,27,24,right,blue,1686,0
C42198,8,233497.7999999998,0,0,4898,blue,false,right,58,43,right,blue,587,0
C42198,9,236647.59999999963,1,47,4851,blue,true,right,72,47,right,blue,445,0
C42198,10,239646,0,0,4851,blue,false,right,44,44,right,blue,985,0
C42198,11,243178.2999999998,0,0,4851,blue,true,right,69,26,left,orange,880,0
C42198,12,246613.2999999998,0,0,4851,blue,true,right,6,41,left,orange,549,0
C42198,13,249709.89999999944,0,0,4851,blue,true,left,88,34,right,orange,1120,0
C42198,14,253392.39999999944,0,0,4851,blue,false,left,73,18,left,blue,511,0
C42198,15,256454.19999999925,1,25,4826,blue,true,left,60,25,left,blue,597,0
C42198,16,259619.39999999944,1,6,4820,blue,true,right,68,6,right,blue,1822,0
C42198,17,264001.89999999944,1,48,4772,blue,false,right,48,39,left,orange,1007,0
C42198,18,267566.5999999996,1,76,4696,blue,true,right,35,76,right,blue,1008,0
C42198,19,271157.5,0,0,4696,blue,true,left,23,85,right,orange,408,0
C42198,20,274113.2999999998,0,0,4696,blue,true,left,54,22,right,orange,631,0
C42198,21,277291.7999999998,1,66,4630,blue,false,right,66,58,left,orange,1007,0
C42198,22,280860.7999999998,1,41,4589,blue,true,right,98,41,right,blue,1830,0
C42198,23,285247,0,0,4589,blue,true,right,58,80,left,orange,2516,0
C42198,24,290316.5999999996,0,0,4589,blue,true,right,32,85,left,orange,396,0
C42198,25,293260.19999999925,1,83,4506,blue,false,right,83,15,left,orange,898,0
C42198,26,296733,0,0,4506,blue,true,left,18,16,right,orange,1938,0
C42198,27,301209,1,99,4407,blue,true,right,56,99,right,blue,1111,0
C42198,28,304887.69999999925,1,75,4332,blue,true,left,23,75,left,blue,553,0
C42198,29,307988.39999999944,1,18,4314,blue,true,left,68,18,left,blue,797,0
C42198,30,311345.0999999996,0,0,4314,blue,true,right,30,16,left,orange,1023,0
C42198,31,314914.39999999944,0,0,4314,blue,true,right,86,37,left,orange,425,0
C42198,32,317890.2999999998,0,0,4314,blue,true,right,47,44,left,orange,466,0
C42198,33,320897.19999999925,1,91,4223,blue,true,right,3,91,right,blue,406,0
C42198,34,323859.39999999944,0,0,4223,blue,false,right,60,14,right,blue,1462,0
C42198,35,327868.69999999925,0,0,4223,blue,true,right,54,84,left,orange,668,0
C42198,36,331083.19999999925,1,23,4200,blue,true,right,34,23,right,blue,776,0
C42198,37,334425.5,0,0,4200,blue,true,left,96,28,right,orange,570,0
C42198,38,337542.5999999996,1,83,4117,blue,false,right,83,94,left,orange,856,0
C42198,39,340950.7999999998,0,0,4117,blue,true,right,63,86,left,orange,792,0
C42198,40,344294.39999999944,1,53,4064,blue,true,right,99,53,right,blue,1801,0
C42198,41,348645.7999999998,1,91,3973,blue,true,right,29,91,right,blue,1058,0
C42198,42,352265.5,0,0,3973,blue,true,left,88,64,right,orange,1001,0
C42198,43,355811.19999999925,0,0,3973,blue,true,left,84,70,right,orange,487,0
C42198,44,358850,1,61,3912,blue,false,right,61,88,left,orange,509,0
C42198,45,361918,0,0,3912,blue,true,right,61,43,left,orange,1603,0
C42198,46,366059.5999999996,1,54,3858,blue,true,right,87,54,right,blue,487,0
