Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C42451,1,380315,1,10,4990,blue,true,right,23,10,right,blue,1527,0
C42451,2,384422,0,0,4990,blue,true,left,45,97,right,orange,1824,0
C42451,3,388812,0,0,4990,blue,true,left,54,62,right,orange,1292,0
C42451,4,392667,0,0,4990,blue,false,right,99,16,right,blue,815,0
C42451,5,396039,1,40,4950,blue,true,right,72,40,right,blue,873,0
C42451,6,399476,0,0,4950,blue,true,right,98,88,left,orange,1303,0
C42451,7,403316,0,0,4950,blue,true,left,6,54,right,orange,805,0
C42451,8,406687,0,0,4950,blue,true,right,64,55,left,orange,1153,0
C42451,9,410403,0,0,4950,blue,false,left,96,45,left,blue,878,0
C42451,10,413862,0,0,4950,blue,true,left,28,19,right,orange,665,0
C42451,11,417099,1,26,4924,blue,true,right,95,26,right,blue,867,0
C42451,12,420534,1,29,4895,blue,true,right,90,29,right,blue,1059,0
C42451,13,424158,0,0,4895,blue,true,left,20,53,right,orange,597,0
C42451,14,427303,0,0,4895,blue,true,left,74,56,right,orange,644,0
C42451,15,430497,0,0,4895,blue,true,left,18,42,right,orange,580,0
C42451,16,433641,0,0,4895,blue,true,left,11,91,right,orange,533,0
C42451,17,436733,1,32,4863,blue,false,left,32,31,right,orange,720,0
C42451,18,440040,0,0,4863,blue,true,left,36,65,right,orange,614,0
C42451,19,443231,1,40,4823,blue,false,right,40,30,left,orange,664,0
C42451,20,446452,0,0,4823,blue,true,left,29,26,right,orange,658,0
C42451,21,449672,1,32,4791,blue,false,right,32,36,left,orange,822,0
C42451,22,453066,0,0,4791,blue,true,left,72,81,right,orange,1243,0
C42451,23,456872,0,0,4791,blue,false,left,95,54,left,blue,798,0
C42451,24,460211,1,40,4751,blue,false,right,40,59,left,orange,1171,0
C42451,25,463933,0,0,4751,blue,false,right,29,24,right,blue,653,0
C42451,26,467154,0,0,4751,blue,false,left,60,51,left,blue,758,0
C42451,27,470479,0,0,4751,blue,false,left,83,65,left,blue,910,0
C42451,28,473945,0,0,4751,blue,true,right,78,98,left,orange,875,0
C42451,29,477369,0,0,4751,blue,false,left,56,51,left,blue,646,0
C42451,30,480573,0,0,4751,blue,false,left,5,20,left,blue,657,0
C42451,31,483801,0,0,4751,blue,false,right,67,2,right,blue,499,0
C42451,32,486870,0,0,4751,blue,false,left,85,84,left,blue,935,0
C42451,33,490340,1,49,4702,blue,true,right,7,49,right,blue,808,0
C42451,34,493714,0,0,4702,blue,false,right,37,47,right,blue,624,0
C42451,35,496885,1,27,4675,blue,false,left,27,91,right,orange,868,0
C42451,36,500312,0,0,4675,blue,false,right,44,42,right,blue,645,0
C42451,37,503521,1,55,4620,blue,true,right,31,55,right,blue,820,0
C42451,38,506906,0,0,4620,blue,false,right,97,70,right,blue,851,0
C42451,39,510331,0,0,4620,blue,false,left,14,9,left,blue,538,0
C42451,40,513437,1,51,4569,blue,true,left,23,51,left,blue,632,0
C42451,41,516624,1,79,4490,blue,true,left,89,79,left,blue,1021,0
C42451,42,520211,1,86,4404,blue,true,right,83,86,right,blue,890,0
C42451,43,523670,0,0,4404,blue,true,left,40,62,right,orange,560,0
C42451,44,526776,0,0,4404,blue,true,right,36,23,left,orange,727,0
C42451,45,530067,0,0,4404,blue,true,right,65,61,left,orange,788,0
C42451,46,533419,0,0,4404,blue,true,left,74,67,right,orange,609,0
C42451,47,536589,0,0,4404,blue,true,right,73,41,left,orange,577,0
C42451,48,543747,0,0,4404,blue,false,right,96,54,right,blue,1481,0
C42451,49,547794,1,88,4316,blue,true,left,86,88,left,blue,717,0
