Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43236,1,176064.22861112072,0,0,5000,blue,true,left,23,10,right,orange,3026,0
C43236,2,181638.7285690941,0,0,5000,blue,true,right,45,97,left,orange,697,0
C43236,3,184870.7286988006,0,0,5000,blue,true,right,54,62,left,orange,368,0
C43236,4,187771.22845282758,1,99,4901,blue,false,right,99,16,left,orange,862,0
C43236,5,191200.92859614472,1,40,4861,blue,true,left,72,40,left,blue,299,0
C43236,6,194066.82871445923,0,0,4861,blue,true,right,98,88,left,orange,360,0
C43236,7,196967.52857489674,0,0,4861,blue,true,left,6,54,right,orange,322,0
C43236,8,199855.22877197384,0,0,4861,blue,true,left,64,55,right,orange,391,0
C43236,9,202776.32839296633,1,96,4765,blue,false,right,96,45,left,orange,376,0
C43236,10,205698.32870613926,0,0,4765,blue,true,left,28,19,right,orange,403,0
C43236,11,208664.22869645394,0,0,4765,blue,true,right,95,26,left,orange,352,0
C43236,12,211565.22850317418,0,0,4765,blue,true,right,90,29,left,orange,346,0
C43236,13,214447.7284935742,0,0,4765,blue,true,left,20,53,right,orange,1219,0
C43236,14,218213.02842065695,0,0,4765,blue,true,left,74,56,right,orange,372,0
C43236,15,221119.12859418205,0,0,4765,blue,true,left,18,42,right,orange,389,0
C43236,16,224072.42870729126,0,0,4765,blue,true,left,11,91,right,orange,919,0
C43236,17,227537.12869914193,1,32,4733,blue,false,left,32,31,right,orange,380,0
C43236,18,230462.62852783548,0,0,4733,blue,true,right,36,65,left,orange,341,0
C43236,19,233337.42847475823,1,40,4693,blue,false,right,40,30,left,orange,373,0
C43236,20,236261.5284119103,0,0,4693,blue,true,right,29,26,left,orange,363,0
C43236,21,239155.7284406676,1,32,4661,blue,false,right,32,36,left,orange,635,0
C43236,22,242334.92863795801,1,81,4580,blue,true,right,72,81,right,blue,394,0
C43236,23,245294.6287428752,1,95,4485,blue,false,left,95,54,right,orange,336,0
C43236,24,248201.82843499293,1,40,4445,blue,false,right,40,59,left,orange,427,0
C43236,25,251179.12851738217,0,0,4445,blue,false,right,29,24,right,blue,321,0
C43236,26,254047.82841877962,0,0,4445,blue,false,right,60,51,right,blue,371,0
C43236,27,256967.62841476896,0,0,4445,blue,false,left,83,65,left,blue,442,0
C43236,28,259945.62865626198,0,0,4445,blue,true,left,78,98,right,orange,539,0
C43236,29,263034.1285963154,0,0,4445,blue,false,right,56,51,right,blue,388,0
C43236,30,265981.228397361,0,0,4445,blue,false,left,5,20,left,blue,367,0
C43236,31,268918.4286910779,0,0,4445,blue,false,left,67,2,left,blue,388,0
C43236,32,271852.22845581424,1,85,4360,blue,false,left,85,84,right,orange,513,0
C43236,33,274907.42838515836,1,49,4311,blue,true,left,7,49,left,blue,303,0
C43236,34,277760.9287326779,0,0,4311,blue,false,right,37,47,right,blue,408,0
C43236,35,280707.3288012858,0,0,4311,blue,false,right,27,91,right,blue,345,0
C43236,36,283626.7285844541,0,0,4311,blue,false,left,44,42,left,blue,329,0
C43236,37,286512.22846434754,1,55,4256,blue,true,right,31,55,right,blue,371,0
C43236,38,289452.9287002513,0,0,4256,blue,false,right,97,70,right,blue,454,0
C43236,39,292443.628658822,0,0,4256,blue,false,left,14,9,left,blue,412,0
C43236,40,295391.7285652541,1,51,4205,blue,true,left,23,51,left,blue,379,0
C43236,41,298322.3287607525,1,79,4126,blue,true,left,89,79,left,blue,300,0
C43236,42,301167.6285854354,0,0,4126,blue,true,left,83,86,right,orange,937,0
C43236,43,304644.9284544916,0,0,4126,blue,true,right,40,62,left,orange,1707,0
C43236,44,308900.2283943743,0,0,4126,blue,true,right,36,23,left,orange,1400,0
C43236,45,312850.7287244006,0,0,4126,blue,true,left,65,61,right,orange,699,0
C43236,46,316087.128635142,0,0,4126,blue,true,right,74,67,left,orange,1039,0
C43236,47,319665.22880184045,0,0,4126,blue,true,right,73,41,left,orange,265,0
C43236,48,326497.1287503419,0,0,4126,blue,false,right,96,54,right,blue,598,0
C43236,49,329640.52867345663,1,88,4038,blue,true,left,86,88,left,blue,358,0
C43236,50,332544.1285835154,0,0,4038,blue,true,right,43,66,left,orange,532,0
C43236,51,335627.22863714734,0,0,4038,blue,true,right,72,79,left,orange,392,0
C43236,52,338556.6286208487,1,71,3967,blue,false,right,71,13,left,orange,359,0
C43236,53,341482.6285022355,1,53,3914,blue,true,left,78,53,left,blue,385,0
C43236,54,344417.4287990245,0,0,3914,blue,true,left,57,90,right,orange,340,0
C43236,55,347296.22874082723,1,3,3911,blue,false,left,3,12,right,orange,419,0
C43236,56,350289.1285899154,0,0,3911,blue,true,left,2,64,right,orange,387,0
C43236,57,353213.62873988854,1,9,3902,blue,true,right,99,9,right,blue,469,0
C43236,58,356250.82847893954,0,0,3902,blue,true,right,21,42,left,orange,428,0
C43236,59,359231.82860992604,0,0,3902,blue,true,right,83,72,left,orange,523,0
C43236,60,362297.02873980323,0,0,3902,blue,true,left,37,11,right,orange,449,0
C43236,61,365313.92855817143,1,67,3835,blue,false,right,67,81,left,orange,1131,0
C43236,62,368985.3286587793,0,0,3835,blue,true,left,12,14,right,orange,254,0
C43236,63,371786.9284860649,1,78,3757,blue,false,left,78,90,right,orange,393,0
C43236,64,374720.5285710568,0,0,3757,blue,false,right,46,53,right,blue,427,0
C43236,65,377683.3284053396,1,30,3727,blue,false,right,30,42,left,orange,737,0
C43236,66,380986.828390193,0,0,3727,blue,false,left,36,65,left,blue,514,0
C43236,67,384040.02853543014,1,49,3678,blue,false,right,49,49,left,orange,433,0
C43236,68,387041.8286397927,1,44,3634,blue,false,left,44,10,right,orange,637,0
C43236,69,390231.82860992604,0,0,3634,blue,false,left,70,64,left,blue,342,0
C43236,70,393128.0284227903,0,0,3634,blue,false,right,68,95,right,blue,344,0
C43236,71,396010.7285196008,0,0,3634,blue,false,right,38,46,right,blue,530,0
C43236,72,399083.128640262,0,0,3634,blue,false,left,18,24,left,blue,588,0
C43236,73,402214.628418609,0,0,3634,blue,false,left,82,78,left,blue,1146,0
C43236,74,405894.4287217979,1,59,3575,blue,false,left,59,54,right,orange,1021,0
C43236,75,409464.52847207023,0,0,3575,blue,false,right,36,33,right,blue,474,0
C43236,76,412477.8285083795,1,56,3519,blue,true,left,49,56,left,blue,414,0
C43236,77,415461.42874270456,0,0,3519,blue,false,right,26,83,right,blue,423,0
C43236,78,418420.6287949285,0,0,3519,blue,false,right,38,81,right,blue,472,0
C43236,79,421431.62867418193,0,0,3519,blue,false,right,12,3,right,blue,423,0
C43236,80,424382.42852382484,0,0,3519,blue,false,left,62,38,left,blue,535,0
C43236,81,427450.1284905022,0,0,3519,blue,false,right,43,50,right,blue,379,0
C43236,82,430390.3286737126,0,0,3519,blue,false,left,50,47,left,blue,293,0
C43236,83,433226.32845696626,1,35,3484,blue,true,right,41,35,right,blue,371,0
C43236,84,436166.7287465872,0,0,3484,blue,false,right,9,62,right,blue,438,0
C43236,85,439138.9284621716,0,0,3484,blue,false,left,60,58,left,blue,379,0
C43236,86,442059.5284571369,0,0,3484,blue,false,right,88,31,right,blue,335,0
C43236,87,444940.92850227817,0,0,3484,blue,false,left,56,44,left,blue,362,0
C43236,88,447846.4287832378,1,15,3469,blue,true,right,31,15,right,blue,804,0
C43236,89,451222.3284620862,0,0,3469,blue,false,right,90,31,right,blue,614,0
C43236,90,454377.3285836861,0,0,3469,blue,false,right,80,76,right,blue,387,0
C43236,91,457314.2285044542,0,0,3469,blue,false,right,78,4,right,blue,361,0
C43236,92,460218.628413489,0,0,3469,blue,false,right,60,28,right,blue,283,0
C43236,93,463053.32857173943,1,99,3370,blue,true,left,56,99,left,blue,405,0
C43236,94,470026.62865924864,0,0,3370,blue,false,left,31,45,left,blue,2106,0
C43236,95,474684.32851072616,0,0,3370,blue,false,left,55,16,left,blue,250,0
C43236,96,477471.228410161,1,89,3281,blue,true,right,12,89,right,blue,349,0
C43236,97,480381.5286849766,1,49,3232,blue,false,right,49,4,left,orange,622,0
C43236,98,483563.22871906723,0,0,3232,blue,false,right,69,12,right,blue,412,0
C43236,99,486503.42847561155,1,26,3206,blue,true,left,49,26,left,blue,362,0
C43236,100,489434.828670086,1,75,3131,blue,false,left,75,76,right,orange,411,0
C43236,101,492393.1284567956,0,0,3131,blue,false,right,22,90,right,blue,378,0
C43236,102,495308.72877816046,1,23,3108,blue,true,left,26,23,left,blue,561,0
C43236,103,498438.02866599,1,11,3097,blue,false,left,11,68,right,orange,783,0
C43236,104,501786.2287536272,1,82,3015,blue,true,left,71,82,left,blue,430,0
C43236,105,504766.5287255099,1,86,2929,blue,false,left,86,95,right,orange,348,0
C43236,106,507679.6287834085,0,0,2929,blue,false,right,79,88,right,blue,364,0
C43236,107,510578.8284857662,1,75,2854,blue,false,left,75,40,right,orange,381,0
C43236,108,513502.9284229183,0,0,2854,blue,false,right,11,94,right,blue,315,0
C43236,109,516382.9285765181,1,44,2810,blue,true,left,53,44,left,blue,903,0
C43236,110,519837.0284752702,0,0,2810,blue,false,right,85,17,right,blue,275,0
C43236,111,522652.0286054034,1,32,2778,blue,true,right,85,32,right,blue,1045,0
C43236,112,526261.4285720381,0,0,2778,blue,false,right,38,68,right,blue,437,0
C43236,113,529234.8284994195,0,0,2778,blue,false,left,28,93,left,blue,779,0
C43236,114,532559.8286167527,0,0,2778,blue,false,right,13,95,right,blue,342,0
C43236,115,535437.7287197072,0,0,2778,blue,false,left,69,60,left,blue,552,0
C43236,116,538525.0284479635,1,95,2683,blue,true,right,56,95,right,blue,397,0
C43236,117,541460.028424497,0,0,2683,blue,false,right,2,41,right,blue,116,0
C43236,118,544107.8287686459,0,0,2683,blue,false,right,42,5,right,blue,432,0
C43236,119,547079.528431537,0,0,2683,blue,false,right,44,30,right,blue,352,0
C43236,120,549979.228613254,0,0,2683,blue,false,left,79,4,left,blue,472,0
C43236,121,552997.1285370088,0,0,2683,blue,false,right,83,87,right,blue,362,0
C43236,122,555932.1285135421,0,0,2683,blue,false,left,59,44,left,blue,388,0
C43236,123,558867.7288093071,1,10,2673,blue,true,right,15,10,right,blue,1025,0
C43236,124,562440.4286629179,1,60,2613,blue,false,left,60,15,right,orange,255,0
C43236,125,565255.4287930512,1,73,2540,blue,false,left,73,25,right,orange,428,0
C43236,126,568237.028389937,0,0,2540,blue,false,left,43,23,left,blue,346,0
C43236,127,571135.2284135743,0,0,2540,blue,false,right,22,87,right,blue,585,0
C43236,128,574251.02858535,1,77,2463,blue,true,left,27,77,left,blue,394,0
C43236,129,577214.0285260435,0,0,2463,blue,false,right,99,35,right,blue,369,0
C43236,130,580121.1288049552,1,39,2424,blue,true,right,49,39,right,blue,338,0
C43236,131,583006.1286321554,0,0,2424,blue,false,left,83,60,left,blue,472,0
C43236,132,586025.0286612967,1,54,2370,blue,true,right,61,54,right,blue,440,0
C43236,133,589035.7285942674,0,0,2370,blue,false,left,82,34,left,blue,399,0
C43236,134,591976.6285099155,0,0,2370,blue,false,left,96,86,left,blue,365,0
C43236,135,594874.6284271423,0,0,2370,blue,false,left,65,27,left,blue,340,0
C43236,136,597757.2286840806,0,0,2370,blue,false,left,63,93,left,blue,268,0
C43236,137,600558.1287789285,0,0,2370,blue,false,left,65,40,left,blue,568,0
C43236,138,603665.1285353021,0,0,2370,blue,false,right,7,69,right,blue,413,0
C43236,139,606609.928605958,1,28,2342,blue,true,right,94,28,right,blue,408,0
C43236,140,609580.1285374354,0,0,2342,blue,false,left,90,4,left,blue,478,0
