Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43310,1,131557.10000002384,1,37,4963,blue,true,left,44,37,left,blue,1470,0
C43310,2,135558.39999997616,1,12,4951,blue,true,right,66,12,right,blue,1088,0
C43310,3,139197.39999997616,1,9,4942,blue,true,left,98,9,left,blue,1210,0
C43310,4,142937.20000004768,1,20,4922,blue,false,left,20,91,right,orange,1448,0
C43310,5,146920.20000004768,0,0,4922,blue,true,left,28,8,right,orange,701,0
C43310,6,150155.29999995232,0,0,4922,blue,true,right,30,33,left,orange,919,0
C43310,7,153605.39999997616,0,0,4922,blue,true,left,27,24,right,orange,526,0
C43310,8,156652.70000004768,1,58,4864,blue,false,right,58,43,left,orange,1014,0
C43310,9,160209.29999995232,0,0,4864,blue,true,left,72,47,right,orange,999,0
C43310,10,163741,1,44,4820,blue,false,left,44,44,right,orange,896,0
C43310,11,167172.70000004768,1,26,4794,blue,true,right,69,26,right,blue,1692,0
C43310,12,171390.70000004768,0,0,4794,blue,true,left,6,41,right,orange,638,0
C43310,13,174557,0,0,4794,blue,true,left,88,34,right,orange,791,0
C43310,14,177884.29999995232,1,73,4721,blue,false,left,73,18,right,orange,1249,0
C43310,15,181673.29999995232,0,0,4721,blue,true,left,60,25,right,orange,1431,0
C43310,16,185646.60000002384,0,0,4721,blue,true,right,68,6,left,orange,1069,0
C43310,17,189236.89999997616,1,48,4673,blue,false,right,48,39,left,orange,975,0
C43310,18,192747.10000002384,0,0,4673,blue,true,right,35,76,left,orange,773,0
C43310,19,196060,0,0,4673,blue,true,left,23,85,right,orange,826,0
C43310,20,199434.5,0,0,4673,blue,true,left,54,22,right,orange,751,0
C43310,21,202724.20000004768,1,66,4607,blue,false,left,66,58,right,orange,827,0
C43310,22,206092.20000004768,1,41,4566,blue,true,right,98,41,right,blue,1255,0
C43310,23,209876.89999997616,0,0,4566,blue,true,right,58,80,left,orange,889,0
C43310,24,213284.60000002384,0,0,4566,blue,true,right,32,85,left,orange,808,0
C43310,25,216619,0,0,4566,blue,false,right,83,15,right,blue,1514,0
C43310,26,220673.39999997616,0,0,4566,blue,true,left,18,16,right,orange,1552,0
C43310,27,224762.89999997616,0,0,4566,blue,true,left,56,99,right,orange,794,0
C43310,28,228106.79999995232,0,0,4566,blue,true,right,23,75,left,orange,708,0
C43310,29,231340.29999995232,1,18,4548,blue,true,left,68,18,left,blue,591,0
C43310,30,234470.20000004768,1,16,4532,blue,true,left,30,16,left,blue,1714,0
C43310,31,238725.29999995232,0,0,4532,blue,true,left,86,37,right,orange,910,0
C43310,32,242173.20000004768,0,0,4532,blue,true,left,47,44,right,orange,886,0
C43310,33,245573.79999995232,0,0,4532,blue,true,right,3,91,left,orange,599,0
C43310,34,248697.70000004768,1,60,4472,blue,false,right,60,14,left,orange,1378,0
C43310,35,252601.79999995232,0,0,4472,blue,true,right,54,84,left,orange,902,0
C43310,36,256038,0,0,4472,blue,true,left,34,23,right,orange,554,0
C43310,37,259119.39999997616,0,0,4472,blue,true,left,96,28,right,orange,1618,0
C43310,38,263277.10000002384,1,83,4389,blue,false,right,83,94,left,orange,847,0
C43310,39,266664.2999999523,0,0,4389,blue,true,left,63,86,right,orange,626,0
C43310,40,269810.2000000477,0,0,4389,blue,true,left,99,53,right,orange,729,0
C43310,41,273070.89999997616,0,0,4389,blue,true,right,29,91,left,orange,755,0
C43310,42,276351.39999997616,0,0,4389,blue,true,left,88,64,right,orange,924,0
C43310,43,279798.89999997616,0,0,4389,blue,true,right,84,70,left,orange,2088,0
C43310,44,284405.7000000477,1,61,4328,blue,false,right,61,88,left,orange,740,0
C43310,45,287675,0,0,4328,blue,true,right,61,43,left,orange,463,0
C43310,46,290654,0,0,4328,blue,true,left,87,54,right,orange,1044,0
C43310,47,294232.60000002384,1,5,4323,blue,false,right,5,90,left,orange,555,0
C43310,48,301319.89999997616,0,0,4323,blue,true,right,71,44,left,orange,1082,0
C43310,49,304923.5,0,0,4323,blue,true,left,42,52,right,orange,534,0
C43310,50,307985.89999997616,0,0,4323,blue,true,right,39,93,left,orange,679,0
C43310,51,311194.2999999523,0,0,4323,blue,true,right,39,24,left,orange,557,0
C43310,52,314277.39999997616,1,20,4303,blue,false,right,20,10,left,orange,653,0
C43310,53,317445.89999997616,1,85,4218,blue,false,right,85,43,left,orange,361,0
C43310,54,320325.2000000477,0,0,4218,blue,false,right,77,7,right,blue,1166,0
C43310,55,324010.2999999523,1,90,4128,blue,true,right,95,90,right,blue,802,0
C43310,56,327343.39999997616,1,7,4121,blue,true,right,56,7,right,blue,860,0
C43310,57,330725.10000002384,0,0,4121,blue,true,left,50,69,right,orange,653,0
C43310,58,333892.89999997616,0,0,4121,blue,true,left,4,83,right,orange,381,0
C43310,59,336808.10000002384,1,40,4081,blue,false,left,40,8,right,orange,584,0
C43310,60,339915.7999999523,0,0,4081,blue,true,left,47,86,right,orange,373,0
C43310,61,342815.7000000477,0,0,4081,blue,true,right,15,49,left,orange,570,0
C43310,62,345941.2000000477,0,0,4081,blue,true,right,17,39,left,orange,543,0
C43310,63,349013.7999999523,1,76,4005,blue,false,left,76,97,right,orange,510,0
C43310,64,352043.60000002384,0,0,4005,blue,true,left,73,14,right,orange,485,0
C43310,65,355062.7999999523,0,0,4005,blue,true,left,67,29,right,orange,469,0
C43310,66,358081.7999999523,0,0,4005,blue,true,left,48,39,right,orange,553,0
C43310,67,361169,0,0,4005,blue,true,left,30,99,right,orange,472,0
C43310,68,364183.89999997616,1,13,3992,blue,false,left,13,20,right,orange,659,0
C43310,69,367386.7999999523,0,0,3992,blue,true,right,66,59,left,orange,902,0
C43310,70,370824.10000002384,0,0,3992,blue,true,right,20,60,left,orange,475,0
C43310,71,373846.89999997616,0,0,3992,blue,true,right,41,25,left,orange,553,0
C43310,72,376935.5,1,76,3916,blue,false,left,76,70,right,orange,829,0
C43310,73,380290.60000002384,1,73,3843,blue,false,right,73,18,left,orange,432,0
C43310,74,383251.89999997616,1,41,3802,blue,false,right,41,80,left,orange,540,0
C43310,75,386326.2000000477,0,0,3802,blue,true,left,25,76,right,orange,1446,0
