Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43334,1,121448.30000001192,1,10,4990,blue,true,left,23,10,left,blue,1045,0
C43334,2,125018.80000001192,0,0,4990,blue,true,left,45,97,right,orange,472,0
C43334,3,128017.69999998808,0,0,4990,blue,true,left,54,62,right,orange,485,0
C43334,4,131028.5,1,99,4891,blue,false,right,99,16,left,orange,420,0
C43334,5,133977.69999998808,1,40,4851,blue,true,right,72,40,right,blue,354,0
C43334,6,136856.80000001192,0,0,4851,blue,true,left,98,88,right,orange,409,0
C43334,7,139782.30000001192,0,0,4851,blue,true,right,6,54,left,orange,510,0
C43334,8,142813.40000003576,0,0,4851,blue,true,right,64,55,left,orange,401,0
C43334,9,145734.80000001192,1,96,4755,blue,false,left,96,45,right,orange,490,0
C43334,10,148751.5,1,19,4736,blue,true,left,28,19,left,blue,436,0
C43334,11,151712.40000003576,0,0,4736,blue,true,right,95,26,left,orange,378,0
C43334,12,154611.19999998808,0,0,4736,blue,true,left,90,29,right,orange,320,0
C43334,13,157459.40000003576,0,0,4736,blue,true,left,20,53,right,orange,456,0
C43334,14,160440.90000003576,0,0,4736,blue,true,right,74,56,left,orange,424,0
C43334,15,163393.5,0,0,4736,blue,true,right,18,42,left,orange,341,0
C43334,16,166258.19999998808,0,0,4736,blue,true,right,11,91,left,orange,369,0
C43334,17,169151.5,1,32,4704,blue,false,left,32,31,right,orange,368,0
C43334,18,172043.5,1,65,4639,blue,true,left,36,65,left,blue,760,0
C43334,19,175331.60000002384,1,40,4599,blue,false,left,40,30,right,orange,930,0
C43334,20,178789.30000001192,1,26,4573,blue,true,left,29,26,left,blue,384,0
C43334,21,181698.80000001192,1,32,4541,blue,false,left,32,36,right,orange,389,0
C43334,22,184610.80000001192,1,81,4460,blue,true,left,72,81,left,blue,372,0
