Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43373,1,112845,1,37,4963,blue,true,right,44,37,right,blue,1716,0
C43373,2,117197.60000002384,0,0,4963,blue,true,right,66,12,left,orange,813,0
C43373,3,120614.60000002384,0,0,4963,blue,true,left,98,9,right,orange,1132,0
C43373,4,124353.5,1,20,4943,blue,false,right,20,91,left,orange,1266,0
C43373,5,128257,1,8,4935,blue,true,left,28,8,left,blue,1611,0
C43373,6,132507.90000000596,0,0,4935,blue,true,left,30,33,right,orange,1910,0
C43373,7,137007.40000000596,0,0,4935,blue,true,right,27,24,left,orange,919,0
C43373,8,140510,1,58,4877,blue,false,right,58,43,left,orange,839,0
C43373,9,143988.90000000596,1,47,4830,blue,true,right,72,47,right,blue,2104,0
C43373,10,148715.80000001192,1,44,4786,blue,false,right,44,44,left,orange,843,0
C43373,11,152185.30000001192,0,0,4786,blue,true,right,69,26,left,orange,769,0
C43373,12,155553.40000000596,0,0,4786,blue,true,right,6,41,left,orange,1227,0
C43373,13,159378.20000001788,0,0,4786,blue,true,left,88,34,right,orange,686,0
C43373,14,162666.30000001192,1,73,4713,blue,false,left,73,18,right,orange,775,0
C43373,15,166070.80000001192,0,0,4713,blue,true,right,60,25,left,orange,968,0
C43373,16,169631.40000000596,1,6,4707,blue,true,left,68,6,left,blue,2112,0
C43373,17,174352.90000000596,1,48,4659,blue,false,right,48,39,left,orange,2550,0
C43373,18,179555,0,0,4659,blue,true,right,35,76,left,orange,1461,0
C43373,19,183607.40000000596,0,0,4659,blue,true,left,23,85,right,orange,1051,0
C43373,20,187253.20000001788,0,0,4659,blue,true,left,54,22,right,orange,1793,0
C43373,21,191643.40000000596,1,66,4593,blue,false,right,66,58,left,orange,1480,0
C43373,22,195749.10000002384,1,41,4552,blue,true,right,98,41,right,blue,1488,0
C43373,23,199858.60000002384,0,0,4552,blue,true,right,58,80,left,orange,710,0
C43373,24,203179.5,0,0,4552,blue,true,right,32,85,left,orange,1300,0
C43373,25,207087.90000000596,0,0,4552,blue,false,right,83,15,right,blue,1468,0
C43373,26,211149.70000001788,0,0,4552,blue,true,left,18,16,right,orange,1346,0
C43373,27,215093.30000001192,0,0,4552,blue,true,left,56,99,right,orange,1402,0
C43373,28,219087.90000000596,0,0,4552,blue,true,right,23,75,left,orange,1214,0
C43373,29,222896.5,0,0,4552,blue,true,right,68,18,left,orange,1340,0
C43373,30,226820.80000001192,0,0,4552,blue,true,right,30,16,left,orange,1015,0
C43373,31,230430.40000000596,0,0,4552,blue,true,right,86,37,left,orange,756,0
C43373,32,233766.10000002384,0,0,4552,blue,true,left,47,44,right,orange,1734,0
C43373,33,238102.90000000596,1,91,4461,blue,true,right,3,91,right,blue,1320,0
C43373,34,242047.10000002384,0,0,4461,blue,false,left,60,14,left,blue,953,0
C43373,35,245597.70000001788,1,84,4377,blue,true,left,54,84,left,blue,1449,0
C43373,36,249689.10000002384,0,0,4377,blue,true,left,34,23,right,orange,1661,0
C43373,37,253945.5,0,0,4377,blue,true,left,96,28,right,orange,1699,0
C43373,38,258239.40000000596,1,83,4294,blue,false,right,83,94,left,orange,2741,0
C43373,39,263605.60000002384,0,0,4294,blue,true,right,63,86,left,orange,1537,0
C43373,40,267735.40000000596,0,0,4294,blue,true,left,99,53,right,orange,1195,0
C43373,41,271534,0,0,4294,blue,true,right,29,91,left,orange,988,0
C43373,42,275125.5,0,0,4294,blue,true,left,88,64,right,orange,1022,0
C43373,43,278752.5,0,0,4294,blue,true,right,84,70,left,orange,1015,0
C43373,44,282375.40000000596,1,61,4233,blue,false,right,61,88,left,orange,2210,0
C43373,45,287217.90000000596,1,43,4190,blue,true,right,61,43,right,blue,3731,0
C43373,46,293593.2000000179,0,0,4190,blue,true,right,87,54,left,orange,1384,0
C43373,47,303169.7000000179,1,5,4185,blue,false,left,5,90,right,orange,1058,1
C43373,48,310874,1,44,4141,blue,true,right,71,44,right,blue,1408,0
C43373,49,314905.2000000179,0,0,4141,blue,true,left,42,52,right,orange,703,0
C43373,50,318217.8000000119,0,0,4141,blue,true,left,39,93,right,orange,1879,0
C43373,51,322701.40000000596,0,0,4141,blue,true,right,39,24,left,orange,1919,0
C43373,52,327245.90000000596,1,20,4121,blue,false,right,20,10,left,orange,1096,0
C43373,53,330954.5,1,85,4036,blue,false,left,85,43,right,orange,1844,0
C43373,54,335429.8000000119,0,0,4036,blue,false,right,77,7,right,blue,1059,0
C43373,55,339082.7000000179,1,90,3946,blue,true,right,95,90,right,blue,579,0
C43373,56,342280.90000000596,1,7,3939,blue,true,left,56,7,left,blue,913,0
C43373,57,345826.3000000119,1,69,3870,blue,true,left,50,69,left,blue,1104,0
C43373,58,349540.60000002384,0,0,3870,blue,true,left,4,83,right,orange,1124,0
C43373,59,353278.2000000179,1,40,3830,blue,false,left,40,8,right,orange,518,0
C43373,60,356431,0,0,3830,blue,true,right,47,86,left,orange,1094,0
C43373,61,360131.7000000179,0,0,3830,blue,true,right,15,49,left,orange,724,0
C43373,62,363447.8000000119,0,0,3830,blue,true,right,17,39,left,orange,558,0
C43373,63,366595.3000000119,1,76,3754,blue,false,left,76,97,right,orange,1032,0
C43373,64,370251.60000002384,0,0,3754,blue,true,right,73,14,left,orange,686,0
C43373,65,373523.5,0,0,3754,blue,true,right,67,29,left,orange,518,0
C43373,66,376640.5,0,0,3754,blue,true,left,48,39,right,orange,980,0
C43373,67,380213.8000000119,0,0,3754,blue,true,left,30,99,right,orange,824,0
C43373,68,383635.10000002384,1,13,3741,blue,false,right,13,20,left,orange,990,0
C43373,69,387230.90000000596,1,59,3682,blue,true,left,66,59,left,blue,1440,0
C43373,70,391293,0,0,3682,blue,true,left,20,60,right,orange,1005,0
C43373,71,394892.8000000119,0,0,3682,blue,true,left,41,25,right,orange,659,0
C43373,72,398148.10000002384,1,76,3606,blue,false,left,76,70,right,orange,734,0
C43373,73,401509.60000002384,1,73,3533,blue,false,right,73,18,left,orange,1426,0
C43373,74,405567.8000000119,1,41,3492,blue,false,left,41,80,right,orange,761,0
C43373,75,408950.10000002384,1,76,3416,blue,true,right,25,76,right,blue,1185,0
C43373,76,412746.5,1,34,3382,blue,false,left,34,52,right,orange,1864,0
C43373,77,417227.10000002384,0,0,3382,blue,false,left,30,60,left,blue,560,0
C43373,78,420389,0,0,3382,blue,false,left,91,36,left,blue,565,0
C43373,79,423553.10000002384,0,0,3382,blue,false,right,70,59,right,blue,1043,0
C43373,80,427212.60000002384,1,47,3335,blue,true,left,64,47,left,blue,924,0
C43373,81,430743.10000002384,1,28,3307,blue,false,right,28,44,left,orange,1820,0
C43373,82,435179.7000000179,1,2,3305,blue,false,left,2,80,right,orange,1929,0
C43373,83,439721,1,20,3285,blue,false,right,20,39,left,orange,1415,0
C43373,84,443752.8000000119,1,32,3253,blue,false,left,32,61,right,orange,787,0
C43373,85,447161.3000000119,0,0,3253,blue,false,left,90,61,left,blue,618,0
C43373,86,450368.2000000179,1,70,3183,blue,true,left,62,70,left,blue,1119,0
C43373,87,454092.8000000119,1,17,3166,blue,false,right,17,33,left,orange,768,0
C43373,88,457459.8000000119,1,74,3092,blue,false,left,74,17,right,orange,1137,0
C43373,89,461206,1,2,3090,blue,false,right,2,85,left,orange,1082,0
C43373,90,464899.7000000179,0,0,3090,blue,false,left,39,76,left,blue,1843,0
C43373,91,469333.8000000119,1,70,3020,blue,false,right,70,20,left,orange,967,0
C43373,92,472907.7000000179,1,69,2951,blue,true,left,24,69,left,blue,1801,0
C43373,93,477333,0,0,2951,blue,true,left,59,52,right,orange,750,0
C43373,94,484687.7000000179,1,15,2936,blue,false,right,15,43,left,orange,1087,0
C43373,95,488382.40000000596,0,0,2936,blue,true,right,50,34,left,orange,1017,0
C43373,96,491991.5,0,0,2936,blue,false,left,43,48,left,blue,516,0
C43373,97,495098,1,35,2901,blue,true,left,14,35,left,blue,511,0
C43373,98,498239.5,0,0,2901,blue,true,left,12,42,right,orange,993,0
C43373,99,501829.90000000596,0,0,2901,blue,true,right,40,44,left,orange,960,0
C43373,100,505379.7000000179,1,50,2851,blue,true,left,88,50,left,blue,1456,0
C43373,101,509465.2000000179,1,19,2832,blue,true,right,51,19,right,blue,931,0
C43373,102,513001.40000000596,0,0,2832,blue,true,left,44,59,right,orange,1083,0
C43373,103,516679.8000000119,0,0,2832,blue,true,right,23,9,left,orange,1588,0
C43373,104,520856,0,0,2832,blue,true,right,23,76,left,orange,695,0
C43373,105,524142.7000000179,0,0,2832,blue,true,right,94,47,left,orange,717,0
