Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43558,1,180106.14999999234,1,10,4990,blue,true,right,23,10,right,blue,1193,0
C43558,2,183832.1799999976,1,97,4893,blue,true,right,45,97,right,blue,720,0
C43558,3,187082.5099999929,1,62,4831,blue,true,right,54,62,right,blue,481,0
C43558,4,190094.81999999844,1,99,4732,blue,false,right,99,16,left,orange,737,0
C43558,5,193379.78000000294,0,0,4732,blue,true,left,72,40,right,orange,560,0
C43558,6,196462.1349999943,0,0,4732,blue,true,left,98,88,right,orange,508,0
C43558,7,199511.73499999277,0,0,4732,blue,true,left,6,54,right,orange,584,0
C43558,8,202639.4900000014,1,55,4677,blue,true,right,64,55,right,blue,1636,0
C43558,9,206815.84999999905,1,96,4581,blue,false,right,96,45,left,orange,957,0
C43558,10,210311.66500000108,0,0,4581,blue,true,right,28,19,left,orange,663,0
C43558,11,213510.34999999683,0,0,4581,blue,true,left,95,26,right,orange,686,0
C43558,12,216725.66499999084,0,0,4581,blue,true,right,90,29,left,orange,655,0
C43558,13,219904.76499999932,0,0,4581,blue,true,right,20,53,left,orange,684,0
C43558,14,223134.28499999281,0,0,4581,blue,true,right,74,56,left,orange,556,0
C43558,15,226223.404999997,0,0,4581,blue,true,left,18,42,right,orange,667,0
C43558,16,229418.89999998966,0,0,4581,blue,true,right,11,91,left,orange,512,0
C43558,17,232461.10499999486,1,32,4549,blue,false,left,32,31,right,orange,785,0
C43558,18,235790.8349999925,1,65,4484,blue,true,right,36,65,right,blue,1610,0
C43558,19,239940.51499999478,1,40,4444,blue,false,right,40,30,left,orange,763,0
C43558,20,243230.58999999193,1,26,4418,blue,true,right,29,26,right,blue,414,0
C43558,21,246185.62000000384,0,0,4418,blue,false,right,32,36,right,blue,388,0
C43558,22,249105.37499999919,1,81,4337,blue,true,right,72,81,right,blue,479,0
C43558,23,252115.27999999817,0,0,4337,blue,false,right,95,54,right,blue,487,0
C43558,24,255136.99499999348,1,40,4297,blue,false,right,40,59,left,orange,1824,0
C43558,25,259491.34500000218,0,0,4297,blue,false,left,29,24,left,blue,566,0
C43558,26,262591.8399999937,0,0,4297,blue,false,right,60,51,right,blue,635,0
C43558,27,265751.4899999951,0,0,4297,blue,false,right,83,65,right,blue,428,0
C43558,28,268700.98500000313,1,98,4199,blue,true,right,78,98,right,blue,475,0
C43558,29,271719.86499999184,0,0,4199,blue,false,left,56,51,left,blue,573,0
