Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43681,1,111747.74499982595,1,10,4990,blue,true,right,23,10,right,blue,1323,0
C43681,2,115631.84500019997,0,0,4990,blue,true,left,45,97,right,orange,515,0
C43681,3,118698.64499988034,0,0,4990,blue,true,right,54,62,left,orange,413,0
C43681,4,121684.48500009254,1,99,4891,blue,false,right,99,16,left,orange,325,0
C43681,5,124559.41999983042,1,40,4851,blue,true,left,72,40,left,blue,501,0
C43681,6,127623.9849999547,0,0,4851,blue,true,right,98,88,left,orange,393,0
C43681,7,130552.0049999468,0,0,4851,blue,true,left,6,54,right,orange,380,0
C43681,8,133463.46000023186,0,0,4851,blue,true,right,64,55,left,orange,1016,0
C43681,9,137033.71499991044,1,96,4755,blue,false,right,96,45,left,orange,688,0
C43681,10,140280.06999986246,0,0,4755,blue,true,right,28,19,left,orange,425,0
C43681,11,143262.74499995634,0,0,4755,blue,true,left,95,26,right,orange,486,0
C43681,12,146296.38000018895,1,29,4726,blue,true,right,90,29,right,blue,406,0
C43681,13,149274.48499994352,0,0,4726,blue,true,right,20,53,left,orange,750,0
C43681,14,152572.79000012204,1,56,4670,blue,true,left,74,56,left,blue,1499,0
C43681,15,156648.27000023797,0,0,4670,blue,true,left,18,42,right,orange,353,0
C43681,16,159558.86500002816,0,0,4670,blue,true,left,11,91,right,orange,354,0
C43681,17,162484.51999993995,1,32,4638,blue,false,left,32,31,right,orange,430,0
C43681,18,165484.42499991506,0,0,4638,blue,true,left,36,65,right,orange,966,0
C43681,19,168982.30500007048,1,40,4598,blue,false,right,40,30,left,orange,469,0
C43681,20,172007.3750000447,1,26,4572,blue,true,left,29,26,left,blue,496,0
C43681,21,175078.40499980375,0,0,4572,blue,false,left,32,36,left,blue,385,0
C43681,22,178006.88000023365,1,81,4491,blue,true,right,72,81,right,blue,429,0
C43681,23,180990.42000016198,1,95,4396,blue,false,left,95,54,right,orange,508,0
C43681,24,184076.21499989182,1,40,4356,blue,false,left,40,59,right,orange,502,0
C43681,25,187134.7099998966,0,0,4356,blue,false,left,29,24,left,blue,555,0
C43681,26,190237.52500023693,0,0,4356,blue,false,left,60,51,left,blue,340,0
C43681,27,193128.30500025302,1,83,4273,blue,false,left,83,65,right,orange,348,0
C43681,28,196032.14000025764,1,98,4175,blue,true,left,78,98,left,blue,352,0
C43681,29,198937.16000020504,0,0,4175,blue,false,left,56,51,left,blue,414,0
C43681,30,201920.46000016853,0,0,4175,blue,false,left,5,20,left,blue,359,0
C43681,31,204826.5849999152,0,0,4175,blue,false,left,67,2,left,blue,569,0
C43681,32,207931.60000024363,0,0,4175,blue,false,right,85,84,right,blue,505,0
C43681,33,210976.695000194,0,0,4175,blue,true,right,7,49,left,orange,447,0
C43681,34,213994.32499986142,1,37,4138,blue,false,right,37,47,left,orange,1023,0
C43681,35,217586.84499980882,0,0,4138,blue,false,left,27,91,left,blue,398,0
C43681,36,220531.39499993995,0,0,4138,blue,false,right,44,42,right,blue,325,0
C43681,37,223413.07500004768,1,55,4083,blue,true,left,31,55,left,blue,392,0
C43681,38,226358.71999990195,1,97,3986,blue,false,left,97,70,right,orange,372,0
C43681,39,229300.64499983564,0,0,3986,blue,false,left,14,9,left,blue,578,0
C43681,40,232427.4499998428,1,51,3935,blue,true,left,23,51,left,blue,401,0
C43681,41,235408.95000007004,1,79,3856,blue,true,left,89,79,left,blue,993,0
C43681,42,238952.5999999605,0,0,3856,blue,true,right,83,86,left,orange,448,0
C43681,43,241956.04000007734,0,0,3856,blue,true,right,40,62,left,orange,371,0
C43681,44,244880.0150002353,0,0,3856,blue,true,left,36,23,right,orange,426,0
C43681,45,247842.01000025496,0,0,3856,blue,true,right,65,61,left,orange,380,0
C43681,46,250766.14500023425,0,0,3856,blue,true,left,74,67,right,orange,324,0
C43681,47,253663.8600002043,0,0,3856,blue,true,right,73,41,left,orange,374,0
C43681,48,260607.2900001891,0,0,3856,blue,false,right,96,54,right,blue,1296,0
C43681,49,264456.0500001535,0,0,3856,blue,true,right,86,88,left,orange,902,0
C43681,50,267907.8700002283,1,66,3790,blue,true,right,43,66,right,blue,307,0
C43681,51,270770.0550002046,0,0,3790,blue,true,left,72,79,right,orange,526,0
C43681,52,273868.63500019535,0,0,3790,blue,false,right,71,13,right,blue,354,0
C43681,53,276780.97999980673,1,53,3737,blue,true,right,78,53,right,blue,344,0
C43681,54,279675.075000152,0,0,3737,blue,true,right,57,90,left,orange,504,0
C43681,55,282714.2599998042,1,3,3734,blue,false,left,3,12,right,orange,434,0
C43681,56,285703.4399998374,0,0,3734,blue,true,left,2,64,right,orange,439,0
C43681,57,288687.59000021964,1,9,3725,blue,true,left,99,9,left,blue,330,0
C43681,58,291562.98500020057,1,42,3683,blue,true,right,21,42,right,blue,530,0
C43681,59,294643.7050001696,0,0,3683,blue,true,right,83,72,left,orange,504,0
C43681,60,297680.33500015736,0,0,3683,blue,true,left,37,11,right,orange,591,0
C43681,61,300822.21999997273,1,67,3616,blue,false,right,67,81,left,orange,1215,0
C43681,62,304585.804999806,1,14,3602,blue,true,left,12,14,left,blue,568,0
C43681,63,307704.6900000423,0,0,3602,blue,false,left,78,90,left,blue,444,0
