Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43690,1,195939.85999998404,1,10,4990,blue,true,right,23,10,right,blue,1327,0
C43690,2,199834.53500000178,0,0,4990,blue,true,left,45,97,right,orange,1133,0
C43690,3,203526.76999999676,0,0,4990,blue,true,right,54,62,left,orange,769,0
C43690,4,206828.91499999096,0,0,4990,blue,false,right,99,16,right,blue,1609,0
C43690,5,210981.26000000047,1,40,4950,blue,true,right,72,40,right,blue,1301,0
C43690,6,214843.16999997827,0,0,4950,blue,true,right,98,88,left,orange,823,0
C43690,7,218204.80499998666,0,0,4950,blue,true,left,6,54,right,orange,646,0
C43690,8,221394.48999997694,0,0,4950,blue,true,right,64,55,left,orange,837,0
C43690,9,224784.3849999772,0,0,4950,blue,false,left,96,45,left,blue,1077,0
C43690,10,228393.6499999836,1,19,4931,blue,true,left,28,19,left,blue,1020,0
C43690,11,231979.09999999683,1,26,4905,blue,true,right,95,26,right,blue,1109,0
C43690,12,235644.05999999144,0,0,4905,blue,true,left,90,29,right,orange,524,0
C43690,13,238717.97499997774,0,0,4905,blue,true,right,20,53,left,orange,590,0
C43690,14,241851.62000000128,0,0,4905,blue,true,right,74,56,left,orange,691,0
C43690,15,245094.7649999871,0,0,4905,blue,true,left,18,42,right,orange,569,0
C43690,16,248212.57999999216,0,0,4905,blue,true,left,11,91,right,orange,572,0
C43690,17,251339.47499998612,1,32,4873,blue,false,left,32,31,right,orange,422,0
C43690,18,254305.01499999082,0,0,4873,blue,true,right,36,65,left,orange,1109,0
C43690,19,257954.1399999871,1,40,4833,blue,false,right,40,30,left,orange,451,0
C43690,20,260958.9799999958,0,0,4833,blue,true,right,29,26,left,orange,524,0
C43690,21,264029.8049999983,1,32,4801,blue,false,right,32,36,left,orange,555,0
C43690,22,267122.03999998746,1,81,4720,blue,true,right,72,81,right,blue,702,0
