Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43806,1,367385.0749999983,0,0,5000,blue,true,right,44,37,left,orange,1189,0
C43806,2,371118.3449999953,0,0,5000,blue,true,right,66,12,left,orange,815,0
C43806,3,374463.5699999999,1,9,4991,blue,true,right,98,9,right,blue,546,0
C43806,4,377533.8649999976,1,20,4971,blue,false,right,20,91,left,orange,613,0
C43806,5,380703.28999999765,1,8,4963,blue,true,left,28,8,left,blue,456,0
C43806,6,383696.10999999713,1,33,4930,blue,true,right,30,33,right,blue,568,0
C43806,7,386794.67999999906,1,24,4906,blue,true,right,27,24,right,blue,391,0
C43806,8,389711.66000000085,0,0,4906,blue,false,left,58,43,left,blue,531,0
C43806,9,392771.31999999983,1,47,4859,blue,true,left,72,47,left,blue,487,0
C43806,10,395801.91999999806,0,0,4859,blue,false,right,44,44,right,blue,464,0
C43806,11,398792.0499999964,1,26,4833,blue,true,left,69,26,left,blue,470,0
C43806,12,401802.1749999971,0,0,4833,blue,true,right,6,41,left,orange,766,0
C43806,13,405093.8649999953,0,0,4833,blue,true,right,88,34,left,orange,429,0
C43806,14,408052.54499999864,1,73,4760,blue,false,left,73,18,right,orange,382,0
C43806,15,410965.48999999504,1,25,4735,blue,true,left,60,25,left,blue,598,0
C43806,16,414109.8950000014,0,0,4735,blue,true,right,68,6,left,orange,722,0
C43806,17,417364.0949999972,1,48,4687,blue,false,left,48,39,right,orange,485,0
C43806,18,420401.85499999643,1,76,4611,blue,true,left,35,76,left,blue,583,0
C43806,19,423519.28999999654,0,0,4611,blue,true,left,23,85,right,orange,422,0
C43806,20,426463.5100000014,1,22,4589,blue,true,left,54,22,left,blue,434,0
C43806,21,429431.0750000004,0,0,4589,blue,false,right,66,58,right,blue,738,0
C43806,22,432682.22499999683,1,41,4548,blue,true,left,98,41,left,blue,767,0
C43806,23,435964.3450000003,0,0,4548,blue,true,right,58,80,left,orange,894,0
C43806,24,439369.40999999933,0,0,4548,blue,true,right,32,85,left,orange,424,0
C43806,25,442307.45999999635,0,0,4548,blue,false,right,83,15,right,blue,382,0
C43806,26,445203.82499999687,0,0,4548,blue,true,right,18,16,left,orange,373,0
C43806,27,448118.0649999951,0,0,4548,blue,true,right,56,99,left,orange,412,0
C43806,28,451060.9899999981,1,75,4473,blue,true,left,23,75,left,blue,539,0
C43806,29,454146.6250000012,1,18,4455,blue,true,right,68,18,right,blue,717,0
C43806,30,457416.3249999983,0,0,4455,blue,true,right,30,16,left,orange,449,0
C43806,31,460401.72999999777,0,0,4455,blue,true,left,86,37,right,orange,422,0
C43806,32,463354.6700000006,0,0,4455,blue,true,right,47,44,left,orange,430,0
C43806,33,466321.90999999875,0,0,4455,blue,true,right,3,91,left,orange,496,0
C43806,34,469357.29499999434,1,60,4395,blue,false,left,60,14,right,orange,444,0
C43806,35,472348.324999999,1,84,4311,blue,true,right,54,84,right,blue,692,0
C43806,36,475569.93499999953,0,0,4311,blue,true,right,34,23,left,orange,529,0
C43806,37,478641.88999999897,0,0,4311,blue,true,left,96,28,right,orange,484,0
C43806,38,481660.18999999505,1,83,4228,blue,false,left,83,94,right,orange,429,0
C43806,39,484638.54499999434,0,0,4228,blue,true,right,63,86,left,orange,451,0
C43806,40,487622.55000000005,0,0,4228,blue,true,left,99,53,right,orange,451,0
C43806,41,490609.59999999614,1,91,4137,blue,true,left,29,91,left,blue,414,0
C43806,42,493577.66999999876,0,0,4137,blue,true,left,88,64,right,orange,477,0
C43806,43,496589.91499999684,0,0,4137,blue,true,right,84,70,left,orange,436,0
C43806,44,499566.8549999973,1,61,4076,blue,false,left,61,88,right,orange,424,0
C43806,45,502541.6550000009,1,43,4033,blue,true,right,61,43,right,blue,586,0
C43806,46,505674.2899999954,0,0,4033,blue,true,left,87,54,right,orange,558,0
C43806,47,508768.65499999985,1,5,4028,blue,false,left,5,90,right,orange,361,0
C43806,48,515712.00999999564,0,0,4028,blue,true,right,71,44,left,orange,833,0
C43806,49,519072.00499999453,0,0,4028,blue,true,left,42,52,right,orange,458,0
C43806,50,522069.4000000003,0,0,4028,blue,true,right,39,93,left,orange,388,0
C43806,51,524994.3249999997,1,24,4004,blue,true,right,39,24,right,blue,389,0
C43806,52,527926.9050000003,1,20,3984,blue,false,right,20,10,left,orange,544,0
C43806,53,531005.9299999994,1,85,3899,blue,false,right,85,43,left,orange,461,0
C43806,54,534007.7999999993,1,77,3822,blue,false,left,77,7,right,orange,441,0
C43806,55,536981.0999999973,1,90,3732,blue,true,left,95,90,left,blue,371,0
C43806,56,539899.8050000009,0,0,3732,blue,true,right,56,7,left,orange,627,0
C43806,57,543056.7749999973,0,0,3732,blue,true,right,50,69,left,orange,422,0
C43806,58,546001.089999998,0,0,3732,blue,true,right,4,83,left,orange,424,0
C43806,59,548952.6699999988,1,40,3692,blue,false,left,40,8,right,orange,694,0
C43806,60,552181.2649999992,1,86,3606,blue,true,left,47,86,left,blue,434,0
C43806,61,555152.2999999942,1,49,3557,blue,true,right,15,49,right,blue,594,0
C43806,62,558288.284999995,1,39,3518,blue,true,left,17,39,left,blue,479,0
C43806,63,561303.0049999943,1,76,3442,blue,false,right,76,97,left,orange,439,0
C43806,64,564295.3999999955,1,14,3428,blue,true,right,73,14,right,blue,423,0
C43806,65,567259.0700000001,1,29,3399,blue,true,right,67,29,right,blue,492,0
C43806,66,570276.5849999996,1,39,3360,blue,true,left,48,39,left,blue,412,0
C43806,67,573237.0349999983,0,0,3360,blue,true,left,30,99,right,orange,506,0
C43806,68,576275.7249999995,1,13,3347,blue,false,left,13,20,right,orange,404,0
C43806,69,579213.3549999999,1,59,3288,blue,true,left,66,59,left,blue,816,0
C43806,70,582564.1599999944,1,60,3228,blue,true,left,20,60,left,blue,988,0
C43806,71,586083.4899999972,0,0,3228,blue,true,right,41,25,left,orange,463,0
C43806,72,589074.1599999964,1,76,3152,blue,false,left,76,70,right,orange,417,0
C43806,73,592019.9849999989,1,73,3079,blue,false,left,73,18,right,orange,482,0
C43806,74,595045.7249999964,1,41,3038,blue,false,right,41,80,left,orange,450,0
C43806,75,598048.8750000005,1,76,2962,blue,true,right,25,76,right,blue,584,0
C43806,76,601173.8399999959,1,34,2928,blue,false,right,34,52,left,orange,1088,0
C43806,77,604805.4649999976,0,0,2928,blue,false,right,30,60,right,blue,957,0
C43806,78,608291.6449999975,0,0,2928,blue,false,left,91,36,left,blue,454,0
C43806,79,611278.8849999998,0,0,2928,blue,false,left,70,59,left,blue,440,0
C43806,80,614242.3950000012,0,0,2928,blue,true,right,64,47,left,orange,487,0
C43806,81,617260.9299999967,1,28,2900,blue,false,left,28,44,right,orange,404,0
C43806,82,620203.5350000006,1,2,2898,blue,false,right,2,80,left,orange,941,0
C43806,83,623694.3899999969,1,20,2878,blue,false,right,20,39,left,orange,1131,0
