Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43832,1,184893,1,37,4963,blue,true,left,44,37,left,blue,2666,0
C43832,2,190083,0,0,4963,blue,true,right,66,12,left,orange,427,0
C43832,3,193023,0,0,4963,blue,true,right,98,9,left,orange,400,0
C43832,4,195937,0,0,4963,blue,false,right,20,91,right,blue,547,0
C43832,5,198994,1,8,4955,blue,true,right,28,8,right,blue,580,0
C43832,6,202090,0,0,4955,blue,true,left,30,33,right,orange,531,0
C43832,7,205133,0,0,4955,blue,true,left,27,24,right,orange,398,0
C43832,8,208042,1,58,4897,blue,false,right,58,43,left,orange,436,0
C43832,9,210993,1,47,4850,blue,true,right,72,47,right,blue,698,0
C43832,10,214208,0,0,4850,blue,false,left,44,44,left,blue,1001,0
C43832,11,217723,1,26,4824,blue,true,left,69,26,left,blue,382,0
C43832,12,220624,0,0,4824,blue,true,left,6,41,right,orange,616,0
C43832,13,223749,1,34,4790,blue,true,right,88,34,right,blue,750,0
C43832,14,227019,1,73,4717,blue,false,right,73,18,left,orange,687,0
C43832,15,230223,0,0,4717,blue,true,left,60,25,right,orange,535,0
C43832,16,233275,0,0,4717,blue,true,left,68,6,right,orange,376,0
C43832,17,236167,1,48,4669,blue,false,right,48,39,left,orange,385,0
C43832,18,239072,1,76,4593,blue,true,right,35,76,right,blue,916,0
C43832,19,242501,0,0,4593,blue,true,right,23,85,left,orange,500,0
C43832,20,245519,0,0,4593,blue,true,left,54,22,right,orange,705,0
C43832,21,248741,0,0,4593,blue,false,right,66,58,right,blue,1040,0
C43832,22,252294,1,41,4552,blue,true,left,98,41,left,blue,558,0
C43832,23,255375,0,0,4552,blue,true,right,58,80,left,orange,709,0
C43832,24,258596.99999999997,0,0,4552,blue,true,right,32,85,left,orange,530,0
C43832,25,261639,1,83,4469,blue,false,left,83,15,right,orange,483,0
C43832,26,264639,0,0,4469,blue,true,right,18,16,left,orange,469,0
C43832,27,267626.00000000006,0,0,4469,blue,true,right,56,99,left,orange,396,0
C43832,28,270541,0,0,4469,blue,true,right,23,75,left,orange,569,0
C43832,29,273634,1,18,4451,blue,true,right,68,18,right,blue,338,0
C43832,30,276492,0,0,4451,blue,true,right,30,16,left,orange,523,0
C43832,31,279530.00000000006,0,0,4451,blue,true,right,86,37,left,orange,454,0
C43832,32,282496,1,44,4407,blue,true,left,47,44,left,blue,1112,0
C43832,33,286129,0,0,4407,blue,true,left,3,91,right,orange,563,0
C43832,34,289209,1,60,4347,blue,false,left,60,14,right,orange,467,0
C43832,35,292193,0,0,4347,blue,true,left,54,84,right,orange,659,0
C43832,36,295367,1,23,4324,blue,true,left,34,23,left,blue,606,0
C43832,37,298492,0,0,4324,blue,true,left,96,28,right,orange,367,0
C43832,38,301375,1,83,4241,blue,false,left,83,94,right,orange,335,0
C43832,39,304231,1,86,4155,blue,true,right,63,86,right,blue,595,0
C43832,40,307343,1,53,4102,blue,true,right,99,53,right,blue,736,0
C43832,41,310596,0,0,4102,blue,true,right,29,91,left,orange,351,0
C43832,42,313468,0,0,4102,blue,true,right,88,64,left,orange,361,0
C43832,43,316341,0,0,4102,blue,true,left,84,70,right,orange,375,0
C43832,44,319234,1,61,4041,blue,false,right,61,88,left,orange,303,0
C43832,45,322050,1,43,3998,blue,true,left,61,43,left,blue,424,0
