Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C43884,1,137245.75000000186,1,10,4990,blue,true,right,23,10,right,blue,961,0
C43884,2,140721.55499999644,0,0,4990,blue,true,left,45,97,right,orange,1004,0
C43884,3,144239.01000001933,1,62,4928,blue,true,left,54,62,left,blue,1245,0
C43884,4,147999.60500001907,1,99,4829,blue,false,right,99,16,left,orange,586,0
C43884,5,151114.7850000125,1,40,4789,blue,true,left,72,40,left,blue,848,0
C43884,6,154499.49000001652,0,0,4789,blue,true,left,98,88,right,orange,525,0
C43884,7,157548.08000000776,0,0,4789,blue,true,right,6,54,left,orange,536,0
C43884,8,160601.30000000936,0,0,4789,blue,true,right,64,55,left,orange,362,0
C43884,9,163483.06500000763,1,96,4693,blue,false,left,96,45,right,orange,423,0
C43884,10,166443.78000000142,1,19,4674,blue,true,left,28,19,left,blue,574,0
C43884,11,169550.55000001448,0,0,4674,blue,true,left,95,26,right,orange,571,0
C43884,12,172648.71500001755,0,0,4674,blue,true,right,90,29,left,orange,413,0
C43884,13,175588.79000000888,0,0,4674,blue,true,left,20,53,right,orange,407,0
C43884,14,178511.0300000233,0,0,4674,blue,true,right,74,56,left,orange,372,0
C43884,15,181400.2750000218,0,0,4674,blue,true,left,18,42,right,orange,309,0
C43884,16,184244.64499999885,0,0,4674,blue,true,right,11,91,left,orange,515,0
C43884,17,187291.80000000633,1,32,4642,blue,false,right,32,31,left,orange,722,0
C43884,18,190539.55000001588,0,0,4642,blue,true,right,36,65,left,orange,535,0
C43884,19,193599.35000000405,1,40,4602,blue,false,left,40,30,right,orange,467,0
C43884,20,196594.07000002102,0,0,4602,blue,true,right,29,26,left,orange,324,0
C43884,21,199444.6450000105,1,32,4570,blue,false,right,32,36,left,orange,753,0
C43884,22,202732.23000002326,0,0,4570,blue,true,right,72,81,left,orange,424,0
C43884,23,205689.23000001814,1,95,4475,blue,false,left,95,54,right,orange,430,0
C43884,24,208647.7550000127,1,40,4435,blue,false,left,40,59,right,orange,376,0
C43884,25,211549.05000000144,1,29,4406,blue,false,left,29,24,right,orange,477,0
C43884,26,214557.71000002278,1,60,4346,blue,false,right,60,51,left,orange,368,0
C43884,27,217446.86500000535,0,0,4346,blue,false,left,83,65,left,blue,596,0
C43884,28,220569.290000014,1,98,4248,blue,true,left,78,98,left,blue,358,0
C43884,29,223458.37500001653,0,0,4248,blue,false,right,56,51,right,blue,915,0
C43884,30,226909.0300000098,0,0,4248,blue,false,left,5,20,left,blue,490,0
C43884,31,229931.2000000209,0,0,4248,blue,false,right,67,2,right,blue,779,0
C43884,32,233231.1350000091,0,0,4248,blue,false,left,85,84,left,blue,1631,0
C43884,33,237392.63499999652,0,0,4248,blue,true,left,7,49,right,orange,595,0
C43884,34,240522.87000001525,1,37,4211,blue,false,right,37,47,left,orange,1002,0
C43884,35,244068.92000001972,1,27,4184,blue,false,left,27,91,right,orange,1070,0
C43884,36,247673.31000001286,1,44,4140,blue,false,left,44,42,right,orange,569,0
C43884,37,250767.66000001226,0,0,4140,blue,true,right,31,55,left,orange,441,0
C43884,38,253729.94000001927,0,0,4140,blue,false,right,97,70,right,blue,281,0
C43884,39,256534.19500001473,0,0,4140,blue,false,left,14,9,left,blue,424,0
C43884,40,259483.89000000316,0,0,4140,blue,true,right,23,51,left,orange,702,0
C43884,41,262705.80500000506,1,79,4061,blue,true,right,89,79,right,blue,478,0
C43884,42,265714.650000009,1,86,3975,blue,true,left,83,86,left,blue,258,0
C43884,43,268507.19500001287,0,0,3975,blue,true,left,40,62,right,orange,355,0
C43884,44,271386.9249999989,1,23,3952,blue,true,left,36,23,left,blue,596,0
C43884,45,274512.3400000157,1,61,3891,blue,true,right,65,61,right,blue,865,0
C43884,46,277903.6550000019,1,67,3824,blue,true,left,74,67,left,blue,668,0
C43884,47,281102.47000001254,1,41,3783,blue,true,right,73,41,right,blue,603,0
C43884,48,288262.6900000032,0,0,3783,blue,false,left,96,54,left,blue,1178,0
C43884,49,291967.9350000224,1,88,3695,blue,true,left,86,88,left,blue,697,0
C43884,50,295190.67500001984,0,0,3695,blue,true,left,43,66,right,orange,747,0
C43884,51,298460.8250000165,1,79,3616,blue,true,left,72,79,left,blue,528,0
C43884,52,301514.86500000465,0,0,3616,blue,false,right,71,13,right,blue,1357,0
C43884,53,305392.52000002307,1,53,3563,blue,true,left,78,53,left,blue,924,0
C43884,54,308850.78000000794,0,0,3563,blue,true,left,57,90,right,orange,723,0
C43884,55,312098.33500001696,1,3,3560,blue,false,right,3,12,left,orange,3387,0
C43884,56,318013.0400000198,0,0,3560,blue,true,left,2,64,right,orange,2143,0
C43884,57,322673.75499999616,1,9,3551,blue,true,left,99,9,left,blue,2992,0
C43884,58,328202.3750000226,0,0,3551,blue,true,right,21,42,left,orange,775,0
C43884,59,331500.41000000783,1,72,3479,blue,true,right,83,72,right,blue,717,0
C43884,60,334745.07500001346,1,11,3468,blue,true,left,37,11,left,blue,749,0
C43884,61,338015.1199999964,0,0,3468,blue,false,right,67,81,right,blue,654,0
C43884,62,341187.1899999969,1,14,3454,blue,true,left,12,14,left,blue,618,0
C43884,63,344337.3300000094,0,0,3454,blue,false,left,78,90,left,blue,671,0
C43884,64,347531.7750000104,1,46,3408,blue,false,right,46,53,left,orange,1326,0
C43884,65,351382.75000001886,1,30,3378,blue,false,left,30,42,right,orange,583,0
C43884,66,354484.63000002084,1,36,3342,blue,false,left,36,65,right,orange,982,0
C43884,67,357991.3850000012,1,49,3293,blue,false,left,49,49,right,orange,908,0
C43884,68,361432.060000021,1,44,3249,blue,false,right,44,10,left,orange,546,0
C43884,69,364494.6250000212,0,0,3249,blue,false,right,70,64,right,blue,1035,0
C43884,70,368046.25500002294,1,68,3181,blue,false,right,68,95,left,orange,1058,0
C43884,71,371619.3750000093,1,38,3143,blue,false,left,38,46,right,orange,2775,0
C43884,72,376928.9250000147,1,18,3125,blue,false,right,18,24,left,orange,953,0
C43884,73,380418.5750000179,1,82,3043,blue,false,left,82,78,right,orange,705,0
C43884,74,383657.8950000112,0,0,3043,blue,false,left,59,54,left,blue,492,0
C43884,75,386680.8449999953,0,0,3043,blue,false,left,36,33,left,blue,343,0
C43884,76,389547.74500001804,1,56,2987,blue,true,left,49,56,left,blue,291,0
C43884,77,392359.73500000546,0,0,2987,blue,false,left,26,83,left,blue,301,0
C43884,78,395188.2500000065,0,0,2987,blue,false,left,38,81,left,blue,291,0
C43884,79,398000.400000019,1,12,2975,blue,false,right,12,3,left,orange,518,0
C43884,80,401047.9700000142,0,0,2975,blue,false,right,62,38,right,blue,419,0
C43884,81,403983.5000000021,0,0,2975,blue,false,left,43,50,left,blue,389,0
C43884,82,406896.62500002305,0,0,2975,blue,false,left,50,47,left,blue,373,0
C43884,83,409785.70000000764,1,35,2940,blue,true,right,41,35,right,blue,403,0
C43884,84,412723.960000003,0,0,2940,blue,false,right,9,62,right,blue,457,0
C43884,85,415702.66999999876,0,0,2940,blue,false,right,60,58,right,blue,416,0
C43884,86,418639.22000001185,0,0,2940,blue,false,left,88,31,left,blue,761,0
C43884,87,421924.84500000137,0,0,2940,blue,false,left,56,44,left,blue,483,0
C43884,88,424929.5300000231,1,15,2925,blue,true,right,31,15,right,blue,391,0
C43884,89,427851.6800000216,0,0,2925,blue,false,left,90,31,left,blue,708,0
C43884,90,431088.22500001406,0,0,2925,blue,false,right,80,76,right,blue,337,0
C43884,91,433948.3350000228,0,0,2925,blue,false,left,78,4,left,blue,346,0
C43884,92,436814.7549999994,0,0,2925,blue,false,left,60,28,left,blue,572,0
C43884,93,439905.8350000123,1,99,2826,blue,true,left,56,99,left,blue,403,0
C43884,94,446838.0650000181,0,0,2826,blue,false,left,31,45,left,blue,534,0
C43884,95,449896.9700000016,0,0,2826,blue,false,right,55,16,right,blue,350,0
C43884,96,452769.2550000211,1,89,2737,blue,true,right,12,89,right,blue,479,0
C43884,97,455778.84500002256,0,0,2737,blue,false,right,49,4,right,blue,325,0
C43884,98,458621.76500001806,0,0,2737,blue,false,right,69,12,right,blue,379,0
C43884,99,461519.36500001466,1,26,2711,blue,true,left,49,26,left,blue,330,0
C43884,100,464382.4650000024,0,0,2711,blue,false,left,75,76,left,blue,381,0
C43884,101,467284.3250000151,0,0,2711,blue,false,right,22,90,right,blue,454,0
C43884,102,470258.64000001457,1,23,2688,blue,true,right,26,23,right,blue,565,0
C43884,103,473353.6000000022,0,0,2688,blue,false,right,11,68,right,blue,492,0
C43884,104,476365.09999999544,1,82,2606,blue,true,right,71,82,right,blue,445,0
C43884,105,479338.7750000111,0,0,2606,blue,false,left,86,95,left,blue,482,0
C43884,106,482338.8950000226,0,0,2606,blue,false,right,79,88,right,blue,403,0
C43884,107,485262.8450000193,0,0,2606,blue,false,left,75,40,left,blue,386,0
C43884,108,488171.05500001344,0,0,2606,blue,false,right,11,94,right,blue,336,0
C43884,109,491020.1750000124,1,44,2562,blue,true,right,53,44,right,blue,539,0
C43884,110,494080.74500001385,0,0,2562,blue,false,right,85,17,right,blue,350,0
C43884,111,496955.0600000075,1,32,2530,blue,true,right,85,32,right,blue,364,0
C43884,112,499849.3850000086,0,0,2530,blue,false,left,38,68,left,blue,362,0
C43884,113,502733.590000018,0,0,2530,blue,false,left,28,93,left,blue,343,0
C43884,114,505598.4549999994,0,0,2530,blue,false,right,13,95,right,blue,447,0
C43884,115,508575.24500001455,0,0,2530,blue,false,left,69,60,left,blue,430,0
C43884,116,511530.7250000187,1,95,2435,blue,true,left,56,95,left,blue,435,0
C43884,117,514481.57000000356,0,0,2435,blue,false,right,2,41,right,blue,428,0
C43884,118,517429.13500001305,0,0,2435,blue,false,right,42,5,right,blue,413,0
C43884,119,520363.91499999445,0,0,2435,blue,false,left,44,30,left,blue,436,0
C43884,120,523319.77500001085,0,0,2435,blue,false,right,79,4,right,blue,372,0
C43884,121,526209.2200000188,0,0,2435,blue,false,left,83,87,left,blue,407,0
C43884,122,529137.8850000037,0,0,2435,blue,false,left,59,44,left,blue,573,0
C43884,123,532240.8149999974,1,10,2425,blue,true,left,15,10,left,blue,1911,0
C43884,124,536688.450000016,0,0,2425,blue,false,left,60,15,left,blue,502,0
C43884,125,539716.4150000026,0,0,2425,blue,false,left,73,25,left,blue,1700,0
C43884,126,543935.695000022,0,0,2425,blue,false,right,43,23,right,blue,860,0
C43884,127,547318.1700000132,0,0,2425,blue,false,right,22,87,right,blue,395,0
C43884,128,550234.9650000106,1,77,2348,blue,true,right,27,77,right,blue,543,0
C43884,129,553291.51000001,0,0,2348,blue,false,right,99,35,right,blue,381,0
C43884,130,556202.3900000204,1,39,2309,blue,true,right,49,39,right,blue,417,0
C43884,131,559159.7550000006,0,0,2309,blue,false,right,83,60,right,blue,375,0
C43884,132,562052.7500000026,1,54,2255,blue,true,right,61,54,right,blue,366,0
C43884,133,564949.1500000004,0,0,2255,blue,false,left,82,34,left,blue,486,0
C43884,134,567955.2200000035,0,0,2255,blue,false,left,96,86,left,blue,528,0
C43884,135,571001.9350000075,0,0,2255,blue,false,right,65,27,right,blue,401,0
C43884,136,573918.5750000179,0,0,2255,blue,false,left,63,93,left,blue,420,0
C43884,137,576862.7300000226,0,0,2255,blue,false,right,65,40,right,blue,296,0
C43884,138,579679.4750000117,0,0,2255,blue,false,right,7,69,right,blue,424,0
C43884,139,582625.7650000043,1,28,2227,blue,true,right,94,28,right,blue,393,0
C43884,140,585552.0800000231,0,0,2227,blue,false,left,90,4,left,blue,404,0
