Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44109,1,397348.46000000014,0,0,5000,blue,true,right,44,37,left,orange,1051,0
C44109,2,400986.40000000066,0,0,5000,blue,true,right,66,12,left,orange,1309,0
C44109,3,404883.73000000045,0,0,5000,blue,true,right,98,9,left,orange,740,0
C44109,4,408192.59500000044,1,20,4980,blue,false,left,20,91,right,orange,620,0
C44109,5,411426.5300000006,0,0,4980,blue,true,left,28,8,right,orange,706,0
C44109,6,414724.07500000007,0,0,4980,blue,true,right,30,33,left,orange,551,0
C44109,7,417859.6500000003,0,0,4980,blue,true,left,27,24,right,orange,535,0
C44109,8,420974.54500000004,0,0,4980,blue,false,left,58,43,left,blue,1103,0
C44109,9,424724.7800000005,0,0,4980,blue,true,left,72,47,right,orange,1158,0
C44109,10,428452.3600000002,0,0,4980,blue,false,right,44,44,right,blue,1149,0
C44109,11,432201.19500000053,1,26,4954,blue,true,left,69,26,left,blue,722,0
C44109,12,435536.1900000007,1,41,4913,blue,true,right,6,41,right,blue,373,0
C44109,13,438523.36000000016,0,0,4913,blue,true,left,88,34,right,orange,1250,0
C44109,14,442370.59000000043,1,73,4840,blue,false,left,73,18,right,orange,779,0
C44109,15,445758.78000000014,0,0,4840,blue,true,right,60,25,left,orange,870,0
C44109,16,449218.03,1,6,4834,blue,true,right,68,6,right,blue,755,0
C44109,17,452586.00000000023,1,48,4786,blue,false,right,48,39,left,orange,744,0
C44109,18,455933.5600000004,0,0,4786,blue,true,left,35,76,right,orange,527,0
C44109,19,459048.54500000057,0,0,4786,blue,true,right,23,85,left,orange,400,0
C44109,20,462022.6300000004,0,0,4786,blue,true,left,54,22,right,orange,476,0
C44109,21,465077.2450000004,1,66,4720,blue,false,left,66,58,right,orange,1051,0
C44109,22,468726.0150000002,0,0,4720,blue,true,right,98,41,left,orange,2547,0
C44109,23,473834.00000000076,1,80,4640,blue,true,right,58,80,right,blue,601,0
C44109,24,477046.49000000063,0,0,4640,blue,true,left,32,85,right,orange,982,0
C44109,25,480593.3100000002,1,83,4557,blue,false,right,83,15,left,orange,619,0
C44109,26,483843.1550000005,1,16,4541,blue,true,right,18,16,right,blue,442,0
C44109,27,486890.74000000075,1,99,4442,blue,true,left,56,99,left,blue,335,0
C44109,28,489838.9350000007,1,75,4367,blue,true,right,23,75,right,blue,485,0
C44109,29,492923.9700000007,1,18,4349,blue,true,left,68,18,left,blue,689,0
C44109,30,496192.7450000003,1,16,4333,blue,true,right,30,16,right,blue,737,0
C44109,31,499529.70000000007,0,0,4333,blue,true,right,86,37,left,orange,477,0
C44109,32,502590.78000000044,0,0,4333,blue,true,left,47,44,right,orange,991,0
C44109,33,506152.2050000003,1,91,4242,blue,true,left,3,91,left,blue,589,0
C44109,34,509334.1050000008,1,60,4182,blue,false,left,60,14,right,orange,525,0
C44109,35,512451.40000000084,0,0,4182,blue,true,right,54,84,left,orange,498,0
C44109,36,515538.7250000003,1,23,4159,blue,true,right,34,23,right,blue,565,0
C44109,37,518721.3350000002,0,0,4159,blue,true,right,96,28,left,orange,349,0
C44109,38,521644.1850000001,1,83,4076,blue,false,left,83,94,right,orange,784,0
C44109,39,525032.2350000006,1,86,3990,blue,true,left,63,86,left,blue,410,0
C44109,40,528032.5600000005,1,53,3937,blue,true,right,99,53,right,blue,532,0
C44109,41,531168.92,0,0,3937,blue,true,right,29,91,left,orange,744,0
C44109,42,534478.7900000002,0,0,3937,blue,true,left,88,64,right,orange,483,0
C44109,43,537555.0500000009,0,0,3937,blue,true,right,84,70,left,orange,589,0
C44109,44,540731.2300000003,1,61,3876,blue,false,left,61,88,right,orange,733,0
C44109,45,544064.7400000007,1,43,3833,blue,true,left,61,43,left,blue,750,0
C44109,46,547402.6950000006,1,54,3779,blue,true,right,87,54,right,blue,710,0
C44109,47,550722.4150000002,1,5,3774,blue,false,right,5,90,left,orange,519,0
C44109,48,557849.7250000001,0,0,3774,blue,true,right,71,44,left,orange,3090,0
C44109,49,563534.0400000005,0,0,3774,blue,true,left,42,52,right,orange,887,0
C44109,50,567015.8500000007,0,0,3774,blue,true,right,39,93,left,orange,390,0
C44109,51,569979.0750000002,1,24,3750,blue,true,right,39,24,right,blue,574,0
C44109,52,573153.4400000001,1,20,3730,blue,false,right,20,10,left,orange,732,0
C44109,53,576491.3250000009,0,0,3730,blue,false,right,85,43,right,blue,288,0
C44109,54,579374.7850000008,0,0,3730,blue,false,left,77,7,left,blue,554,0
C44109,55,582496.0800000008,0,0,3730,blue,true,left,95,90,right,orange,562,0
C44109,56,585632.2450000007,0,0,3730,blue,true,right,56,7,left,orange,1409,0
C44109,57,589623.6500000005,0,0,3730,blue,true,left,50,69,right,orange,920,0
C44109,58,593119.7400000001,1,83,3647,blue,true,left,4,83,left,blue,1026,0
C44109,59,596735.1350000008,1,40,3607,blue,false,left,40,8,right,orange,1139,0
C44109,60,600465.1650000005,1,86,3521,blue,true,left,47,86,left,blue,2673,0
C44109,61,605736.9050000006,1,49,3472,blue,true,right,15,49,right,blue,1075,0
C44109,62,609428.9550000003,0,0,3472,blue,true,right,17,39,left,orange,476,0
C44109,63,612459.4850000003,0,0,3472,blue,false,right,76,97,right,blue,711,0
C44109,64,615748.6950000002,1,14,3458,blue,true,right,73,14,right,blue,614,0
C44109,65,618964.3400000004,0,0,3458,blue,true,right,67,29,left,orange,431,0
C44109,66,621981.06,1,39,3419,blue,true,right,48,39,right,blue,765,0
C44109,67,625362.9550000005,0,0,3419,blue,true,left,30,99,right,orange,389,0
C44109,68,628325.7600000006,1,13,3406,blue,false,right,13,20,left,orange,414,0
C44109,69,631329.5650000009,1,59,3347,blue,true,right,66,59,right,blue,335,0
C44109,70,634248.99,1,60,3287,blue,true,right,20,60,right,blue,30,0
C44109,71,636889.8300000001,0,0,3287,blue,true,right,41,25,left,orange,614,0
C44109,72,640090.9300000003,1,76,3211,blue,false,right,76,70,left,orange,1111,0
C44109,73,643795.0300000003,1,73,3138,blue,false,left,73,18,right,orange,408,0
C44109,74,646875.5650000003,0,0,3138,blue,false,right,41,80,right,blue,322,0
C44109,75,649771.7600000006,0,0,3138,blue,true,right,25,76,left,orange,386,0
C44109,76,652735.6200000003,0,0,3138,blue,false,right,34,52,right,blue,482,0
C44109,77,655814.8450000008,1,30,3108,blue,false,right,30,60,left,orange,499,0
C44109,78,658938.0550000005,0,0,3108,blue,false,right,91,36,right,blue,378,0
C44109,79,661909.6100000006,0,0,3108,blue,false,right,70,59,right,blue,373,0
C44109,80,664872.8550000006,1,47,3061,blue,true,right,64,47,right,blue,236,0
C44109,81,667731.1350000009,1,28,3033,blue,false,right,28,44,left,orange,494,0
C44109,82,670820.1850000005,1,2,3031,blue,false,left,2,80,right,orange,583,0
C44109,83,674000.6050000002,0,0,3031,blue,false,right,20,39,right,blue,1408,0
C44109,84,677978.4950000003,0,0,3031,blue,false,right,32,61,right,blue,797,0
C44109,85,681346.1900000002,0,0,3031,blue,false,right,90,61,right,blue,285,0
C44109,86,684199.2250000003,0,0,3031,blue,true,right,62,70,left,orange,409,0
C44109,87,687161.7850000003,1,17,3014,blue,false,right,17,33,left,orange,368,0
C44109,88,690112.3800000005,1,74,2940,blue,false,left,74,17,right,orange,431,0
C44109,89,693140.4000000003,1,2,2938,blue,false,right,2,85,left,orange,1107,0
C44109,90,696848.0100000006,0,0,2938,blue,false,right,39,76,right,blue,1382,0
C44109,91,700800.1450000001,1,70,2868,blue,false,left,70,20,right,orange,1352,0
C44109,92,704737.7750000005,0,0,2868,blue,true,right,24,69,left,orange,655,0
C44109,93,707959.6150000007,0,0,2868,blue,true,right,59,52,left,orange,537,0
C44109,94,715076.9050000008,1,15,2853,blue,false,right,15,43,left,orange,979,0
C44109,95,718629.5900000004,1,34,2819,blue,true,right,50,34,right,blue,757,0
C44109,96,721990.8800000002,1,43,2776,blue,false,left,43,48,right,orange,642,0
C44109,97,725225.4850000008,1,35,2741,blue,true,left,14,35,left,blue,578,0
C44109,98,728414.1000000009,1,42,2699,blue,true,right,12,42,right,blue,276,0
C44109,99,731286.6750000003,0,0,2699,blue,true,left,40,44,right,orange,570,0
C44109,100,734442.2700000005,0,0,2699,blue,true,right,88,50,left,orange,1032,0
C44109,101,738058.4450000005,0,0,2699,blue,true,right,51,19,left,orange,661,0
C44109,102,741305.2200000002,0,0,2699,blue,true,left,44,59,right,orange,963,0
C44109,103,744857.5100000007,0,0,2699,blue,true,left,23,9,right,orange,416,0
C44109,104,747871.3250000001,1,76,2623,blue,true,left,23,76,left,blue,429,0
C44109,105,750889.0000000001,0,0,2623,blue,true,left,94,47,right,orange,448,0
C44109,106,753914.7150000008,0,0,2623,blue,false,right,67,56,right,blue,696,0
C44109,107,757186.49,0,0,2623,blue,true,right,50,16,left,orange,1316,0
C44109,108,761089.5450000007,0,0,2623,blue,true,left,83,7,right,orange,386,0
C44109,109,764054.8500000004,0,0,2623,blue,true,right,86,41,left,orange,1047,0
C44109,110,767702.1950000008,1,37,2586,blue,true,right,61,37,right,blue,925,0
C44109,111,771213.9500000003,0,0,2586,blue,false,left,82,57,left,blue,524,0
C44109,112,774318.1800000002,1,68,2518,blue,false,left,68,28,right,orange,391,0
C44109,113,777295.1500000008,1,65,2453,blue,false,right,65,76,left,orange,501,0
C44109,114,780394.5150000008,1,25,2428,blue,false,left,25,19,right,orange,17,0
C44109,115,783011.4850000009,0,0,2428,blue,false,left,67,68,left,blue,2422,0
C44109,116,787998.665,0,0,2428,blue,false,right,82,68,right,blue,744,0
C44109,117,791309.5550000007,1,88,2340,blue,false,right,88,19,left,orange,3023,0
C44109,118,796924.8100000004,0,0,2340,blue,true,left,55,11,right,orange,444,0
C44109,119,799942.8200000002,0,0,2340,blue,true,left,74,36,right,orange,558,0
C44109,120,803077.0700000003,0,0,2340,blue,false,right,18,64,right,blue,1033,0
C44109,121,806670.8550000003,0,0,2340,blue,false,right,15,3,right,blue,1444,0
C44109,122,810676.7350000009,1,91,2249,blue,false,left,91,76,right,orange,465,0
C44109,123,813741.9800000007,1,66,2183,blue,false,right,66,92,left,orange,1620,0
C44109,124,817953.1000000007,1,67,2116,blue,false,left,67,14,right,orange,347,0
C44109,125,820891.4300000006,0,0,2116,blue,true,right,11,77,left,orange,1780,0
