Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44229,1,93345.2099999995,0,0,5000,blue,true,right,44,37,left,orange,2061,0
C44229,2,97940.58499998937,0,0,5000,blue,true,left,66,12,right,orange,904,0
C44229,3,101369.92499999178,1,9,4991,blue,true,right,98,9,right,blue,939,0
C44229,4,104841.61499999755,0,0,4991,blue,false,left,20,91,left,blue,1931,0
C44229,5,109300.29499999364,0,0,4991,blue,true,right,28,8,left,orange,561,0
C44229,6,112397.96499999647,0,0,4991,blue,true,right,30,33,left,orange,904,0
C44229,7,115830.31999999366,0,0,4991,blue,true,right,27,24,left,orange,663,0
C44229,8,119025.36499999405,1,58,4933,blue,false,right,58,43,left,orange,797,0
C44229,9,122360.18999999214,0,0,4933,blue,true,left,72,47,right,orange,733,0
C44229,10,125619.97999998857,1,44,4889,blue,false,right,44,44,left,orange,433,0
C44229,11,128581.35500000208,0,0,4889,blue,true,left,69,26,right,orange,689,0
C44229,12,131806.46500000148,0,0,4889,blue,true,left,6,41,right,orange,2038,0
C44229,13,136363.70999999053,0,0,4889,blue,true,left,88,34,right,orange,906,0
C44229,14,139795.95499999414,1,73,4816,blue,false,left,73,18,right,orange,498,0
C44229,15,142807.9449999932,0,0,4816,blue,true,right,60,25,left,orange,677,0
C44229,16,146026.4349999925,0,0,4816,blue,true,right,68,6,left,orange,524,0
C44229,17,149078.93499999773,1,48,4768,blue,false,right,48,39,left,orange,390,0
C44229,18,152008.4399999905,0,0,4768,blue,true,left,35,76,right,orange,532,0
C44229,19,155081.16999999038,0,0,4768,blue,true,right,23,85,left,orange,381,0
C44229,20,157996.16499998956,0,0,4768,blue,true,left,54,22,right,orange,418,0
C44229,21,160947.9699999938,1,66,4702,blue,false,right,66,58,left,orange,362,0
C44229,22,163845.09999999136,0,0,4702,blue,true,left,98,41,right,orange,393,0
C44229,23,166758.4249999927,0,0,4702,blue,true,left,58,80,right,orange,481,0
C44229,24,169767.7699999913,0,0,4702,blue,true,left,32,85,right,orange,558,0
C44229,25,172862.8800000006,1,83,4619,blue,false,left,83,15,right,orange,470,0
C44229,26,175871.65499999537,0,0,4619,blue,true,right,18,16,left,orange,853,0
C44229,27,179260.49000000057,0,0,4619,blue,true,right,56,99,left,orange,593,0
C44229,28,182392.28499999444,0,0,4619,blue,true,right,23,75,left,orange,532,0
C44229,29,185448.02999999956,0,0,4619,blue,true,right,68,18,left,orange,365,0
C44229,30,188344.82499999285,0,0,4619,blue,true,right,30,16,left,orange,365,0
C44229,31,191243.22999999276,0,0,4619,blue,true,left,86,37,right,orange,610,0
C44229,32,194367.99499999324,0,0,4619,blue,true,right,47,44,left,orange,341,0
C44229,33,197222.66499999387,0,0,4619,blue,true,right,3,91,left,orange,333,0
C44229,34,200090.94999999797,1,60,4559,blue,false,right,60,14,left,orange,346,0
C44229,35,202969.62999999232,0,0,4559,blue,true,right,54,84,left,orange,371,0
C44229,36,205868.78999999317,0,0,4559,blue,true,left,34,23,right,orange,385,0
C44229,37,208784.35499999614,0,0,4559,blue,true,left,96,28,right,orange,357,0
C44229,38,211667.42499999236,1,83,4476,blue,false,right,83,94,left,orange,370,0
C44229,39,214563.685000001,0,0,4476,blue,true,left,63,86,right,orange,393,0
C44229,40,217478.30999999132,0,0,4476,blue,true,left,99,53,right,orange,367,0
C44229,41,220375.78000000212,0,0,4476,blue,true,right,29,91,left,orange,381,0
C44229,42,223286.29499999806,0,0,4476,blue,true,right,88,64,left,orange,423,0
C44229,43,226235.37999999826,0,0,4476,blue,true,right,84,70,left,orange,370,0
C44229,44,229124.69499999133,1,61,4415,blue,false,right,61,88,left,orange,327,0
C44229,45,231987.46999999275,0,0,4415,blue,true,left,61,43,right,orange,394,0
C44229,46,234902.14999999444,0,0,4415,blue,true,right,87,54,left,orange,335,0
C44229,47,237773.41499998874,1,5,4410,blue,false,left,5,90,right,orange,375,0
C44229,48,244687.20999998914,0,0,4410,blue,true,left,71,44,right,orange,1159,0
C44229,49,248379.13000000117,0,0,4410,blue,true,left,42,52,right,orange,323,0
C44229,50,251229.07499999565,0,0,4410,blue,true,right,39,93,left,orange,376,0
C44229,51,254126.5599999897,0,0,4410,blue,true,right,39,24,left,orange,342,0
C44229,52,256991.25500000082,1,20,4390,blue,false,right,20,10,left,orange,334,0
C44229,53,259855.0350000005,1,85,4305,blue,false,left,85,43,right,orange,383,0
C44229,54,262751.07499999285,1,77,4228,blue,false,left,77,7,right,orange,372,0
C44229,55,265651.8300000025,0,0,4228,blue,true,right,95,90,left,orange,377,0
C44229,56,268568.8749999972,0,0,4228,blue,true,left,56,7,right,orange,309,0
C44229,57,271408.9349999995,0,0,4228,blue,true,right,50,69,left,orange,381,0
C44229,58,274320.8000000013,0,0,4228,blue,true,left,4,83,right,orange,341,0
C44229,59,277194.94499999564,1,40,4188,blue,false,right,40,8,left,orange,434,0
C44229,60,280162.6749999996,0,0,4188,blue,true,left,47,86,right,orange,378,0
C44229,61,283074.9700000015,0,0,4188,blue,true,right,15,49,left,orange,378,0
C44229,62,285993.44500000007,0,0,4188,blue,true,left,17,39,right,orange,341,0
C44229,63,288862.9099999962,1,76,4112,blue,false,right,76,97,left,orange,439,0
C44229,64,291822.6749999885,0,0,4112,blue,true,left,73,14,right,orange,390,0
C44229,65,294738.96999999124,0,0,4112,blue,true,left,67,29,right,orange,386,0
