Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44309,1,151220.52000000258,1,37,4963,blue,true,left,44,37,left,blue,1356,0
C44309,2,155107.50500000722,0,0,4963,blue,true,right,66,12,left,orange,500,0
C44309,3,158136.09499999438,0,0,4963,blue,true,left,98,9,right,orange,420,0
C44309,4,161084.4150000048,1,20,4943,blue,false,right,20,91,left,orange,400,0
C44309,5,164017.3849999992,0,0,4943,blue,true,left,28,8,right,orange,417,0
C44309,6,166961.15000000282,0,0,4943,blue,true,left,30,33,right,orange,456,0
C44309,7,169945.82500000251,0,0,4943,blue,true,left,27,24,right,orange,413,0
C44309,8,172886.8050000019,1,58,4885,blue,false,left,58,43,right,orange,414,0
C44309,9,175836.35500000673,1,47,4838,blue,true,right,72,47,right,blue,724,0
C44309,10,179093.22999999858,1,44,4794,blue,false,left,44,44,right,orange,418,0
C44309,11,182044.2949999997,0,0,4794,blue,true,left,69,26,right,orange,330,0
C44309,12,184901.9350000017,0,0,4794,blue,true,left,6,41,right,orange,423,0
C44309,13,187854.21000000497,0,0,4794,blue,true,left,88,34,right,orange,505,0
C44309,14,190883.48000000406,1,73,4721,blue,false,left,73,18,right,orange,356,0
C44309,15,193771.3950000034,1,25,4696,blue,true,left,60,25,left,blue,412,0
C44309,16,196716.96499999962,0,0,4696,blue,true,left,68,6,right,orange,283,0
C44309,17,199527.80500000517,1,48,4648,blue,false,right,48,39,left,orange,350,0
C44309,18,202413.85500000615,0,0,4648,blue,true,right,35,76,left,orange,289,0
C44309,19,205224.59500000696,0,0,4648,blue,true,right,23,85,left,orange,315,0
C44309,20,208070.47000000603,0,0,4648,blue,true,left,54,22,right,orange,339,0
C44309,21,210936.57999999414,0,0,4648,blue,false,left,66,58,left,blue,774,0
C44309,22,214238.84999999427,0,0,4648,blue,true,left,98,41,right,orange,391,0
C44309,23,217157.34499999962,0,0,4648,blue,true,left,58,80,right,orange,371,0
C44309,24,220054.5049999928,0,0,4648,blue,true,left,32,85,right,orange,505,0
C44309,25,223086.55500000168,0,0,4648,blue,false,left,83,15,left,blue,557,0
C44309,26,226172.34499999904,0,0,4648,blue,true,left,18,16,right,orange,491,0
C44309,27,229191.33000000147,0,0,4648,blue,true,right,56,99,left,orange,315,0
C44309,28,232034.63500000362,0,0,4648,blue,true,right,23,75,left,orange,329,0
C44309,29,234891.09000000462,1,18,4630,blue,true,left,68,18,left,blue,915,0
C44309,30,238338.94499999587,1,16,4614,blue,true,left,30,16,left,blue,358,0
C44309,31,241224.02999999758,0,0,4614,blue,true,left,86,37,right,orange,518,0
C44309,32,244266.68000000063,0,0,4614,blue,true,left,47,44,right,orange,334,0
C44309,33,247126.54500000644,0,0,4614,blue,true,right,3,91,left,orange,351,0
C44309,34,250007.76999999653,1,60,4554,blue,false,right,60,14,left,orange,389,0
C44309,35,252931.26500000653,0,0,4554,blue,true,right,54,84,left,orange,350,0
C44309,36,255807.53499999992,0,0,4554,blue,true,left,34,23,right,orange,334,0
C44309,37,258669.93499999808,0,0,4554,blue,true,left,96,28,right,orange,425,0
C44309,38,261623.9099999948,1,83,4471,blue,false,left,83,94,right,orange,1193,0
C44309,39,265351.2150000024,1,86,4385,blue,true,left,63,86,left,blue,458,0
C44309,40,268338.96500000264,0,0,4385,blue,true,right,99,53,left,orange,394,0
C44309,41,271260.6749999977,0,0,4385,blue,true,left,29,91,right,orange,407,0
C44309,42,274197.16500000504,0,0,4385,blue,true,right,88,64,left,orange,327,0
