Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44382,1,138500.4600000102,1,37,4963,blue,true,right,44,37,right,blue,1045,0
C44382,2,142069.17500001146,1,12,4951,blue,true,right,66,12,right,blue,425,0
C44382,3,145019.62999999523,0,0,4951,blue,true,right,98,9,left,orange,406,0
C44382,4,147949.20999999158,1,20,4931,blue,false,right,20,91,left,orange,443,0
C44382,5,150915.20000001765,0,0,4931,blue,true,left,28,8,right,orange,418,0
C44382,6,153852.4599999946,0,0,4931,blue,true,left,30,33,right,orange,409,0
C44382,7,156792.6199999929,0,0,4931,blue,true,left,27,24,right,orange,418,0
C44382,8,159729.84000001452,1,58,4873,blue,false,left,58,43,right,orange,398,0
C44382,9,162653.19499999168,0,0,4873,blue,true,right,72,47,left,orange,481,0
C44382,10,165657.39000000758,1,44,4829,blue,false,right,44,44,left,orange,674,0
C44382,11,168865.60499999905,1,26,4803,blue,true,right,69,26,right,blue,382,0
C44382,12,171774.55999999074,1,41,4762,blue,true,right,6,41,right,blue,411,0
C44382,13,174716.86499999487,0,0,4762,blue,true,left,88,34,right,orange,462,0
C44382,14,177702.5250000006,1,73,4689,blue,false,left,73,18,right,orange,359,0
C44382,15,180593.274999992,0,0,4689,blue,true,right,60,25,left,orange,420,0
C44382,16,183535.2300000086,0,0,4689,blue,true,right,68,6,left,orange,595,0
C44382,17,186653.1600000162,1,48,4641,blue,false,left,48,39,right,orange,411,0
C44382,18,189595.96000000602,0,0,4641,blue,true,right,35,76,left,orange,537,0
C44382,19,192655.28999999515,0,0,4641,blue,true,left,23,85,right,orange,372,0
C44382,20,195551.8699999957,0,0,4641,blue,true,left,54,22,right,orange,389,0
C44382,21,198460.545000009,1,66,4575,blue,false,left,66,58,right,orange,398,0
C44382,22,201385.0800000073,0,0,4575,blue,true,left,98,41,right,orange,457,0
C44382,23,204368.1149999902,0,0,4575,blue,true,right,58,80,left,orange,495,0
C44382,24,207383.44000000507,0,0,4575,blue,true,right,32,85,left,orange,503,0
C44382,25,210400.92499999446,1,83,4492,blue,false,left,83,15,right,orange,369,0
