Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44462,1,189182.70000004768,1,37,4963,blue,true,left,44,37,left,blue,1838,0
C44462,2,193571.79999995232,1,12,4951,blue,true,left,66,12,left,blue,1440,0
C44462,3,197545.20000004768,0,0,4951,blue,true,right,98,9,left,orange,699,0
C44462,4,200782.40000009537,1,20,4931,blue,false,left,20,91,right,orange,628,0
C44462,5,203946.29999995232,0,0,4931,blue,true,right,28,8,left,orange,1894,0
C44462,6,208378.79999995232,0,0,4931,blue,true,left,30,33,right,orange,654,0
C44462,7,211565.5,0,0,4931,blue,true,left,27,24,right,orange,626,0
C44462,8,214737.90000009537,1,58,4873,blue,false,left,58,43,right,orange,429,0
C44462,9,217703.70000004768,0,0,4873,blue,true,left,72,47,right,orange,507,0
C44462,10,220765.40000009537,1,44,4829,blue,false,right,44,44,left,orange,1045,0
C44462,11,224348.29999995232,0,0,4829,blue,true,left,69,26,right,orange,1137,0
C44462,12,228013.60000014305,0,0,4829,blue,true,left,6,41,right,orange,425,0
C44462,13,230965,0,0,4829,blue,true,left,88,34,right,orange,415,0
C44462,14,233923.40000009537,1,73,4756,blue,false,right,73,18,left,orange,1789,0
C44462,15,238261.29999995232,0,0,4756,blue,true,left,60,25,right,orange,951,0
C44462,16,241751.40000009537,0,0,4756,blue,true,left,68,6,right,orange,1219,0
C44462,17,245495.90000009537,1,48,4708,blue,false,left,48,39,right,orange,1212,0
C44462,18,249252.79999995232,0,0,4708,blue,true,right,35,76,left,orange,434,0
C44462,19,252217.40000009537,0,0,4708,blue,true,right,23,85,left,orange,442,0
C44462,20,255203,0,0,4708,blue,true,right,54,22,left,orange,473,0
C44462,21,258224.40000009537,1,66,4642,blue,false,right,66,58,left,orange,416,0
C44462,22,261183.5,0,0,4642,blue,true,left,98,41,right,orange,881,0
C44462,23,264584.10000014305,0,0,4642,blue,true,right,58,80,left,orange,644,0
C44462,24,267762.60000014305,0,0,4642,blue,true,right,32,85,left,orange,498,0
C44462,25,270790.2999999523,1,83,4559,blue,false,left,83,15,right,orange,442,0
C44462,26,273785.2999999523,0,0,4559,blue,true,left,18,16,right,orange,432,0
C44462,27,276769.2999999523,0,0,4559,blue,true,left,56,99,right,orange,534,0
C44462,28,279838.2999999523,0,0,4559,blue,true,left,23,75,right,orange,456,0
C44462,29,282835.2999999523,0,0,4559,blue,true,left,68,18,right,orange,732,0
C44462,30,286093,0,0,4559,blue,true,left,30,16,right,orange,868,0
C44462,31,289512.90000009537,0,0,4559,blue,true,left,86,37,right,orange,560,0
C44462,32,292612.90000009537,0,0,4559,blue,true,left,47,44,right,orange,364,0
C44462,33,295514.2999999523,0,0,4559,blue,true,left,3,91,right,orange,486,0
C44462,34,298532.10000014305,1,60,4499,blue,false,left,60,14,right,orange,426,0
C44462,35,301495,0,0,4499,blue,true,left,54,84,right,orange,410,0
C44462,36,304447.90000009537,0,0,4499,blue,true,right,34,23,left,orange,476,0
C44462,37,307460.90000009537,0,0,4499,blue,true,left,96,28,right,orange,629,0
C44462,38,310624.7000000477,1,83,4416,blue,false,right,83,94,left,orange,536,0
C44462,39,313702.7000000477,0,0,4416,blue,true,left,63,86,right,orange,487,0
C44462,40,316719.40000009537,0,0,4416,blue,true,left,99,53,right,orange,413,0
C44462,41,319669.10000014305,0,0,4416,blue,true,right,29,91,left,orange,659,0
C44462,42,322865.7999999523,0,0,4416,blue,true,left,88,64,right,orange,422,0
C44462,43,325830.7000000477,0,0,4416,blue,true,left,84,70,right,orange,407,0
C44462,44,328773.5,1,61,4355,blue,false,left,61,88,right,orange,504,0
C44462,45,331836.2000000477,0,0,4355,blue,true,right,61,43,left,orange,637,0
C44462,46,335006.5,0,0,4355,blue,true,left,87,54,right,orange,364,0
C44462,47,337901.60000014305,1,5,4350,blue,false,left,5,90,right,orange,459,0
C44462,48,344906.60000014305,0,0,4350,blue,true,right,71,44,left,orange,867,0
C44462,49,348313.5,0,0,4350,blue,true,right,42,52,left,orange,493,0
C44462,50,351333.10000014305,0,0,4350,blue,true,left,39,93,right,orange,314,0
C44462,51,354179.60000014305,0,0,4350,blue,true,right,39,24,left,orange,433,0
C44462,52,357149.2999999523,1,20,4330,blue,false,left,20,10,right,orange,366,0
C44462,53,360042.2999999523,1,85,4245,blue,false,left,85,43,right,orange,489,0
C44462,54,363082.60000014305,0,0,4245,blue,false,left,77,7,left,blue,949,0
C44462,55,366581.2000000477,1,90,4155,blue,true,left,95,90,left,blue,421,0
C44462,56,369546.2000000477,1,7,4148,blue,true,left,56,7,left,blue,619,0
C44462,57,372712.5,0,0,4148,blue,true,left,50,69,right,orange,1281,0
C44462,58,376525.90000009537,0,0,4148,blue,true,left,4,83,right,orange,861,0
C44462,59,379914.5,1,40,4108,blue,false,right,40,8,left,orange,453,0
C44462,60,382896.7000000477,0,0,4108,blue,true,right,47,86,left,orange,874,0
C44462,61,386299.60000014305,0,0,4108,blue,true,right,15,49,left,orange,389,0
C44462,62,389228.5,0,0,4108,blue,true,right,17,39,left,orange,375,0
C44462,63,392142.10000014305,1,76,4032,blue,false,right,76,97,left,orange,843,0
C44462,64,395521.10000014305,0,0,4032,blue,true,left,73,14,right,orange,1642,0
C44462,65,399708.5,0,0,4032,blue,true,right,67,29,left,orange,388,0
C44462,66,402615.7000000477,1,39,3993,blue,true,left,48,39,left,blue,1749,0
C44462,67,406902.10000014305,0,0,3993,blue,true,right,30,99,left,orange,448,0
C44462,68,409882.60000014305,1,13,3980,blue,false,left,13,20,right,orange,437,0
C44462,69,412863.2000000477,0,0,3980,blue,true,left,66,59,right,orange,710,0
C44462,70,416105.5,0,0,3980,blue,true,right,20,60,left,orange,444,0
C44462,71,419104.2000000477,0,0,3980,blue,true,left,41,25,right,orange,606,0
C44462,72,422255.90000009537,1,76,3904,blue,false,right,76,70,left,orange,512,0
C44462,73,425304.60000014305,1,73,3831,blue,false,right,73,18,left,orange,485,0
C44462,74,428330.2000000477,1,41,3790,blue,false,right,41,80,left,orange,434,0
C44462,75,431323.2000000477,0,0,3790,blue,true,left,25,76,right,orange,645,0
C44462,76,434515.60000014305,1,34,3756,blue,false,right,34,52,left,orange,453,0
