Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44640,1,127807.5,1,37,4963,blue,true,left,44,37,left,blue,1778,0
C44640,2,132117.09999990463,1,12,4951,blue,true,left,66,12,left,blue,594,0
C44640,3,135235.90000009537,0,0,4951,blue,true,left,98,9,right,orange,461,0
C44640,4,138217.29999995232,1,20,4931,blue,false,left,20,91,right,orange,487,0
C44640,5,141232.20000004768,0,0,4931,blue,true,left,28,8,right,orange,465,0
C44640,6,144219.40000009537,0,0,4931,blue,true,left,30,33,right,orange,461,0
C44640,7,147200.90000009537,0,0,4931,blue,true,right,27,24,left,orange,463,0
C44640,8,150187.20000004768,1,58,4873,blue,false,right,58,43,left,orange,792,0
C44640,9,153504.70000004768,0,0,4873,blue,true,left,72,47,right,orange,592,0
C44640,10,156614,1,44,4829,blue,false,right,44,44,left,orange,770,0
C44640,11,159913.40000009537,0,0,4829,blue,true,left,69,26,right,orange,600,0
C44640,12,163027.90000009537,1,41,4788,blue,true,left,6,41,left,blue,1038,0
C44640,13,166589.40000009537,0,0,4788,blue,true,left,88,34,right,orange,468,0
C44640,14,169580.59999990463,1,73,4715,blue,false,right,73,18,left,orange,2056,0
C44640,15,174160.59999990463,0,0,4715,blue,true,left,60,25,right,orange,401,0
C44640,16,177083.59999990463,0,0,4715,blue,true,left,68,6,right,orange,595,0
C44640,17,180202.09999990463,1,48,4667,blue,false,left,48,39,right,orange,407,0
C44640,18,183134.70000004768,0,0,4667,blue,true,right,35,76,left,orange,484,0
C44640,19,186135.5,0,0,4667,blue,true,right,23,85,left,orange,475,0
C44640,20,189140.90000009537,0,0,4667,blue,true,left,54,22,right,orange,332,0
C44640,21,191992.29999995232,1,66,4601,blue,false,left,66,58,right,orange,425,0
C44640,22,194941,1,41,4560,blue,true,left,98,41,left,blue,506,0
C44640,23,197968.5,0,0,4560,blue,true,right,58,80,left,orange,545,0
C44640,24,201036.79999995232,0,0,4560,blue,true,left,32,85,right,orange,610,0
C44640,25,204170.79999995232,1,83,4477,blue,false,right,83,15,left,orange,694,0
C44640,26,207385.29999995232,1,16,4461,blue,true,left,18,16,left,blue,508,0
C44640,27,210414.09999990463,1,99,4362,blue,true,left,56,99,left,blue,419,0
C44640,28,213365.20000004768,1,75,4287,blue,true,right,23,75,right,blue,572,0
C44640,29,216466.70000004768,0,0,4287,blue,true,right,68,18,left,orange,444,0
C44640,30,219437.29999995232,0,0,4287,blue,true,right,30,16,left,orange,537,0
C44640,31,222493,0,0,4287,blue,true,left,86,37,right,orange,469,0
C44640,32,225482.40000009537,0,0,4287,blue,true,right,47,44,left,orange,759,0
C44640,33,228763.5,0,0,4287,blue,true,right,3,91,left,orange,565,0
C44640,34,231847.59999990463,0,0,4287,blue,false,right,60,14,right,blue,624,0
C44640,35,234991.90000009537,1,84,4203,blue,true,right,54,84,right,blue,625,0
C44640,36,238150.29999995232,0,0,4203,blue,true,right,34,23,left,orange,619,0
C44640,37,241289.70000004768,0,0,4203,blue,true,left,96,28,right,orange,760,0
C44640,38,244569.09999990463,1,83,4120,blue,false,right,83,94,left,orange,509,0
C44640,39,247603.20000004768,0,0,4120,blue,true,left,63,86,right,orange,509,0
C44640,40,250629.70000004768,0,0,4120,blue,true,right,99,53,left,orange,892,0
C44640,41,254045,0,0,4120,blue,true,left,29,91,right,orange,613,0
C44640,42,257178.29999995232,0,0,4120,blue,true,left,88,64,right,orange,924,0
C44640,43,260615.90000009537,0,0,4120,blue,true,left,84,70,right,orange,650,0
C44640,44,263784.2999999523,1,61,4059,blue,false,right,61,88,left,orange,457,0
C44640,45,266769.09999990463,0,0,4059,blue,true,left,61,43,right,orange,511,0
C44640,46,269798,0,0,4059,blue,true,right,87,54,left,orange,942,0
C44640,47,273262.40000009537,1,5,4054,blue,false,right,5,90,left,orange,755,0
C44640,48,280557.7999999523,0,0,4054,blue,true,left,71,44,right,orange,1064,0
C44640,49,284143.2999999523,0,0,4054,blue,true,left,42,52,right,orange,721,0
C44640,50,287383.59999990463,0,0,4054,blue,true,right,39,93,left,orange,362,0
C44640,51,290268,0,0,4054,blue,true,right,39,24,left,orange,677,0
C44640,52,293469,0,0,4054,blue,false,right,20,10,right,blue,841,0
C44640,53,296834.2999999523,0,0,4054,blue,false,left,85,43,left,blue,1181,0
C44640,54,300540.2999999523,0,0,4054,blue,false,right,77,7,right,blue,517,0
