Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44679,1,76987,1,10,4990,blue,true,left,23,10,left,blue,1438,0
C44679,2,80959,1,97,4893,blue,true,right,45,97,right,blue,616,0
C44679,3,84117,0,0,4893,blue,true,left,54,62,right,orange,442,0
C44679,4,87087,1,99,4794,blue,false,right,99,16,left,orange,361,0
C44679,5,89984,0,0,4794,blue,true,left,72,40,right,orange,335,0
C44679,6,92850,0,0,4794,blue,true,right,98,88,left,orange,382,0
C44679,7,95769,0,0,4794,blue,true,left,6,54,right,orange,334,0
C44679,8,98642,0,0,4794,blue,true,right,64,55,left,orange,342,0
C44679,9,101523,0,0,4794,blue,false,right,96,45,right,blue,245,0
C44679,10,104299,0,0,4794,blue,true,right,28,19,left,orange,340,0
C44679,11,107181,0,0,4794,blue,true,left,95,26,right,orange,419,0
C44679,12,110131,0,0,4794,blue,true,left,90,29,right,orange,382,0
C44679,13,113038,0,0,4794,blue,true,left,20,53,right,orange,393,0
C44679,14,115969,0,0,4794,blue,true,left,74,56,right,orange,326,0
C44679,15,118842,0,0,4794,blue,true,left,18,42,right,orange,342,0
C44679,16,121723,0,0,4794,blue,true,right,11,91,left,orange,382,0
C44679,17,124632,1,32,4762,blue,false,right,32,31,left,orange,368,0
C44679,18,127526,0,0,4762,blue,true,left,36,65,right,orange,410,0
C44679,19,130486,1,40,4722,blue,false,left,40,30,right,orange,403,0
C44679,20,133430,0,0,4722,blue,true,left,29,26,right,orange,345,0
C44679,21,136316,1,32,4690,blue,false,left,32,36,right,orange,323,0
C44679,22,139177,0,0,4690,blue,true,left,72,81,right,orange,328,0
C44679,23,142036,1,95,4595,blue,false,right,95,54,left,orange,380,0
C44679,24,144948,1,40,4555,blue,false,left,40,59,right,orange,676,0
C44679,25,148153,0,0,4555,blue,false,left,29,24,left,blue,383,0
C44679,26,151073,0,0,4555,blue,false,left,60,51,left,blue,343,0
C44679,27,153948,0,0,4555,blue,false,left,83,65,left,blue,380,0
C44679,28,156862,1,98,4457,blue,true,left,78,98,left,blue,338,0
C44679,29,159733,0,0,4457,blue,false,left,56,51,left,blue,370,0
C44679,30,162635,0,0,4457,blue,false,right,5,20,right,blue,484,0
