Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C44952,1,157654,1,10,4990,blue,true,left,23,10,left,blue,805,0
C44952,2,160985,1,97,4893,blue,true,right,45,97,right,blue,1523,0
C44952,3,165029,0,0,4893,blue,true,left,54,62,right,orange,436,0
C44952,4,167986,1,99,4794,blue,false,left,99,16,right,orange,574,0
C44952,5,171086,0,0,4794,blue,true,left,72,40,right,orange,541,0
C44952,6,174151,0,0,4794,blue,true,left,98,88,right,orange,501,0
C44952,7,177172,0,0,4794,blue,true,left,6,54,right,orange,398,0
C44952,8,180090,0,0,4794,blue,true,right,64,55,left,orange,1001,0
C44952,9,183611,1,96,4698,blue,false,left,96,45,right,orange,695,0
C44952,10,186830,0,0,4698,blue,true,left,28,19,right,orange,657,0
C44952,11,190006,0,0,4698,blue,true,right,95,26,left,orange,472,0
C44952,12,192996,0,0,4698,blue,true,right,90,29,left,orange,422,0
C44952,13,195937,0,0,4698,blue,true,left,20,53,right,orange,448,0
C44952,14,198907,1,56,4642,blue,true,right,74,56,right,blue,588,0
C44952,15,202014,1,42,4600,blue,true,left,18,42,left,blue,331,0
C44952,16,204867,0,0,4600,blue,true,left,11,91,right,orange,388,0
C44952,17,207772,1,32,4568,blue,false,right,32,31,left,orange,487,0
C44952,18,210785,0,0,4568,blue,true,right,36,65,left,orange,435,0
C44952,19,213740,1,40,4528,blue,false,right,40,30,left,orange,462,0
C44952,20,216725,1,26,4502,blue,true,left,29,26,left,blue,630,0
C44952,21,219879,0,0,4502,blue,false,right,32,36,right,blue,354,0
C44952,22,222757,1,81,4421,blue,true,right,72,81,right,blue,536,0
C44952,23,225814,0,0,4421,blue,false,left,95,54,left,blue,378,0
C44952,24,228709,0,0,4421,blue,false,left,40,59,left,blue,464,0
C44952,25,231689,0,0,4421,blue,false,left,29,24,left,blue,492,0
C44952,26,234700,1,60,4361,blue,false,right,60,51,left,orange,98,0
C44952,27,237316,1,83,4278,blue,false,right,83,65,left,orange,129,0
C44952,28,239967,1,98,4180,blue,true,left,78,98,left,blue,490,0
C44952,29,242979,0,0,4180,blue,false,left,56,51,left,blue,415,0
C44952,30,245911,0,0,4180,blue,false,right,5,20,right,blue,575,0
C44952,31,249004,0,0,4180,blue,false,left,67,2,left,blue,519,0
C44952,32,252038,0,0,4180,blue,false,right,85,84,right,blue,422,0
C44952,33,254975,1,49,4131,blue,true,right,7,49,right,blue,471,0
C44952,34,257966,1,37,4094,blue,false,right,37,47,left,orange,425,0
C44952,35,260916,0,0,4094,blue,false,right,27,91,right,blue,430,0
C44952,36,263865,0,0,4094,blue,false,right,44,42,right,blue,527,0
C44952,37,266914,1,55,4039,blue,true,left,31,55,left,blue,804,0
C44952,38,270243,0,0,4039,blue,false,right,97,70,right,blue,643,0
C44952,39,273403,0,0,4039,blue,false,left,14,9,left,blue,660,0
C44952,40,276583,1,51,3988,blue,true,left,23,51,left,blue,547,0
C44952,41,279655,1,79,3909,blue,true,left,89,79,left,blue,492,0
C44952,42,282660,1,86,3823,blue,true,left,83,86,left,blue,652,0
C44952,43,285830,1,62,3761,blue,true,left,40,62,left,blue,1061,0
C44952,44,289418,1,23,3738,blue,true,left,36,23,left,blue,610,0
C44952,45,292548,1,61,3677,blue,true,left,65,61,left,blue,466,0
C44952,46,295532,1,67,3610,blue,true,right,74,67,right,blue,648,0
