Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45112,1,1244188.6499999964,1,37,4963,blue,true,left,44,37,left,blue,1883,0
C45112,2,1248632.1650000173,1,12,4951,blue,true,right,66,12,right,blue,1198,0
C45112,3,1252381.470000022,1,9,4942,blue,true,left,98,9,left,blue,248,0
C45112,4,1255185.7400000154,1,20,4922,blue,false,right,20,91,left,orange,203,0
C45112,5,1257942.4350000045,1,8,4914,blue,true,right,28,8,right,blue,315,0
C45112,6,1260806.899999996,1,33,4881,blue,true,left,30,33,left,blue,131,0
C45112,7,1263498.1649999972,0,0,4881,blue,true,right,27,24,left,orange,172,0
C45112,8,1266222.529999999,0,0,4881,blue,false,left,58,43,left,blue,586,0
C45112,9,1269350.5550000118,0,0,4881,blue,true,right,72,47,left,orange,484,0
C45112,10,1272379.2000000249,1,44,4837,blue,false,right,44,44,left,orange,309,0
C45112,11,1275240.9000000043,1,26,4811,blue,true,right,69,26,right,blue,310,0
C45112,12,1278102.0500000159,0,0,4811,blue,true,right,6,41,left,orange,291,0
C45112,13,1280939.0399999975,0,0,4811,blue,true,right,88,34,left,orange,349,0
C45112,14,1283834.3900000036,0,0,4811,blue,false,right,73,18,right,blue,121,0
C45112,15,1286500.1800000027,0,0,4811,blue,true,right,60,25,left,orange,283,0
C45112,16,1289328.3900000097,0,0,4811,blue,true,left,68,6,right,orange,964,0
C45112,17,1292839.260000008,1,48,4763,blue,false,left,48,39,right,orange,342,0
C45112,18,1295738.3550000086,1,76,4687,blue,true,left,35,76,left,blue,150,0
C45112,19,1298443.025000015,0,0,4687,blue,true,left,23,85,right,orange,380,0
C45112,20,1301368.5150000092,0,0,4687,blue,true,left,54,22,right,orange,785,0
C45112,21,1304698.1050000177,1,66,4621,blue,false,left,66,58,right,orange,92,0
C45112,22,1307340.2200000128,1,41,4580,blue,true,left,98,41,left,blue,638,0
C45112,23,1310532.5500000035,1,80,4500,blue,true,right,58,80,right,blue,232,0
C45112,24,1313317.7800000121,1,85,4415,blue,true,left,32,85,left,blue,63,0
C45112,25,1315968.0200000003,0,0,4415,blue,false,right,83,15,right,blue,737,0
C45112,26,1319276.9350000017,1,16,4399,blue,true,right,18,16,right,blue,361,0
C45112,27,1322187.7800000075,1,99,4300,blue,true,left,56,99,left,blue,2101,0
C45112,28,1326844.865000021,1,75,4225,blue,true,right,23,75,right,blue,250,0
C45112,29,1329649.9000000185,1,18,4207,blue,true,right,68,18,right,blue,185,0
C45112,30,1332392.6100000099,0,0,4207,blue,true,right,30,16,left,orange,104,0
C45112,31,1335037.1549999982,0,0,4207,blue,true,right,86,37,left,orange,255,0
C45112,32,1337839.645,1,44,4163,blue,true,left,47,44,left,blue,310,0
C45112,33,1340711.5400000184,0,0,4163,blue,true,left,3,91,right,orange,139,0
C45112,34,1343393.635000015,1,60,4103,blue,false,right,60,14,left,orange,434,0
C45112,35,1346379.8450000177,0,0,4103,blue,true,left,54,84,right,orange,284,0
C45112,36,1349210.1700000057,0,0,4103,blue,true,right,34,23,left,orange,322,0
C45112,37,1352080.7950000162,1,28,4075,blue,true,right,96,28,right,blue,333,0
C45112,38,1354967.575000017,1,83,3992,blue,false,right,83,94,left,orange,3042,0
C45112,39,1360563.9599999995,0,0,3992,blue,true,left,63,86,right,orange,2006,0
C45112,40,1365118.285000004,1,53,3939,blue,true,left,99,53,left,blue,308,0
C45112,41,1367977.0500000159,0,0,3939,blue,true,left,29,91,right,orange,2252,0
C45112,42,1372778.0450000137,0,0,3939,blue,true,left,88,64,right,orange,1278,0
C45112,43,1376600.2700000245,1,70,3869,blue,true,left,84,70,left,blue,976,0
C45112,44,1380129.979999998,1,61,3808,blue,false,left,61,88,right,orange,22,0
C45112,45,1382809.115000011,1,43,3765,blue,true,right,61,43,right,blue,302,0
C45112,46,1385729.9400000193,1,54,3711,blue,true,left,87,54,left,blue,1951,0
C45112,47,1390254.2450000183,0,0,3711,blue,false,right,5,90,right,blue,193,0
C45112,48,1397012.2600000177,1,44,3667,blue,true,left,71,44,left,blue,1043,0
C45112,49,1400615.4050000187,0,0,3667,blue,true,left,42,52,right,orange,408,0
C45112,50,1403568.905000022,0,0,3667,blue,true,left,39,93,right,orange,252,0
C45112,51,1406371.8600000138,1,24,3643,blue,true,left,39,24,left,blue,363,0
C45112,52,1409304.465000023,1,20,3623,blue,false,left,20,10,right,orange,253,0
C45112,53,1412124.5950000011,0,0,3623,blue,false,left,85,43,left,blue,41,0
C45112,54,1414719.6550000226,1,77,3546,blue,false,right,77,7,left,orange,79,0
C45112,55,1417377.7200000186,0,0,3546,blue,true,left,95,90,right,orange,81,0
C45112,56,1420019.419999997,0,0,3546,blue,true,left,56,7,right,orange,59,0
C45112,57,1422632.8400000057,1,69,3477,blue,true,right,50,69,right,blue,7,0
C45112,58,1425204.31500001,0,0,3477,blue,true,right,4,83,left,orange,218,0
C45112,59,1427992.0200000051,1,40,3437,blue,false,right,40,8,left,orange,61,0
C45112,60,1430635.7150000113,0,0,3437,blue,true,left,47,86,right,orange,1231,0
C45112,61,1434430.5850000237,0,0,3437,blue,true,left,15,49,right,orange,1712,0
C45112,62,1438698.5649999988,1,39,3398,blue,true,right,17,39,right,blue,1307,0
C45112,63,1442588.7950000179,1,76,3322,blue,false,right,76,97,left,orange,2016,0
C45112,64,1447162.165000016,1,14,3308,blue,true,left,73,14,left,blue,1883,0
C45112,65,1451625.1350000093,1,29,3279,blue,true,right,67,29,right,blue,2389,0
C45112,66,1456561.3100000191,0,0,3279,blue,true,right,48,39,left,orange,2071,0
C45112,67,1461180.485000019,1,99,3180,blue,true,left,30,99,left,blue,899,0
C45112,68,1464622.9000000167,0,0,3180,blue,false,left,13,20,left,blue,341,0
C45112,69,1467514.3050000188,0,0,3180,blue,true,left,66,59,right,orange,474,0
C45112,70,1470545.845000015,1,60,3120,blue,true,left,20,60,left,blue,461,0
C45112,71,1473611.3650000188,1,25,3095,blue,true,right,41,25,right,blue,345,0
C45112,72,1476509.0400000045,0,0,3095,blue,false,right,76,70,right,blue,372,0
C45112,73,1479436.2850000034,1,73,3022,blue,false,right,73,18,left,orange,828,0
C45112,74,1482830.030000012,1,41,2981,blue,false,left,41,80,right,orange,290,0
C45112,75,1485700.6650000112,0,0,2981,blue,true,right,25,76,left,orange,192,0
C45112,76,1488452.8600000194,0,0,2981,blue,false,left,34,52,left,blue,280,0
C45112,77,1491288.0500000028,1,30,2951,blue,false,right,30,60,left,orange,219,0
C45112,78,1494067.2000000195,0,0,2951,blue,false,right,91,36,right,blue,261,0
C45112,79,1496884.080000018,1,70,2881,blue,false,left,70,59,right,orange,349,0
C45112,80,1499806.2999999966,0,0,2881,blue,true,right,64,47,left,orange,293,0
C45112,81,1502658.3350000146,0,0,2881,blue,false,left,28,44,left,blue,721,0
C45112,82,1505928.7000000186,1,2,2879,blue,false,left,2,80,right,orange,310,0
