Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45120,1,126793.42000000179,1,10,4990,blue,true,right,23,10,right,blue,2014,0
C45120,2,131359.81999999785,0,0,4990,blue,true,right,45,97,left,orange,446,0
C45120,3,134343.1300000011,0,0,4990,blue,true,right,54,62,left,orange,549,0
C45120,4,137445.3599999979,0,0,4990,blue,false,right,99,16,right,blue,1100,0
C45120,5,141100.83499999746,0,0,4990,blue,true,right,72,40,left,orange,1267,0
C45120,6,144938.89499999932,0,0,4990,blue,true,right,98,88,left,orange,1485,0
C45120,7,148980.92500000348,1,54,4936,blue,true,left,6,54,left,blue,624,0
C45120,8,152146.464999998,1,55,4881,blue,true,left,64,55,left,blue,912,0
C45120,9,155615.29999999766,1,96,4785,blue,false,right,96,45,left,orange,1368,0
C45120,10,159548.0400000015,0,0,4785,blue,true,left,28,19,right,orange,949,0
C45120,11,163048.26499999763,1,26,4759,blue,true,right,95,26,right,blue,1588,0
C45120,12,167196.2249999997,0,0,4759,blue,true,left,90,29,right,orange,1113,0
C45120,13,170865.48500000208,0,0,4759,blue,true,right,20,53,left,orange,887,0
C45120,14,174306.52499999997,0,0,4759,blue,true,right,74,56,left,orange,991,0
C45120,15,177846.46500000235,0,0,4759,blue,true,left,18,42,right,orange,452,0
C45120,16,180864.0149999992,0,0,4759,blue,true,right,11,91,left,orange,1252,0
C45120,17,184659.60500000074,1,32,4727,blue,false,left,32,31,right,orange,752,0
C45120,18,187966.05499999714,0,0,4727,blue,true,left,36,65,right,orange,555,0
C45120,19,191059.8800000007,1,40,4687,blue,false,left,40,30,right,orange,855,0
C45120,20,194472.97999999864,1,26,4661,blue,true,right,29,26,right,blue,626,0
C45120,21,197656.41499999765,1,32,4629,blue,false,right,32,36,left,orange,428,0
C45120,22,200642.7049999984,0,0,4629,blue,true,right,72,81,left,orange,1311,0
C45120,23,204491.47500000254,1,95,4534,blue,false,right,95,54,left,orange,1737,0
C45120,24,208792.3099999971,1,40,4494,blue,false,left,40,59,right,orange,1203,0
C45120,25,212560.36999999924,0,0,4494,blue,false,left,29,24,left,blue,758,0
C45120,26,215863.18000000028,0,0,4494,blue,false,left,60,51,left,blue,687,0
C45120,27,219098.21499999816,0,0,4494,blue,false,left,83,65,left,blue,883,0
C45120,28,222529.88500000356,1,98,4396,blue,true,left,78,98,left,blue,1069,0
