Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45149,1,127310.69999998808,0,0,5000,blue,true,right,23,10,left,orange,1753,0
C45149,2,131587.69999998808,0,0,5000,blue,true,right,45,97,left,orange,668,0
C45149,3,134785.69999998808,0,0,5000,blue,true,right,54,62,left,orange,702,0
C45149,4,138017,0,0,5000,blue,false,right,99,16,right,blue,1214,0
C45149,5,141753.79999995232,0,0,5000,blue,true,right,72,40,left,orange,1044,0
C45149,6,145331.69999998808,0,0,5000,blue,true,left,98,88,right,orange,1412,0
C45149,7,149274.29999995232,0,0,5000,blue,true,right,6,54,left,orange,621,0
C45149,8,152428.59999996424,0,0,5000,blue,true,right,64,55,left,orange,810,0
C45149,9,155753,0,0,5000,blue,false,right,96,45,right,blue,1991,0
C45149,10,160265,0,0,5000,blue,true,left,28,19,right,orange,742,0
C45149,11,163531.39999997616,1,26,4974,blue,true,left,95,26,left,blue,1275,0
C45149,12,167336,0,0,4974,blue,true,right,90,29,left,orange,1248,0
C45149,13,171105.89999997616,0,0,4974,blue,true,left,20,53,right,orange,669,0
C45149,14,174301.79999995232,0,0,4974,blue,true,right,74,56,left,orange,616,0
C45149,15,177440.89999997616,0,0,4974,blue,true,right,18,42,left,orange,790,0
C45149,16,180758.79999995232,0,0,4974,blue,true,left,11,91,right,orange,744,0
C45149,17,184033.5,1,32,4942,blue,false,right,32,31,left,orange,646,0
C45149,18,187209.19999998808,0,0,4942,blue,true,left,36,65,right,orange,702,0
C45149,19,190447.59999996424,1,40,4902,blue,false,right,40,30,left,orange,704,0
C45149,20,193689.89999997616,0,0,4902,blue,true,left,29,26,right,orange,845,0
C45149,21,197056.5,1,32,4870,blue,false,left,32,36,right,orange,758,0
C45149,22,200343.19999998808,1,81,4789,blue,true,left,72,81,left,blue,1352,0
C45149,23,204223.39999997616,0,0,4789,blue,false,left,95,54,left,blue,761,0
C45149,24,207507.19999998808,0,0,4789,blue,false,left,40,59,left,blue,819,0
C45149,25,210859.69999998808,0,0,4789,blue,false,right,29,24,right,blue,802,0
C45149,26,214188,0,0,4789,blue,false,left,60,51,left,blue,707,0
C45149,27,217424.09999996424,0,0,4789,blue,false,right,83,65,right,blue,767,0
C45149,28,220724.09999996424,1,98,4691,blue,true,right,78,98,right,blue,1525,0
C45149,29,224780.79999995232,0,0,4691,blue,false,right,56,51,right,blue,569,0
C45149,30,227872.59999996424,0,0,4691,blue,false,left,5,20,left,blue,631,0
C45149,31,231040.5,0,0,4691,blue,false,right,67,2,right,blue,623,0
C45149,32,234188.29999995232,0,0,4691,blue,false,left,85,84,left,blue,682,0
C45149,33,237404,0,0,4691,blue,true,left,7,49,right,orange,1123,0
C45149,34,241059.19999998808,0,0,4691,blue,false,left,37,47,left,blue,524,0
C45149,35,244112.89999997616,1,27,4664,blue,false,right,27,91,left,orange,1127,0
