Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45455,1,99408,0,0,5000,blue,true,right,44,37,left,orange,1945,0
C45455,2,103912.89999997616,0,0,5000,blue,true,right,66,12,left,orange,636,0
C45455,3,107106.20000004768,0,0,5000,blue,true,right,98,9,left,orange,454,0
C45455,4,110138.30000007153,1,20,4980,blue,false,left,20,91,right,orange,781,0
C45455,5,113474,1,8,4972,blue,true,right,28,8,right,blue,428,0
C45455,6,116462.39999997616,0,0,4972,blue,true,right,30,33,left,orange,453,0
C45455,7,119468.89999997616,0,0,4972,blue,true,right,27,24,left,orange,624,0
C45455,8,122643,1,58,4914,blue,false,right,58,43,left,orange,971,0
C45455,9,126162.60000002384,0,0,4914,blue,true,left,72,47,right,orange,721,0
C45455,10,129432.70000004768,1,44,4870,blue,false,right,44,44,left,orange,658,0
C45455,11,132636.30000007153,0,0,4870,blue,true,left,69,26,right,orange,603,0
C45455,12,135776.5,0,0,4870,blue,true,left,6,41,right,orange,653,0
C45455,13,138969.39999997616,1,34,4836,blue,true,right,88,34,right,blue,980,0
C45455,14,142489.20000004768,0,0,4836,blue,false,left,73,18,left,blue,993,0
C45455,15,146024.39999997616,0,0,4836,blue,true,right,60,25,left,orange,650,0
C45455,16,149215.10000002384,0,0,4836,blue,true,right,68,6,left,orange,463,0
C45455,17,152220.80000007153,1,48,4788,blue,false,right,48,39,left,orange,478,0
C45455,18,155254.39999997616,0,0,4788,blue,true,right,35,76,left,orange,327,0
C45455,19,158127.10000002384,0,0,4788,blue,true,right,23,85,left,orange,482,0
C45455,20,161148.20000004768,0,0,4788,blue,true,left,54,22,right,orange,557,0
C45455,21,164251.5,1,66,4722,blue,false,right,66,58,left,orange,717,0
C45455,22,167525.10000002384,0,0,4722,blue,true,right,98,41,left,orange,466,0
C45455,23,170529.89999997616,0,0,4722,blue,true,left,58,80,right,orange,880,0
C45455,24,173949.60000002384,0,0,4722,blue,true,right,32,85,left,orange,421,0
C45455,25,176923.5,1,83,4639,blue,false,left,83,15,right,orange,589,0
C45455,26,180074,0,0,4639,blue,true,right,18,16,left,orange,607,0
C45455,27,183250,0,0,4639,blue,true,right,56,99,left,orange,535,0
C45455,28,186337.5,0,0,4639,blue,true,right,23,75,left,orange,392,0
C45455,29,189286.80000007153,0,0,4639,blue,true,left,68,18,right,orange,404,0
C45455,30,192228,0,0,4639,blue,true,left,30,16,right,orange,408,0
C45455,31,195184,1,37,4602,blue,true,right,86,37,right,blue,933,0
C45455,32,198673,0,0,4602,blue,true,left,47,44,right,orange,519,0
C45455,33,201740.60000002384,0,0,4602,blue,true,left,3,91,right,orange,783,0
C45455,34,205066.89999997616,1,60,4542,blue,false,right,60,14,left,orange,658,0
C45455,35,208285.70000004768,0,0,4542,blue,true,left,54,84,right,orange,399,0
C45455,36,211221.10000002384,0,0,4542,blue,true,right,34,23,left,orange,492,0
C45455,37,214258.20000004768,0,0,4542,blue,true,left,96,28,right,orange,440,0
C45455,38,217229.80000007153,1,83,4459,blue,false,left,83,94,right,orange,901,0
C45455,39,220687,0,0,4459,blue,true,right,63,86,left,orange,381,0
C45455,40,223609.30000007153,0,0,4459,blue,true,left,99,53,right,orange,457,0
C45455,41,226611.80000007153,0,0,4459,blue,true,right,29,91,left,orange,335,0
C45455,42,229499.70000004768,0,0,4459,blue,true,left,88,64,right,orange,578,0
C45455,43,232619.80000007153,0,0,4459,blue,true,right,84,70,left,orange,460,0
C45455,44,235621.89999997616,1,61,4398,blue,false,right,61,88,left,orange,342,0
C45455,45,238528.20000004768,0,0,4398,blue,true,right,61,43,left,orange,334,0
C45455,46,241415.20000004768,0,0,4398,blue,true,right,87,54,left,orange,352,0
C45455,47,244319.20000004768,1,5,4393,blue,false,left,5,90,right,orange,349,0
C45455,48,251228,0,0,4393,blue,true,right,71,44,left,orange,718,0
C45455,49,254495.10000002384,0,0,4393,blue,true,left,42,52,right,orange,377,0
C45455,50,257415.80000007153,0,0,4393,blue,true,right,39,93,left,orange,517,0
C45455,51,260472.10000002384,0,0,4393,blue,true,left,39,24,right,orange,357,0
C45455,52,263375.60000002384,1,20,4373,blue,false,right,20,10,left,orange,401,0
C45455,53,266310.39999997616,1,85,4288,blue,false,right,85,43,left,orange,405,0
C45455,54,269265.8000000715,1,77,4211,blue,false,right,77,7,left,orange,390,0
C45455,55,272218.8000000715,0,0,4211,blue,true,right,95,90,left,orange,295,0
C45455,56,275061.7000000477,0,0,4211,blue,true,left,56,7,right,orange,385,0
C45455,57,277981.39999997616,0,0,4211,blue,true,left,50,69,right,orange,353,0
C45455,58,280874,0,0,4211,blue,true,right,4,83,left,orange,466,0
C45455,59,283893.89999997616,1,40,4171,blue,false,right,40,8,left,orange,304,0
C45455,60,286759.5,0,0,4171,blue,true,left,47,86,right,orange,342,0
C45455,61,289648.39999997616,0,0,4171,blue,true,right,15,49,left,orange,391,0
C45455,62,292590.39999997616,0,0,4171,blue,true,right,17,39,left,orange,436,0
C45455,63,295570.3000000715,1,76,4095,blue,false,right,76,97,left,orange,350,0
C45455,64,298478.10000002384,0,0,4095,blue,true,left,73,14,right,orange,391,0
C45455,65,301423.10000002384,0,0,4095,blue,true,right,67,29,left,orange,535,0
C45455,66,304490,0,0,4095,blue,true,left,48,39,right,orange,461,0
C45455,67,307494.39999997616,0,0,4095,blue,true,right,30,99,left,orange,410,0
C45455,68,310450.2000000477,1,13,4082,blue,false,right,13,20,left,orange,340,0
C45455,69,313338.7000000477,0,0,4082,blue,true,right,66,59,left,orange,286,0
C45455,70,316175.7000000477,0,0,4082,blue,true,right,20,60,left,orange,340,0
C45455,71,319079.39999997616,0,0,4082,blue,true,right,41,25,left,orange,270,0
C45455,72,321900.2000000477,0,0,4082,blue,false,left,76,70,left,blue,337,0
C45455,73,324773.5,1,73,4009,blue,false,left,73,18,right,orange,532,0
C45455,74,327862.39999997616,1,41,3968,blue,false,left,41,80,right,orange,353,0
C45455,75,330766.89999997616,0,0,3968,blue,true,left,25,76,right,orange,297,0
C45455,76,333601.7000000477,1,34,3934,blue,false,left,34,52,right,orange,317,0
C45455,77,336473.2000000477,1,30,3904,blue,false,left,30,60,right,orange,349,0
C45455,78,339377.3000000715,1,91,3813,blue,false,left,91,36,right,orange,336,0
C45455,79,342266.60000002384,1,70,3743,blue,false,right,70,59,left,orange,397,0
C45455,80,345216.7000000477,0,0,3743,blue,true,left,64,47,right,orange,302,0
C45455,81,348072.89999997616,1,28,3715,blue,false,right,28,44,left,orange,360,0
C45455,82,350992,1,2,3713,blue,false,left,2,80,right,orange,357,0
C45455,83,353897,1,20,3693,blue,false,left,20,39,right,orange,425,0
C45455,84,356863.8000000715,1,32,3661,blue,false,left,32,61,right,orange,316,0
C45455,85,359735.8000000715,1,90,3571,blue,false,right,90,61,left,orange,524,0
C45455,86,362811.5,0,0,3571,blue,true,left,62,70,right,orange,395,0
C45455,87,365747,1,17,3554,blue,false,right,17,33,left,orange,438,0
C45455,88,368735.39999997616,1,74,3480,blue,false,left,74,17,right,orange,359,0
C45455,89,371637.7000000477,1,2,3478,blue,false,right,2,85,left,orange,523,0
C45455,90,374714.2000000477,1,39,3439,blue,false,right,39,76,left,orange,353,0
C45455,91,377618.10000002384,1,70,3369,blue,false,right,70,20,left,orange,292,0
C45455,92,380468.3000000715,0,0,3369,blue,true,left,24,69,right,orange,615,0
C45455,93,383628.10000002384,0,0,3369,blue,true,left,59,52,right,orange,440,0
C45455,94,390599.8000000715,0,0,3369,blue,false,left,15,43,left,blue,508,0
C45455,95,393658.7000000477,0,0,3369,blue,true,left,50,34,right,orange,282,0
C45455,96,396495.3000000715,1,43,3326,blue,false,left,43,48,right,orange,425,0
C45455,97,399482.60000002384,0,0,3326,blue,true,left,14,35,right,orange,357,0
C45455,98,402371.8000000715,0,0,3326,blue,true,right,12,42,left,orange,460,0
C45455,99,405377.89999997616,0,0,3326,blue,true,left,40,44,right,orange,284,0
C45455,100,408198,0,0,3326,blue,true,left,88,50,right,orange,365,0
C45455,101,411101.5,0,0,3326,blue,true,left,51,19,right,orange,331,0
C45455,102,413954.60000002384,0,0,3326,blue,true,left,44,59,right,orange,511,0
C45455,103,416997.39999997616,0,0,3326,blue,true,right,23,9,left,orange,460,0
C45455,104,419999.89999997616,0,0,3326,blue,true,left,23,76,right,orange,365,0
C45455,105,422905.39999997616,0,0,3326,blue,true,right,94,47,left,orange,418,0
C45455,106,425857.5,1,67,3259,blue,false,left,67,56,right,orange,463,0
C45455,107,428877.3000000715,0,0,3259,blue,true,right,50,16,left,orange,349,0
C45455,108,431779.3000000715,0,0,3259,blue,true,right,83,7,left,orange,389,0
C45455,109,434723,0,0,3259,blue,true,left,86,41,right,orange,332,0
C45455,110,437612.5,1,37,3222,blue,true,left,61,37,left,blue,445,0
C45455,111,440615.5,1,82,3140,blue,false,left,82,57,right,orange,6,0
C45455,112,443180.3000000715,1,68,3072,blue,false,left,68,28,right,orange,338,0
C45455,113,446070.60000002384,1,65,3007,blue,false,left,65,76,right,orange,360,0
C45455,114,448989.2000000477,1,25,2982,blue,false,left,25,19,right,orange,298,0
C45455,115,451860.5,1,67,2915,blue,false,right,67,68,left,orange,427,0
C45455,116,454848.10000002384,1,82,2833,blue,false,right,82,68,left,orange,507,0
C45455,117,457899.89999997616,1,88,2745,blue,false,right,88,19,left,orange,367,0
C45455,118,460819.3000000715,0,0,2745,blue,true,left,55,11,right,orange,400,0
C45455,119,463759.3000000715,0,0,2745,blue,true,right,74,36,left,orange,360,0
C45455,120,466663.60000002384,1,18,2727,blue,false,right,18,64,left,orange,381,0
C45455,121,469600.60000002384,1,15,2712,blue,false,left,15,3,right,orange,479,0
C45455,122,472637.39999997616,1,91,2621,blue,false,right,91,76,left,orange,338,0
C45455,123,475525.7000000477,1,66,2555,blue,false,right,66,92,left,orange,344,0
C45455,124,478427.10000002384,1,67,2488,blue,false,right,67,14,left,orange,387,0
C45455,125,481347.7000000477,0,0,2488,blue,true,right,11,77,left,orange,393,0
C45455,126,484289.2000000477,0,0,2488,blue,false,left,36,20,left,blue,382,0
C45455,127,487205.10000002384,1,44,2444,blue,false,left,44,61,right,orange,489,0
C45455,128,490244.10000002384,1,4,2440,blue,false,left,4,34,right,orange,351,0
C45455,129,493149.2000000477,1,86,2354,blue,false,right,86,63,left,orange,443,0
C45455,130,496152,1,99,2255,blue,false,left,99,43,right,orange,336,0
C45455,131,499039.2000000477,0,0,2255,blue,true,left,95,56,right,orange,458,0
C45455,132,502041.3000000715,0,0,2255,blue,false,left,89,63,left,blue,465,0
C45455,133,505048.89999997616,0,0,2255,blue,true,left,88,80,right,orange,381,0
C45455,134,507966.7000000477,1,5,2250,blue,false,right,5,10,left,orange,538,0
C45455,135,511040.89999997616,0,0,2250,blue,true,right,35,80,left,orange,410,0
C45455,136,513992.5,0,0,2250,blue,true,right,8,57,left,orange,368,0
C45455,137,516896.8000000715,1,47,2203,blue,true,left,78,47,left,blue,417,0
C45455,138,519870.7000000477,0,0,2203,blue,true,right,5,99,left,orange,368,0
C45455,139,522773.8000000715,0,0,2203,blue,true,left,62,67,right,orange,366,0
C45455,140,525681,1,95,2108,blue,false,left,95,27,right,orange,539,0
