Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45565,1,2261626.299999982,1,37,4963,blue,true,left,44,37,left,blue,1195,0
C45565,2,2265348.799999982,1,12,4951,blue,true,left,66,12,left,blue,408,0
C45565,3,2268275.599999994,1,9,4942,blue,true,right,98,9,right,blue,593,0
C45565,4,2271403,1,20,4922,blue,false,left,20,91,right,orange,583,0
C45565,5,2274507.099999994,1,8,4914,blue,true,right,28,8,right,blue,828,0
C45565,6,2277861.599999994,0,0,4914,blue,true,left,30,33,right,orange,488,0
C45565,7,2280869.5,0,0,4914,blue,true,left,27,24,right,orange,376,0
C45565,8,2283769.299999982,1,58,4856,blue,false,left,58,43,right,orange,526,0
C45565,9,2286813.5,0,0,4856,blue,true,right,72,47,left,orange,353,0
C45565,10,2289695.199999988,1,44,4812,blue,false,right,44,44,left,orange,418,0
C45565,11,2292633.899999976,0,0,4812,blue,true,left,69,26,right,orange,476,0
C45565,12,2295634.799999982,0,0,4812,blue,true,left,6,41,right,orange,669,0
C45565,13,2298831.299999982,1,34,4778,blue,true,right,88,34,right,blue,715,0
C45565,14,2302063,1,73,4705,blue,false,left,73,18,right,orange,369,0
C45565,15,2304959.699999988,1,25,4680,blue,true,left,60,25,left,blue,698,0
C45565,16,2308188.699999988,1,6,4674,blue,true,left,68,6,left,blue,615,0
C45565,17,2311332.299999982,1,48,4626,blue,false,left,48,39,right,orange,726,0
C45565,18,2314597.5,0,0,4626,blue,true,left,35,76,right,orange,556,0
C45565,19,2317680.799999982,0,0,4626,blue,true,right,23,85,left,orange,1074,0
C45565,20,2321284.699999988,1,22,4604,blue,true,right,54,22,right,blue,809,0
C45565,21,2324623.099999994,1,66,4538,blue,false,left,66,58,right,orange,1052,0
C45565,22,2328192,1,41,4497,blue,true,left,98,41,left,blue,596,0
C45565,23,2331308.399999976,0,0,4497,blue,true,left,58,80,right,orange,843,0
C45565,24,2334672,0,0,4497,blue,true,right,32,85,left,orange,386,0
C45565,25,2337575.399999976,1,83,4414,blue,false,right,83,15,left,orange,603,0
C45565,26,2340690.099999994,0,0,4414,blue,true,left,18,16,right,orange,346,0
C45565,27,2343557.299999982,0,0,4414,blue,true,right,56,99,left,orange,705,0
C45565,28,2346791.199999988,0,0,4414,blue,true,right,23,75,left,orange,482,0
C45565,29,2349804.299999982,0,0,4414,blue,true,right,68,18,left,orange,634,0
C45565,30,2352958.899999976,0,0,4414,blue,true,right,30,16,left,orange,1051,0
C45565,31,2356535.399999976,0,0,4414,blue,true,left,86,37,right,orange,546,0
C45565,32,2359607.899999976,0,0,4414,blue,true,left,47,44,right,orange,541,0
C45565,33,2362687.899999976,0,0,4414,blue,true,left,3,91,right,orange,375,0
C45565,34,2365590,1,60,4354,blue,false,left,60,14,right,orange,515,0
C45565,35,2368623.299999982,0,0,4354,blue,true,left,54,84,right,orange,698,0
C45565,36,2371846.699999988,0,0,4354,blue,true,left,34,23,right,orange,406,0
C45565,37,2374781.899999976,0,0,4354,blue,true,right,96,28,left,orange,464,0
C45565,38,2377773.199999988,1,83,4271,blue,false,left,83,94,right,orange,653,0
C45565,39,2380954.5,0,0,4271,blue,true,left,63,86,right,orange,676,0
C45565,40,2384154.799999982,0,0,4271,blue,true,left,99,53,right,orange,1209,0
C45565,41,2387887.5,0,0,4271,blue,true,right,29,91,left,orange,797,0
C45565,42,2391212,0,0,4271,blue,true,right,88,64,left,orange,680,0
C45565,43,2394417.599999994,0,0,4271,blue,true,right,84,70,left,orange,639,0
C45565,44,2397576.799999982,1,61,4210,blue,false,left,61,88,right,orange,407,0
C45565,45,2400520.799999982,0,0,4210,blue,true,right,61,43,left,orange,607,0
C45565,46,2403659.5,0,0,4210,blue,true,left,87,54,right,orange,420,0
C45565,47,2406609.099999994,1,5,4205,blue,false,left,5,90,right,orange,371,0
C45565,48,2413509,0,0,4205,blue,true,right,71,44,left,orange,700,0
C45565,49,2416733,0,0,4205,blue,true,right,42,52,left,orange,434,0
C45565,50,2419699.899999976,0,0,4205,blue,true,left,39,93,right,orange,332,0
C45565,51,2422569.299999982,0,0,4205,blue,true,left,39,24,right,orange,360,0
C45565,52,2425461.199999988,1,20,4185,blue,false,right,20,10,left,orange,538,0
C45565,53,2428516,0,0,4185,blue,false,right,85,43,right,blue,853,0
C45565,54,2431892.599999994,0,0,4185,blue,false,left,77,7,left,blue,399,0
C45565,55,2434819.5,1,90,4095,blue,true,left,95,90,left,blue,355,0
C45565,56,2437702.899999976,1,7,4088,blue,true,right,56,7,right,blue,385,0
C45565,57,2440605.599999994,0,0,4088,blue,true,left,50,69,right,orange,760,0
C45565,58,2443879.099999994,0,0,4088,blue,true,left,4,83,right,orange,431,0
C45565,59,2446832.299999982,1,40,4048,blue,false,left,40,8,right,orange,556,0
C45565,60,2449907.099999994,0,0,4048,blue,true,left,47,86,right,orange,552,0
C45565,61,2452982.299999982,0,0,4048,blue,true,left,15,49,right,orange,436,0
C45565,62,2455935.599999994,0,0,4048,blue,true,right,17,39,left,orange,356,0
C45565,63,2458833.799999982,1,76,3972,blue,false,right,76,97,left,orange,794,0
C45565,64,2462171.5,1,14,3958,blue,true,right,73,14,right,blue,771,0
C45565,65,2465481.699999988,0,0,3958,blue,true,right,67,29,left,orange,439,0
C45565,66,2468456.699999988,0,0,3958,blue,true,left,48,39,right,orange,385,0
C45565,67,2471355.5,0,0,3958,blue,true,right,30,99,left,orange,373,0
C45565,68,2474250.699999988,1,13,3945,blue,false,left,13,20,right,orange,379,0
C45565,69,2477158.199999988,0,0,3945,blue,true,right,66,59,left,orange,617,0
C45565,70,2480303.5,0,0,3945,blue,true,right,20,60,left,orange,370,0
C45565,71,2483194.5,0,0,3945,blue,true,left,41,25,right,orange,425,0
C45565,72,2486137.699999988,1,76,3869,blue,false,right,76,70,left,orange,919,0
C45565,73,2489580.5,0,0,3869,blue,false,left,73,18,left,blue,834,0
C45565,74,2492931.399999976,1,41,3828,blue,false,left,41,80,right,orange,823,0
C45565,75,2496282,1,76,3752,blue,true,right,25,76,right,blue,463,0
C45565,76,2499274.5,0,0,3752,blue,false,left,34,52,left,blue,426,0
C45565,77,2502227.599999994,0,0,3752,blue,false,right,30,60,right,blue,549,0
C45565,78,2505308.699999988,0,0,3752,blue,false,left,91,36,left,blue,574,0
C45565,79,2508406.199999988,0,0,3752,blue,false,left,70,59,left,blue,443,0
