Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45647,1,182556,0,0,5000,blue,true,left,44,37,right,orange,1889,0
C45647,2,186964,0,0,5000,blue,true,right,66,12,left,orange,1063,0
C45647,3,190540,1,9,4991,blue,true,right,98,9,right,blue,1733,0
C45647,4,194787,1,20,4971,blue,false,right,20,91,left,orange,1494,0
C45647,5,198798,0,0,4971,blue,true,left,28,8,right,orange,1157,0
C45647,6,202466,0,0,4971,blue,true,left,30,33,right,orange,682,0
C45647,7,205662,0,0,4971,blue,true,right,27,24,left,orange,1221,0
C45647,8,209395,0,0,4971,blue,false,left,58,43,left,blue,1593,0
C45647,9,213502,1,47,4924,blue,true,right,72,47,right,blue,672,0
C45647,10,216696,1,44,4880,blue,false,right,44,44,left,orange,715,0
C45647,11,219928,1,26,4854,blue,true,left,69,26,left,blue,1405,0
C45647,12,223847,1,41,4813,blue,true,right,6,41,right,blue,1066,0
C45647,13,232937,0,0,4813,blue,true,right,88,34,left,orange,2100,1
C45647,14,248576,1,73,4740,blue,false,left,73,18,right,orange,1648,2
C45647,15,252742.00000000003,0,0,4740,blue,true,left,60,25,right,orange,847,0
C45647,16,256103,0,0,4740,blue,true,right,68,6,left,orange,484,0
C45647,17,259100.00000000003,1,48,4692,blue,false,right,48,39,left,orange,498,0
C45647,18,262116,0,0,4692,blue,true,right,35,76,left,orange,599,0
C45647,19,265226,0,0,4692,blue,true,right,23,85,left,orange,563,0
C45647,20,268302,0,0,4692,blue,true,right,54,22,left,orange,676,0
C45647,21,271491,0,0,4692,blue,false,left,66,58,left,blue,1042,0
C45647,22,275047,1,41,4651,blue,true,left,98,41,left,blue,1013,0
C45647,23,278575,0,0,4651,blue,true,right,58,80,left,orange,1014,0
C45647,24,282102.00000000006,0,0,4651,blue,true,right,32,85,left,orange,981,0
C45647,25,285596,0,0,4651,blue,false,left,83,15,left,blue,1025,0
C45647,26,289134,0,0,4651,blue,true,right,18,16,left,orange,893,0
C45647,27,292539,0,0,4651,blue,true,right,56,99,left,orange,995,0
C45647,28,296046,0,0,4651,blue,true,left,23,75,right,orange,636,0
C45647,29,299197,1,18,4633,blue,true,right,68,18,right,blue,849,0
C45647,30,302561,0,0,4633,blue,true,left,30,16,right,orange,945,0
C45647,31,306021,1,37,4596,blue,true,right,86,37,right,blue,1105,0
C45647,32,309644,0,0,4596,blue,true,right,47,44,left,orange,560,0
C45647,33,312716,0,0,4596,blue,true,left,3,91,right,orange,487,0
C45647,34,315716,1,60,4536,blue,false,left,60,14,right,orange,882,0
C45647,35,319113,0,0,4536,blue,true,right,54,84,left,orange,474,0
C45647,36,322099,0,0,4536,blue,true,right,34,23,left,orange,834,0
C45647,37,325447,0,0,4536,blue,true,left,96,28,right,orange,468,0
C45647,38,328427,1,83,4453,blue,false,left,83,94,right,orange,1123,0
C45647,39,332064,0,0,4453,blue,true,right,63,86,left,orange,907,0
C45647,40,335483,1,53,4400,blue,true,right,99,53,right,blue,1064,0
C45647,41,339063,0,0,4400,blue,true,right,29,91,left,orange,459,0
C45647,42,342035,0,0,4400,blue,true,right,88,64,left,orange,810,0
C45647,43,345358,0,0,4400,blue,true,right,84,70,left,orange,901,0
C45647,44,348772,1,61,4339,blue,false,left,61,88,right,orange,920,0
C45647,45,352206,0,0,4339,blue,true,right,61,43,left,orange,909,0
C45647,46,355626.00000000006,0,0,4339,blue,true,left,87,54,right,orange,633,0
C45647,47,358771,1,5,4334,blue,false,left,5,90,right,orange,715,0
C45647,48,366005,0,0,4334,blue,true,right,71,44,left,orange,1023,0
C45647,49,369540,0,0,4334,blue,true,left,42,52,right,orange,456,0
C45647,50,372507,0,0,4334,blue,true,right,39,93,left,orange,471,0
C45647,51,375491,1,24,4310,blue,true,left,39,24,left,blue,802,0
C45647,52,378809,1,20,4290,blue,false,right,20,10,left,orange,530,0
C45647,53,381854,1,85,4205,blue,false,left,85,43,right,orange,589,0
C45647,54,384959,0,0,4205,blue,false,left,77,7,left,blue,645,0
C45647,55,388116,1,90,4115,blue,true,right,95,90,right,blue,1095,0
C45647,56,391727.00000000006,1,7,4108,blue,true,right,56,7,right,blue,591,0
C45647,57,394832,1,69,4039,blue,true,right,50,69,right,blue,667,0
C45647,58,398013.00000000006,1,83,3956,blue,true,left,4,83,left,blue,518,0
C45647,59,401046,1,40,3916,blue,false,right,40,8,left,orange,920,0
C45647,60,404479,1,86,3830,blue,true,left,47,86,left,blue,997,0
C45647,61,407993,0,0,3830,blue,true,left,15,49,right,orange,603,0
C45647,62,411107,0,0,3830,blue,true,left,17,39,right,orange,426,0
C45647,63,414046,1,76,3754,blue,false,left,76,97,right,orange,485,0
C45647,64,417045,0,0,3754,blue,true,left,73,14,right,orange,840,0
C45647,65,420399,0,0,3754,blue,true,left,67,29,right,orange,580,0
C45647,66,423492,0,0,3754,blue,true,left,48,39,right,orange,402,0
C45647,67,426406,0,0,3754,blue,true,left,30,99,right,orange,653,0
C45647,68,429571,1,13,3741,blue,false,left,13,20,right,orange,426,0
C45647,69,432512,1,59,3682,blue,true,left,66,59,left,blue,731,0
C45647,70,435758,1,60,3622,blue,true,right,20,60,right,blue,596,0
C45647,71,438871,0,0,3622,blue,true,left,41,25,right,orange,647,0
