Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45672,1,197064,1,10,4990,blue,true,right,23,10,right,blue,931,0
C45672,2,200511,0,0,4990,blue,true,left,45,97,right,orange,770,0
C45672,3,203793,0,0,4990,blue,true,left,54,62,right,orange,807,0
C45672,4,207111.00000000003,0,0,4990,blue,false,right,99,16,right,blue,1123,0
C45672,5,210747,0,0,4990,blue,true,left,72,40,right,orange,897,0
C45672,6,214154,0,0,4990,blue,true,right,98,88,left,orange,1246,0
C45672,7,217911,0,0,4990,blue,true,right,6,54,left,orange,928,0
C45672,8,221352,1,55,4935,blue,true,right,64,55,right,blue,1186,0
C45672,9,225051.00000000003,0,0,4935,blue,false,right,96,45,right,blue,1699,0
C45672,10,229261,0,0,4935,blue,true,left,28,19,right,orange,764,0
C45672,11,232536,0,0,4935,blue,true,left,95,26,right,orange,748,0
C45672,12,235795.00000000003,1,29,4906,blue,true,right,90,29,right,blue,1108,0
C45672,13,239417,0,0,4906,blue,true,right,20,53,left,orange,1367,0
C45672,14,243296,0,0,4906,blue,true,right,74,56,left,orange,540,0
C45672,15,246348,1,42,4864,blue,true,left,18,42,left,blue,266,0
C45672,16,249128,0,0,4864,blue,true,right,11,91,left,orange,763,0
C45672,17,252402.00000000003,1,32,4832,blue,false,left,32,31,right,orange,799,0
C45672,18,255715,0,0,4832,blue,true,right,36,65,left,orange,827,0
C45672,19,259053,1,40,4792,blue,false,left,40,30,right,orange,1458,0
C45672,20,263026,1,26,4766,blue,true,left,29,26,left,blue,1069,0
C45672,21,266607,1,32,4734,blue,false,right,32,36,left,orange,830,0
C45672,22,269950,0,0,4734,blue,true,left,72,81,right,orange,1033,0
C45672,23,273492,1,95,4639,blue,false,right,95,54,left,orange,1046,0
C45672,24,277052,0,0,4639,blue,false,right,40,59,right,blue,926,0
C45672,25,280493,0,0,4639,blue,false,left,29,24,left,blue,1609,0
C45672,26,284618,0,0,4639,blue,false,left,60,51,left,blue,1224,0
C45672,27,288357,0,0,4639,blue,false,right,83,65,right,blue,1069,0
C45672,28,291937,0,0,4639,blue,true,left,78,98,right,orange,1925,0
C45672,29,296375,1,56,4583,blue,false,right,56,51,left,orange,924,0
C45672,30,299812,0,0,4583,blue,false,right,5,20,right,blue,597,0
C45672,31,302921,0,0,4583,blue,false,left,67,2,left,blue,977,0
C45672,32,306409,0,0,4583,blue,false,left,85,84,left,blue,1030,0
C45672,33,309949,0,0,4583,blue,true,right,7,49,left,orange,759,0
C45672,34,313220,1,37,4546,blue,false,right,37,47,left,orange,1065,0
C45672,35,316799.00000000006,0,0,4546,blue,false,right,27,91,right,blue,1218,0
C45672,36,320531,0,0,4546,blue,false,left,44,42,left,blue,664,0
C45672,37,323710,1,55,4491,blue,true,left,31,55,left,blue,696,0
C45672,38,326920,0,0,4491,blue,false,left,97,70,left,blue,274,0
C45672,39,329705,0,0,4491,blue,false,right,14,9,right,blue,700,0
C45672,40,332915,0,0,4491,blue,true,left,23,51,right,orange,1497,0
C45672,41,336924.00000000006,1,79,4412,blue,true,right,89,79,right,blue,779,0
C45672,42,340217,0,0,4412,blue,true,left,83,86,right,orange,874,0
C45672,43,343605,0,0,4412,blue,true,right,40,62,left,orange,666,0
C45672,44,346782,0,0,4412,blue,true,right,36,23,left,orange,963,0
C45672,45,350256,1,61,4351,blue,true,right,65,61,right,blue,1513,0
C45672,46,354286,0,0,4351,blue,true,right,74,67,left,orange,934,0
C45672,47,357734,0,0,4351,blue,true,right,73,41,left,orange,715,0
C45672,48,364964,1,96,4255,blue,false,left,96,54,right,orange,1792,0
C45672,49,369272,0,0,4255,blue,true,left,86,88,right,orange,902,0
C45672,50,372688,0,0,4255,blue,true,left,43,66,right,orange,855,0
C45672,51,376056,0,0,4255,blue,true,left,72,79,right,orange,938,0
C45672,52,379508,0,0,4255,blue,false,left,71,13,left,blue,1200,0
C45672,53,383220,1,53,4202,blue,true,right,78,53,right,blue,1507,0
C45672,54,387241,0,0,4202,blue,true,left,57,90,right,orange,576,0
C45672,55,390327,1,3,4199,blue,false,right,3,12,left,orange,815,0
C45672,56,393656,0,0,4199,blue,true,right,2,64,left,orange,1172,0
C45672,57,397339,0,0,4199,blue,true,right,99,9,left,orange,2076,0
C45672,58,401925,0,0,4199,blue,true,right,21,42,left,orange,1009,0
C45672,59,405446,0,0,4199,blue,true,right,83,72,left,orange,1328,0
C45672,60,409285,1,11,4188,blue,true,right,37,11,right,blue,1500,0
C45672,61,413299.00000000006,1,67,4121,blue,false,right,67,81,left,orange,877,0
C45672,62,416689,1,14,4107,blue,true,right,12,14,right,blue,583,0
C45672,63,419785,1,78,4029,blue,false,left,78,90,right,orange,1063,0
C45672,64,423363,0,0,4029,blue,false,left,46,53,left,blue,609,0
C45672,65,426483,0,0,4029,blue,false,right,30,42,right,blue,617,0
