Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C45932,1,104043.0952,1,10,4990,blue,true,left,23,10,left,blue,2324,0
C45932,2,108935.5952,0,0,4990,blue,true,left,45,97,right,orange,680,0
C45932,3,112166.1952,0,0,4990,blue,true,left,54,62,right,orange,639,0
C45932,4,115366.4952,0,0,4990,blue,false,right,99,16,right,blue,763,0
C45932,5,118677.2952,1,40,4950,blue,true,right,72,40,right,blue,649,0
C45932,6,121897.5952,1,88,4862,blue,true,left,98,88,left,blue,850,0
C45932,7,125298.6952,0,0,4862,blue,true,left,6,54,right,orange,580,0
C45932,8,128437.6952,0,0,4862,blue,true,left,64,55,right,orange,633,0
C45932,9,131603.6952,0,0,4862,blue,false,right,96,45,right,blue,1090,0
C45932,10,135241.3952,0,0,4862,blue,true,left,28,19,right,orange,947,0
C45932,11,138749.5952,0,0,4862,blue,true,left,95,26,right,orange,718,0
C45932,12,142000.2952,0,0,4862,blue,true,left,90,29,right,orange,772,0
C45932,13,145335.4952,0,0,4862,blue,true,right,20,53,left,orange,911,0
C45932,14,148800.1952,1,56,4806,blue,true,right,74,56,right,blue,1005,0
C45932,15,152358.5952,0,0,4806,blue,true,left,18,42,right,orange,580,0
C45932,16,155493.4952,0,0,4806,blue,true,left,11,91,right,orange,566,0
C45932,17,158607.5952,1,32,4774,blue,false,left,32,31,right,orange,700,0
C45932,18,161852.9952,0,0,4774,blue,true,right,36,65,left,orange,632,0
C45932,19,165043.4952,1,40,4734,blue,false,left,40,30,right,orange,644,0
C45932,20,168261.1952,0,0,4734,blue,true,left,29,26,right,orange,741,0
C45932,21,171566.1952,1,32,4702,blue,false,right,32,36,left,orange,672,0
C45932,22,174793.5952,0,0,4702,blue,true,left,72,81,right,orange,603,0
C45932,23,177957.7952,1,95,4607,blue,false,left,95,54,right,orange,586,0
C45932,24,181085.7952,1,40,4567,blue,false,right,40,59,left,orange,529,0
C45932,25,184192.5952,0,0,4567,blue,false,right,29,24,right,blue,907,0
C45932,26,187660.9952,0,0,4567,blue,false,right,60,51,right,blue,708,0
C45932,27,190913.2952,0,0,4567,blue,false,left,83,65,left,blue,658,0
C45932,28,194138.8952,1,98,4469,blue,true,right,78,98,right,blue,611,0
C45932,29,197320.7952,0,0,4469,blue,false,left,56,51,left,blue,615,0
C45932,30,200488.1952,0,0,4469,blue,false,right,5,20,right,blue,870,0
C45932,31,203911.8952,0,0,4469,blue,false,left,67,2,left,blue,581,0
C45932,32,207044.1952,0,0,4469,blue,false,right,85,84,right,blue,655,0
C45932,33,210260.3952,0,0,4469,blue,true,left,7,49,right,orange,866,0
C45932,34,213675.2952,0,0,4469,blue,false,left,37,47,left,blue,940,0
C45932,35,217182.9952,1,27,4442,blue,false,left,27,91,right,orange,1005,0
C45932,36,220756.3952,0,0,4442,blue,false,right,44,42,right,blue,826,0
C45932,37,224130.8952,1,55,4387,blue,true,left,31,55,left,blue,697,0
C45932,38,227410.8952,0,0,4387,blue,false,left,97,70,left,blue,792,0
C45932,39,230760.6952,0,0,4387,blue,false,left,14,9,left,blue,481,0
C45932,40,233780.7952,1,51,4336,blue,true,left,23,51,left,blue,925,0
C45932,41,237274.4952,1,79,4257,blue,true,left,89,79,left,blue,612,0
C45932,42,240452.5952,0,0,4257,blue,true,right,83,86,left,orange,941,0
C45932,43,243944.5952,0,0,4257,blue,true,left,40,62,right,orange,772,0
C45932,44,247302.4952,0,0,4257,blue,true,left,36,23,right,orange,915,0
C45932,45,250766.5952,0,0,4257,blue,true,right,65,61,left,orange,823,0
C45932,46,254149.7952,0,0,4257,blue,true,right,74,67,left,orange,682,0
C45932,47,257364.7952,1,41,4216,blue,true,right,73,41,right,blue,983,0
C45932,48,276031.0952,0,0,4216,blue,false,left,96,54,left,blue,1442,2
C45932,49,280027.9952,1,88,4128,blue,true,right,86,88,right,blue,561,0
C45932,50,283152.4952,0,0,4128,blue,true,right,43,66,left,orange,1100,0
C45932,51,286814.9952,0,0,4128,blue,true,right,72,79,left,orange,701,0
C45932,52,290049.8952,0,0,4128,blue,false,right,71,13,right,blue,811,0
C45932,53,293421.6952,1,53,4075,blue,true,left,78,53,left,blue,766,0
C45932,54,296769.8952,0,0,4075,blue,true,left,57,90,right,orange,572,0
C45932,55,299892.2952,1,3,4072,blue,false,right,3,12,left,orange,534,0
C45932,56,302983.9952,0,0,4072,blue,true,right,2,64,left,orange,495,0
C45932,57,306036.5952,1,9,4063,blue,true,right,99,9,right,blue,754,0
C45932,58,309348.9952,0,0,4063,blue,true,left,21,42,right,orange,679,0
C45932,59,312587.4952,1,72,3991,blue,true,left,83,72,left,blue,1048,0
C45932,60,316207.6952,1,11,3980,blue,true,left,37,11,left,blue,611,0
C45932,61,319381.4952,1,67,3913,blue,false,left,67,81,right,orange,604,0
C45932,62,322558.9952,0,0,3913,blue,true,left,12,14,right,orange,702,0
C45932,63,325810.0952,1,78,3835,blue,false,right,78,90,left,orange,656,0
C45932,64,329028.7952,1,46,3789,blue,false,right,46,53,left,orange,746,0
C45932,65,332353.5952,0,0,3789,blue,false,left,30,42,left,blue,548,0
C45932,66,335464.2952,0,0,3789,blue,false,right,36,65,right,blue,638,0
C45932,67,338655.8952,0,0,3789,blue,false,left,49,49,left,blue,585,0
C45932,68,341796.4952,0,0,3789,blue,false,left,44,10,left,blue,515,0
C45932,69,344852.5952,0,0,3789,blue,false,left,70,64,left,blue,548,0
C45932,70,347960.5952,0,0,3789,blue,false,right,68,95,right,blue,594,0
C45932,71,351100.9952,0,0,3789,blue,false,left,38,46,left,blue,626,0
C45932,72,354277.0952,0,0,3789,blue,false,right,18,24,right,blue,652,0
C45932,73,357481.3952,0,0,3789,blue,false,right,82,78,right,blue,721,0
C45932,74,360751.8952,0,0,3789,blue,false,left,59,54,left,blue,571,0
C45932,75,363867.6952,0,0,3789,blue,false,left,36,33,left,blue,464,0
C45932,76,366882.0952,1,56,3733,blue,true,left,49,56,left,blue,607,0
C45932,77,370070.8952,0,0,3733,blue,false,right,26,83,right,blue,581,0
C45932,78,373206.5952,0,0,3733,blue,false,left,38,81,left,blue,619,0
C45932,79,376363.3952,0,0,3733,blue,false,right,12,3,right,blue,631,0
C45932,80,379542.1952,0,0,3733,blue,false,right,62,38,right,blue,624,0
C45932,81,382713.9952,0,0,3733,blue,false,right,43,50,right,blue,504,0
C45932,82,385762.6952,0,0,3733,blue,false,right,50,47,right,blue,629,0
C45932,83,388943.2952,1,35,3698,blue,true,left,41,35,left,blue,508,0
C45932,84,392015.8952,1,9,3689,blue,false,left,9,62,right,orange,719,0
C45932,85,395290.9952,0,0,3689,blue,false,right,60,58,right,blue,645,0
C45932,86,398499.7952,0,0,3689,blue,false,left,88,31,left,blue,443,0
C45932,87,401496.1952,0,0,3689,blue,false,right,56,44,right,blue,552,0
C45932,88,404596.3952,1,15,3674,blue,true,left,31,15,left,blue,535,0
C45932,89,407711.1952,0,0,3674,blue,false,left,90,31,left,blue,540,0
C45932,90,410801.4952,0,0,3674,blue,false,left,80,76,left,blue,494,0
C45932,91,413852.2952,0,0,3674,blue,false,right,78,4,right,blue,546,0
C45932,92,416954.0952,0,0,3674,blue,false,right,60,28,right,blue,570,0
C45932,93,420075.5952,1,99,3575,blue,true,left,56,99,left,blue,514,0
C45932,94,427179.3952,0,0,3575,blue,false,right,31,45,right,blue,851,0
C45932,95,430589.6952,0,0,3575,blue,false,right,55,16,right,blue,615,0
C45932,96,433764.8952,1,89,3486,blue,true,right,12,89,right,blue,540,0
C45932,97,436864.0952,0,0,3486,blue,false,right,49,4,right,blue,557,0
C45932,98,439978.2952,0,0,3486,blue,false,left,69,12,left,blue,490,0
C45932,99,443024.1952,1,26,3460,blue,true,right,49,26,right,blue,618,0
C45932,100,446204.7952,0,0,3460,blue,false,left,75,76,left,blue,475,0
C45932,101,449226.4952,0,0,3460,blue,false,right,22,90,right,blue,680,0
C45932,102,452470.6952,1,23,3437,blue,true,right,26,23,right,blue,594,0
C45932,103,455651.6952,1,11,3426,blue,false,right,11,68,left,orange,690,0
C45932,104,458895.7952,1,82,3344,blue,true,right,71,82,right,blue,630,0
C45932,105,462102.1952,0,0,3344,blue,false,right,86,95,right,blue,1479,0
C45932,106,466138.4952,0,0,3344,blue,false,left,79,88,left,blue,978,0
C45932,107,469665.7952,0,0,3344,blue,false,left,75,40,left,blue,713,0
C45932,108,472922.9952,1,11,3333,blue,false,right,11,94,left,orange,804,0
C45932,109,476292.4952,1,44,3289,blue,true,left,53,44,left,blue,689,0
C45932,110,479543.5952,0,0,3289,blue,false,right,85,17,right,blue,683,0
C45932,111,482770.6952,1,32,3257,blue,true,left,85,32,left,blue,656,0
C45932,112,486008.5952,1,38,3219,blue,false,right,38,68,left,orange,855,0
C45932,113,489432.1952,1,28,3191,blue,false,left,28,93,right,orange,897,0
C45932,114,492880.9952,0,0,3191,blue,false,left,13,95,left,blue,568,0
C45932,115,496003.7952,0,0,3191,blue,false,left,69,60,left,blue,507,0
C45932,116,499074.2952,0,0,3191,blue,true,left,56,95,right,orange,777,0
C45932,117,502396.6952,1,2,3189,blue,false,left,2,41,right,orange,733,0
C45932,118,505698.8952,0,0,3189,blue,false,right,42,5,right,blue,605,0
C45932,119,508865.8952,0,0,3189,blue,false,left,44,30,left,blue,478,0
C45932,120,511885.5952,0,0,3189,blue,false,left,79,4,left,blue,457,0
C45932,121,514906.5952,0,0,3189,blue,false,left,83,87,left,blue,857,0
C45932,122,518305.9952,0,0,3189,blue,false,right,59,44,right,blue,549,0
C45932,123,521406.9952,1,10,3179,blue,true,right,15,10,right,blue,806,0
C45932,124,524774.9952,0,0,3179,blue,false,right,60,15,right,blue,646,0
C45932,125,527982.2952,0,0,3179,blue,false,right,73,25,right,blue,737,0
C45932,126,531283.3952,0,0,3179,blue,false,right,43,23,right,blue,571,0
C45932,127,534416.0952,0,0,3179,blue,false,left,22,87,left,blue,766,0
C45932,128,537712.3952,0,0,3179,blue,true,left,27,77,right,orange,1019,0
C45932,129,541286.7952,0,0,3179,blue,false,left,99,35,left,blue,757,0
C45932,130,544604.1952,1,39,3140,blue,true,left,49,39,left,blue,663,0
C45932,131,547827.0952,0,0,3140,blue,false,right,83,60,right,blue,653,0
C45932,132,551040.4952,1,54,3086,blue,true,right,61,54,right,blue,795,0
C45932,133,554400.7952,0,0,3086,blue,false,right,82,34,right,blue,613,0
C45932,134,557587.4952,0,0,3086,blue,false,left,96,86,left,blue,813,0
C45932,135,560938.2952,0,0,3086,blue,false,left,65,27,left,blue,511,0
C45932,136,563982.8952,0,0,3086,blue,false,left,63,93,left,blue,1077,0
C45932,137,567604.6952,0,0,3086,blue,false,right,65,40,right,blue,679,0
C45932,138,570833.6952,1,7,3079,blue,false,left,7,69,right,orange,913,0
C45932,139,574299.2952,1,28,3051,blue,true,right,94,28,right,blue,568,0
C45932,140,577422.9952,0,0,3051,blue,false,right,90,4,right,blue,620,0
