Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46073,1,85714,1,10,4990,blue,true,right,23,10,right,blue,1010,0
C46073,2,89253,0,0,4990,blue,true,left,45,97,right,orange,576,0
C46073,3,92346,0,0,4990,blue,true,right,54,62,left,orange,1492,0
C46073,4,96355,0,0,4990,blue,false,left,99,16,left,blue,810,0
C46073,5,99681,0,0,4990,blue,true,left,72,40,right,orange,1058,0
C46073,6,103254,0,0,4990,blue,true,right,98,88,left,orange,1331,0
C46073,7,107103.00000000001,0,0,4990,blue,true,left,6,54,right,orange,716,0
C46073,8,110335.00000000001,0,0,4990,blue,true,right,64,55,left,orange,1110,0
C46073,9,113960.00000000001,0,0,4990,blue,false,right,96,45,right,blue,746,0
C46073,10,117222.00000000001,1,19,4971,blue,true,left,28,19,left,blue,586,0
C46073,11,120329.00000000001,1,26,4945,blue,true,right,95,26,right,blue,773,0
C46073,12,123624.00000000001,0,0,4945,blue,true,left,90,29,right,orange,724,0
C46073,13,126866,0,0,4945,blue,true,left,20,53,right,orange,615,0
C46073,14,129999,0,0,4945,blue,true,left,74,56,right,orange,1136,0
C46073,15,133651,0,0,4945,blue,true,right,18,42,left,orange,825,0
C46073,16,137005,0,0,4945,blue,true,right,11,91,left,orange,621,0
C46073,17,140143,0,0,4945,blue,false,left,32,31,left,blue,418,0
C46073,18,143077,1,65,4880,blue,true,right,36,65,right,blue,874,0
C46073,19,146474,0,0,4880,blue,false,left,40,30,left,blue,595,0
C46073,20,149587,1,26,4854,blue,true,right,29,26,right,blue,810,0
C46073,21,152917,0,0,4854,blue,false,right,32,36,right,blue,772,0
C46073,22,156206.00000000003,0,0,4854,blue,true,right,72,81,left,orange,741,0
C46073,23,159462.00000000003,0,0,4854,blue,false,right,95,54,right,blue,709,0
C46073,24,162687,1,40,4814,blue,false,left,40,59,right,orange,628,0
C46073,25,165838,0,0,4814,blue,false,left,29,24,left,blue,557,0
