Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46131,1,76088.89000001363,0,0,5000,blue,true,left,44,37,right,orange,1541,0
C46131,2,80158.18500006571,0,0,5000,blue,true,left,66,12,right,orange,551,0
C46131,3,83235.69500003941,0,0,5000,blue,true,left,98,9,right,orange,544,0
C46131,4,86309.30500011891,1,20,4980,blue,false,left,20,91,right,orange,582,0
C46131,5,89414.73000007682,0,0,4980,blue,true,left,28,8,right,orange,587,0
C46131,6,92523.17499998026,0,0,4980,blue,true,right,30,33,left,orange,493,0
C46131,7,95532.57000003941,1,24,4956,blue,true,right,27,24,right,blue,268,0
C46131,8,98329.13500000723,0,0,4956,blue,false,right,58,43,right,blue,99,0
C46131,9,100951.60000002943,1,47,4909,blue,true,right,72,47,right,blue,157,0
C46131,10,103634.33000002988,0,0,4909,blue,false,right,44,44,right,blue,155,0
C46131,11,106312.39999993704,0,0,4909,blue,true,left,69,26,right,orange,144,0
C46131,12,108981.49499995634,1,41,4868,blue,true,right,6,41,right,blue,103,0
C46131,13,111610.47499999404,0,0,4868,blue,true,left,88,34,right,orange,161,0
C46131,14,114294.04500010423,0,0,4868,blue,false,right,73,18,right,blue,120,0
C46131,15,116935.68500014953,1,25,4843,blue,true,right,60,25,right,blue,81,0
C46131,16,119538.45000010915,0,0,4843,blue,true,left,68,6,right,orange,56,0
C46131,17,122114.6899999585,0,0,4843,blue,false,right,48,39,right,blue,61,0
C46131,18,124702.67000002787,0,0,4843,blue,true,left,35,76,right,orange,210,0
C46131,19,127433.30999999307,1,85,4758,blue,true,right,23,85,right,blue,235,0
C46131,20,130198.54000001214,0,0,4758,blue,true,left,54,22,right,orange,202,0
C46131,21,132921.3700001128,0,0,4758,blue,false,right,66,58,right,blue,31,0
C46131,22,135470.83000000566,1,41,4717,blue,true,right,98,41,right,blue,1,0
C46131,23,138002.00500013307,0,0,4717,blue,true,left,58,80,right,orange,78,0
C46131,24,140609.3650001567,1,85,4632,blue,true,right,32,85,right,blue,15,0
C46131,25,143151.87499998137,1,83,4549,blue,false,left,83,15,right,orange,76,0
C46131,26,145755.66500006244,0,0,4549,blue,true,left,18,16,right,orange,125,0
C46131,27,148401.4099999331,1,99,4450,blue,true,right,56,99,right,blue,100,0
C46131,28,151023.13999994658,1,75,4375,blue,true,right,23,75,right,blue,114,0
C46131,29,153662.3649999965,1,18,4357,blue,true,right,68,18,right,blue,51,0
C46131,30,156238.9849999454,0,0,4357,blue,true,left,30,16,right,orange,319,0
C46131,31,159080.22500015795,0,0,4357,blue,true,left,86,37,right,orange,161,0
C46131,32,161764.1350000631,1,44,4313,blue,true,right,47,44,right,blue,142,0
C46131,33,164432.8149999492,0,0,4313,blue,true,left,3,91,right,orange,22,0
C46131,34,166976.26000014134,1,60,4253,blue,false,left,60,14,right,orange,112,0
C46131,35,169611.84000014327,1,84,4169,blue,true,right,54,84,right,blue,179,0
C46131,36,172320.14500000514,0,0,4169,blue,true,left,34,23,right,orange,136,0
C46131,37,174977.86500002258,0,0,4169,blue,true,left,96,28,right,orange,180,0
C46131,38,177674.4999999646,1,83,4086,blue,false,left,83,94,right,orange,193,0
C46131,39,180399.19000002556,1,86,4000,blue,true,right,63,86,right,blue,151,0
C46131,40,183078.71500006877,1,53,3947,blue,true,right,99,53,right,blue,88,0
C46131,41,185693.0800001137,0,0,3947,blue,true,left,29,91,right,orange,211,0
C46131,42,188423.11000009067,0,0,3947,blue,true,left,88,64,right,orange,180,0
C46131,43,191126.63500010967,1,70,3877,blue,true,right,84,70,right,blue,47,0
C46131,44,193702.324999962,0,0,3877,blue,false,right,61,88,right,blue,162,0
C46131,45,196385.7700000517,0,0,3877,blue,true,left,61,43,right,orange,33,0
C46131,46,198932.73500003852,0,0,3877,blue,true,left,87,54,right,orange,239,0
C46131,47,201691.77000015043,0,0,3877,blue,false,left,5,90,left,blue,204,0
C46131,48,208423.2000000775,1,44,3833,blue,true,left,71,44,left,blue,1825,0
C46131,49,212778.51999993436,1,52,3781,blue,true,left,42,52,left,blue,488,0
C46131,50,215798.42999996617,0,0,3781,blue,true,left,39,93,right,orange,102,0
C46131,51,218423.2000000775,1,24,3757,blue,true,right,39,24,right,blue,184,0
C46131,52,221132.990000071,1,20,3737,blue,false,right,20,10,left,orange,1588,0
C46131,53,225251.0450000409,1,85,3652,blue,false,right,85,43,left,orange,502,0
C46131,54,228281.1150001362,0,0,3652,blue,false,left,77,7,left,blue,740,0
C46131,55,231540.00500007533,1,90,3562,blue,true,left,95,90,left,blue,45,0
C46131,56,234106.76000011154,0,0,3562,blue,true,right,56,7,left,orange,46,0
C46131,57,236681.67000007816,0,0,3562,blue,true,right,50,69,left,orange,76,0
C46131,58,239276.21500007808,0,0,3562,blue,true,right,4,83,left,orange,12,0
C46131,59,241812.06000014208,1,40,3522,blue,false,left,40,8,right,orange,27,0
C46131,60,244367.32499999925,1,86,3436,blue,true,right,47,86,right,blue,75,0
C46131,61,246976.79500002414,0,0,3436,blue,true,right,15,49,left,orange,28,0
C46131,62,249524.55500001088,0,0,3436,blue,true,right,17,39,left,orange,38,0
C46131,63,252087.25000009872,0,0,3436,blue,false,left,76,97,left,blue,98,0
C46131,64,254702.71999994293,1,14,3422,blue,true,left,73,14,left,blue,58,0
C46131,65,257291.82000015862,0,0,3422,blue,true,right,67,29,left,orange,33,0
C46131,66,259843.05000002496,0,0,3422,blue,true,right,48,39,left,orange,90,0
C46131,67,262453.26999993995,1,99,3323,blue,true,left,30,99,left,blue,72,0
C46131,68,265052.23000003025,0,0,3323,blue,false,right,13,20,right,blue,65,0
C46131,69,267638.2000001613,1,59,3264,blue,true,right,66,59,right,blue,18,0
C46131,70,270182.904999936,1,60,3204,blue,true,left,20,60,left,blue,77,0
C46131,71,272786.7350000888,0,0,3204,blue,true,left,41,25,right,orange,28,0
C46131,72,275334.4100001268,1,76,3128,blue,false,right,76,70,left,orange,119,0
C46131,73,277980.84999993443,0,0,3128,blue,false,right,73,18,right,blue,51,0
C46131,74,280554.8300000373,0,0,3128,blue,false,right,41,80,right,blue,342,0
C46131,75,283422.68500011414,0,0,3128,blue,true,right,25,76,left,orange,99,0
C46131,76,286042.09000011906,1,34,3094,blue,false,right,34,52,left,orange,338,0
C46131,77,288905.58000002056,1,30,3064,blue,false,left,30,60,right,orange,200,0
C46131,78,291632.48999998905,1,91,2973,blue,false,right,91,36,left,orange,50,0
C46131,79,294205.9049999807,1,70,2903,blue,false,left,70,59,right,orange,130,0
C46131,80,296860.92500016093,1,47,2856,blue,true,right,64,47,right,blue,117,0
C46131,81,299505.5949999951,0,0,2856,blue,false,left,28,44,left,blue,392,0
C46131,82,302425.22500013,0,0,2856,blue,false,left,2,80,left,blue,117,0
C46131,83,305064.0050000511,0,0,2856,blue,false,left,20,39,left,blue,193,0
C46131,84,307772.61000010185,1,32,2824,blue,false,left,32,61,right,orange,99,0
C46131,85,310399.7700000182,0,0,2824,blue,false,left,90,61,left,blue,70,0
C46131,86,318509.37999994494,0,0,2824,blue,true,left,62,70,right,orange,1035,1
C46131,87,322063.6849999428,1,17,2807,blue,false,right,17,33,left,orange,41,0
C46131,88,324628.16000008024,1,74,2733,blue,false,right,74,17,left,orange,111,0
C46131,89,327272.73000008427,1,2,2731,blue,false,right,2,85,left,orange,1853,0
C46131,90,331653.1450001057,1,39,2692,blue,false,right,39,76,left,orange,271,0
C46131,91,334450.45999996364,0,0,2692,blue,false,left,70,20,left,blue,235,0
C46131,92,337212.31999993324,1,69,2623,blue,true,left,24,69,left,blue,31,0
C46131,93,339776.65000013076,1,52,2571,blue,true,right,59,52,right,blue,52,0
C46131,94,346360.8550000936,1,15,2556,blue,false,left,15,43,right,orange,1042,0
C46131,95,349927.5150001049,1,34,2522,blue,true,right,50,34,right,blue,285,0
C46131,96,352737.39499994554,0,0,2522,blue,false,left,43,48,left,blue,124,0
C46131,97,355384.8000001162,1,35,2487,blue,true,right,14,35,right,blue,22,0
C46131,98,357931.1600001529,1,42,2445,blue,true,left,12,42,left,blue,35,0
C46131,99,360491.0000001546,0,0,2445,blue,true,left,40,44,right,orange,38,0
