Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46272,1,129194.59999999404,1,37,4963,blue,true,left,44,37,left,blue,1343,0
C46272,2,133060.89999999106,1,12,4951,blue,true,right,66,12,right,blue,722,0
C46272,3,136314.5,1,9,4942,blue,true,left,98,9,left,blue,556,0
C46272,4,139392,0,0,4942,blue,false,left,20,91,left,blue,354,0
C46272,5,142263.59999999404,1,8,4934,blue,true,left,28,8,left,blue,662,0
C46272,6,145459.69999998808,1,33,4901,blue,true,right,30,33,right,blue,831,0
C46272,7,148817.09999999404,1,24,4877,blue,true,right,27,24,right,blue,453,0
C46272,8,151798.19999998808,1,58,4819,blue,false,right,58,43,left,orange,372,0
C46272,9,154693.19999998808,1,47,4772,blue,true,left,72,47,left,blue,417,0
C46272,10,157642.39999999106,1,44,4728,blue,false,right,44,44,left,orange,353,0
C46272,11,160515.89999999106,1,26,4702,blue,true,left,69,26,left,blue,359,0
C46272,12,163398.5,1,41,4661,blue,true,right,6,41,right,blue,671,0
C46272,13,166586.29999999702,0,0,4661,blue,true,right,88,34,left,orange,962,0
C46272,14,170065.19999998808,1,73,4588,blue,false,right,73,18,left,orange,823,0
C46272,15,173408.29999999702,1,25,4563,blue,true,right,60,25,right,blue,872,0
C46272,16,176796.79999999702,1,6,4557,blue,true,left,68,6,left,blue,424,0
C46272,17,179739.5,1,48,4509,blue,false,right,48,39,left,orange,489,0
C46272,18,182754.79999999702,1,76,4433,blue,true,left,35,76,left,blue,410,0
C46272,19,185680.5,0,0,4433,blue,true,right,23,85,left,orange,405,0
C46272,20,188610.29999999702,0,0,4433,blue,true,left,54,22,right,orange,422,0
C46272,21,191544.19999998808,1,66,4367,blue,false,right,66,58,left,orange,376,0
C46272,22,194442.5,0,0,4367,blue,true,right,98,41,left,orange,373,0
C46272,23,197342.09999999404,0,0,4367,blue,true,left,58,80,right,orange,375,0
C46272,24,200241,0,0,4367,blue,true,left,32,85,right,orange,379,0
C46272,25,203138.29999999702,1,83,4284,blue,false,left,83,15,right,orange,415,0
C46272,26,206075,1,16,4268,blue,true,right,18,16,right,blue,389,0
C46272,27,208997.29999999702,1,99,4169,blue,true,left,56,99,left,blue,284,0
C46272,28,211802,1,75,4094,blue,true,left,23,75,left,blue,346,0
C46272,29,214674.5,1,18,4076,blue,true,left,68,18,left,blue,353,0
C46272,30,217554.59999999404,1,16,4060,blue,true,left,30,16,left,blue,265,0
C46272,31,220342.09999999404,0,0,4060,blue,true,left,86,37,right,orange,456,0
C46272,32,223317.59999999404,0,0,4060,blue,true,right,47,44,left,orange,363,0
C46272,33,226215.5,0,0,4060,blue,true,left,3,91,right,orange,377,0
C46272,34,229112.29999999702,1,60,4000,blue,false,right,60,14,left,orange,340,0
C46272,35,231980.29999999702,0,0,4000,blue,true,right,54,84,left,orange,354,0
C46272,36,234849.5,0,0,4000,blue,true,left,34,23,right,orange,409,0
C46272,37,237794.19999998808,0,0,4000,blue,true,right,96,28,left,orange,400,0
C46272,38,240709.59999999404,1,83,3917,blue,false,right,83,94,left,orange,396,0
C46272,39,243625.69999998808,0,0,3917,blue,true,right,63,86,left,orange,322,0
C46272,40,246468.79999999702,0,0,3917,blue,true,right,99,53,left,orange,376,0
C46272,41,249361.39999999106,0,0,3917,blue,true,left,29,91,right,orange,474,0
C46272,42,252353.5,0,0,3917,blue,true,left,88,64,right,orange,468,0
C46272,43,255361.39999999106,0,0,3917,blue,true,left,84,70,right,orange,406,0
C46272,44,258290,1,61,3856,blue,false,left,61,88,right,orange,356,0
C46272,45,261178.69999998808,0,0,3856,blue,true,left,61,43,right,orange,328,0
C46272,46,264026.799999997,0,0,3856,blue,true,left,87,54,right,orange,588,0
C46272,47,267130.39999999106,1,5,3851,blue,false,right,5,90,left,orange,408,0
C46272,48,274059.5,0,0,3851,blue,true,right,71,44,left,orange,645,0
C46272,49,277219.299999997,0,0,3851,blue,true,left,42,52,right,orange,645,0
