Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46337,1,304262.60000000184,1,37,4963,blue,true,right,44,37,right,blue,1668,0
C46337,2,308489.3100000045,1,12,4951,blue,true,right,66,12,right,blue,706,0
C46337,3,311755.4999999993,1,9,4942,blue,true,right,98,9,right,blue,773,0
C46337,4,315103.1249999942,1,20,4922,blue,false,left,20,91,right,orange,1572,0
C46337,5,319235.14499999874,1,8,4914,blue,true,left,28,8,left,blue,888,0
C46337,6,322701.60499999474,0,0,4914,blue,true,right,30,33,left,orange,1141,0
C46337,7,326391.1300000036,1,24,4890,blue,true,left,27,24,left,blue,1026,0
C46337,8,330002.250000005,1,58,4832,blue,false,left,58,43,right,orange,733,0
C46337,9,333314.14499999664,1,47,4785,blue,true,left,72,47,left,blue,502,0
C46337,10,336366.4849999914,1,44,4741,blue,false,left,44,44,right,orange,481,0
C46337,11,339406.18999999424,0,0,4741,blue,true,right,69,26,left,orange,412,0
C46337,12,342358.2250000036,0,0,4741,blue,true,left,6,41,right,orange,659,0
C46337,13,345561.33499999123,0,0,4741,blue,true,right,88,34,left,orange,539,0
C46337,14,348643.5400000046,0,0,4741,blue,false,left,73,18,left,blue,895,0
C46337,15,352092.99000000465,1,25,4716,blue,true,right,60,25,right,blue,1212,0
C46337,16,355856.8649999943,1,6,4710,blue,true,right,68,6,right,blue,979,0
C46337,17,359401.68500000436,0,0,4710,blue,false,left,48,39,left,blue,676,0
C46337,18,362621.7699999979,0,0,4710,blue,true,right,35,76,left,orange,625,0
C46337,19,365798.8400000031,0,0,4710,blue,true,left,23,85,right,orange,596,0
C46337,20,368940.3149999998,1,22,4688,blue,true,left,54,22,left,blue,1058,0
C46337,21,372553.184999997,1,66,4622,blue,false,left,66,58,right,orange,1107,0
C46337,22,376220.3900000022,1,41,4581,blue,true,left,98,41,left,blue,609,0
C46337,23,379394.54999999725,1,80,4501,blue,true,right,58,80,right,blue,253,0
C46337,24,382210.50499999546,0,0,4501,blue,true,left,32,85,right,orange,786,0
C46337,25,385547.29000000225,0,0,4501,blue,false,right,83,15,right,blue,986,0
C46337,26,389080.90000000084,0,0,4501,blue,true,left,18,16,right,orange,1272,0
C46337,27,392911.03499999736,1,99,4402,blue,true,left,56,99,left,blue,697,0
C46337,28,396161.82500000286,0,0,4402,blue,true,left,23,75,right,orange,239,0
C46337,29,398936.5200000029,0,0,4402,blue,true,right,68,18,left,orange,840,0
C46337,30,402326.00000000093,1,16,4386,blue,true,right,30,16,right,blue,1351,0
C46337,31,406226.16999999445,1,37,4349,blue,true,left,86,37,left,blue,683,0
C46337,32,409469.9099999998,0,0,4349,blue,true,left,47,44,right,orange,449,0
C46337,33,412474.67500000494,1,91,4258,blue,true,right,3,91,right,blue,965,0
C46337,34,415993.3799999999,1,60,4198,blue,false,right,60,14,left,orange,671,0
C46337,35,419220.31499999866,0,0,4198,blue,true,left,54,84,right,orange,448,0
C46337,36,422222.8599999944,0,0,4198,blue,true,right,34,23,left,orange,553,0
C46337,37,425329.9249999982,0,0,4198,blue,true,left,96,28,right,orange,339,0
C46337,38,428207.4949999951,1,83,4115,blue,false,right,83,94,left,orange,93,0
C46337,39,430854.93499999575,0,0,4115,blue,true,left,63,86,right,orange,332,0
C46337,40,433729.204999996,1,53,4062,blue,true,left,99,53,left,blue,420,0
C46337,41,436705.95999999205,1,91,3971,blue,true,right,29,91,right,blue,295,0
C46337,42,439564.11500000104,0,0,3971,blue,true,right,88,64,left,orange,476,0
C46337,43,442579.5999999973,0,0,3971,blue,true,left,84,70,right,orange,685,0
C46337,44,445797.3700000002,1,61,3910,blue,false,right,61,88,left,orange,598,0
C46337,45,448952.68499999656,0,0,3910,blue,true,left,61,43,right,orange,351,0
C46337,46,451844.6799999947,1,54,3856,blue,true,left,87,54,left,blue,506,0
C46337,47,454916.20500000136,0,0,3856,blue,false,right,5,90,right,blue,646,0
C46337,48,462139.41999999224,0,0,3856,blue,true,left,71,44,right,orange,1150,0
C46337,49,465828.29499999934,0,0,3856,blue,true,right,42,52,left,orange,525,0
C46337,50,468905.1000000036,0,0,3856,blue,true,left,39,93,right,orange,1032,0
C46337,51,472490.7349999994,1,24,3832,blue,true,left,39,24,left,blue,675,0
C46337,52,475723.0799999961,0,0,3832,blue,false,right,20,10,right,blue,1202,0
C46337,53,479458.0750000023,1,85,3747,blue,false,right,85,43,left,orange,737,0
C46337,54,482762.04499999585,0,0,3747,blue,false,right,77,7,right,blue,438,0
C46337,55,485745.65499999153,1,90,3657,blue,true,right,95,90,right,blue,1659,0
C46337,56,489963.44500000123,1,7,3650,blue,true,right,56,7,right,blue,1243,0
C46337,57,493772.8899999929,0,0,3650,blue,true,right,50,69,left,orange,941,0
C46337,58,497259.3300000008,0,0,3650,blue,true,left,4,83,right,orange,462,0
C46337,59,500264.4,0,0,3650,blue,false,left,40,8,left,blue,491,0
C46337,60,503297.01999999816,0,0,3650,blue,true,left,47,86,right,orange,948,0
C46337,61,506796.2899999984,0,0,3650,blue,true,right,15,49,left,orange,888,0
C46337,62,510232.44500000146,0,0,3650,blue,true,left,17,39,right,orange,868,0
C46337,63,513639.8300000001,0,0,3650,blue,false,left,76,97,left,blue,562,0
C46337,64,516746.45999999484,1,14,3636,blue,true,right,73,14,right,blue,676,0
C46337,65,519981.2399999937,0,0,3636,blue,true,left,67,29,right,orange,658,0
C46337,66,523192.2899999918,1,39,3597,blue,true,left,48,39,left,blue,950,0
C46337,67,526718.5199999949,0,0,3597,blue,true,left,30,99,right,orange,455,0
C46337,68,529727.1000000037,1,13,3584,blue,false,left,13,20,right,orange,695,0
C46337,69,532988.559999998,0,0,3584,blue,true,right,66,59,left,orange,1188,0
C46337,70,536717.7749999973,0,0,3584,blue,true,right,20,60,left,orange,669,0
C46337,71,539928.820000001,0,0,3584,blue,true,right,41,25,left,orange,665,0
C46337,72,543141.5399999969,1,76,3508,blue,false,left,76,70,right,orange,653,0
C46337,73,546343.4350000025,1,73,3435,blue,false,right,73,18,left,orange,419,0
C46337,74,549328.4100000019,1,41,3394,blue,false,left,41,80,right,orange,820,0
C46337,75,552716.8649999949,0,0,3394,blue,true,right,25,76,left,orange,933,0
C46337,76,556194.439999992,1,34,3360,blue,false,left,34,52,right,orange,556,0
C46337,77,559319.3749999919,1,30,3330,blue,false,left,30,60,right,orange,641,0
C46337,78,562526.3850000047,0,0,3330,blue,false,left,91,36,left,blue,920,0
C46337,79,565994.7549999924,0,0,3330,blue,false,right,70,59,right,blue,1029,0
C46337,80,569568.6500000011,1,47,3283,blue,true,right,64,47,right,blue,760,0
C46337,81,572897.5449999998,1,28,3255,blue,false,right,28,44,left,orange,834,0
C46337,82,576299.8700000026,1,2,3253,blue,false,right,2,80,left,orange,771,0
C46337,83,579633.1099999952,1,20,3233,blue,false,right,20,39,left,orange,1584,0
C46337,84,583775.7500000007,1,32,3201,blue,false,right,32,61,left,orange,1196,0
C46337,85,587518.3600000018,0,0,3201,blue,false,left,90,61,left,blue,787,0
C46337,86,590854.3550000031,0,0,3201,blue,true,left,62,70,right,orange,670,0
C46337,87,594064.274999997,1,17,3184,blue,false,left,17,33,right,orange,650,0
C46337,88,602821.3549999928,0,0,3184,blue,false,left,74,17,left,blue,738,1
C46337,89,606118.4999999969,1,2,3182,blue,false,left,2,85,right,orange,655,0
C46337,90,609339.6550000034,1,39,3143,blue,false,left,39,76,right,orange,723,0
C46337,91,612626.025000005,0,0,3143,blue,false,right,70,20,right,blue,849,0
C46337,92,616020.9650000033,0,0,3143,blue,true,right,24,69,left,orange,692,0
C46337,93,619263.5350000055,1,52,3091,blue,true,right,59,52,right,blue,538,0
C46337,94,626381.0799999919,1,15,3076,blue,false,left,15,43,right,orange,696,0
C46337,95,629634.8600000056,1,34,3042,blue,true,left,50,34,left,blue,1004,0
C46337,96,633203.1799999968,0,0,3042,blue,false,right,43,48,right,blue,779,0
C46337,97,636525.8549999999,0,0,3042,blue,true,right,14,35,left,orange,834,0
C46337,98,639900.0249999954,0,0,3042,blue,true,right,12,42,left,orange,531,0
