Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46435,1,212722,0,0,5000,blue,true,right,23,10,left,orange,789,0
C46435,2,216043,0,0,5000,blue,true,right,45,97,left,orange,385,0
C46435,3,218941,0,0,5000,blue,true,left,54,62,right,orange,438,0
C46435,4,221891,1,99,4901,blue,false,right,99,16,left,orange,384,0
C46435,5,224790,0,0,4901,blue,true,left,72,40,right,orange,445,0
C46435,6,227750,0,0,4901,blue,true,left,98,88,right,orange,471,0
C46435,7,230732,0,0,4901,blue,true,left,6,54,right,orange,509,0
C46435,8,233754,0,0,4901,blue,true,left,64,55,right,orange,563,0
C46435,9,236829,1,96,4805,blue,false,right,96,45,left,orange,548,0
C46435,10,239895,0,0,4805,blue,true,left,28,19,right,orange,364,0
C46435,11,242769,0,0,4805,blue,true,right,95,26,left,orange,409,0
C46435,12,245689,0,0,4805,blue,true,left,90,29,right,orange,362,0
C46435,13,248563.00000000003,0,0,4805,blue,true,left,20,53,right,orange,491,0
C46435,14,251563.00000000003,0,0,4805,blue,true,left,74,56,right,orange,503,0
C46435,15,254580,0,0,4805,blue,true,right,18,42,left,orange,558,0
C46435,16,257649.99999999997,0,0,4805,blue,true,left,11,91,right,orange,432,0
C46435,17,260593.00000000003,1,32,4773,blue,false,left,32,31,right,orange,660,0
C46435,18,263768,0,0,4773,blue,true,right,36,65,left,orange,729,0
C46435,19,267009,1,40,4733,blue,false,left,40,30,right,orange,386,0
C46435,20,269911,0,0,4733,blue,true,left,29,26,right,orange,479,0
C46435,21,272902,1,32,4701,blue,false,left,32,36,right,orange,421,0
C46435,22,275839,0,0,4701,blue,true,left,72,81,right,orange,421,0
C46435,23,278772,1,95,4606,blue,false,left,95,54,right,orange,406,0
C46435,24,281815,1,40,4566,blue,false,right,40,59,left,orange,1315,0
C46435,25,285661,0,0,4566,blue,false,left,29,24,left,blue,923,0
C46435,26,289094,0,0,4566,blue,false,right,60,51,right,blue,503,0
C46435,27,292111,0,0,4566,blue,false,right,83,65,right,blue,466,0
C46435,28,295089,1,98,4468,blue,true,right,78,98,right,blue,404,0
C46435,29,298007,0,0,4468,blue,false,left,56,51,left,blue,478,0
C46435,30,300996,0,0,4468,blue,false,right,5,20,right,blue,415,0
C46435,31,303923,0,0,4468,blue,false,left,67,2,left,blue,473,0
C46435,32,306909,0,0,4468,blue,false,right,85,84,right,blue,623,0
C46435,33,310043,1,49,4419,blue,true,right,7,49,right,blue,483,0
C46435,34,313042.00000000006,0,0,4419,blue,false,left,37,47,left,blue,434,0
C46435,35,315988,0,0,4419,blue,false,left,27,91,left,blue,555,0
C46435,36,319053,0,0,4419,blue,false,right,44,42,right,blue,456,0
C46435,37,322020,1,55,4364,blue,true,right,31,55,right,blue,1270,0
C46435,38,325805,0,0,4364,blue,false,right,97,70,right,blue,434,0
C46435,39,328751.00000000006,0,0,4364,blue,false,left,14,9,left,blue,418,0
C46435,40,331680,1,51,4313,blue,true,left,23,51,left,blue,419,0
C46435,41,334611,1,79,4234,blue,true,right,89,79,right,blue,413,0
C46435,42,337538,0,0,4234,blue,true,left,83,86,right,orange,368,0
C46435,43,340418,0,0,4234,blue,true,left,40,62,right,orange,462,0
C46435,44,343392,0,0,4234,blue,true,left,36,23,right,orange,794,0
C46435,45,346699,0,0,4234,blue,true,left,65,61,right,orange,398,0
C46435,46,349609,0,0,4234,blue,true,right,74,67,left,orange,520,0
C46435,47,352640,0,0,4234,blue,true,right,73,41,left,orange,521,0
C46435,48,359677,0,0,4234,blue,false,right,96,54,right,blue,1318,0
C46435,49,363506,1,88,4146,blue,true,left,86,88,left,blue,433,0
C46435,50,366455,1,66,4080,blue,true,right,43,66,right,blue,357,0
C46435,51,369325,0,0,4080,blue,true,left,72,79,right,orange,400,0
C46435,52,372237,1,71,4009,blue,false,left,71,13,right,orange,453,0
C46435,53,375205,0,0,4009,blue,true,right,78,53,left,orange,470,0
C46435,54,378187,0,0,4009,blue,true,right,57,90,left,orange,539,0
C46435,55,381237,1,3,4006,blue,false,right,3,12,left,orange,494,0
C46435,56,384245,0,0,4006,blue,true,right,2,64,left,orange,376,0
C46435,57,387134,0,0,4006,blue,true,left,99,9,right,orange,365,0
C46435,58,390012,0,0,4006,blue,true,left,21,42,right,orange,570,0
C46435,59,393093,0,0,4006,blue,true,right,83,72,left,orange,438,0
C46435,60,396041,0,0,4006,blue,true,right,37,11,left,orange,485,0
C46435,61,399037.00000000006,1,67,3939,blue,false,left,67,81,right,orange,422,0
C46435,62,401975,0,0,3939,blue,true,left,12,14,right,orange,367,0
C46435,63,404852.00000000006,1,78,3861,blue,false,right,78,90,left,orange,439,0
C46435,64,407806,1,46,3815,blue,false,right,46,53,left,orange,503,0
C46435,65,410824,0,0,3815,blue,false,right,30,42,right,blue,395,0
C46435,66,413733,0,0,3815,blue,false,right,36,65,right,blue,416,0
C46435,67,416663,0,0,3815,blue,false,right,49,49,right,blue,476,0
C46435,68,419650.00000000006,0,0,3815,blue,false,left,44,10,left,blue,681,0
C46435,69,422843,0,0,3815,blue,false,left,70,64,left,blue,507,0
C46435,70,425861,0,0,3815,blue,false,left,68,95,left,blue,462,0
C46435,71,428836,0,0,3815,blue,false,right,38,46,right,blue,447,0
C46435,72,431794,0,0,3815,blue,false,right,18,24,right,blue,428,0
C46435,73,434733,0,0,3815,blue,false,right,82,78,right,blue,429,0
C46435,74,437674.00000000006,0,0,3815,blue,false,left,59,54,left,blue,448,0
C46435,75,440633,0,0,3815,blue,false,left,36,33,left,blue,452,0
C46435,76,443598,1,56,3759,blue,true,right,49,56,right,blue,429,0
C46435,77,446543,0,0,3759,blue,false,right,26,83,right,blue,567,0
C46435,78,449622,0,0,3759,blue,false,right,38,81,right,blue,518,0
C46435,79,452650.00000000006,0,0,3759,blue,false,right,12,3,right,blue,467,0
C46435,80,455629,0,0,3759,blue,false,right,62,38,right,blue,446,0
C46435,81,458587,0,0,3759,blue,false,left,43,50,left,blue,560,0
C46435,82,461658,0,0,3759,blue,false,right,50,47,right,blue,409,0
C46435,83,464576,1,35,3724,blue,true,left,41,35,left,blue,426,0
C46435,84,467518,0,0,3724,blue,false,right,9,62,right,blue,469,0
C46435,85,470499,0,0,3724,blue,false,left,60,58,left,blue,400,0
C46435,86,473410,0,0,3724,blue,false,right,88,31,right,blue,433,0
C46435,87,476354,0,0,3724,blue,false,right,56,44,right,blue,524,0
C46435,88,479390,1,15,3709,blue,true,left,31,15,left,blue,469,0
C46435,89,482374,0,0,3709,blue,false,left,90,31,left,blue,464,0
C46435,90,485350,0,0,3709,blue,false,right,80,76,right,blue,429,0
C46435,91,488288,0,0,3709,blue,false,right,78,4,right,blue,510,0
C46435,92,491308,0,0,3709,blue,false,left,60,28,left,blue,527,0
C46435,93,494347.00000000006,1,99,3610,blue,true,right,56,99,right,blue,415,0
C46435,94,501278,0,0,3610,blue,false,left,31,45,left,blue,1114,0
C46435,95,504903,0,0,3610,blue,false,right,55,16,right,blue,417,0
C46435,96,507832,1,89,3521,blue,true,left,12,89,left,blue,424,0
C46435,97,510770.00000000006,0,0,3521,blue,false,left,49,4,left,blue,425,0
C46435,98,513724.00000000006,0,0,3521,blue,false,left,69,12,left,blue,484,0
C46435,99,516717.99999999994,1,26,3495,blue,true,left,49,26,left,blue,422,0
C46435,100,519663,0,0,3495,blue,false,left,75,76,left,blue,441,0
C46435,101,522615,0,0,3495,blue,false,right,22,90,right,blue,442,0
C46435,102,525567,1,23,3472,blue,true,left,26,23,left,blue,417,0
C46435,103,528497,0,0,3472,blue,false,right,11,68,right,blue,455,0
C46435,104,531463,1,82,3390,blue,true,left,71,82,left,blue,362,0
C46435,105,534340,0,0,3390,blue,false,left,86,95,left,blue,575,0
C46435,106,537427,0,0,3390,blue,false,left,79,88,left,blue,573,0
C46435,107,540512,0,0,3390,blue,false,right,75,40,right,blue,530,0
C46435,108,543554,0,0,3390,blue,false,right,11,94,right,blue,633,0
C46435,109,546699,1,44,3346,blue,true,right,53,44,right,blue,661,0
C46435,110,549876,0,0,3346,blue,false,left,85,17,left,blue,452,0
C46435,111,552839,1,32,3314,blue,true,left,85,32,left,blue,516,0
C46435,112,555870,0,0,3314,blue,false,right,38,68,right,blue,491,0
C46435,113,558872,0,0,3314,blue,false,right,28,93,right,blue,442,0
C46435,114,561825,0,0,3314,blue,false,right,13,95,right,blue,479,0
C46435,115,564818,0,0,3314,blue,false,right,69,60,right,blue,472,0
C46435,116,567803,1,95,3219,blue,true,right,56,95,right,blue,414,0
