Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46474,1,254254,1,37,4963,blue,true,left,44,37,left,blue,1146,0
C46474,2,257963,0,0,4963,blue,true,left,66,12,right,orange,433,0
C46474,3,260939,1,9,4954,blue,true,right,98,9,right,blue,1033,0
C46474,4,264527,1,20,4934,blue,false,left,20,91,right,orange,595,0
C46474,5,267680,0,0,4934,blue,true,right,28,8,left,orange,568,0
C46474,6,270811,1,33,4901,blue,true,left,30,33,left,blue,335,0
C46474,7,273726,0,0,4901,blue,true,right,27,24,left,orange,896,0
C46474,8,277173,1,58,4843,blue,false,left,58,43,right,orange,522,0
C46474,9,280257,1,47,4796,blue,true,left,72,47,left,blue,586,0
C46474,10,283408,1,44,4752,blue,false,left,44,44,right,orange,709,0
C46474,11,286670,1,26,4726,blue,true,right,69,26,right,blue,490,0
C46474,12,289711,1,41,4685,blue,true,left,6,41,left,blue,435,0
C46474,13,292709,1,34,4651,blue,true,left,88,34,left,blue,1108,0
C46474,14,296378,1,73,4578,blue,false,left,73,18,right,orange,388,0
C46474,15,299314,1,25,4553,blue,true,right,60,25,right,blue,1559,0
C46474,16,303446,1,6,4547,blue,true,right,68,6,right,blue,638,0
C46474,17,306674,1,48,4499,blue,false,left,48,39,right,orange,516,0
C46474,18,309757,0,0,4499,blue,true,right,35,76,left,orange,260,0
C46474,19,312556,0,0,4499,blue,true,right,23,85,left,orange,433,0
C46474,20,315525,0,0,4499,blue,true,left,54,22,right,orange,1822,0
C46474,21,319903,1,66,4433,blue,false,left,66,58,right,orange,594,0
C46474,22,323058,0,0,4433,blue,true,left,98,41,right,orange,1305,0
C46474,23,326919,0,0,4433,blue,true,left,58,80,right,orange,435,0
C46474,24,329902,0,0,4433,blue,true,right,32,85,left,orange,871,0
C46474,25,333328,1,83,4350,blue,false,right,83,15,left,orange,455,0
C46474,26,336345,0,0,4350,blue,true,right,18,16,left,orange,493,0
C46474,27,339379,0,0,4350,blue,true,left,56,99,right,orange,456,0
C46474,28,342372,0,0,4350,blue,true,left,23,75,right,orange,419,0
C46474,29,345359,0,0,4350,blue,true,right,68,18,left,orange,495,0
C46474,30,348406,0,0,4350,blue,true,right,30,16,left,orange,658,0
C46474,31,351623,1,37,4313,blue,true,left,86,37,left,blue,412,0
C46474,32,354602,1,44,4269,blue,true,right,47,44,right,blue,356,0
C46474,33,357512,0,0,4269,blue,true,left,3,91,right,orange,381,0
C46474,34,360456,1,60,4209,blue,false,left,60,14,right,orange,354,0
C46474,35,363375,0,0,4209,blue,true,left,54,84,right,orange,688,0
C46474,36,366621,1,23,4186,blue,true,right,34,23,right,blue,981,0
C46474,37,370189,0,0,4186,blue,true,left,96,28,right,orange,428,0
C46474,38,373166,1,83,4103,blue,false,right,83,94,left,orange,1075,0
C46474,39,376824,0,0,4103,blue,true,left,63,86,right,orange,572,0
C46474,40,379939,1,53,4050,blue,true,right,99,53,right,blue,1241,0
C46474,41,383732,1,91,3959,blue,true,right,29,91,right,blue,1099,0
C46474,42,387414,1,64,3895,blue,true,left,88,64,left,blue,178,0
C46474,43,390166,0,0,3895,blue,true,right,84,70,left,orange,380,0
C46474,44,393110,1,61,3834,blue,false,left,61,88,right,orange,898,0
C46474,45,396584,0,0,3834,blue,true,left,61,43,right,orange,662,0
C46474,46,399782,0,0,3834,blue,true,left,87,54,right,orange,417,0
C46474,47,402758,1,5,3829,blue,false,left,5,90,right,orange,503,0
C46474,48,409804,1,44,3785,blue,true,left,71,44,left,blue,829,0
C46474,49,413187,0,0,3785,blue,true,right,42,52,left,orange,509,0
C46474,50,416257,0,0,3785,blue,true,right,39,93,left,orange,504,0
C46474,51,419329,0,0,3785,blue,true,right,39,24,left,orange,389,0
C46474,52,422281,0,0,3785,blue,false,right,20,10,right,blue,1084,0
C46474,53,425909,1,85,3700,blue,false,right,85,43,left,orange,782,0
C46474,54,429245,1,77,3623,blue,false,left,77,7,right,orange,382,0
C46474,55,432184,0,0,3623,blue,true,right,95,90,left,orange,569,0
C46474,56,435311,1,7,3616,blue,true,right,56,7,right,blue,814,0
C46474,57,438690,1,69,3547,blue,true,left,50,69,left,blue,609,0
C46474,58,441854,0,0,3547,blue,true,right,4,83,left,orange,544,0
C46474,59,444924,0,0,3547,blue,false,right,40,8,right,blue,600,0
C46474,60,448078,1,86,3461,blue,true,right,47,86,right,blue,324,0
C46474,61,450954,1,49,3412,blue,true,right,15,49,right,blue,357,0
C46474,62,453875,0,0,3412,blue,true,left,17,39,right,orange,546,0
C46474,63,456980,1,76,3336,blue,false,right,76,97,left,orange,889,0
C46474,64,460409,1,14,3322,blue,true,left,73,14,left,blue,572,0
