Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46551,1,137950.3450000193,1,10,4990,blue,true,left,23,10,left,blue,905,0
C46551,2,141435.93999999575,0,0,4990,blue,true,right,45,97,left,orange,830,0
C46551,3,144823.9800001029,0,0,4990,blue,true,right,54,62,left,orange,1103,0
C46551,4,148504.5800000662,0,0,4990,blue,false,left,99,16,left,blue,838,0
C46551,5,151914.79000006802,1,40,4950,blue,true,left,72,40,left,blue,772,0
C46551,6,155252.48000002466,1,88,4862,blue,true,left,98,88,left,blue,860,0
C46551,7,158674.64000009932,0,0,4862,blue,true,left,6,54,right,orange,628,0
C46551,8,161857.48000000603,0,0,4862,blue,true,left,64,55,right,orange,667,0
C46551,9,165084.54000006896,0,0,4862,blue,false,right,96,45,right,blue,1867,0
C46551,10,169502.3050000891,1,19,4843,blue,true,left,28,19,left,blue,867,0
C46551,11,172925.84500007797,1,26,4817,blue,true,right,95,26,right,blue,819,0
C46551,12,176312.35500006005,1,29,4788,blue,true,right,90,29,right,blue,1018,0
C46551,13,179893.89500010293,0,0,4788,blue,true,right,20,53,left,orange,522,0
C46551,14,182977.7999999933,0,0,4788,blue,true,left,74,56,right,orange,432,0
C46551,15,185970.80500004813,0,0,4788,blue,true,right,18,42,left,orange,467,0
C46551,16,189006.55000004917,0,0,4788,blue,true,right,11,91,left,orange,408,0
C46551,17,191971.25000006054,1,32,4756,blue,false,left,32,31,right,orange,368,0
C46551,18,194917.28000005241,0,0,4756,blue,true,left,36,65,right,orange,390,0
C46551,19,197870.9000000963,0,0,4756,blue,false,left,40,30,left,blue,2069,0
C46551,20,202504.53000003472,0,0,4756,blue,true,right,29,26,left,orange,753,0
C46551,21,205816.4200000465,1,32,4724,blue,false,left,32,36,right,orange,766,0
C46551,22,209147.9700000491,0,0,4724,blue,true,right,72,81,left,orange,944,0
C46551,23,212639.43500001915,1,95,4629,blue,false,left,95,54,right,orange,574,0
C46551,24,215780.70000000298,1,40,4589,blue,false,left,40,59,right,orange,706,0
C46551,25,219040.2549999999,1,29,4560,blue,false,left,29,24,right,orange,1026,0
C46551,26,222621.9900000142,1,60,4500,blue,false,right,60,51,left,orange,732,0
C46551,27,231496.31000007503,0,0,4500,blue,false,left,83,65,left,blue,787,1
C46551,28,234849.41000002436,0,0,4500,blue,true,right,78,98,left,orange,774,0
C46551,29,238177.26000002585,1,56,4444,blue,false,right,56,51,left,orange,615,0
C46551,30,241352.02500002924,1,5,4439,blue,false,right,5,20,left,orange,438,0
C46551,31,244351.98999999557,0,0,4439,blue,false,right,67,2,right,blue,907,0
C46551,32,247802.0550000947,1,85,4354,blue,false,right,85,84,left,orange,1182,0
C46551,33,251568.69000010192,0,0,4354,blue,true,right,7,49,left,orange,576,0
C46551,34,254692.970000091,1,37,4317,blue,false,right,37,47,left,orange,838,0
C46551,35,258088.97000004072,1,27,4290,blue,false,left,27,91,right,orange,603,0
C46551,36,261255.18500001635,0,0,4290,blue,false,right,44,42,right,blue,945,0
C46551,37,264747.06000008155,1,55,4235,blue,true,left,31,55,left,blue,339,0
C46551,38,267651.85000002384,1,97,4138,blue,false,right,97,70,left,orange,515,0
C46551,39,270720.60500003863,0,0,4138,blue,false,left,14,9,left,blue,597,0
C46551,40,273884.63000010233,0,0,4138,blue,true,right,23,51,left,orange,809,0
C46551,41,277256.23000005726,1,79,4059,blue,true,left,89,79,left,blue,876,0
C46551,42,280711.3900000695,0,0,4059,blue,true,right,83,86,left,orange,992,0
C46551,43,284265.4400001047,0,0,4059,blue,true,left,40,62,right,orange,857,0
C46551,44,287681.8050000584,1,23,4036,blue,true,right,36,23,right,blue,2128,0
C46551,45,292370.21500000264,1,61,3975,blue,true,right,65,61,right,blue,981,0
C46551,46,295910.34500009846,1,67,3908,blue,true,left,74,67,left,blue,1014,0
C46551,47,299500.2200000454,0,0,3908,blue,true,right,73,41,left,orange,554,0
C46551,48,306621.6250000289,1,96,3812,blue,false,left,96,54,right,orange,1153,0
C46551,49,310327.0500000799,0,0,3812,blue,true,left,86,88,right,orange,968,0
C46551,50,313854.7650000546,0,0,3812,blue,true,left,43,66,right,orange,461,0
C46551,51,316859.86000008415,0,0,3812,blue,true,right,72,79,left,orange,825,0
C46551,52,320241.77500000224,0,0,3812,blue,false,left,71,13,left,blue,1456,0
C46551,53,324264.3500000704,0,0,3812,blue,true,right,78,53,left,orange,2007,0
C46551,54,328833.16000003833,0,0,3812,blue,true,left,57,90,right,orange,777,0
C46551,55,332163.4550000308,1,3,3809,blue,false,right,3,12,left,orange,641,0
C46551,56,335392.3350000987,0,0,3809,blue,true,left,2,64,right,orange,657,0
C46551,57,338600.04000004847,1,9,3800,blue,true,right,99,9,right,blue,1267,0
C46551,58,342444.6800000733,0,0,3800,blue,true,right,21,42,left,orange,1898,0
C46551,59,346902.02000003774,0,0,3800,blue,true,left,83,72,right,orange,1738,0
C46551,60,351195.6600000849,1,11,3789,blue,true,right,37,11,right,blue,2574,0
C46551,61,356334.145000088,1,67,3722,blue,false,right,67,81,left,orange,713,0
C46551,62,359614.42500003614,0,0,3722,blue,true,left,12,14,right,orange,3717,0
C46551,63,365883.09000001755,1,78,3644,blue,false,right,78,90,left,orange,846,0
C46551,64,369278.84500008076,1,46,3598,blue,false,right,46,53,left,orange,688,0
C46551,65,372536.3700001035,1,30,3568,blue,false,left,30,42,right,orange,768,0
C46551,66,375860.6550000841,0,0,3568,blue,false,left,36,65,left,blue,730,0
C46551,67,379154.605000047,0,0,3568,blue,false,right,49,49,right,blue,420,0
C46551,68,382136.0350000905,0,0,3568,blue,false,left,44,10,left,blue,446,0
C46551,69,385132.5000000652,0,0,3568,blue,false,left,70,64,left,blue,362,0
C46551,70,388043.9150000457,0,0,3568,blue,false,left,68,95,left,blue,314,0
C46551,71,390921.4450001018,0,0,3568,blue,false,left,38,46,left,blue,330,0
C46551,72,393804.6500000637,0,0,3568,blue,false,left,18,24,left,blue,373,0
C46551,73,396739.0800000867,0,0,3568,blue,false,left,82,78,left,blue,393,0
C46551,74,399683.01000003703,0,0,3568,blue,false,right,59,54,right,blue,525,0
C46551,75,402754.9500000896,0,0,3568,blue,false,right,36,33,right,blue,318,0
C46551,76,405634.1400000965,1,56,3512,blue,true,right,49,56,right,blue,342,0
C46551,77,408533.6349999998,1,26,3486,blue,false,right,26,83,left,orange,287,0
C46551,78,411386.24000002164,1,38,3448,blue,false,left,38,81,right,orange,593,0
C46551,79,414543.43000007793,0,0,3448,blue,false,right,12,3,right,blue,989,0
C46551,80,418090.07000003476,0,0,3448,blue,false,left,62,38,left,blue,396,0
C46551,81,421044.0800000215,0,0,3448,blue,false,right,43,50,right,blue,366,0
C46551,82,423976.81000002194,0,0,3448,blue,false,right,50,47,right,blue,349,0
C46551,83,426885.86999999825,1,35,3413,blue,true,right,41,35,right,blue,344,0
C46551,84,429805.54500001017,0,0,3413,blue,false,right,9,62,right,blue,548,0
C46551,85,432922.6250000065,0,0,3413,blue,false,right,60,58,right,blue,369,0
C46551,86,435850.15000007115,0,0,3413,blue,false,left,88,31,left,blue,418,0
C46551,87,438821.17000001017,0,0,3413,blue,false,left,56,44,left,blue,623,0
C46551,88,441990.88000005577,1,15,3398,blue,true,left,31,15,left,blue,561,0
C46551,89,445121.12500006333,0,0,3398,blue,false,right,90,31,right,blue,487,0
C46551,90,448170.54500000086,0,0,3398,blue,false,left,80,76,left,blue,828,0
C46551,91,451561.37000001036,0,0,3398,blue,false,left,78,4,left,blue,806,0
C46551,92,454916.5150000481,0,0,3398,blue,false,left,60,28,left,blue,478,0
C46551,93,457952.12000003085,1,99,3299,blue,true,left,56,99,left,blue,934,0
C46551,94,465454.4050000841,0,0,3299,blue,false,left,31,45,left,blue,985,0
C46551,95,469008.36500001606,0,0,3299,blue,false,right,55,16,right,blue,508,0
