Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46589,1,306611.3700000569,0,0,5000,blue,true,right,23,10,left,orange,1641,0
C46589,2,310767.98500004224,0,0,5000,blue,true,right,45,97,left,orange,398,0
C46589,3,313686.4400000777,0,0,5000,blue,true,left,54,62,right,orange,405,0
C46589,4,316613.0500000436,1,99,4901,blue,false,right,99,16,left,orange,382,0
C46589,5,319518.2250000071,0,0,4901,blue,true,right,72,40,left,orange,421,0
C46589,6,322459.1500000097,0,0,4901,blue,true,right,98,88,left,orange,381,0
C46589,7,325369.1950000357,0,0,4901,blue,true,right,6,54,left,orange,411,0
C46589,8,328303.46999992616,0,0,4901,blue,true,right,64,55,left,orange,404,0
C46589,9,331226.47000011057,1,96,4805,blue,false,right,96,45,left,orange,621,0
C46589,10,334367.7799999714,0,0,4805,blue,true,right,28,19,left,orange,325,0
C46589,11,337213.1449999288,0,0,4805,blue,true,right,95,26,left,orange,415,0
C46589,12,340150.410000002,0,0,4805,blue,true,left,90,29,right,orange,496,0
C46589,13,343164.8099999875,0,0,4805,blue,true,left,20,53,right,orange,462,0
C46589,14,346148.85500003584,0,0,4805,blue,true,left,74,56,right,orange,387,0
C46589,15,349053.2250001561,0,0,4805,blue,true,right,18,42,left,orange,559,0
C46589,16,352129.24499996006,0,0,4805,blue,true,left,11,91,right,orange,470,0
C46589,17,355121.4650000911,1,32,4773,blue,false,right,32,31,left,orange,606,0
C46589,18,358250.1250000205,0,0,4773,blue,true,left,36,65,right,orange,394,0
C46589,19,361166.35000007227,1,40,4733,blue,false,left,40,30,right,orange,364,0
C46589,20,364055.75000005774,0,0,4733,blue,true,left,29,26,right,orange,353,0
C46589,21,366922.7700000629,1,32,4701,blue,false,left,32,36,right,orange,378,0
C46589,22,369824.9950001482,1,81,4620,blue,true,left,72,81,left,blue,693,0
C46589,23,373043.70500007644,1,95,4525,blue,false,right,95,54,left,orange,482,0
C46589,24,376049.219999928,0,0,4525,blue,false,left,40,59,left,blue,397,0
C46589,25,378966.82500001043,0,0,4525,blue,false,left,29,24,left,blue,367,0
C46589,26,381856.14500008523,0,0,4525,blue,false,right,60,51,right,blue,419,0
C46589,27,384792.829999933,0,0,4525,blue,false,left,83,65,left,blue,400,0
C46589,28,387709.5800000243,1,98,4427,blue,true,left,78,98,left,blue,375,0
C46589,29,390608.9950001333,0,0,4427,blue,false,right,56,51,right,blue,450,0
C46589,30,393575.96500008367,0,0,4427,blue,false,right,5,20,right,blue,413,0
C46589,31,396512.0449999813,0,0,4427,blue,false,left,67,2,left,blue,369,0
C46589,32,399402.8750001453,0,0,4427,blue,false,left,85,84,left,blue,420,0
C46589,33,402345.5350000877,1,49,4378,blue,true,left,7,49,left,blue,333,0
C46589,34,405202.98000006005,0,0,4378,blue,false,left,37,47,left,blue,320,0
C46589,35,408042.62500000186,0,0,4378,blue,false,left,27,91,left,blue,293,0
C46589,36,410853.52499992587,0,0,4378,blue,false,left,44,42,left,blue,373,0
C46589,37,413741.91000009887,1,55,4323,blue,true,left,31,55,left,blue,386,0
C46589,38,416660.20500008017,0,0,4323,blue,false,left,97,70,left,blue,507,0
C46589,39,419685.9500000719,0,0,4323,blue,false,left,14,9,left,blue,446,0
C46589,40,422651.43500012346,1,51,4272,blue,true,left,23,51,left,blue,405,0
C46589,41,425575.48999995925,1,79,4193,blue,true,left,89,79,left,blue,365,0
C46589,42,428462.8250000533,0,0,4193,blue,true,left,83,86,right,orange,290,0
C46589,43,431272.8500000667,0,0,4193,blue,true,left,40,62,right,orange,324,0
C46589,44,434115.4450001195,0,0,4193,blue,true,right,36,23,left,orange,405,0
C46589,45,437034.90999992937,0,0,4193,blue,true,left,65,61,right,orange,515,0
C46589,46,440068.3250001166,0,0,4193,blue,true,right,74,67,left,orange,437,0
C46589,47,443025.74499999173,0,0,4193,blue,true,right,73,41,left,orange,396,0
C46589,48,449952.4650000967,1,96,4097,blue,false,left,96,54,right,orange,994,0
C46589,49,453467.08500012755,1,88,4009,blue,true,right,86,88,right,blue,510,0
C46589,50,456501.65500002913,0,0,4009,blue,true,right,43,66,left,orange,312,0
C46589,51,459336.6499999538,0,0,4009,blue,true,right,72,79,left,orange,359,0
C46589,52,462217.5849999767,1,71,3938,blue,false,right,71,13,left,orange,393,0
C46589,53,465135.5399999302,1,53,3885,blue,true,left,78,53,left,blue,366,0
C46589,54,468028.21499994025,0,0,3885,blue,true,left,57,90,right,orange,340,0
C46589,55,470890.9950000234,1,3,3882,blue,false,right,3,12,left,orange,440,0
C46589,56,473853.61000010744,0,0,3882,blue,true,right,2,64,left,orange,355,0
C46589,57,476725.46999994665,0,0,3882,blue,true,right,99,9,left,orange,386,0
C46589,58,479632.66000011936,0,0,3882,blue,true,right,21,42,left,orange,388,0
C46589,59,482541.6800000239,0,0,3882,blue,true,right,83,72,left,orange,383,0
C46589,60,485449.079999933,0,0,3882,blue,true,right,37,11,left,orange,379,0
C46589,61,488350.7100001443,1,67,3815,blue,false,left,67,81,right,orange,489,0
C46589,62,491359.3099999707,0,0,3815,blue,true,right,12,14,left,orange,411,0
C46589,63,494288.52499998175,1,78,3737,blue,false,right,78,90,left,orange,460,0
C46589,64,497267.98500004224,0,0,3737,blue,false,left,46,53,left,blue,418,0
C46589,65,500202.1149999928,0,0,3737,blue,false,left,30,42,left,blue,356,0
C46589,66,503075.79499995336,0,0,3737,blue,false,left,36,65,left,blue,353,0
C46589,67,505948.8200000487,0,0,3737,blue,false,left,49,49,left,blue,387,0
C46589,68,508854.40500010736,0,0,3737,blue,false,right,44,10,right,blue,461,0
C46589,69,511836.99500001967,0,0,3737,blue,false,right,70,64,right,blue,344,0
