Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46649,1,156879.09999990463,1,10,4990,blue,true,left,23,10,left,blue,2660,0
C46649,2,162091.69999980927,1,97,4893,blue,true,right,45,97,right,blue,591,0
C46649,3,165226.19999980927,0,0,4893,blue,true,right,54,62,left,orange,777,0
C46649,4,168531.59999990463,1,99,4794,blue,false,right,99,16,left,orange,853,0
C46649,5,171911.09999990463,1,40,4754,blue,true,right,72,40,right,blue,976,0
C46649,6,175444.79999995232,1,88,4666,blue,true,left,98,88,left,blue,1011,0
C46649,7,179015.19999980927,0,0,4666,blue,true,right,6,54,left,orange,794,0
C46649,8,182343.79999995232,1,55,4611,blue,true,left,64,55,left,blue,413,0
C46649,9,185279.79999995232,0,0,4611,blue,false,right,96,45,right,blue,1150,0
C46649,10,188963.29999995232,1,19,4592,blue,true,right,28,19,right,blue,590,0
C46649,11,192086.79999995232,1,26,4566,blue,true,left,95,26,left,blue,356,0
C46649,12,194981.59999990463,1,29,4537,blue,true,left,90,29,left,blue,317,0
C46649,13,197840.69999980927,1,53,4484,blue,true,right,20,53,right,blue,545,0
C46649,14,200927.5,0,0,4484,blue,true,left,74,56,right,orange,423,0
C46649,15,203877.19999980927,1,42,4442,blue,true,right,18,42,right,blue,385,0
C46649,16,206792.39999985695,1,91,4351,blue,true,left,11,91,left,blue,652,0
C46649,17,209987.19999980927,1,32,4319,blue,false,left,32,31,right,orange,1277,0
C46649,18,213810.19999980927,0,0,4319,blue,true,left,36,65,right,orange,450,0
C46649,19,216784.69999980927,1,40,4279,blue,false,left,40,30,right,orange,604,0
C46649,20,219931,0,0,4279,blue,true,right,29,26,left,orange,344,0
C46649,21,222808,0,0,4279,blue,false,left,32,36,left,blue,961,0
C46649,22,226313.19999980927,0,0,4279,blue,true,right,72,81,left,orange,684,0
C46649,23,229517.29999995232,1,95,4184,blue,false,left,95,54,right,orange,871,0
C46649,24,232932,0,0,4184,blue,false,left,40,59,left,blue,570,0
C46649,25,236036.89999985695,0,0,4184,blue,false,right,29,24,right,blue,1212,0
C46649,26,239784.89999985695,1,60,4124,blue,false,right,60,51,left,orange,979,0
C46649,27,243323,1,83,4041,blue,false,left,83,65,right,orange,469,0
C46649,28,246330.19999980927,0,0,4041,blue,true,right,78,98,left,orange,465,0
C46649,29,249327,0,0,4041,blue,false,left,56,51,left,blue,974,0
C46649,30,252837,1,5,4036,blue,false,left,5,20,right,orange,584,0
C46649,31,255964.09999990463,0,0,4036,blue,false,left,67,2,left,blue,655,0
C46649,32,259139.39999985695,0,0,4036,blue,false,left,85,84,left,blue,542,0
C46649,33,262208.09999990463,1,49,3987,blue,true,left,7,49,left,blue,1021,0
C46649,34,265772.09999990463,1,37,3950,blue,false,left,37,47,right,orange,898,0
C46649,35,269200.09999990463,0,0,3950,blue,false,right,27,91,right,blue,495,0
C46649,36,272218.19999980927,0,0,3950,blue,false,right,44,42,right,blue,425,0
C46649,37,275180.89999985695,1,55,3895,blue,true,right,31,55,right,blue,490,0
C46649,38,278218.2999999523,1,97,3798,blue,false,right,97,70,left,orange,519,0
C46649,39,281280.59999990463,0,0,3798,blue,false,left,14,9,left,blue,720,0
C46649,40,284531,0,0,3798,blue,true,right,23,51,left,orange,448,0
C46649,41,287508.69999980927,1,79,3719,blue,true,left,89,79,left,blue,957,0
C46649,42,291005.5,1,86,3633,blue,true,right,83,86,right,blue,419,0
C46649,43,293968.2999999523,1,62,3571,blue,true,left,40,62,left,blue,475,0
C46649,44,296995.19999980927,0,0,3571,blue,true,left,36,23,right,orange,423,0
C46649,45,299959.7999999523,0,0,3571,blue,true,right,65,61,left,orange,511,0
C46649,46,303012.09999990463,0,0,3571,blue,true,right,74,67,left,orange,418,0
C46649,47,305975.89999985695,1,41,3530,blue,true,right,73,41,right,blue,1388,0
C46649,48,313897.7999999523,0,0,3530,blue,false,left,96,54,left,blue,986,0
C46649,49,317414.39999985695,1,88,3442,blue,true,right,86,88,right,blue,1035,0
C46649,50,320987.59999990463,1,66,3376,blue,true,right,43,66,right,blue,680,0
C46649,51,324214.09999990463,1,79,3297,blue,true,right,72,79,right,blue,384,0
C46649,52,327157.2999999523,0,0,3297,blue,false,right,71,13,right,blue,441,0
C46649,53,330140.09999990463,1,53,3244,blue,true,left,78,53,left,blue,550,0
C46649,54,333230.7999999523,0,0,3244,blue,true,left,57,90,right,orange,375,0
C46649,55,336151.69999980927,1,3,3241,blue,false,left,3,12,right,orange,497,0
C46649,56,339191.69999980927,0,0,3241,blue,true,left,2,64,right,orange,340,0
C46649,57,342070.69999980927,0,0,3241,blue,true,left,99,9,right,orange,349,0
C46649,58,344950.09999990463,0,0,3241,blue,true,left,21,42,right,orange,430,0
C46649,59,347917.09999990463,0,0,3241,blue,true,left,83,72,right,orange,789,0
C46649,60,351237.2999999523,0,0,3241,blue,true,right,37,11,left,orange,399,0
C46649,61,354160.69999980927,1,67,3174,blue,false,right,67,81,left,orange,1172,0
C46649,62,357868.2999999523,1,14,3160,blue,true,right,12,14,right,blue,424,0
C46649,63,360836.7999999523,0,0,3160,blue,false,right,78,90,right,blue,646,0
C46649,64,364026.2999999523,0,0,3160,blue,false,right,46,53,right,blue,500,0
C46649,65,367061.09999990463,0,0,3160,blue,false,left,30,42,left,blue,412,0
C46649,66,370007.7999999523,1,36,3124,blue,false,right,36,65,left,orange,825,0
C46649,67,373363.2999999523,0,0,3124,blue,false,right,49,49,right,blue,427,0
C46649,68,376325.39999985695,1,44,3080,blue,false,left,44,10,right,orange,332,0
C46649,69,379194.69999980927,0,0,3080,blue,false,left,70,64,left,blue,1165,0
C46649,70,382899.5,0,0,3080,blue,false,right,68,95,right,blue,933,0
C46649,71,386353.2999999523,1,38,3042,blue,false,right,38,46,left,orange,936,0
C46649,72,389839.5,0,0,3042,blue,false,right,18,24,right,blue,545,0
C46649,73,392917.2999999523,0,0,3042,blue,false,right,82,78,right,blue,1954,0
C46649,74,397420.39999985695,1,59,2983,blue,false,left,59,54,right,orange,1304,0
C46649,75,401253.39999985695,0,0,2983,blue,false,left,36,33,left,blue,541,0
C46649,76,404335.59999990463,0,0,2983,blue,true,right,49,56,left,orange,849,0
C46649,77,407719.09999990463,1,26,2957,blue,false,right,26,83,left,orange,387,0
C46649,78,410640.69999980927,1,38,2919,blue,false,left,38,81,right,orange,1198,0
C46649,79,414377.09999990463,0,0,2919,blue,false,right,12,3,right,blue,381,0
C46649,80,417289.2999999523,1,62,2857,blue,false,right,62,38,left,orange,639,0
C46649,81,420455.7999999523,1,43,2814,blue,false,right,43,50,left,orange,1555,0
C46649,82,424537.69999980927,0,0,2814,blue,false,right,50,47,right,blue,389,0
C46649,83,427455,1,35,2779,blue,true,left,41,35,left,blue,575,0
C46649,84,430559.19999980927,0,0,2779,blue,false,left,9,62,left,blue,409,0
C46649,85,433515.39999985695,0,0,2779,blue,false,right,60,58,right,blue,412,0
