Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46893,1,128012.2850000007,1,10,4990,blue,true,right,23,10,right,blue,1646,0
C46893,2,132216.37499999997,0,0,4990,blue,true,left,45,97,right,orange,757,0
C46893,3,135516.345,0,0,4990,blue,true,left,54,62,right,orange,1091,0
C46893,4,139148.8599999975,1,99,4891,blue,false,right,99,16,left,orange,1279,0
C46893,5,142970.6249999981,1,40,4851,blue,true,right,72,40,right,blue,1013,0
C46893,6,146522.2649999996,1,88,4763,blue,true,right,98,88,right,blue,1015,0
C46893,7,150084.42499999728,0,0,4763,blue,true,right,6,54,left,orange,718,0
C46893,8,153343.82999999798,0,0,4763,blue,true,left,64,55,right,orange,1114,0
C46893,9,156985.90499999773,1,96,4667,blue,false,right,96,45,left,orange,748,0
C46893,10,160274.72999999736,1,19,4648,blue,true,right,28,19,right,blue,751,0
C46893,11,163569.51999999728,1,26,4622,blue,true,right,95,26,right,blue,707,0
C46893,12,166832.02999999776,1,29,4593,blue,true,left,90,29,left,blue,1129,0
C46893,13,170497.19499999992,0,0,4593,blue,true,left,20,53,right,orange,798,0
C46893,14,173838.18500000052,1,56,4537,blue,true,right,74,56,right,blue,1332,0
C46893,15,177709.1999999975,0,0,4537,blue,true,left,18,42,right,orange,787,0
C46893,16,181026.01499999946,0,0,4537,blue,true,left,11,91,right,orange,507,0
C46893,17,184073.9399999984,1,32,4505,blue,false,left,32,31,right,orange,625,0
C46893,18,187243.1949999991,0,0,4505,blue,true,left,36,65,right,orange,1054,0
C46893,19,190846.0449999984,1,40,4465,blue,false,left,40,30,right,orange,878,0
C46893,20,194251.4599999995,1,26,4439,blue,true,left,29,26,left,blue,1017,0
C46893,21,197801.68499999854,1,32,4407,blue,false,left,32,36,right,orange,2034,0
C46893,22,202370.34499999936,0,0,4407,blue,true,right,72,81,left,orange,1014,0
C46893,23,205923.79000000074,0,0,4407,blue,false,left,95,54,left,blue,2108,0
C46893,24,210575.56999999724,0,0,4407,blue,false,left,40,59,left,blue,1805,0
C46893,25,214919.4349999998,0,0,4407,blue,false,right,29,24,right,blue,1268,0
C46893,26,218734.56000000078,0,0,4407,blue,false,left,60,51,left,blue,1058,0
C46893,27,222328.5849999993,0,0,4407,blue,false,left,83,65,left,blue,1283,0
C46893,28,226149.27999999782,1,98,4309,blue,true,right,78,98,right,blue,1460,0
C46893,29,230143.75499999733,0,0,4309,blue,false,right,56,51,right,blue,1019,0
C46893,30,233700.67500000005,0,0,4309,blue,false,left,5,20,left,blue,1495,0
C46893,31,237744.65000000055,0,0,4309,blue,false,right,67,2,right,blue,892,0
C46893,32,241166.9499999989,0,0,4309,blue,false,left,85,84,left,blue,1061,0
C46893,33,244763.3599999972,1,49,4260,blue,true,right,7,49,right,blue,1469,0
C46893,34,248787.33499999726,1,37,4223,blue,false,right,37,47,left,orange,971,0
C46893,35,252292.02000000078,0,0,4223,blue,false,right,27,91,right,blue,1020,0
C46893,36,255855.9499999974,0,0,4223,blue,false,left,44,42,left,blue,1137,0
C46893,37,259518.7850000002,1,55,4168,blue,true,left,31,55,left,blue,1389,0
C46893,38,263455.1499999979,0,0,4168,blue,false,right,97,70,right,blue,1165,0
C46893,39,267168.9499999993,0,0,4168,blue,false,right,14,9,right,blue,617,0
C46893,40,270337.9449999993,1,51,4117,blue,true,right,23,51,right,blue,515,0
C46893,41,273396.16000000027,1,79,4038,blue,true,right,89,79,right,blue,1963,0
C46893,42,277909.88499999733,0,0,4038,blue,true,right,83,86,left,orange,1149,0
C46893,43,281588.15999999933,1,62,3976,blue,true,left,40,62,left,blue,870,0
C46893,44,285002.84499999904,0,0,3976,blue,true,right,36,23,left,orange,714,0
C46893,45,288267.80999999755,0,0,3976,blue,true,right,65,61,left,orange,1191,0
C46893,46,291997.50499999936,0,0,3976,blue,true,right,74,67,left,orange,1712,0
C46893,47,296235.63999999897,0,0,3976,blue,true,right,73,41,left,orange,1087,0
C46893,48,303862.549999998,1,96,3880,blue,false,left,96,54,right,orange,3092,0
C46893,49,309514.31999999844,1,88,3792,blue,true,right,86,88,right,blue,2137,0
C46893,50,314198.3049999981,0,0,3792,blue,true,right,43,66,left,orange,665,0
C46893,51,317388.329999998,0,0,3792,blue,true,left,72,79,right,orange,1470,0
C46893,52,321412.2900000002,1,71,3721,blue,false,left,71,13,right,orange,1108,0
C46893,53,325061.3749999975,1,53,3668,blue,true,left,78,53,left,blue,1523,0
C46893,54,329124.1649999975,0,0,3668,blue,true,left,57,90,right,orange,1011,0
C46893,55,332677.76500000036,1,3,3665,blue,false,left,3,12,right,orange,816,0
C46893,56,336024.0200000007,0,0,3665,blue,true,left,2,64,right,orange,684,0
C46893,57,339251.4499999997,1,9,3656,blue,true,right,99,9,right,blue,1140,0
C46893,58,342935.81500000076,0,0,3656,blue,true,right,21,42,left,orange,847,0
C46893,59,346323.30999999976,0,0,3656,blue,true,right,83,72,left,orange,876,0
C46893,60,349728.18999999797,0,0,3656,blue,true,right,37,11,left,orange,726,0
C46893,61,353000.79999999795,1,67,3589,blue,false,left,67,81,right,orange,826,0
C46893,62,356366.71999999817,0,0,3589,blue,true,right,12,14,left,orange,472,0
C46893,63,359375.20999999833,1,78,3511,blue,false,right,78,90,left,orange,451,0
C46893,64,362369.8549999972,1,46,3465,blue,false,left,46,53,right,orange,1161,0
C46893,65,366070.4000000005,0,0,3465,blue,false,right,30,42,right,blue,826,0
C46893,66,369442.24499999837,0,0,3465,blue,false,right,36,65,right,blue,632,0
C46893,67,372620.77499999944,0,0,3465,blue,false,left,49,49,left,blue,826,0
C46893,68,375974.9300000003,0,0,3465,blue,false,right,44,10,right,blue,738,0
C46893,69,379267.1249999985,0,0,3465,blue,false,left,70,64,left,blue,532,0
C46893,70,382348.54500000074,0,0,3465,blue,false,right,68,95,right,blue,494,0
C46893,71,385370.21499999904,0,0,3465,blue,false,right,38,46,right,blue,545,0
C46893,72,388455.2000000003,0,0,3465,blue,false,left,18,24,left,blue,555,0
C46893,73,391554.1449999983,0,0,3465,blue,false,right,82,78,right,blue,682,0
C46893,74,394781.5799999989,0,0,3465,blue,false,right,59,54,right,blue,527,0
C46893,75,397845.73499999894,0,0,3465,blue,false,right,36,33,right,blue,468,0
C46893,76,400863.30499999895,1,56,3409,blue,true,left,49,56,left,blue,771,0
C46893,77,404170.145,1,26,3383,blue,false,left,26,83,right,orange,726,0
C46893,78,407442.30999999854,0,0,3383,blue,false,right,38,81,right,blue,765,0
C46893,79,410748.0049999977,0,0,3383,blue,false,right,12,3,right,blue,477,0
C46893,80,413767.2500000008,0,0,3383,blue,false,left,62,38,left,blue,1038,0
C46893,81,417348.5699999983,0,0,3383,blue,false,right,43,50,right,blue,481,0
C46893,82,420374.03999999876,0,0,3383,blue,false,left,50,47,left,blue,591,0
C46893,83,423502.81999999785,1,35,3348,blue,true,left,41,35,left,blue,416,0
C46893,84,426458.8049999984,1,9,3339,blue,false,left,9,62,right,orange,859,0
C46893,85,429868.7800000007,1,60,3279,blue,false,right,60,58,left,orange,569,0
C46893,86,432972.56500000006,0,0,3279,blue,false,left,88,31,left,blue,1351,0
C46893,87,436867.57999999827,0,0,3279,blue,false,left,56,44,left,blue,521,0
C46893,88,439940.3999999995,1,15,3264,blue,true,right,31,15,right,blue,963,0
C46893,89,443452.1700000005,1,90,3174,blue,false,right,90,31,left,orange,536,0
C46893,90,446526.4050000005,0,0,3174,blue,false,left,80,76,left,blue,911,0
C46893,91,449962.2849999978,0,0,3174,blue,false,left,78,4,left,blue,439,0
C46893,92,452945.8899999991,0,0,3174,blue,false,left,60,28,left,blue,374,0
C46893,93,455856.2199999979,0,0,3174,blue,true,right,56,99,left,orange,386,0
C46893,94,462792.07499999757,0,0,3174,blue,false,left,31,45,left,blue,1101,0
C46893,95,466418.00999999756,0,0,3174,blue,false,right,55,16,right,blue,709,0
C46893,96,469673.52000000025,0,0,3174,blue,true,right,12,89,left,orange,1401,0
C46893,97,473613.2099999995,0,0,3174,blue,false,left,49,4,left,blue,653,0
C46893,98,476804.1649999977,0,0,3174,blue,false,right,69,12,right,blue,658,0
C46893,99,479989.2849999997,1,26,3148,blue,true,left,49,26,left,blue,820,0
C46893,100,483350.67499999783,0,0,3148,blue,false,right,75,76,right,blue,1191,0
C46893,101,487092.41999999725,1,22,3126,blue,false,left,22,90,right,orange,1877,0
C46893,102,491519.3249999975,1,23,3103,blue,true,right,26,23,right,blue,946,0
C46893,103,495010.159999998,0,0,3103,blue,false,left,11,68,left,blue,1238,0
C46893,104,498792.9000000004,1,82,3021,blue,true,left,71,82,left,blue,720,0
C46893,105,502049.92499999935,0,0,3021,blue,false,left,86,95,left,blue,1320,0
C46893,106,505911.5199999978,0,0,3021,blue,false,right,79,88,right,blue,920,0
C46893,107,509361.6849999998,0,0,3021,blue,false,right,75,40,right,blue,1222,0
C46893,108,513127.2749999989,0,0,3021,blue,false,right,11,94,right,blue,619,0
C46893,109,516278.86999999825,1,44,2977,blue,true,left,53,44,left,blue,560,0
C46893,110,519389.62499999977,0,0,2977,blue,false,right,85,17,right,blue,953,0
