Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46908,1,100120.20000000484,1,37,4963,blue,true,right,44,37,right,blue,1310,0
C46908,2,103990.55000004591,1,12,4951,blue,true,left,66,12,left,blue,469,0
C46908,3,107000.99500000942,1,9,4942,blue,true,right,98,9,right,blue,497,0
C46908,4,110061.22000003234,1,20,4922,blue,false,right,20,91,left,orange,693,0
C46908,5,113296.48000001907,0,0,4922,blue,true,left,28,8,right,orange,668,0
C46908,6,116490.57000002358,1,33,4889,blue,true,left,30,33,left,blue,905,0
C46908,7,119947.89000001037,1,24,4865,blue,true,right,27,24,right,blue,1195,0
C46908,8,123680.83000002662,0,0,4865,blue,false,left,58,43,left,blue,1328,0
C46908,9,127551.55500001274,0,0,4865,blue,true,right,72,47,left,orange,647,0
C46908,10,130742.91500000982,1,44,4821,blue,false,right,44,44,left,orange,794,0
C46908,11,134085.1800000528,0,0,4821,blue,true,left,69,26,right,orange,372,0
C46908,12,137002.2000000463,0,0,4821,blue,true,right,6,41,left,orange,607,0
C46908,13,140139.37500002794,1,34,4787,blue,true,left,88,34,left,blue,643,0
C46908,14,143335.55500005605,1,73,4714,blue,false,left,73,18,right,orange,276,0
C46908,15,146165.46000004746,0,0,4714,blue,true,right,60,25,left,orange,332,0
C46908,16,149034.54500000225,1,6,4708,blue,true,right,68,6,right,blue,203,0
C46908,17,151779.06500000972,1,48,4660,blue,false,right,48,39,left,orange,419,0
C46908,18,154735.41000002297,0,0,4660,blue,true,right,35,76,left,orange,649,0
C46908,19,157930.07000000216,1,85,4575,blue,true,left,23,85,left,blue,373,0
C46908,20,160848.45000004862,0,0,4575,blue,true,left,54,22,right,orange,153,0
C46908,21,163540.35500000464,1,66,4509,blue,false,left,66,58,right,orange,218,0
C46908,22,166309.6600000281,1,41,4468,blue,true,left,98,41,left,blue,73,0
C46908,23,168937.83500004793,0,0,4468,blue,true,right,58,80,left,orange,739,0
C46908,24,172208.93000002252,1,85,4383,blue,true,left,32,85,left,blue,524,0
C46908,25,175288.59000001103,1,83,4300,blue,false,left,83,15,right,orange,497,0
C46908,26,178324.1000000271,1,16,4284,blue,true,left,18,16,left,blue,190,0
C46908,27,181053.6500000162,0,0,4284,blue,true,right,56,99,left,orange,1027,0
C46908,28,184619.8700000532,1,75,4209,blue,true,right,23,75,right,blue,571,0
C46908,29,187745.19500002498,1,18,4191,blue,true,right,68,18,right,blue,390,0
C46908,30,190676.58500000834,1,16,4175,blue,true,right,30,16,right,blue,672,0
C46908,31,193902.52500004135,1,37,4138,blue,true,right,86,37,right,blue,510,0
C46908,32,196947.7200000547,1,44,4094,blue,true,left,47,44,left,blue,268,0
C46908,33,199754.8700000043,0,0,4094,blue,true,right,3,91,left,orange,252,0
C46908,34,202560.30500005,0,0,4094,blue,false,left,60,14,left,blue,793,0
C46908,35,205891.98000001488,1,84,4010,blue,true,left,54,84,left,blue,740,0
C46908,36,209183.27000003774,1,23,3987,blue,true,right,34,23,right,blue,719,0
C46908,37,212456.28500002204,1,28,3959,blue,true,left,96,28,left,blue,531,0
C46908,38,215535.66500003217,0,0,3959,blue,false,left,83,94,left,blue,243,0
C46908,39,218321.14000001457,1,86,3873,blue,true,left,63,86,left,blue,631,0
C46908,40,221496.95000000065,0,0,3873,blue,true,left,99,53,right,orange,46,0
C46908,41,224079.32000001892,1,91,3782,blue,true,right,29,91,right,blue,593,0
C46908,42,227217.37500000745,0,0,3782,blue,true,right,88,64,left,orange,386,0
C46908,43,230137.18000001973,1,70,3712,blue,true,left,84,70,left,blue,446,0
C46908,44,233128.6550000077,1,61,3651,blue,false,left,61,88,right,orange,426,0
C46908,45,236093.82000000915,1,43,3608,blue,true,left,61,43,left,blue,190,0
C46908,46,238827.0500000217,0,0,3608,blue,true,right,87,54,left,orange,162,0
C46908,47,241521.45500003826,1,5,3603,blue,false,right,5,90,left,orange,5,0
C46908,48,248089.87000002526,1,44,3559,blue,true,left,71,44,left,blue,664,0
C46908,49,251313.83500003722,0,0,3559,blue,true,left,42,52,right,orange,259,0
C46908,50,254101.50000004796,0,0,3559,blue,true,left,39,93,right,orange,96,0
C46908,51,256747.6950000273,1,24,3535,blue,true,right,39,24,right,blue,23,0
C46908,52,259314.76500001736,0,0,3535,blue,false,left,20,10,left,blue,367,0
C46908,53,262215.35000001313,0,0,3535,blue,false,left,85,43,left,blue,370,0
C46908,54,265126.5200000489,0,0,3535,blue,false,left,77,7,left,blue,251,0
