Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46913,1,631471,1,37,4963,blue,true,left,44,37,left,blue,2223,0
C46913,2,636276.1000000001,1,12,4951,blue,true,left,66,12,left,blue,721,0
C46913,3,639560.2000000003,1,9,4942,blue,true,left,98,9,left,blue,1491,0
C46913,4,643628.4,1,20,4922,blue,false,right,20,91,left,orange,1696,0
C46913,5,647891.2000000001,0,0,4922,blue,true,left,28,8,right,orange,943,0
C46913,6,651389.2000000001,1,33,4889,blue,true,right,30,33,right,blue,2126,0
C46913,7,656090.5000000002,0,0,4889,blue,true,right,27,24,left,orange,880,0
C46913,8,659514.7000000002,0,0,4889,blue,false,left,58,43,left,blue,1984,0
C46913,9,664062.5,1,47,4842,blue,true,right,72,47,right,blue,1237,0
C46913,10,667873.9,0,0,4842,blue,false,left,44,44,left,blue,3123,0
C46913,11,673539.3000000004,1,26,4816,blue,true,left,69,26,left,blue,1128,0
C46913,12,677244.3000000003,0,0,4816,blue,true,left,6,41,right,orange,1893,0
C46913,13,681687.3,1,34,4782,blue,true,left,88,34,left,blue,813,0
C46913,14,685073.6000000002,0,0,4782,blue,false,left,73,18,left,blue,781,0
C46913,15,688403.7000000003,1,25,4757,blue,true,right,60,25,right,blue,826,0
C46913,16,691787.5000000003,1,6,4751,blue,true,left,68,6,left,blue,525,0
C46913,17,694873.7000000001,0,0,4751,blue,false,left,48,39,left,blue,1134,0
C46913,18,698570.6,0,0,4751,blue,true,left,35,76,right,orange,1156,0
C46913,19,702263.6000000002,0,0,4751,blue,true,right,23,85,left,orange,785,0
C46913,20,705595.5000000003,1,22,4729,blue,true,left,54,22,left,blue,681,0
C46913,21,708834.9000000003,0,0,4729,blue,false,right,66,58,right,blue,933,0
C46913,22,712315.5000000001,1,41,4688,blue,true,left,98,41,left,blue,1013,0
C46913,23,715890.0000000003,0,0,4688,blue,true,left,58,80,right,orange,1321,0
C46913,24,719751.8,0,0,4688,blue,true,right,32,85,left,orange,686,0
C46913,25,722984.2000000003,0,0,4688,blue,false,right,83,15,right,blue,998,0
C46913,26,726537.2000000002,1,16,4672,blue,true,right,18,16,right,blue,1424,0
C46913,27,730537.5000000003,1,99,4573,blue,true,left,56,99,left,blue,2001,0
C46913,28,735102.2000000003,0,0,4573,blue,true,left,23,75,right,orange,900,0
C46913,29,738544.6000000002,1,18,4555,blue,true,right,68,18,right,blue,856,0
C46913,30,741967.5000000002,1,16,4539,blue,true,right,30,16,right,blue,1342,0
C46913,31,745870.0000000003,0,0,4539,blue,true,right,86,37,left,orange,1354,0
C46913,32,749768.2000000004,1,44,4495,blue,true,left,47,44,left,blue,1233,0
C46913,33,753567.8000000003,0,0,4495,blue,true,left,3,91,right,orange,662,0
C46913,34,756788.5000000001,0,0,4495,blue,false,right,60,14,right,blue,813,0
C46913,35,760153.7000000003,0,0,4495,blue,true,right,54,84,left,orange,1029,0
C46913,36,763736.5000000005,1,23,4472,blue,true,right,34,23,right,blue,963,0
C46913,37,767282.3000000003,1,28,4444,blue,true,right,96,28,right,blue,850,0
C46913,38,770691.2000000002,1,83,4361,blue,false,right,83,94,left,orange,1759,0
C46913,39,775009.4000000004,0,0,4361,blue,true,right,63,86,left,orange,969,0
C46913,40,778532.2000000001,1,53,4308,blue,true,right,99,53,right,blue,879,0
C46913,41,781985.2000000001,0,0,4308,blue,true,left,29,91,right,orange,859,0
C46913,42,785394.0000000002,1,64,4244,blue,true,left,88,64,left,blue,1227,0
C46913,43,789204.4,1,70,4174,blue,true,right,84,70,right,blue,1165,0
C46913,44,792932.4000000001,1,61,4113,blue,false,right,61,88,left,orange,909,0
C46913,45,796403.1,1,43,4070,blue,true,left,61,43,left,blue,1203,0
C46913,46,800168.5000000002,1,54,4016,blue,true,right,87,54,right,blue,1424,0
C46913,47,804165.1000000002,1,5,4011,blue,false,left,5,90,right,orange,548,0
C46913,48,811300.5000000002,1,44,3967,blue,true,left,71,44,left,blue,1674,0
C46913,49,815546.7000000003,0,0,3967,blue,true,right,42,52,left,orange,1176,0
C46913,50,819264.2000000001,0,0,3967,blue,true,right,39,93,left,orange,946,0
C46913,51,822760.2000000002,1,24,3943,blue,true,right,39,24,right,blue,955,0
C46913,52,826282.8000000004,0,0,3943,blue,false,left,20,10,left,blue,2053,0
C46913,53,830878.7000000002,0,0,3943,blue,false,left,85,43,left,blue,855,0
C46913,54,834280.6000000001,0,0,3943,blue,false,right,77,7,right,blue,627,0
C46913,55,837463.5000000003,1,90,3853,blue,true,right,95,90,right,blue,1464,0
C46913,56,841497.7000000003,1,7,3846,blue,true,left,56,7,left,blue,662,0
C46913,57,844742.8000000004,0,0,3846,blue,true,right,50,69,left,orange,1124,0
C46913,58,848408.9000000004,0,0,3846,blue,true,left,4,83,right,orange,704,0
C46913,59,851662.8,0,0,3846,blue,false,left,40,8,left,blue,787,0
C46913,60,854995.7000000004,0,0,3846,blue,true,left,47,86,right,orange,1009,0
C46913,61,858549.8000000003,0,0,3846,blue,true,left,15,49,right,orange,727,0
C46913,62,861828.8000000003,1,39,3807,blue,true,right,17,39,right,blue,709,0
C46913,63,865096.5000000001,1,76,3731,blue,false,left,76,97,right,orange,912,0
C46913,64,868580.5,1,14,3717,blue,true,right,73,14,right,blue,736,0
C46913,65,871880.8000000004,1,29,3688,blue,true,right,67,29,right,blue,1408,0
C46913,66,875859.5,1,39,3649,blue,true,right,48,39,right,blue,1029,0
C46913,67,879467.3000000003,0,0,3649,blue,true,left,30,99,right,orange,901,0
C46913,68,882920.1000000003,1,13,3636,blue,false,left,13,20,right,orange,868,0
C46913,69,886363.3000000004,1,59,3577,blue,true,left,66,59,left,blue,895,0
C46913,70,889823.8000000002,0,0,3577,blue,true,left,20,60,right,orange,852,0
C46913,71,893224.0000000001,1,25,3552,blue,true,left,41,25,left,blue,859,0
C46913,72,896644.0000000002,0,0,3552,blue,false,left,76,70,left,blue,1047,0
C46913,73,900240.2000000002,0,0,3552,blue,false,left,73,18,left,blue,928,0
C46913,74,903707.5000000005,1,41,3511,blue,false,right,41,80,left,orange,1353,0
C46913,75,907630.6000000004,0,0,3511,blue,true,right,25,76,left,orange,753,0
C46913,76,910927.4,1,34,3477,blue,false,right,34,52,left,orange,1174,0
C46913,77,914673.7000000003,1,30,3447,blue,false,right,30,60,left,orange,699,0
C46913,78,917946.8000000002,0,0,3447,blue,false,right,91,36,right,blue,1967,0
C46913,79,922455.8000000002,0,0,3447,blue,false,left,70,59,left,blue,1028,0
C46913,80,926024.9000000004,1,47,3400,blue,true,left,64,47,left,blue,993,0
C46913,81,929578.9000000004,1,28,3372,blue,false,right,28,44,left,orange,860,0
C46913,82,933009.1000000002,1,2,3370,blue,false,left,2,80,right,orange,506,0
C46913,83,936076,1,20,3350,blue,false,right,20,39,left,orange,811,0
C46913,84,939455.0000000003,1,32,3318,blue,false,right,32,61,left,orange,667,0
C46913,85,942688.8000000004,0,0,3318,blue,false,right,90,61,right,blue,946,0
C46913,86,946173.7000000003,1,70,3248,blue,true,left,62,70,left,blue,866,0
C46913,87,949606.7000000003,1,17,3231,blue,false,right,17,33,left,orange,827,0
C46913,88,952992.2000000002,0,0,3231,blue,false,left,74,17,left,blue,666,0
C46913,89,956214.0000000003,1,2,3229,blue,false,left,2,85,right,orange,801,0
C46913,90,959574.8000000003,1,39,3190,blue,false,left,39,76,right,orange,986,0
C46913,91,963125.4000000004,0,0,3190,blue,false,right,70,20,right,blue,626,0
C46913,92,966293.7000000002,0,0,3190,blue,true,right,24,69,left,orange,830,0
C46913,93,969670.8000000003,1,52,3138,blue,true,right,59,52,right,blue,1579,0
C46913,94,977816.2000000002,1,15,3123,blue,false,left,15,43,right,orange,1185,0
C46913,95,981571.1000000001,1,34,3089,blue,true,left,50,34,left,blue,926,0
C46913,96,985058.4000000004,1,43,3046,blue,false,left,43,48,right,orange,777,0
C46913,97,988408.2000000003,0,0,3046,blue,true,right,14,35,left,orange,721,0
C46913,98,991669.5000000005,0,0,3046,blue,true,right,12,42,left,orange,665,0
C46913,99,994890.2000000003,0,0,3046,blue,true,right,40,44,left,orange,1016,0
C46913,100,998474.0000000001,1,50,2996,blue,true,right,88,50,right,blue,1074,0
C46913,101,1002121.3000000003,1,19,2977,blue,true,right,51,19,right,blue,900,0
C46913,102,1005589.9000000004,0,0,2977,blue,true,right,44,59,left,orange,819,0
C46913,103,1008949.2000000001,1,9,2968,blue,true,right,23,9,right,blue,645,0
C46913,104,1012151.5000000003,0,0,2968,blue,true,left,23,76,right,orange,861,0
C46913,105,1015555.6000000001,1,47,2921,blue,true,right,94,47,right,blue,872,0
C46913,106,1018984.6000000002,0,0,2921,blue,false,left,67,56,left,blue,1230,0
C46913,107,1022765.5000000005,1,16,2905,blue,true,right,50,16,right,blue,775,0
C46913,108,1026108.9000000001,1,7,2898,blue,true,left,83,7,left,blue,659,0
C46913,109,1029334.7000000003,1,41,2857,blue,true,left,86,41,left,blue,883,0
C46913,110,1032784.1000000003,1,37,2820,blue,true,right,61,37,right,blue,1033,0
C46913,111,1036388.8000000002,0,0,2820,blue,false,right,82,57,right,blue,1440,0
C46913,112,1040369.5000000002,0,0,2820,blue,false,right,68,28,right,blue,982,0
C46913,113,1043897.7000000004,1,65,2755,blue,false,left,65,76,right,orange,1119,0
C46913,114,1047586.5000000003,0,0,2755,blue,false,right,25,19,right,blue,952,0
C46913,115,1051081.2000000002,1,67,2688,blue,false,left,67,68,right,orange,1626,0
C46913,116,1055272.6000000003,0,0,2688,blue,false,right,82,68,right,blue,873,0
C46913,117,1058693.8,0,0,2688,blue,false,left,88,19,left,blue,619,0
C46913,118,1061861.6,1,11,2677,blue,true,right,55,11,right,blue,685,0
C46913,119,1065118.7000000004,1,36,2641,blue,true,left,74,36,left,blue,1020,0
C46913,120,1068702.5000000002,1,18,2623,blue,false,left,18,64,right,orange,766,0
C46913,121,1072031.2000000004,0,0,2623,blue,false,right,15,3,right,blue,787,0
C46913,122,1075363.9000000004,0,0,2623,blue,false,right,91,76,right,blue,1014,0
C46913,123,1078926.1,1,66,2557,blue,false,left,66,92,right,orange,1236,0
C46913,124,1082735.1000000003,0,0,2557,blue,false,right,67,14,right,blue,792,0
C46913,125,1086069.7,0,0,2557,blue,true,left,11,77,right,orange,680,0
C46913,126,1089299.2000000004,0,0,2557,blue,false,left,36,20,left,blue,1033,0
C46913,127,1092881.9000000004,1,44,2513,blue,false,right,44,61,left,orange,827,0
C46913,128,1096266.7000000002,1,4,2509,blue,false,right,4,34,left,orange,716,0
C46913,129,1099546.2000000007,0,0,2509,blue,false,left,86,63,left,blue,1063,0
C46913,130,1103149.9000000004,0,0,2509,blue,false,right,99,43,right,blue,886,0
C46913,131,1106582.5000000005,1,56,2453,blue,true,left,95,56,left,blue,839,0
C46913,132,1109985.3000000003,0,0,2453,blue,false,left,89,63,left,blue,800,0
