Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46918,1,415917,1,37,4963,blue,true,left,44,37,left,blue,1841,0
C46918,2,420310,1,12,4951,blue,true,right,66,12,right,blue,815,0
C46918,3,423670,1,9,4942,blue,true,left,98,9,left,blue,705,0
C46918,4,426892,1,20,4922,blue,false,right,20,91,left,orange,968,0
C46918,5,430403,1,8,4914,blue,true,left,28,8,left,blue,624,0
C46918,6,433581,1,33,4881,blue,true,right,30,33,right,blue,737,0
C46918,7,436862,0,0,4881,blue,true,right,27,24,left,orange,528,0
C46918,8,439901,1,58,4823,blue,false,right,58,43,left,orange,489,0
C46918,9,442930,0,0,4823,blue,true,left,72,47,right,orange,927,0
C46918,10,446374,1,44,4779,blue,false,left,44,44,right,orange,895,0
C46918,11,449796,1,26,4753,blue,true,left,69,26,left,blue,625,0
C46918,12,452975,0,0,4753,blue,true,left,6,41,right,orange,769,0
C46918,13,456266,1,34,4719,blue,true,left,88,34,left,blue,944,0
C46918,14,459750,1,73,4646,blue,false,left,73,18,right,orange,889,0
C46918,15,463176,1,25,4621,blue,true,right,60,25,right,blue,1024,0
C46918,16,466728,1,6,4615,blue,true,right,68,6,right,blue,838,0
C46918,17,470103,0,0,4615,blue,false,left,48,39,left,blue,481,0
C46918,18,473111,0,0,4615,blue,true,right,35,76,left,orange,1430,0
C46918,19,477071,0,0,4615,blue,true,right,23,85,left,orange,757,0
C46918,20,480356,1,22,4593,blue,true,right,54,22,right,blue,1085,0
C46918,21,483969,1,66,4527,blue,false,left,66,58,right,orange,499,0
C46918,22,487003,0,0,4527,blue,true,right,98,41,left,orange,428,0
C46918,23,489961,0,0,4527,blue,true,right,58,80,left,orange,675,0
C46918,24,493171,0,0,4527,blue,true,right,32,85,left,orange,467,0
C46918,25,496170,1,83,4444,blue,false,right,83,15,left,orange,995,0
C46918,26,499679,1,16,4428,blue,true,left,18,16,left,blue,1020,0
C46918,27,503239,1,99,4329,blue,true,right,56,99,right,blue,700,0
C46918,28,506454,0,0,4329,blue,true,right,23,75,left,orange,429,0
C46918,29,509415,1,18,4311,blue,true,left,68,18,left,blue,684,0
C46918,30,512628,0,0,4311,blue,true,right,30,16,left,orange,577,0
C46918,31,515737,0,0,4311,blue,true,left,86,37,right,orange,704,0
C46918,32,518968,0,0,4311,blue,true,left,47,44,right,orange,1311,0
C46918,33,522811,0,0,4311,blue,true,left,3,91,right,orange,577,0
C46918,34,525914,1,60,4251,blue,false,right,60,14,left,orange,1975,0
C46918,35,530420,0,0,4251,blue,true,left,54,84,right,orange,1271,0
C46918,36,534224,0,0,4251,blue,true,left,34,23,right,orange,773,0
C46918,37,537526,1,28,4223,blue,true,left,96,28,left,blue,1577,0
C46918,38,541629,1,83,4140,blue,false,right,83,94,left,orange,846,0
C46918,39,545019,0,0,4140,blue,true,left,63,86,right,orange,766,0
C46918,40,548315,1,53,4087,blue,true,left,99,53,left,blue,2470,0
C46918,41,553326,0,0,4087,blue,true,right,29,91,left,orange,1310,0
C46918,42,557160,0,0,4087,blue,true,right,88,64,left,orange,737,0
C46918,43,560410,0,0,4087,blue,true,left,84,70,right,orange,1169,0
C46918,44,564093,1,61,4026,blue,false,right,61,88,left,orange,730,0
C46918,45,567358,0,0,4026,blue,true,left,61,43,right,orange,1449,0
C46918,46,571339,0,0,4026,blue,true,right,87,54,left,orange,707,0
C46918,47,574571,1,5,4021,blue,false,left,5,90,right,orange,1227,0
C46918,48,582335,0,0,4021,blue,true,right,71,44,left,orange,1053,0
C46918,49,585922,0,0,4021,blue,true,left,42,52,right,orange,1357,0
C46918,50,589804,0,0,4021,blue,true,left,39,93,right,orange,1103,0
C46918,51,593424,0,0,4021,blue,true,left,39,24,right,orange,696,0
C46918,52,596643,1,20,4001,blue,false,left,20,10,right,orange,536,0
C46918,53,599711,0,0,4001,blue,false,left,85,43,left,blue,806,0
C46918,54,603057,0,0,4001,blue,false,left,77,7,left,blue,865,0
C46918,55,606450,0,0,4001,blue,true,left,95,90,right,orange,565,0
C46918,56,609537,0,0,4001,blue,true,left,56,7,right,orange,936,0
C46918,57,613016,0,0,4001,blue,true,left,50,69,right,orange,744,0
C46918,58,616283,0,0,4001,blue,true,left,4,83,right,orange,761,0
C46918,59,619569,0,0,4001,blue,false,left,40,8,left,blue,971,0
C46918,60,623077,0,0,4001,blue,true,left,47,86,right,orange,1715,0
C46918,61,627313,0,0,4001,blue,true,left,15,49,right,orange,1050,0
