Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46961,1,110513.73499957845,0,0,5000,blue,true,right,44,37,left,orange,1383,0
C46961,2,114459.66499997303,0,0,5000,blue,true,right,66,12,left,orange,407,0
C46961,3,117432.39499954507,0,0,5000,blue,true,right,98,9,left,orange,1185,0
C46961,4,121184.98999997973,1,20,4980,blue,false,right,20,91,left,orange,569,0
C46961,5,124347.94499957934,0,0,4980,blue,true,left,28,8,right,orange,833,0
C46961,6,127745.28499972075,0,0,4980,blue,true,left,30,33,right,orange,433,0
C46961,7,130747.65499960631,0,0,4980,blue,true,right,27,24,left,orange,475,0
C46961,8,133791.43999982625,1,58,4922,blue,false,right,58,43,left,orange,412,0
C46961,9,136790.47499969602,0,0,4922,blue,true,right,72,47,left,orange,400,0
C46961,10,139738.25999954715,1,44,4878,blue,false,left,44,44,right,orange,486,0
C46961,11,142804.64499955997,1,26,4852,blue,true,right,69,26,right,blue,387,0
C46961,12,145767.24999956787,1,41,4811,blue,true,left,6,41,left,blue,437,0
C46961,13,148769.5199996233,0,0,4811,blue,true,left,88,34,right,orange,443,0
C46961,14,151767.07499986514,1,73,4738,blue,false,left,73,18,right,orange,429,0
C46961,15,154773.7749996595,0,0,4738,blue,true,right,60,25,left,orange,537,0
C46961,16,157869.42499969155,0,0,4738,blue,true,right,68,6,left,orange,915,0
C46961,17,161355.3899996914,1,48,4690,blue,false,right,48,39,left,orange,2109,0
C46961,18,166066.48999964818,0,0,4690,blue,true,right,35,76,left,orange,3269,0
C46961,19,171910.19999980927,0,0,4690,blue,true,left,23,85,right,orange,427,0
C46961,20,174901.19999973103,0,0,4690,blue,true,left,54,22,right,orange,399,0
C46961,21,177870.62499998137,1,66,4624,blue,false,right,66,58,left,orange,392,0
C46961,22,180846.6349998489,0,0,4624,blue,true,left,98,41,right,orange,397,0
C46961,23,183796.99499998242,0,0,4624,blue,true,left,58,80,right,orange,322,0
C46961,24,186677.59499978274,0,0,4624,blue,true,left,32,85,right,orange,414,0
C46961,25,189671.62499995902,1,83,4541,blue,false,right,83,15,left,orange,616,0
C46961,26,192852.86499978974,0,0,4541,blue,true,left,18,16,right,orange,319,0
C46961,27,195735.09999969974,0,0,4541,blue,true,left,56,99,right,orange,377,0
C46961,28,198669.26999995485,0,0,4541,blue,true,left,23,75,right,orange,342,0
C46961,29,201580.21499961615,0,0,4541,blue,true,left,68,18,right,orange,617,0
C46961,30,204764.14999971166,0,0,4541,blue,true,left,30,16,right,orange,348,0
C46961,31,207667.8299997002,0,0,4541,blue,true,left,86,37,right,orange,296,0
C46961,32,210526.2699997984,0,0,4541,blue,true,right,47,44,left,orange,419,0
