Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C46977,1,84972.16500004288,1,37,4963,blue,true,left,44,37,left,blue,1261,0
C46977,2,88749.0950000356,1,12,4951,blue,true,right,66,12,right,blue,758,0
C46977,3,92026.78500005277,0,0,4951,blue,true,left,98,9,right,orange,1356,0
C46977,4,95903.655000031,1,20,4931,blue,false,right,20,91,left,orange,547,0
C46977,5,98977.49499999918,0,0,4931,blue,true,right,28,8,left,orange,567,0
C46977,6,102064.20000002254,0,0,4931,blue,true,left,30,33,right,orange,815,0
C46977,7,105398.85500003584,0,0,4931,blue,true,left,27,24,right,orange,911,0
C46977,8,108827.19000003999,0,0,4931,blue,false,right,58,43,right,blue,1470,0
C46977,9,112811.70000002021,1,47,4884,blue,true,right,72,47,right,blue,660,0
C46977,10,115996.73000001349,0,0,4884,blue,false,left,44,44,left,blue,532,0
C46977,11,119052.54000000423,1,26,4858,blue,true,right,69,26,right,blue,530,0
C46977,12,122100.60500004329,0,0,4858,blue,true,right,6,41,left,orange,958,0
C46977,13,125570.22500003222,0,0,4858,blue,true,right,88,34,left,orange,514,0
C46977,14,128600.2350000199,1,73,4785,blue,false,left,73,18,right,orange,735,0
C46977,15,131856.11000005156,0,0,4785,blue,true,left,60,25,right,orange,751,0
C46977,16,135129.83500002883,0,0,4785,blue,true,left,68,6,right,orange,482,0
C46977,17,138127.97500001034,1,48,4737,blue,false,right,48,39,left,orange,745,0
C46977,18,141394.04000004288,1,76,4661,blue,true,right,35,76,right,blue,427,0
C46977,19,144341.71500004595,1,85,4576,blue,true,right,23,85,right,blue,388,0
C46977,20,147252.00500001665,0,0,4576,blue,true,left,54,22,right,orange,508,0
C46977,21,150278.75500003574,1,66,4510,blue,false,left,66,58,right,orange,598,0
C46977,22,153393.72500003083,0,0,4510,blue,true,right,98,41,left,orange,521,0
C46977,23,156431.70000001555,0,0,4510,blue,true,right,58,80,left,orange,435,0
C46977,24,159380.43499999912,0,0,4510,blue,true,right,32,85,left,orange,795,0
C46977,25,162693.31500004046,0,0,4510,blue,false,right,83,15,right,blue,851,0
C46977,26,166062.28000001283,1,16,4494,blue,true,left,18,16,left,blue,478,0
C46977,27,169061.76000001142,0,0,4494,blue,true,right,56,99,left,orange,955,0
C46977,28,172539.18500000145,0,0,4494,blue,true,right,23,75,left,orange,393,0
C46977,29,175449.9900000519,1,18,4476,blue,true,right,68,18,right,blue,916,0
C46977,30,178892.19000004232,0,0,4476,blue,true,left,30,16,right,orange,933,0
C46977,31,182344.15499999886,0,0,4476,blue,true,left,86,37,right,orange,386,0
C46977,32,185245.1600000495,0,0,4476,blue,true,right,47,44,left,orange,459,0
C46977,33,188220.00500001013,0,0,4476,blue,true,left,3,91,right,orange,463,0
C46977,34,191201.2500000419,1,60,4416,blue,false,right,60,14,left,orange,539,0
C46977,35,194263.99000000674,0,0,4416,blue,true,left,54,84,right,orange,419,0
C46977,36,197200.1600000076,0,0,4416,blue,true,left,34,23,right,orange,376,0
C46977,37,200094.62000004714,0,0,4416,blue,true,left,96,28,right,orange,482,0
C46977,38,203092.3700000276,1,83,4333,blue,false,right,83,94,left,orange,486,0
C46977,39,206105.89500004426,0,0,4333,blue,true,left,63,86,right,orange,911,0
C46977,40,209535.59500002302,0,0,4333,blue,true,left,99,53,right,orange,680,0
C46977,41,212735.51500000758,0,0,4333,blue,true,right,29,91,left,orange,461,0
C46977,42,215709.42000002833,0,0,4333,blue,true,left,88,64,right,orange,455,0
C46977,43,218682.30500002392,0,0,4333,blue,true,left,84,70,right,orange,559,0
C46977,44,221757.9300000216,1,61,4272,blue,false,left,61,88,right,orange,662,0
C46977,45,224947.7800000459,0,0,4272,blue,true,right,61,43,left,orange,536,0
C46977,46,228002.46500002686,0,0,4272,blue,true,left,87,54,right,orange,423,0
