Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47026,1,490059.63500000007,1,37,4963,blue,true,right,44,37,right,blue,1852,0
C47026,2,494441.7400000002,0,0,4963,blue,true,right,66,12,left,orange,430,0
C47026,3,497395.2250000002,0,0,4963,blue,true,left,98,9,right,orange,540,0
C47026,4,500463.225,1,20,4943,blue,false,left,20,91,right,orange,390,0
C47026,5,503390.94000000024,1,8,4935,blue,true,left,28,8,left,blue,1167,0
C47026,6,507094.00499999995,0,0,4935,blue,true,left,30,33,right,orange,480,0
C47026,7,510107.2949999998,0,0,4935,blue,true,left,27,24,right,orange,906,0
C47026,8,513532.6949999999,1,58,4877,blue,false,left,58,43,right,orange,555,0
C47026,9,516617.94000000006,0,0,4877,blue,true,right,72,47,left,orange,509,0
C47026,10,519654.66000000015,1,44,4833,blue,false,right,44,44,left,orange,409,0
C47026,11,522597.4299999998,0,0,4833,blue,true,left,69,26,right,orange,378,0
C47026,12,525510.1749999999,0,0,4833,blue,true,left,6,41,right,orange,585,0
C47026,13,528629.0650000001,1,34,4799,blue,true,right,88,34,right,blue,1218,0
C47026,14,532379.25,1,73,4726,blue,false,left,73,18,right,orange,380,0
C47026,15,535290.285,0,0,4726,blue,true,left,60,25,right,orange,389,0
C47026,16,538214.4699999999,1,6,4720,blue,true,right,68,6,right,blue,551,0
C47026,17,541308.9100000001,1,48,4672,blue,false,right,48,39,left,orange,506,0
C47026,18,544345.1650000002,0,0,4672,blue,true,left,35,76,right,orange,414,0
C47026,19,547288.52,0,0,4672,blue,true,right,23,85,left,orange,438,0
C47026,20,550263.6699999998,0,0,4672,blue,true,left,54,22,right,orange,543,0
C47026,21,553336.4150000003,1,66,4606,blue,false,right,66,58,left,orange,430,0
C47026,22,556302.6749999999,0,0,4606,blue,true,right,98,41,left,orange,423,0
C47026,23,559258.7100000001,0,0,4606,blue,true,left,58,80,right,orange,364,0
C47026,24,562156.0949999999,0,0,4606,blue,true,right,32,85,left,orange,514,0
C47026,25,565199.4349999999,1,83,4523,blue,false,right,83,15,left,orange,631,0
C47026,26,568367.0499999998,0,0,4523,blue,true,left,18,16,right,orange,569,0
C47026,27,571464.955,0,0,4523,blue,true,left,56,99,right,orange,885,0
C47026,28,574879.625,0,0,4523,blue,true,left,23,75,right,orange,568,0
C47026,29,577977.5549999999,1,18,4505,blue,true,right,68,18,right,blue,1358,0
C47026,30,581865.025,0,0,4505,blue,true,left,30,16,right,orange,877,0
C47026,31,585271.8599999999,0,0,4505,blue,true,right,86,37,left,orange,575,0
C47026,32,588372.4750000001,0,0,4505,blue,true,right,47,44,left,orange,899,0
C47026,33,591796.9600000001,0,0,4505,blue,true,right,3,91,left,orange,514,0
C47026,34,594836.2700000003,1,60,4445,blue,false,right,60,14,left,orange,1472,0
C47026,35,598843.39,0,0,4445,blue,true,right,54,84,left,orange,418,0
C47026,36,601788.2450000002,0,0,4445,blue,true,right,34,23,left,orange,482,0
C47026,37,604805.195,0,0,4445,blue,true,left,96,28,right,orange,530,0
C47026,38,607863.2999999999,1,83,4362,blue,false,right,83,94,left,orange,2999,0
C47026,39,613394.0499999999,0,0,4362,blue,true,right,63,86,left,orange,548,0
C47026,40,616472.3250000002,0,0,4362,blue,true,right,99,53,left,orange,639,0
C47026,41,619641.94,0,0,4362,blue,true,right,29,91,left,orange,493,0
C47026,42,622664.4150000002,0,0,4362,blue,true,left,88,64,right,orange,695,0
C47026,43,625889.4599999998,1,70,4292,blue,true,left,84,70,left,blue,1621,0
C47026,44,630047.0249999999,1,61,4231,blue,false,right,61,88,left,orange,463,0
C47026,45,633048.06,0,0,4231,blue,true,left,61,43,right,orange,431,0
C47026,46,636009.9599999998,0,0,4231,blue,true,right,87,54,left,orange,510,0
C47026,47,639050.67,1,5,4226,blue,false,right,5,90,left,orange,571,0
C47026,48,646165.7249999999,0,0,4226,blue,true,right,71,44,left,orange,897,0
C47026,49,649591.4600000001,0,0,4226,blue,true,right,42,52,left,orange,1031,0
C47026,50,653154.2599999998,0,0,4226,blue,true,right,39,93,left,orange,636,0
C47026,51,656318.7149999999,1,24,4202,blue,true,left,39,24,left,blue,600,0
C47026,52,659460.5700000002,1,20,4182,blue,false,right,20,10,left,orange,850,0
C47026,53,662842.9000000001,1,85,4097,blue,false,right,85,43,left,orange,468,0
C47026,54,665844.5449999999,1,77,4020,blue,false,left,77,7,right,orange,523,0
