Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47076,1,93467.7000002861,1,37,4963,blue,true,right,44,37,right,blue,1260,0
C47076,2,97251.40000009537,1,12,4951,blue,true,left,66,12,left,blue,999,0
C47076,3,100770.90000009537,0,0,4951,blue,true,right,98,9,left,orange,464,0
C47076,4,103766.2000002861,1,20,4931,blue,false,right,20,91,left,orange,467,0
C47076,5,106763.5,0,0,4931,blue,true,left,28,8,right,orange,488,0
C47076,6,109775.80000019073,0,0,4931,blue,true,right,30,33,left,orange,424,0
C47076,7,112728.40000009537,0,0,4931,blue,true,right,27,24,left,orange,408,0
C47076,8,115655,1,58,4873,blue,false,left,58,43,right,orange,645,0
C47076,9,118828.5,0,0,4873,blue,true,left,72,47,right,orange,423,0
C47076,10,121778.40000009537,1,44,4829,blue,false,right,44,44,left,orange,449,0
C47076,11,124751.10000038147,0,0,4829,blue,true,left,69,26,right,orange,469,0
C47076,12,127737.80000019073,0,0,4829,blue,true,left,6,41,right,orange,479,0
C47076,13,130735.90000009537,0,0,4829,blue,true,left,88,34,right,orange,585,0
C47076,14,133843.30000019073,1,73,4756,blue,false,left,73,18,right,orange,523,0
C47076,15,136898.60000038147,0,0,4756,blue,true,left,60,25,right,orange,515,0
C47076,16,139941.10000038147,0,0,4756,blue,true,right,68,6,left,orange,731,0
C47076,17,143193.40000009537,1,48,4708,blue,false,right,48,39,left,orange,514,0
C47076,18,146233,0,0,4708,blue,true,right,35,76,left,orange,462,0
C47076,19,149227.10000038147,0,0,4708,blue,true,right,23,85,left,orange,445,0
C47076,20,152198,0,0,4708,blue,true,right,54,22,left,orange,453,0
C47076,21,155181,1,66,4642,blue,false,right,66,58,left,orange,493,0
C47076,22,158200.40000009537,0,0,4642,blue,true,left,98,41,right,orange,741,0
C47076,23,161470.60000038147,0,0,4642,blue,true,left,58,80,right,orange,552,0
C47076,24,164546.80000019073,0,0,4642,blue,true,right,32,85,left,orange,541,0
C47076,25,167606.2000002861,1,83,4559,blue,false,left,83,15,right,orange,1089,0
C47076,26,171228.90000009537,0,0,4559,blue,true,right,18,16,left,orange,486,0
C47076,27,174244.80000019073,0,0,4559,blue,true,right,56,99,left,orange,435,0
C47076,28,177212.60000038147,0,0,4559,blue,true,left,23,75,right,orange,517,0
C47076,29,180246.80000019073,0,0,4559,blue,true,left,68,18,right,orange,577,0
C47076,30,183348.10000038147,0,0,4559,blue,true,left,30,16,right,orange,542,0
C47076,31,186425.5,0,0,4559,blue,true,left,86,37,right,orange,535,0
C47076,32,189489.80000019073,0,0,4559,blue,true,left,47,44,right,orange,592,0
C47076,33,192608.90000009537,0,0,4559,blue,true,right,3,91,left,orange,488,0
C47076,34,195620,1,60,4499,blue,false,right,60,14,left,orange,494,0
C47076,35,198649.2000002861,0,0,4499,blue,true,right,54,84,left,orange,475,0
C47076,36,201656.5,0,0,4499,blue,true,left,34,23,right,orange,491,0
C47076,37,204685.90000009537,1,28,4471,blue,true,left,96,28,left,blue,1271,0
C47076,38,208483.90000009537,1,83,4388,blue,false,left,83,94,right,orange,597,0
C47076,39,211618.10000038147,0,0,4388,blue,true,right,63,86,left,orange,451,0
C47076,40,214594,0,0,4388,blue,true,left,99,53,right,orange,523,0
C47076,41,217634,0,0,4388,blue,true,left,29,91,right,orange,620,0
C47076,42,220772.60000038147,0,0,4388,blue,true,right,88,64,left,orange,489,0
C47076,43,223787.7000002861,0,0,4388,blue,true,right,84,70,left,orange,474,0
C47076,44,226787.80000019073,1,61,4327,blue,false,left,61,88,right,orange,464,0
C47076,45,229777.5,0,0,4327,blue,true,left,61,43,right,orange,427,0
C47076,46,232726,0,0,4327,blue,true,left,87,54,right,orange,488,0
C47076,47,235732.5,1,5,4322,blue,false,right,5,90,left,orange,471,0
C47076,48,242734.7000002861,0,0,4322,blue,true,right,71,44,left,orange,865,0
C47076,49,246121.30000019073,0,0,4322,blue,true,right,42,52,left,orange,417,0
C47076,50,249057.30000019073,0,0,4322,blue,true,right,39,93,left,orange,479,0
C47076,51,252049.30000019073,0,0,4322,blue,true,left,39,24,right,orange,568,0
C47076,52,255135.40000009537,1,20,4302,blue,false,left,20,10,right,orange,532,0
C47076,53,258188.10000038147,1,85,4217,blue,false,left,85,43,right,orange,454,0
C47076,54,261164,0,0,4217,blue,false,right,77,7,right,blue,830,0
C47076,55,264531.80000019073,1,90,4127,blue,true,right,95,90,right,blue,726,0
C47076,56,267786.80000019073,1,7,4120,blue,true,right,56,7,right,blue,512,0
C47076,57,270818.60000038147,0,0,4120,blue,true,right,50,69,left,orange,828,0
C47076,58,274169,0,0,4120,blue,true,right,4,83,left,orange,487,0
C47076,59,277177.5,1,40,4080,blue,false,right,40,8,left,orange,553,0
C47076,60,280256,0,0,4080,blue,true,right,47,86,left,orange,451,0
C47076,61,283230.60000038147,0,0,4080,blue,true,left,15,49,right,orange,580,0
C47076,62,286323.80000019073,0,0,4080,blue,true,left,17,39,right,orange,466,0
C47076,63,289318.30000019073,1,76,4004,blue,false,left,76,97,right,orange,704,0
C47076,64,292542.30000019073,0,0,4004,blue,true,left,73,14,right,orange,524,0
C47076,65,295589.90000009537,0,0,4004,blue,true,left,67,29,right,orange,526,0
C47076,66,298632.40000009537,0,0,4004,blue,true,right,48,39,left,orange,485,0
C47076,67,301639.90000009537,0,0,4004,blue,true,right,30,99,left,orange,401,0
C47076,68,304566.10000038147,1,13,3991,blue,false,right,13,20,left,orange,427,0
C47076,69,307508.40000009537,0,0,3991,blue,true,left,66,59,right,orange,473,0
C47076,70,310503.2000002861,0,0,3991,blue,true,right,20,60,left,orange,445,0
C47076,71,313476.30000019073,0,0,3991,blue,true,right,41,25,left,orange,562,0
C47076,72,316552.40000009537,1,76,3915,blue,false,left,76,70,right,orange,582,0
C47076,73,319654.60000038147,1,73,3842,blue,false,left,73,18,right,orange,538,0
C47076,74,322719.2000002861,1,41,3801,blue,false,left,41,80,right,orange,590,0
C47076,75,325830.5,0,0,3801,blue,true,left,25,76,right,orange,1135,0
