Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47136,1,223444.90000009537,1,37,4963,blue,true,right,44,37,right,blue,1302,0
C47136,2,227344.79999995232,0,0,4963,blue,true,right,66,12,left,orange,457,0
C47136,3,230351.29999995232,0,0,4963,blue,true,right,98,9,left,orange,506,0
C47136,4,233396.60000014305,1,20,4943,blue,false,left,20,91,right,orange,1387,0
C47136,5,237347.40000009537,0,0,4943,blue,true,right,28,8,left,orange,946,0
C47136,6,240831.90000009537,0,0,4943,blue,true,left,30,33,right,orange,941,0
C47136,7,244320.29999995232,0,0,4943,blue,true,left,27,24,right,orange,612,0
C47136,8,247479.60000014305,1,58,4885,blue,false,left,58,43,right,orange,724,0
C47136,9,250761,0,0,4885,blue,true,right,72,47,left,orange,630,0
C47136,10,253929.29999995232,1,44,4841,blue,false,left,44,44,right,orange,457,0
C47136,11,256936.90000009537,0,0,4841,blue,true,left,69,26,right,orange,696,0
C47136,12,260175.10000014305,0,0,4841,blue,true,left,6,41,right,orange,905,0
C47136,13,263626.7000000477,1,34,4807,blue,true,right,88,34,right,blue,901,0
C47136,14,267075.90000009537,1,73,4734,blue,false,left,73,18,right,orange,466,0
C47136,15,270116.2000000477,0,0,4734,blue,true,right,60,25,left,orange,786,0
C47136,16,273439.7000000477,0,0,4734,blue,true,right,68,6,left,orange,616,0
C47136,17,276599.60000014305,1,48,4686,blue,false,left,48,39,right,orange,738,0
C47136,18,279884.7000000477,0,0,4686,blue,true,right,35,76,left,orange,814,0
C47136,19,283238.7000000477,0,0,4686,blue,true,right,23,85,left,orange,496,0
C47136,20,286288.5,0,0,4686,blue,true,left,54,22,right,orange,770,0
C47136,21,289594.2999999523,1,66,4620,blue,false,right,66,58,left,orange,601,0
C47136,22,292744.10000014305,0,0,4620,blue,true,left,98,41,right,orange,947,0
C47136,23,296226.40000009537,0,0,4620,blue,true,right,58,80,left,orange,641,0
C47136,24,299402.2999999523,0,0,4620,blue,true,right,32,85,left,orange,694,0
C47136,25,302646.7999999523,1,83,4537,blue,false,left,83,15,right,orange,656,0
C47136,26,305845.10000014305,0,0,4537,blue,true,left,18,16,right,orange,398,0
C47136,27,308787.7999999523,0,0,4537,blue,true,right,56,99,left,orange,653,0
C47136,28,311970.2000000477,0,0,4537,blue,true,left,23,75,right,orange,727,0
C47136,29,315235,0,0,4537,blue,true,right,68,18,left,orange,632,0
C47136,30,318409.5,0,0,4537,blue,true,right,30,16,left,orange,640,0
C47136,31,321592.2999999523,0,0,4537,blue,true,left,86,37,right,orange,677,0
C47136,32,324827,0,0,4537,blue,true,right,47,44,left,orange,523,0
C47136,33,327893.40000009537,0,0,4537,blue,true,left,3,91,right,orange,638,0
C47136,34,331067.7000000477,0,0,4537,blue,false,right,60,14,right,blue,1088,0
C47136,35,334695.90000009537,0,0,4537,blue,true,right,54,84,left,orange,877,0
C47136,36,338111.40000009537,0,0,4537,blue,true,right,34,23,left,orange,461,0
C47136,37,341113.7999999523,0,0,4537,blue,true,left,96,28,right,orange,648,0
C47136,38,344301.2999999523,1,83,4454,blue,false,left,83,94,right,orange,698,0
C47136,39,347547,0,0,4454,blue,true,left,63,86,right,orange,625,0
C47136,40,350737.2999999523,0,0,4454,blue,true,left,99,53,right,orange,2100,0
C47136,41,355385,0,0,4454,blue,true,right,29,91,left,orange,455,0
C47136,42,358389.2999999523,0,0,4454,blue,true,right,88,64,left,orange,1388,0
C47136,43,362325.60000014305,0,0,4454,blue,true,left,84,70,right,orange,575,0
C47136,44,365442.60000014305,1,61,4393,blue,false,right,61,88,left,orange,630,0
C47136,45,368641.2000000477,0,0,4393,blue,true,right,61,43,left,orange,1722,0
C47136,46,372909.60000014305,0,0,4393,blue,true,right,87,54,left,orange,1349,0
C47136,47,376808.60000014305,1,5,4388,blue,false,left,5,90,right,orange,647,0
C47136,48,384017.2999999523,0,0,4388,blue,true,left,71,44,right,orange,1046,0
C47136,49,387612.5,0,0,4388,blue,true,left,42,52,right,orange,404,0
C47136,50,390553.7999999523,0,0,4388,blue,true,right,39,93,left,orange,730,0
C47136,51,393823.2999999523,0,0,4388,blue,true,left,39,24,right,orange,783,0
C47136,52,397153.7000000477,1,20,4368,blue,false,right,20,10,left,orange,551,0
C47136,53,400269.2000000477,1,85,4283,blue,false,right,85,43,left,orange,637,0
C47136,54,403452,1,77,4206,blue,false,right,77,7,left,orange,1179,0
C47136,55,407187.7000000477,0,0,4206,blue,true,left,95,90,right,orange,1261,0
C47136,56,410996.2999999523,0,0,4206,blue,true,right,56,7,left,orange,657,0
C47136,57,414194.2999999523,0,0,4206,blue,true,left,50,69,right,orange,414,0
C47136,58,417158,0,0,4206,blue,true,left,4,83,right,orange,388,0
C47136,59,420086.90000009537,1,40,4166,blue,false,right,40,8,left,orange,720,0
C47136,60,423367.2999999523,0,0,4166,blue,true,right,47,86,left,orange,751,0
C47136,61,426660,0,0,4166,blue,true,right,15,49,left,orange,742,0
C47136,62,429939.7000000477,0,0,4166,blue,true,left,17,39,right,orange,444,0
C47136,63,432934.2999999523,1,76,4090,blue,false,left,76,97,right,orange,823,0
C47136,64,436304,0,0,4090,blue,true,left,73,14,right,orange,527,0
C47136,65,439368.2999999523,0,0,4090,blue,true,right,67,29,left,orange,567,0
C47136,66,442480,0,0,4090,blue,true,left,48,39,right,orange,661,0
C47136,67,445676.90000009537,0,0,4090,blue,true,right,30,99,left,orange,727,0
C47136,68,448947.40000009537,1,13,4077,blue,false,right,13,20,left,orange,626,0
C47136,69,452123,0,0,4077,blue,true,right,66,59,left,orange,649,0
C47136,70,455309.90000009537,0,0,4077,blue,true,right,20,60,left,orange,478,0
C47136,71,458327.2999999523,0,0,4077,blue,true,right,41,25,left,orange,1088,0
C47136,72,461968.7999999523,1,76,4001,blue,false,right,76,70,left,orange,1338,0
C47136,73,465851.60000014305,1,73,3928,blue,false,left,73,18,right,orange,916,0
C47136,74,469310.40000009537,1,41,3887,blue,false,right,41,80,left,orange,631,0
C47136,75,472491.60000014305,0,0,3887,blue,true,left,25,76,right,orange,1116,0
C47136,76,476151.2000000477,1,34,3853,blue,false,right,34,52,left,orange,690,0
C47136,77,479385,1,30,3823,blue,false,right,30,60,left,orange,643,0
C47136,78,482588.5,1,91,3732,blue,false,left,91,36,right,orange,769,0
C47136,79,485902.7000000477,0,0,3732,blue,false,right,70,59,right,blue,681,0
C47136,80,489131.5,1,47,3685,blue,true,right,64,47,right,blue,454,0
C47136,81,492140.2999999523,1,28,3657,blue,false,right,28,44,left,orange,485,0
C47136,82,495178,0,0,3657,blue,false,right,2,80,right,blue,328,0
C47136,83,498046.60000014305,0,0,3657,blue,false,right,20,39,right,blue,713,0
C47136,84,501302,0,0,3657,blue,false,right,32,61,right,blue,397,0
C47136,85,504236.2999999523,0,0,3657,blue,false,left,90,61,left,blue,701,0
C47136,86,507483.40000009537,1,70,3587,blue,true,left,62,70,left,blue,1415,0
C47136,87,511462.10000014305,0,0,3587,blue,false,right,17,33,right,blue,732,0
C47136,88,514733.90000009537,0,0,3587,blue,false,right,74,17,right,blue,599,0
C47136,89,517881.2000000477,0,0,3587,blue,false,right,2,85,right,blue,535,0
C47136,90,520960.40000009537,0,0,3587,blue,false,left,39,76,left,blue,1093,0
C47136,91,524603.9000000954,0,0,3587,blue,false,right,70,20,right,blue,427,0
C47136,92,527583.9000000954,1,69,3518,blue,true,left,24,69,left,blue,520,0
C47136,93,530646.7999999523,1,52,3466,blue,true,left,59,52,left,blue,669,0
C47136,94,537868.7999999523,0,0,3466,blue,false,left,15,43,left,blue,1103,0
C47136,95,541510.5,1,34,3432,blue,true,left,50,34,left,blue,453,0
C47136,96,544519.2000000477,1,43,3389,blue,false,right,43,48,left,orange,944,0
C47136,97,548021.600000143,1,35,3354,blue,true,left,14,35,left,blue,640,0
C47136,98,551223.2000000477,0,0,3354,blue,true,right,12,42,left,orange,660,0
C47136,99,554447.9000000954,0,0,3354,blue,true,left,40,44,right,orange,533,0
C47136,100,557531.4000000954,0,0,3354,blue,true,left,88,50,right,orange,417,0
C47136,101,560485.4000000954,0,0,3354,blue,true,left,51,19,right,orange,472,0
C47136,102,563501.600000143,0,0,3354,blue,true,right,44,59,left,orange,1010,0
C47136,103,567059.7000000477,0,0,3354,blue,true,left,23,9,right,orange,643,0
C47136,104,570245,0,0,3354,blue,true,right,23,76,left,orange,569,0
C47136,105,573366.100000143,0,0,3354,blue,true,right,94,47,left,orange,451,0
C47136,106,576374.100000143,1,67,3287,blue,false,left,67,56,right,orange,464,0
C47136,107,579407.4000000954,0,0,3287,blue,true,right,50,16,left,orange,693,0
C47136,108,582635.2999999523,0,0,3287,blue,true,left,83,7,right,orange,633,0
C47136,109,585807.100000143,0,0,3287,blue,true,right,86,41,left,orange,507,0
C47136,110,588845.9000000954,0,0,3287,blue,true,left,61,37,right,orange,400,0
C47136,111,591790.5,1,82,3205,blue,false,left,82,57,right,orange,567,0
C47136,112,594918.2000000477,1,68,3137,blue,false,left,68,28,right,orange,1097,0
C47136,113,598566.7000000477,1,65,3072,blue,false,right,65,76,left,orange,1207,0
C47136,114,602338,0,0,3072,blue,false,left,25,19,left,blue,582,0
C47136,115,605461.9000000954,0,0,3072,blue,false,left,67,68,left,blue,451,0
C47136,116,608456.4000000954,0,0,3072,blue,false,right,82,68,right,blue,802,0
C47136,117,611796.2000000477,0,0,3072,blue,false,left,88,19,left,blue,759,0
C47136,118,615099.4000000954,1,11,3061,blue,true,left,55,11,left,blue,449,0
C47136,119,618102.9000000954,1,36,3025,blue,true,right,74,36,right,blue,498,0
C47136,120,621140.100000143,1,18,3007,blue,false,left,18,64,right,orange,639,0
C47136,121,624344.2000000477,1,15,2992,blue,false,left,15,3,right,orange,453,0
C47136,122,627340.2999999523,0,0,2992,blue,false,right,91,76,right,blue,1010,0
C47136,123,630895.7999999523,0,0,2992,blue,false,right,66,92,right,blue,471,0
C47136,124,633908.2999999523,0,0,2992,blue,false,left,67,14,left,blue,673,0
C47136,125,637144.2999999523,1,77,2915,blue,true,left,11,77,left,blue,535,0
C47136,126,640228.100000143,0,0,2915,blue,false,left,36,20,left,blue,447,0
C47136,127,643212.7999999523,0,0,2915,blue,false,right,44,61,right,blue,623,0
C47136,128,646364.4000000954,0,0,2915,blue,false,right,4,34,right,blue,511,0
C47136,129,649416.9000000954,0,0,2915,blue,false,right,86,63,right,blue,437,0
C47136,130,652392.7999999523,0,0,2915,blue,false,right,99,43,right,blue,686,0
C47136,131,655631.5,1,56,2859,blue,true,left,95,56,left,blue,678,0
C47136,132,658861.9000000954,1,89,2770,blue,false,left,89,63,right,orange,397,0
C47136,133,661816.7999999523,1,80,2690,blue,true,right,88,80,right,blue,1446,0
C47136,134,665818.7000000477,1,5,2685,blue,false,left,5,10,right,orange,561,0
C47136,135,668937.7999999523,1,80,2605,blue,true,right,35,80,right,blue,1040,0
