Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47267,1,273307.8750000004,0,0,5000,blue,true,right,23,10,left,orange,1835,0
C47267,2,277657.90000000014,0,0,5000,blue,true,right,45,97,left,orange,435,0
C47267,3,280600.085,0,0,5000,blue,true,right,54,62,left,orange,506,0
C47267,4,283619.0200000001,1,99,4901,blue,false,right,99,16,left,orange,290,0
C47267,5,286424.00500000076,0,0,4901,blue,true,right,72,40,left,orange,1264,0
C47267,6,290204.6300000002,0,0,4901,blue,true,right,98,88,left,orange,499,0
C47267,7,293217.45000000007,0,0,4901,blue,true,right,6,54,left,orange,332,0
C47267,8,296063.83500000084,0,0,4901,blue,true,right,64,55,left,orange,447,0
C47267,9,299025.1600000011,1,96,4805,blue,false,right,96,45,left,orange,647,0
C47267,10,302189.05500000075,1,19,4786,blue,true,right,28,19,right,blue,837,0
C47267,11,305544.93000000005,0,0,4786,blue,true,left,95,26,right,orange,382,0
C47267,12,308441.77500000113,0,0,4786,blue,true,right,90,29,left,orange,814,0
C47267,13,311767.6300000003,0,0,4786,blue,true,right,20,53,left,orange,1265,0
C47267,14,315546.91000000096,0,0,4786,blue,true,left,74,56,right,orange,659,0
C47267,15,318718.3299999997,0,0,4786,blue,true,left,18,42,right,orange,1650,0
C47267,16,322881.0200000007,0,0,4786,blue,true,left,11,91,right,orange,1133,0
C47267,17,326526.025000001,1,32,4754,blue,false,right,32,31,left,orange,597,0
C47267,18,329638.0449999997,0,0,4754,blue,true,right,36,65,left,orange,858,0
C47267,19,333009.99000000046,1,40,4714,blue,false,left,40,30,right,orange,684,0
C47267,20,336211.93500000116,0,0,4714,blue,true,right,29,26,left,orange,426,0
C47267,21,339154.6099999996,1,32,4682,blue,false,left,32,36,right,orange,502,0
C47267,22,342170.3749999997,0,0,4682,blue,true,left,72,81,right,orange,579,0
C47267,23,345262.03999999963,1,95,4587,blue,false,right,95,54,left,orange,528,0
C47267,24,348305.5800000002,1,40,4547,blue,false,left,40,59,right,orange,1307,0
C47267,25,352131.53500000044,0,0,4547,blue,false,right,29,24,right,blue,491,0
C47267,26,355135.4150000006,0,0,4547,blue,false,right,60,51,right,blue,511,0
C47267,27,358161.4600000012,0,0,4547,blue,false,right,83,65,right,blue,435,0
C47267,28,361110.415000001,1,98,4449,blue,true,right,78,98,right,blue,621,0
C47267,29,375272.2649999996,0,0,4449,blue,false,left,56,51,left,blue,707,2
C47267,30,378494.29000000056,0,0,4449,blue,false,right,5,20,right,blue,2141,0
C47267,31,383147.0250000002,0,0,4449,blue,false,right,67,2,right,blue,606,0
C47267,32,386265.36000000127,0,0,4449,blue,false,left,85,84,left,blue,536,0
C47267,33,389312.94499999966,1,49,4400,blue,true,right,7,49,right,blue,483,0
C47267,34,392309.0850000008,1,37,4363,blue,false,left,37,47,right,orange,469,0
C47267,35,395295.31000000134,0,0,4363,blue,false,right,27,91,right,blue,820,0
C47267,36,398626.29500000004,0,0,4363,blue,false,left,44,42,left,blue,467,0
C47267,37,401607.3500000002,1,55,4308,blue,true,right,31,55,right,blue,502,0
C47267,38,404621.2300000007,0,0,4308,blue,false,right,97,70,right,blue,368,0
C47267,39,407501.94499999995,0,0,4308,blue,false,right,14,9,right,blue,1079,0
C47267,40,411093.56500000105,1,51,4257,blue,true,left,23,51,left,blue,538,0
C47267,41,414147.0900000004,1,79,4178,blue,true,right,89,79,right,blue,411,0
C47267,42,417071.5200000013,1,86,4092,blue,true,right,83,86,right,blue,1692,0
C47267,43,421275.5450000004,0,0,4092,blue,true,right,40,62,left,orange,414,0
C47267,44,424199.9200000009,0,0,4092,blue,true,left,36,23,right,orange,613,0
C47267,45,427324.9699999997,0,0,4092,blue,true,left,65,61,right,orange,424,0
C47267,46,430259.8400000006,0,0,4092,blue,true,left,74,67,right,orange,382,0
C47267,47,433153.6599999999,0,0,4092,blue,true,right,73,41,left,orange,526,0
C47267,48,440195.44000000134,0,0,4092,blue,false,left,96,54,left,blue,975,0
C47267,49,443684.16000000073,1,88,4004,blue,true,right,86,88,right,blue,575,0
C47267,50,446774.8300000003,1,66,3938,blue,true,left,43,66,left,blue,418,0
C47267,51,449706.0250000013,0,0,3938,blue,true,right,72,79,left,orange,416,0
C47267,52,452631.265,1,71,3867,blue,false,right,71,13,left,orange,588,0
C47267,53,455733.26500000077,0,0,3867,blue,true,left,78,53,right,orange,347,0
C47267,54,458591.9950000007,0,0,3867,blue,true,right,57,90,left,orange,1221,0
C47267,55,462319.89500000054,0,0,3867,blue,false,right,3,12,right,blue,1717,0
C47267,56,466549.89000000025,1,64,3803,blue,true,right,2,64,right,blue,984,0
C47267,57,470046.8099999998,1,9,3794,blue,true,right,99,9,right,blue,996,0
C47267,58,473556.1550000002,0,0,3794,blue,true,right,21,42,left,orange,2924,0
C47267,59,478991.45000000135,0,0,3794,blue,true,left,83,72,right,orange,1932,0
C47267,60,483435.40500000014,0,0,3794,blue,true,left,37,11,right,orange,720,0
C47267,61,486669.2149999999,1,67,3727,blue,false,left,67,81,right,orange,1306,0
C47267,62,490490.04500000045,1,14,3713,blue,true,left,12,14,left,blue,1792,0
C47267,63,494792.69000000024,0,0,3713,blue,false,left,78,90,left,blue,1102,0
C47267,64,498404.6099999996,0,0,3713,blue,false,left,46,53,left,blue,1233,0
C47267,65,502150.71499999973,1,30,3683,blue,false,right,30,42,left,orange,1529,0
C47267,66,506193.91,0,0,3683,blue,false,left,36,65,left,blue,393,0
C47267,67,509100.4000000012,0,0,3683,blue,false,left,49,49,left,blue,336,0
C47267,68,511948.0999999996,0,0,3683,blue,false,left,44,10,left,blue,430,0
C47267,69,514890.2850000013,0,0,3683,blue,false,right,70,64,right,blue,837,0
C47267,70,518238.7250000011,0,0,3683,blue,false,right,68,95,right,blue,411,0
C47267,71,521163.09,0,0,3683,blue,false,left,38,46,left,blue,513,0
C47267,72,524188.46000000124,0,0,3683,blue,false,left,18,24,left,blue,834,0
C47267,73,527536.3200000011,0,0,3683,blue,false,right,82,78,right,blue,475,0
C47267,74,530523.545,0,0,3683,blue,false,right,59,54,right,blue,362,0
C47267,75,533397.4749999997,0,0,3683,blue,false,right,36,33,right,blue,731,0
C47267,76,536641.2350000009,1,56,3627,blue,true,left,49,56,left,blue,726,0
C47267,77,539880.1750000003,0,0,3627,blue,false,right,26,83,right,blue,445,0
C47267,78,542836.3800000006,0,0,3627,blue,false,left,38,81,left,blue,655,0
C47267,79,546006.4450000009,0,0,3627,blue,false,left,12,3,left,blue,566,0
C47267,80,549085.2850000011,0,0,3627,blue,false,right,62,38,right,blue,619,0
C47267,81,552216.6150000012,0,0,3627,blue,false,left,43,50,left,blue,493,0
C47267,82,555221.4100000001,0,0,3627,blue,false,left,50,47,left,blue,486,0
C47267,83,558219.5100000008,1,35,3592,blue,true,left,41,35,left,blue,710,0
C47267,84,561443.0499999998,0,0,3592,blue,false,right,9,62,right,blue,411,0
C47267,85,564364.6449999997,0,0,3592,blue,false,right,60,58,right,blue,829,0
C47267,86,567704.6499999997,0,0,3592,blue,false,right,88,31,right,blue,337,0
C47267,87,570551.7049999998,0,0,3592,blue,false,left,56,44,left,blue,1223,0
C47267,88,574285.9050000006,1,15,3577,blue,true,right,31,15,right,blue,941,0
C47267,89,577740.4249999999,0,0,3577,blue,false,left,90,31,left,blue,1278,0
C47267,90,581529.1400000006,0,0,3577,blue,false,right,80,76,right,blue,1293,0
C47267,91,585337.2099999997,0,0,3577,blue,false,right,78,4,right,blue,1229,0
C47267,92,589077.9700000003,0,0,3577,blue,false,right,60,28,right,blue,1074,0
C47267,93,592665.5050000008,0,0,3577,blue,true,left,56,99,right,orange,1518,0
C47267,94,600696.0650000001,1,31,3546,blue,false,left,31,45,right,orange,845,0
C47267,95,604055.8799999999,0,0,3546,blue,false,right,55,16,right,blue,580,0
C47267,96,607148.1949999997,1,89,3457,blue,true,right,12,89,right,blue,562,0
C47267,97,610222.8599999999,0,0,3457,blue,false,right,49,4,right,blue,265,0
C47267,98,612999.9750000007,0,0,3457,blue,false,right,69,12,right,blue,716,0
C47267,99,616228.4250000012,1,26,3431,blue,true,right,49,26,right,blue,253,0
C47267,100,618999.0699999998,0,0,3431,blue,false,right,75,76,right,blue,317,0
C47267,101,621828.1650000009,0,0,3431,blue,false,right,22,90,right,blue,336,0
C47267,102,624674.9950000013,0,0,3431,blue,true,right,26,23,left,orange,431,0
C47267,103,627619.5000000007,0,0,3431,blue,false,right,11,68,right,blue,324,0
C47267,104,630455.175000001,1,82,3349,blue,true,right,71,82,right,blue,418,0
C47267,105,633389.5599999996,0,0,3349,blue,false,right,86,95,right,blue,1135,0
C47267,106,637035.4800000004,0,0,3349,blue,false,left,79,88,left,blue,463,0
C47267,107,640009.9050000008,1,75,3274,blue,false,right,75,40,left,orange,485,0
C47267,108,643006.6750000005,0,0,3274,blue,false,left,11,94,left,blue,1791,0
C47267,109,647308.4850000014,1,44,3230,blue,true,left,53,44,left,blue,1138,0
C47267,110,650960.0399999999,0,0,3230,blue,false,right,85,17,right,blue,660,0
C47267,111,654132.8650000014,1,32,3198,blue,true,right,85,32,right,blue,615,0
C47267,112,657260.2850000003,0,0,3198,blue,false,left,38,68,left,blue,565,0
C47267,113,660337.7849999997,0,0,3198,blue,false,left,28,93,left,blue,347,0
C47267,114,663196.0049999998,0,0,3198,blue,false,left,13,95,left,blue,389,0
C47267,115,666096.1550000011,0,0,3198,blue,false,left,69,60,left,blue,364,0
C47267,116,668973.680000001,0,0,3198,blue,true,left,56,95,right,orange,759,0
C47267,117,672242.8600000003,0,0,3198,blue,false,left,2,41,left,blue,850,0
C47267,118,675602.3350000014,0,0,3198,blue,false,left,42,5,left,blue,419,0
C47267,119,678532.1450000011,0,0,3198,blue,false,left,44,30,left,blue,353,0
C47267,120,681395.6699999999,0,0,3198,blue,false,left,79,4,left,blue,329,0
C47267,121,684236.6849999998,1,83,3115,blue,false,left,83,87,right,orange,364,0
C47267,122,687113.9949999996,0,0,3115,blue,false,right,59,44,right,blue,1030,0
C47267,123,690657.0200000006,1,10,3105,blue,true,right,15,10,right,blue,337,0
C47267,124,693506.7500000005,0,0,3105,blue,false,left,60,15,left,blue,674,0
C47267,125,696693.5750000011,0,0,3105,blue,false,left,73,25,left,blue,369,0
C47267,126,699573.7750000007,0,0,3105,blue,false,left,43,23,left,blue,550,0
C47267,127,702635.8400000008,0,0,3105,blue,false,right,22,87,right,blue,459,0
C47267,128,705606.6600000013,1,77,3028,blue,true,left,27,77,left,blue,479,0
C47267,129,708599.8749999999,0,0,3028,blue,false,right,99,35,right,blue,682,0
C47267,130,711792.3650000012,1,39,2989,blue,true,right,49,39,right,blue,373,0
C47267,131,714676.730000001,1,83,2906,blue,false,left,83,60,right,orange,707,0
C47267,132,717897.0500000014,1,54,2852,blue,true,right,61,54,right,blue,784,0
C47267,133,721194.1200000001,0,0,2852,blue,false,left,82,34,left,blue,579,0
C47267,134,724284.0500000002,0,0,2852,blue,false,right,96,86,right,blue,677,0
C47267,135,727472.6650000012,0,0,2852,blue,false,right,65,27,right,blue,369,0
C47267,136,730354.1949999998,0,0,2852,blue,false,right,63,93,right,blue,371,0
C47267,137,733236.2450000001,0,0,2852,blue,false,right,65,40,right,blue,414,0
C47267,138,736161.3400000005,1,7,2845,blue,false,left,7,69,right,orange,472,0
C47267,139,739146.9450000004,0,0,2845,blue,true,left,94,28,right,orange,1988,0
C47267,140,743647.6700000003,0,0,2845,blue,false,right,90,4,right,blue,991,0
