Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47270,1,126666.39999997616,0,0,5000,blue,true,left,44,37,right,orange,1197,0
C47270,2,130411.09999990463,0,0,5000,blue,true,left,66,12,right,orange,295,0
C47270,3,133251.39999997616,1,9,4991,blue,true,left,98,9,left,blue,255,0
C47270,4,136059.5,1,20,4971,blue,false,right,20,91,left,orange,250,0
C47270,5,138876.09999990463,0,0,4971,blue,true,left,28,8,right,orange,216,0
C47270,6,141638.39999997616,1,33,4938,blue,true,right,30,33,right,blue,458,0
C47270,7,144656.19999992847,1,24,4914,blue,true,right,27,24,right,blue,641,0
C47270,8,147847.89999997616,0,0,4914,blue,false,right,58,43,right,blue,418,0
C47270,9,150813.39999997616,0,0,4914,blue,true,left,72,47,right,orange,258,0
C47270,10,153628.39999997616,0,0,4914,blue,false,left,44,44,left,blue,1813,0
C47270,11,157983.19999992847,1,26,4888,blue,true,left,69,26,left,blue,437,0
C47270,12,160999.89999997616,0,0,4888,blue,true,left,6,41,right,orange,626,0
C47270,13,164180.5,0,0,4888,blue,true,right,88,34,left,orange,437,0
C47270,14,167166.69999992847,0,0,4888,blue,false,left,73,18,left,blue,595,0
C47270,15,170317,1,25,4863,blue,true,left,60,25,left,blue,354,0
C47270,16,173225.29999995232,0,0,4863,blue,true,right,68,6,left,orange,634,0
C47270,17,176393.79999995232,1,48,4815,blue,false,right,48,39,left,orange,536,0
C47270,18,179476.39999997616,0,0,4815,blue,true,right,35,76,left,orange,422,0
C47270,19,182434.29999995232,1,85,4730,blue,true,left,23,85,left,blue,401,0
C47270,20,185390.09999990463,1,22,4708,blue,true,left,54,22,left,blue,3874,0
C47270,21,191807.79999995232,1,66,4642,blue,false,left,66,58,right,orange,1220,0
C47270,22,195595.19999992847,1,41,4601,blue,true,right,98,41,right,blue,386,0
C47270,23,198532.39999997616,1,80,4521,blue,true,right,58,80,right,blue,234,0
C47270,24,201332.89999997616,1,85,4436,blue,true,right,32,85,right,blue,399,0
C47270,25,204275.39999997616,0,0,4436,blue,false,left,83,15,left,blue,343,0
C47270,26,207159.09999990463,1,16,4420,blue,true,left,18,16,left,blue,241,0
C47270,27,209955,1,99,4321,blue,true,right,56,99,right,blue,335,0
C47270,28,212843.29999995232,0,0,4321,blue,true,right,23,75,left,orange,393,0
C47270,29,215785.69999992847,0,0,4321,blue,true,left,68,18,right,orange,377,0
C47270,30,218700.39999997616,1,16,4305,blue,true,left,30,16,left,blue,429,0
C47270,31,221691.59999990463,0,0,4305,blue,true,left,86,37,right,orange,283,0
C47270,32,224507.89999997616,0,0,4305,blue,true,right,47,44,left,orange,256,0
C47270,33,227319.19999992847,1,91,4214,blue,true,left,3,91,left,blue,344,0
C47270,34,230227.29999995232,1,60,4154,blue,false,left,60,14,right,orange,233,0
C47270,35,233013.89999997616,1,84,4070,blue,true,right,54,84,right,blue,243,0
C47270,36,235806.79999995232,0,0,4070,blue,true,left,34,23,right,orange,748,0
C47270,37,239090.59999990463,1,28,4042,blue,true,right,96,28,right,blue,460,0
C47270,38,242100.69999992847,1,83,3959,blue,false,left,83,94,right,orange,307,0
C47270,39,244979.59999990463,1,86,3873,blue,true,left,63,86,left,blue,354,0
C47270,40,247887.39999997616,0,0,3873,blue,true,right,99,53,left,orange,571,0
C47270,41,250994.89999997616,0,0,3873,blue,true,right,29,91,left,orange,764,0
C47270,42,254297,0,0,3873,blue,true,left,88,64,right,orange,789,0
C47270,43,257630.09999990463,0,0,3873,blue,true,right,84,70,left,orange,592,0
C47270,44,260759.89999997616,1,61,3812,blue,false,right,61,88,left,orange,547,0
C47270,45,263861.6999999285,0,0,3812,blue,true,right,61,43,left,orange,544,0
C47270,46,266951.89999997616,0,0,3812,blue,true,right,87,54,left,orange,495,0
C47270,47,269989.1999999285,1,5,3807,blue,false,right,5,90,left,orange,580,0
C47270,48,277179.39999997616,1,44,3763,blue,true,left,71,44,left,blue,1331,0
C47270,49,281065.59999990463,1,52,3711,blue,true,left,42,52,left,blue,396,0
C47270,50,284009,1,93,3618,blue,true,left,39,93,left,blue,483,0
C47270,51,287044.2999999523,1,24,3594,blue,true,left,39,24,left,blue,521,0
C47270,52,290123.6999999285,0,0,3594,blue,false,right,20,10,right,blue,210,0
C47270,53,292902.59999990463,1,85,3509,blue,false,right,85,43,left,orange,413,0
C47270,54,295873.39999997616,0,0,3509,blue,false,left,77,7,left,blue,354,0
C47270,55,298762.7999999523,1,90,3419,blue,true,left,95,90,left,blue,838,0
C47270,56,302148.2999999523,0,0,3419,blue,true,right,56,7,left,orange,455,0
C47270,57,305137.89999997616,0,0,3419,blue,true,right,50,69,left,orange,277,0
C47270,58,307946.59999990463,0,0,3419,blue,true,right,4,83,left,orange,307,0
